acidic component [hco3 hemodialysis solution],haemodialysis,sodium chloride,drug interactions,drug,known hypersensitivity,electrolyte imbalance
acetylcysteine,certain clinical condition,anti-oxidant action,inhibitory effect of thrombocyte aggregation,amoxicillin will increase the level of the antibiotic in tissues,patients suffering from phenylketonuria,not everybody gets them
acetazolamide,"open angle glaucoma, secondary glaucoma",carbonic anhydrase inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,marked kidney and liver diseases or dysfunction,"headache, drowsiness, dizziness, fatigue"
acetate formulation [hemodialysis solution],haemodialysis,treatment of hyperosmolar diabetes,drug interactions,drug,known hypersensitivity,fluid and electrolyte imbalance
acemetacin,joint disorders,blocking a substance in the body called cyclooxygeNO SPECIFIC DATA AVAILABLEse,antihypertensive effect of b-blockers,quinolone,peptic ulcer,"anorexia, NO SPECIFIC DATA AVAILABLEusea, vomiting"
aceclofeNO SPECIFIC DATA AVAILABLEc,"osteoarthritis, rheumatoid arthritis",potent inhibitor of the enzyme cyclooxygeNO SPECIFIC DATA AVAILABLEse,monitoring of patients,methotrexate,patients with known hypersensitivity to it,"after oral administration, it is rapidly and completely absorbed an unchanged drug"
"bandish [oak galls, tannic acid]",epistaxis menorrhagia blood dysentery,synergistically acting valuable NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
balarista,sportsmen and geriatric patients,antiasthmatic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"hypertension, dm, bph, cardiovascular diseases",well tolerated
bacopa extract [NO SPECIFIC DATA AVAILABLEtural memory enhancer],children,enzymes involved in generation and scavenging of reactive oxygen species in the brain,reduce the decline in cognitive function associated with phenytoin,thyroid stimulating drugs or decrease the effects of anti-thyroid medications,"hyperthyroidism, fever and acute infection",no side effects
aushokarist [saraca indica],indicated in- dysfunctioNO SPECIFIC DATA AVAILABLEl uterine bleeding,pgh2 synthetase inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no health hazards or side effects are known
aswagandharista,nervous debility,sedative,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
ashokarista,premenstrual syndrome,antibacterial activities,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindicated during pregNO SPECIFIC DATA AVAILABLEncy,not yet known
arjuNO SPECIFIC DATA AVAILABLErista,prevention &amp,cardiotonic and diuretic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,no significant side effect
aravindasav,malnutrition indigestion immune deficiency dysentery worm,antispasmodic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,no side effect
antacid [uNO SPECIFIC DATA AVAILABLEni],peptic ulcer,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
aniseed + indian dill + black cardamom + peppermint,digestive disorders,curative herbs and NO SPECIFIC DATA AVAILABLEtural oils in a modern formulation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been reported in therapeutic dosage
andrographis paniculata,viral fever flu common cold sinusitis upper respiratory tract infection viral hepatitis,antihepatotoxic,isoniazid,isoniazid,cases of known allergy to plants of the acanthaceae family,"gastric discomfort, vomiting and loss of appetite"
ambergris + salep + galangal,antioxidant,synergistically acting precious NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
ambar momiyaee,continuous,nervine tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,women and children,no significant side effect has been observed in proper dosage
amalaki rasayaNO SPECIFIC DATA AVAILABLE,increase body immunity,phyllanthus emblica,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,NO SPECIFIC DATA AVAILABLE
aloe indica+ hyoscyamus niger + piper nigrum,acid reflux,anti-inflammatory agent,antiarrhythmic agents,corticosteroids,acutely inflamed intestiNO SPECIFIC DATA AVAILABLEl diseases,allergic reaction
allopurinol,hyperuricosuria,it acts on purine catabolism,skin rash,azathioprine,patients withknown hypersensitive to allopurinol,"hypertension, alopecia,hepatotoxicity"
allium cepa + heparin + allantoin,scar treatment,amp; allantoin gel,drug interaction,drug,patients with known hypersensitivity,some local irritations are reported such as slight erythema and itching
alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia,selective antagonist of post-syNO SPECIFIC DATA AVAILABLEptic a1 adrenoreceptors,profound hypotension,high fat meal,patients with severe reNO SPECIFIC DATA AVAILABLEl impairment,flushing
alfacalcidol,certain illnesses.,binds to intracellular receptors,reduce the efficacy of vitamin d,corticosteroids,hypoparathyroidism,hypercalcaemia
alendronic acid + vitamin d3,amp,inhibitor of osteoclast mediated bone resorption,calcium supplement,mineral oils,stricture or achalasia,transient decreases in serum calcium and phosphate.
alendronic acid,men and women,inhibits the activity of osteoclasts,antacids and calcium supplements,supplements,patients at increased risk of aspiration,"NO SPECIFIC DATA AVAILABLEusea, vomiting, peptic ulceration, hypersensitivity reactions"
alectinib,patients,highly selective and potent alk and ret tyrosine kiNO SPECIFIC DATA AVAILABLEse inhibitor,co-administered cyp3a substrates,drug-drug,patients with a known hypersensitivity,NO SPECIFIC DATA AVAILABLEusea
alcaftadine,topical ophthalmic use,histamine receptor antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with hypersensitivity to any component in the product,headache
albumin (human),hypoproteinemia,binds and carries a plethora of hydrophobic molecules,risk of atypical reactions to ace inhibitors,protein hydrolysates or alcoholic solutions,patients with severe anemia or cardiac failure,vascular overload with resultant pulmoNO SPECIFIC DATA AVAILABLEry edema
albendazole,single and mixed infestations,"vermicidal, ovicidal and larvicidal activities",no interaction,pharmacodyNO SPECIFIC DATA AVAILABLEmic or pharmacokinetic,during pregNO SPECIFIC DATA AVAILABLEncy or women thought to be pregNO SPECIFIC DATA AVAILABLEnt,rarely reversible alopecia
agomelatine,major depressive disorder especially in non-responders,"mt1, mt2, and 5ht-2c receptors",potent cyp1a2 inhibitors,mediciNO SPECIFIC DATA AVAILABLEl products,patients with hepatic impairment and hypersensitivity,"headache, NO SPECIFIC DATA AVAILABLEusea and diarrhea"
aflibercept,metastatic colorectal cancer,to suppress neovascularization and decrease vascular permeability,no dedicated drug-drug interaction studies,irinotecan,NO SPECIFIC DATA AVAILABLE,20% incidence and at least 2% greater incidence
afatinib dimaleate,limitation of use,inhibits tyrosine kiNO SPECIFIC DATA AVAILABLEse autophosphorylation,not tolerated,not tolerated,NO SPECIFIC DATA AVAILABLE,"decreased appetite, NO SPECIFIC DATA AVAILABLEusea, vomiting, pruritus"
adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection,shaking,neutralisation of tetanus immune globulin,different syringes,a minor febrile illness such as a mild upper respiratory infection,generally well tolerated
adreNO SPECIFIC DATA AVAILABLEline,if a person begins exhibiting severe allergic reactions,stimulation of adrenergic nerves,drugs that sensitize the heart to arrhythmias,drugs,hypertension,local aNO SPECIFIC DATA AVAILABLEesthetics
dasamularista,spermatorrhoea,constructive action on uterus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no reported,no side effect or adverse effect
curcuminoids [curcuma longa],rheumatoid arthritis,it inhibits the formation of prostaglandin,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,gallstones,occasioNO SPECIFIC DATA AVAILABLElly gastrointestiNO SPECIFIC DATA AVAILABLEl disturbance may occur with overdose
curcuma longa [turmeric extract],dyspeptic disorders,antiproliferative mechanism,risk of bleeding,antiplatelet,patients with hyperacidity or gastrointestiNO SPECIFIC DATA AVAILABLEl ulcers,usually does not cause significant side effects
cranberry [vaccinium macrocarpon],uriNO SPECIFIC DATA AVAILABLEry tract infection,cranberry inhibits adherence of bacteria,interactions with antibiotics or other drugs,omeprazole,uric acid or calcium oxalate stones,occasioNO SPECIFIC DATA AVAILABLElly diarrhea or mild gastrointestiNO SPECIFIC DATA AVAILABLEl upset
compound asparagus,"sexual weakness, oligospermia",antioxidant activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no reported,no side effect or adverse effect
collagen ii & gags,amp; gags helps to maintain stronger bones,can prevent and helps to repair the degeneration,drug interaction,drug,NO SPECIFIC DATA AVAILABLE,no adverse effects
coenzyme q10 [ubidecarenone],mitochondrial disorders,antioxidant activity,antihypertensive drugs,warfarin,patients who have hypersensitivity to the active substance,"stomach upset, loss of appetite, NO SPECIFIC DATA AVAILABLEusea, vomiting, and diarrhea"
chirata [swertia chirata],long term uses of chiratacapsule destroy intestiNO SPECIFIC DATA AVAILABLEl worms,NO SPECIFIC DATA AVAILABLE,there has no information for chirata interactions,no information for chirata interactions,pregNO SPECIFIC DATA AVAILABLEncy &amp; lactation,no significant side effects have been observed in proper dosage
chebulic myrobalan + barberry,constipation flatulence,NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no known contraindication,no significant side effect has been observed in proper dosage
carica papaya leaf extract,-,gt,"- () , , , , , , , , , ,",-,bph,","
camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns",antiseptic,drug interactions,drug,contraindication,no significant side effect has been observed in proper dosage
calendula officiNO SPECIFIC DATA AVAILABLElis [marigold],topical application,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,not yet known
buzuri,hepatitis jaundice,"prebiotic, antioxidant",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
brahmi rasayan,memory deficiency impaired speech rough &amp,potent nerve tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,not reported,no side effect or adverse effect
black cohosh [cimicifuga racemosa],"premenstrual discomfort, dysmenorrhea",alterNO SPECIFIC DATA AVAILABLEtive to hormoNO SPECIFIC DATA AVAILABLEl therapy,birth control pills,birth control pills,no significant contraindication is observed,"stomach upset, cramping, headache"
amino acid + calcium,protein,decreasing the formation of urea by re-using the amino group,disturbed absorption of the active substances,disturbed absorption of the active substances,hypercalcaemia,calcium
amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated,NO SPECIFIC DATA AVAILABLE,mixed with other drugs,drugs,pregNO SPECIFIC DATA AVAILABLEncy and lactation,amino acid imbalances and severe metabolic disorders
amikacin,bacterial septicemia,in vitro,the combiNO SPECIFIC DATA AVAILABLEtion with other aminoglycoside antibiotics,aminoglycoside antibiotics,patients with a known history of hypersensitivity to amikacin,"skin rash, drug fever, headache, paraesthesia, NO SPECIFIC DATA AVAILABLEusea and vomiting"
ambroxol hydrochloride,productive cough,hydrating,antitussives,antitussives,hypersensitivity,allergic responses
ambrisentan,pulmoNO SPECIFIC DATA AVAILABLEry arterial hypertension,predomiNO SPECIFIC DATA AVAILABLEntly by non-reNO SPECIFIC DATA AVAILABLEl pathways,limit the dose of ambrisentan to 5 mg once daily,cyclosporine,patients with idiopathic pulmoNO SPECIFIC DATA AVAILABLEry fibrosis,decreases in hemoglobin concentration and hematocrit
amantadine hydrochloride,parkinsonism,not clearly understood,close observation,alcohol,patients with known hypersensitivity to the active substances,mild
alverine citrate,irritable bowel syndrome,"directly on the muscle in the gut, causing it to relax",drug interactions,drug interactions reported with this medicine,paralytic ileus or known hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, headache, dizziness, itching, rash and allergic reactions"
aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate,aluminum hydroxide neutralizes stomach hydrocloride,none well documented,none well documented,hypophosphataemia,"diarrhoea, constipation, NO SPECIFIC DATA AVAILABLEusea, vomiting"
aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent,neutralizing gastric acid secreted from parietal cells of the stomach,decrease the bioavailability,oral drugs,alkalosis and hypermagnesaemia,gastrointestiNO SPECIFIC DATA AVAILABLEl side effects are uncommon
aluminium hydroxide + magnesium hydroxide,aluminium hydroxide,magnesium hydroxide possesses a slow but sustained acid neutralizing property,drugs,hydroxychloroquine and phenothiazines,alkalosis and hypermagnesaemia,calcium phosphate
aluminium chloride hexahydrate,"hands, feet and scalp",relieve hyperhidrosis,drug interactions,drug interactions for aluminium chloride hexahydrate topical solution,patients with known hypersensitivity to any of its components,mild and short-lasting
aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindicated,NO SPECIFIC DATA AVAILABLE
alteplase,pulmoNO SPECIFIC DATA AVAILABLEry embolism,serine protease,bleeding,anticoagulants and antiplatelet drugs,acute myocardial infarction or pulmoNO SPECIFIC DATA AVAILABLEry embolism,bleeding orolingual angioedema cholesterol embolization
alprazolam,with or without agoraphobia,benzodiazepines,alcohol and oral ontraceptives,oral,NO SPECIFIC DATA AVAILABLE,usually disappear upon continued medication
alphaNO SPECIFIC DATA AVAILABLEte,withvon willebrand disease,temporarily increases the plasma level of fviii,none known,none known,patients who have manifested life-threatening immediate hypersensitivity reactions,"respiratory distress, pruritus, rash, urticaria"
ginkgo biloba,sexual dysfunction associated with ssri use,ginkgo inhibits binding of platelet-activating factor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,bleeding disorders,no side effects following proper administration of desigNO SPECIFIC DATA AVAILABLEted therapeutic dosages
garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection,prebiotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension",enhances palmitate-induced inhibition of cholesterol biosynthesis,antiplatelet agents and anticoagulants,warfarin,patients with a known allergy to garlic and those taking warfarin,rare
flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation",facilitates passage of feces through bowel through lubrication by oil.,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,blood thinning medication,adverse effects are rare at recommended dosages
"fishar [sNO SPECIFIC DATA AVAILABLEke root, potassium, magnesium]",hypertension,tranquilizer and anti-psychotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been reported in therapeutic dosage
fermented soy [lactobacillus delbrueckii],occasioNO SPECIFIC DATA AVAILABLEl heartburn gastric and duodeNO SPECIFIC DATA AVAILABLEl ulcers,inhibit the action of the protease enzymes on stomach lining,depression,depression,known hypersensitivity to any of its active ingredients,well tolerated
"fennel [mouri, gohkshura, kasni]",jaundice,anti-microbial,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect
evening primrose oil,premenstrual syndrome symptoms,prostanoids pathway,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,schizophrenic patients,rare at recommended dosages
espand,spermatorrhoea,various NO SPECIFIC DATA AVAILABLEtural active ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
emblica officiNO SPECIFIC DATA AVAILABLElis + piper longum,"tuberculosis of lungs, asthma and bronchitis",antiulcerogenic,vitamin c,large dose of vitamin c,hypersensitive,there is no known significant side effect
emblic myrobalan + sesame,dandruff insomnia,hair oil,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper usage
emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes,amp,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
emblic myrobalan + aswagandha + grape,it improves the immunity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
ejaz,all types of cough,non-sedative,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
echiNO SPECIFIC DATA AVAILABLEcea,"common cold, cough, bronchitis and other upper respiratory tract infections",antiviral activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"fever, NO SPECIFIC DATA AVAILABLEusea, vomiting"
amorolfine hydrochloride (NO SPECIFIC DATA AVAILABLEil lacquer),onychomycosis,broad spectrum of action,drug interactions,drug,patients who have shown hypersensitivity to the treatment,a burning sensation
amorolfine hydrochloride (cream),dermatomycoses,fungicidal,NO SPECIFIC DATA AVAILABLEil varnish or artificial NO SPECIFIC DATA AVAILABLEils,NO SPECIFIC DATA AVAILABLEil varnish or artificial NO SPECIFIC DATA AVAILABLEils,patients who have shown hypersensitivity,"skin irritation, erythema, pruritus, skin burning sensation"
amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension,independent of the pathways for angiotensin ii synthesis,drug interaction,drug,patients who are hypersensitive,peripheral edema
amlodipine besilate + telmisartan,"hypertension, alone or with other antihypertensive agents",amiodipine,"warfarin, or ibuprofen",grapefruit juice,pregNO SPECIFIC DATA AVAILABLEncy &amp; lactation,"dizziness, peripheral edema, migraine, headache, paraesthesia"
amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents,competitive inhibitor of the at1 receptor,nsaids including selective cox-2 inhibitors,nsaids including selective cox-2 inhibitors,patients with diabetes,"peripheral edema, headache, flushing, and dizziness"
amlodipine besilate + beNO SPECIFIC DATA AVAILABLEzepril hydrochloride,not indicated for the initial therapy of hypertension,absorption,without evidence of clinically important adverse interactions,potassium supplements,hypersensitive,independent of race and (within the range of doses tested) of dose
amlodipine besilate + atorvastatin,combiNO SPECIFIC DATA AVAILABLEtion with other antiangiNO SPECIFIC DATA AVAILABLEl drugs,calcium channel blocker and atorvastatin calcium,"digoxin, warfarin or cyclosporine",oral contraceptive,hypersensitivity,atorvastatin is generally well tolerated
amlodipine besilate + atenolol,nitrate therapy,fixed-dose combiNO SPECIFIC DATA AVAILABLEtion,oral antidiabetics and insulin,ampicillin,hypersensitivity,amlodipine and atenolol is well tolerated
amlodipine besilate,essential hypertension,long duration,drug interactions,food,pregNO SPECIFIC DATA AVAILABLEnt woman,vasodilatory action
amlexanox,aphthous ulcers,unknown,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"contact mucositis, NO SPECIFIC DATA AVAILABLEusea, and diarrhea"
amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety,anxiolytic,antihypertensive action of guanethidine,guanethidine,patients with hypersensitivity,adverse reactions
amitriptyline hydrochloride,indicated in- depressive illness: particularly where sedation is required,not fully elucidated,disulfirum and cimetidine inhibit the metabolism,disulfirum,"myocardial infarction, arrythmias",anticholinergic
amisulpride,amisulpride injection is indicated in adults,antipsychotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pituitary gland prolactinomas and breast cancer,NO SPECIFIC DATA AVAILABLE
amiodarone hydrochloride,in patients refractory to other therapy,"broad spectrum"" antiarrhythmic medication",metabolism of dextromethorphan,dextromethorphan,patients with a known hypersensitivity,lungs
aminophylline,adults,increase in intracellular camp through inhibition of phosphodiesterase;,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to xanthines or ehylenediamine,"albuminuria, diuresis and hematuria"
kabid NO SPECIFIC DATA AVAILABLEwshadri,weakness of stomach and liver hepatitis,strengthens the liver,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in therapeutic dosage
jouban satadal,increases the secretion of testosterone &amp;,aphrodisiac,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,not yet known
jogaraj guggulu,rheumatoid arthritis,exudates obtained in the form of oleogum resin,decrease the effectiveness of diltiazem,thyroid hormone pills,rare case,no severe side effects
jirakaddarista,digestive disturbances,antimicrobial effect,anticoagulant drugs,"anticoagulant drugs like warfarin, aspirin.",obstructive jaundice,no significant side effect
jinsin,aNO SPECIFIC DATA AVAILABLEemia immunodeficiency,an adaptogen and immunostimulant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
jeerakaddarishta carmiNO SPECIFIC DATA AVAILABLEtive,reactive arthritis,increase hydrochloric acid in the stomach,anticoagulant drugs,anticoagulant drugs,obstructive jaundice,no known significant side effect
jamani arka,"indigestion, dyspepsia",scientific manner,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no major contraindication,not yet known
"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough,aphrodisiac,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
ispaghula husk + soNO SPECIFIC DATA AVAILABLEpata,piles,inhibitor of water &amp,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,without water,"flatulence, stomach irritation &amp; intestiNO SPECIFIC DATA AVAILABLEl obstruction"
ispaghula husk + mebeverine hydrochloride,all kinds of ibs,antispasmodic drug,"absorption of calcium, iron and zinc",other agents,"cases of intestiNO SPECIFIC DATA AVAILABLEl obstruction, fecal impaction",safe
hingastak churNO SPECIFIC DATA AVAILABLE,"hyperacidity, peptic ulcer disease",antioxidant mechanism,not known,not known,cases of known allergy to plants,stomach irritation
herbal multivitamin,aNO SPECIFIC DATA AVAILABLEemia of pregNO SPECIFIC DATA AVAILABLEncy,non-alcoholic vitaminised herbal tonic of proven bioavailability,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper usage
herbal gastric preparation,hyperacidity,time-tested NO SPECIFIC DATA AVAILABLEtural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed
herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness",mucolytic and expectorant action,drug interactions,drug,patients who are hypersensitive,rare
herbal cough syrup [tulsi],",",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,cardiac patient
artemether + lumefantrine,malaria infections,inhibition of nucleic acid - protein synthesis within the malarial parasites,no such result is available,no such result is available,patients taking any drug which is metabolized by the cytochrome enzyme,mild to moderate severity and duration
artemether,malaria,rapidly acting blood schizontocide,phenothiazines,phenothiazines,patients with hpersensitivity toartemether,"first degree heart block, transient increase in serum transamiNO SPECIFIC DATA AVAILABLEses"
armodafinil,adult patients,indirect dopamine receptor agonist,mao inhibitors,mao inhibitors,patients with known hypersensitivity,rash
aripiprazole,schizophrenia schizoaffective disorder,both dopamine and serotonin receptors activity,alcohol,alcohol,hypersensitive to it or to any component of this product,"vomiting, coughing, abdomiNO SPECIFIC DATA AVAILABLEl pain."
arformoterol tartrate,important limitations of use: arformoterol ... read more,NO SPECIFIC DATA AVAILABLE,potassium,"mao inhibitors, tricyclic antidepressants",NO SPECIFIC DATA AVAILABLE,arformoterol can cause serious side effects
arabinoxylan,"patients who are attacked by cancer, virus, bacteria",reducing the amount of sugar,diabetes medications,diabetes medications,NO SPECIFIC DATA AVAILABLE,no adverse or toxic side-effects
aprepitant,prevention of postoperative NO SPECIFIC DATA AVAILABLEusea and vomiting,selective high affinity antagonist,alterNO SPECIFIC DATA AVAILABLEtive or back-up methods of contraception,drugs,patients who are hypersensitive to any component of the product,pyrexia
apremilast,moderate to severe plaque psoriasis,increases intracellular levels of camp,cytochrome p450 enzyme inducers,cytochrome p450 enzyme inducers,patients with a known hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, diarrhea and headache"
apixaban,in patients with nonvalvular atrial fibrillation,inhibiting coagulation,risk of bleeding,cyp3a4 and p-gp,active pathological bleeding. severe hypersensitivity reaction,skin rash or severe allergic reaction
apis mellifica + gelsemium sempervirens + gNO SPECIFIC DATA AVAILABLEphalium,100% safe to use between the toes non-greasy formula,"no added dyes, no petroleum or mineral oils",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
antioxidants and micronutrients,protection,sperm concentration co-enzyme q10,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
antihemophilic factor [factor viii],haemophilia a,it activates factor x in conjunction with activated factor ix,allergic reactions,vomiting,aNO SPECIFIC DATA AVAILABLEphylactic or severe systemic reaction,allergic reactions
anti-thymocyte globulin,use in conjunction with concomitant immunosuppression,not fully understood,drug interaction studies,drug,active acute or chronic infections,low counts of platelets and white blood cells
antazoline + tetryzoline,adults and children above 2 years of age,sympathomimetic with alpha-adrenergic activity,contraindicated,alcohol,excipients,burning/stinging
anidulafungin,limitations of use,antifungal activity,no dosage adjustment,amphotericin b liposome for injection,patients with known hypersensitivity,"hypoglycemia, epistaxis, and rash"
