,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
82,evening primrose oil,premenstrual syndrome symptoms,prostanoids pathway,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,schizophrenic patients,rare at recommended dosages
83,espand,spermatorrhoea,various natural active ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
84,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis",antiulcerogenic,vitamin c,large dose of vitamin c,hypersensitive,there is no known significant side effect
85,emblic myrobalan + sesame,dandruff insomnia,hair oil,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper usage
86,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes,amp,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
87,emblic myrobalan + aswagandha + grape,it improves the immunity,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in proper dosage
88,ejaz,all types of cough,non-sedative,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
89,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections",antiviral activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"fever, nausea, vomiting"
90,amorolfine hydrochloride (nail lacquer),onychomycosis,broad spectrum of action,drug interactions,drug,patients who have shown hypersensitivity to the treatment,a burning sensation
91,amorolfine hydrochloride (cream),dermatomycoses,fungicidal,nail varnish or artificial nails,nail varnish or artificial nails,patients who have shown hypersensitivity,"skin irritation, erythema, pruritus, skin burning sensation"
92,amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension,independent of the pathways for angiotensin ii synthesis,drug interaction,drug,patients who are hypersensitive,peripheral edema
93,amlodipine besilate + telmisartan,"hypertension, alone or with other antihypertensive agents",amiodipine,"warfarin, or ibuprofen",grapefruit juice,pregnancy &amp; lactation,"dizziness, peripheral edema, migraine, headache, paraesthesia"
94,amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents,competitive inhibitor of the at1 receptor,nsaids including selective cox-2 inhibitors,nsaids including selective cox-2 inhibitors,patients with diabetes,"peripheral edema, headache, flushing, and dizziness"
95,amlodipine besilate + benazepril hydrochloride,not indicated for the initial therapy of hypertension,absorption,without evidence of clinically important adverse interactions,potassium supplements,hypersensitive,independent of race and (within the range of doses tested) of dose
96,amlodipine besilate + atorvastatin,combination with other antianginal drugs,calcium channel blocker and atorvastatin calcium,"digoxin, warfarin or cyclosporine",oral contraceptive,hypersensitivity,atorvastatin is generally well tolerated
97,amlodipine besilate + atenolol,nitrate therapy,fixed-dose combination,oral antidiabetics and insulin,ampicillin,hypersensitivity,amlodipine and atenolol is well tolerated
98,amlodipine besilate,essential hypertension,long duration,drug interactions,food,pregnant woman,vasodilatory action
99,amlexanox,aphthous ulcers,unknown,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"contact mucositis, nausea, and diarrhea"
100,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety,anxiolytic,antihypertensive action of guanethidine,guanethidine,patients with hypersensitivity,adverse reactions
101,amitriptyline hydrochloride,indicated in- depressive illness: particularly where sedation is required,not fully elucidated,disulfirum and cimetidine inhibit the metabolism,disulfirum,"myocardial infarction, arrythmias",anticholinergic
102,amisulpride,amisulpride injection is indicated in adults,antipsychotic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pituitary gland prolactinomas and breast cancer,NO SPECIFIC DATA AVAILABLE
103,amiodarone hydrochloride,in patients refractory to other therapy,"broad spectrum"" antiarrhythmic medication",metabolism of dextromethorphan,dextromethorphan,patients with a known hypersensitivity,lungs
104,aminophylline,adults,increase in intracellular camp through inhibition of phosphodiesterase;,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to xanthines or ehylenediamine,"albuminuria, diuresis and hematuria"
105,kabid nawshadri,weakness of stomach and liver hepatitis,strengthens the liver,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,there is no known contraindication,no significant side effect has been observed in therapeutic dosage
106,jouban satadal,increases the secretion of testosterone &amp;,aphrodisiac,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no absolute contraindication,not yet known
107,jogaraj guggulu,rheumatoid arthritis,exudates obtained in the form of oleogum resin,decrease the effectiveness of diltiazem,thyroid hormone pills,rare case,no severe side effects
108,jirakaddarista,digestive disturbances,antimicrobial effect,anticoagulant drugs,"anticoagulant drugs like warfarin, aspirin.",obstructive jaundice,no significant side effect
109,jinsin,anaemia immunodeficiency,an adaptogen and immunostimulant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
110,jeerakaddarishta carminative,reactive arthritis,increase hydrochloric acid in the stomach,anticoagulant drugs,anticoagulant drugs,obstructive jaundice,no known significant side effect
111,jamani arka,"indigestion, dyspepsia",scientific manner,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no major contraindication,not yet known
112,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough,aphrodisiac,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
113,ispaghula husk + sonapata,piles,inhibitor of water &amp,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,without water,"flatulence, stomach irritation &amp; intestinal obstruction"
114,ispaghula husk + mebeverine hydrochloride,all kinds of ibs,antispasmodic drug,"absorption of calcium, iron and zinc",other agents,"cases of intestinal obstruction, fecal impaction",safe
115,hingastak churna,"hyperacidity, peptic ulcer disease",antioxidant mechanism,not known,not known,cases of known allergy to plants,stomach irritation
116,herbal multivitamin,anaemia of pregnancy,non-alcoholic vitaminised herbal tonic of proven bioavailability,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper usage
117,herbal gastric preparation,hyperacidity,time-tested natural ingredients,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed
118,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness",mucolytic and expectorant action,drug interactions,drug,patients who are hypersensitive,rare
119,herbal cough syrup [tulsi],",",NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,cardiac patient
120,artemether + lumefantrine,malaria infections,inhibition of nucleic acid - protein synthesis within the malarial parasites,no such result is available,no such result is available,patients taking any drug which is metabolized by the cytochrome enzyme,mild to moderate severity and duration
121,artemether,malaria,rapidly acting blood schizontocide,phenothiazines,phenothiazines,patients with hpersensitivity toartemether,"first degree heart block, transient increase in serum transaminases"
122,armodafinil,adult patients,indirect dopamine receptor agonist,mao inhibitors,mao inhibitors,patients with known hypersensitivity,rash
123,aripiprazole,schizophrenia schizoaffective disorder,both dopamine and serotonin receptors activity,alcohol,alcohol,hypersensitive to it or to any component of this product,"vomiting, coughing, abdominal pain."
124,arformoterol tartrate,important limitations of use: arformoterol ... read more,NO SPECIFIC DATA AVAILABLE,potassium,"mao inhibitors, tricyclic antidepressants",NO SPECIFIC DATA AVAILABLE>,arformoterol can cause serious side effects
125,arabinoxylan,"patients who are attacked by cancer, virus, bacteria",reducing the amount of sugar,diabetes medications,diabetes medications,NO SPECIFIC DATA AVAILABLE,no adverse or toxic side-effects
126,aprepitant,prevention of postoperative nausea and vomiting,selective high affinity antagonist,alternative or back-up methods of contraception,drugs,patients who are hypersensitive to any component of the product,pyrexia
127,apremilast,moderate to severe plaque psoriasis,increases intracellular levels of camp,cytochrome p450 enzyme inducers,cytochrome p450 enzyme inducers,patients with a known hypersensitivity,"nausea, diarrhea and headache"
128,apixaban,in patients with nonvalvular atrial fibrillation,inhibiting coagulation,risk of bleeding,cyp3a4 and p-gp,active pathological bleeding. severe hypersensitivity reaction,skin rash or severe allergic reaction
129,apis mellifica + gelsemium sempervirens + gnaphalium,100% safe to use between the toes non-greasy formula,"no added dyes, no petroleum or mineral oils",<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>
130,antioxidants and micronutrients,protection,sperm concentration co-enzyme q10,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE
131,antihemophilic factor [factor viii],haemophilia a,it activates factor x in conjunction with activated factor ix,allergic reactions,vomiting,anaphylactic or severe systemic reaction,allergic reactions
132,anti-thymocyte globulin,use in conjunction with concomitant immunosuppression,not fully understood,drug interaction studies,drug,active acute or chronic infections,low counts of platelets and white blood cells
133,antazoline + tetryzoline,adults and children above 2 years of age,sympathomimetic with alpha-adrenergic activity,contraindicated,alcohol,excipients,burning/stinging
134,anidulafungin,limitations of use,antifungal activity,no dosage adjustment,amphotericin b liposome for injection,patients with known hypersensitivity,"hypoglycemia, epistaxis, and rash"
135,nabayas louha herbal haematinic,iron deficiency anemia,laxative,drug interactions,drug,patients who are hypertensive,not known to have any side effects
136,"mustakarista [cyperus, zingiber, piper nigrum]",dyspepsia,it refreshes entire human body,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,NO SPECIFIC DATA AVAILABLE
137,mumshik,physical &amp;,aphrodisiac capsule,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in therapeutic dosage
138,"mudir [aloe, saffron, ferrus sulphate]",amenorrhoea,synergistically acting natural ingredients,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in the therapeutic dosage
139,monjistha [rubia cordifolia],"dysmenorrhoea, oligomenorrhea",it stimulates and cleanses the uterus,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,during pregnancy,not known
140,menthol + camphor + methyl salicylate + oleoresin capsicum,"muscle pain sprains, strains and sports injuries",binds and stimulates the trpm-8 receptor protein,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,allergies to aspirin,<NO SPECIFIC DATA AVAILABLE>
141,menthol + camphor + eucalyptus oil + mint oil,cream,topically used as a pain reliever,not known,not known,not recommended for infant &amp; young children,not known
142,mentha + cinnamomum + gaultheria + capsicum,effective,capsicum,no data available,no data available,contraindication,not yet known
143,marwareedi,general debility nervous debility,general tonic &amp; nervine tonic,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
144,marine collagen,cozen,cell activation and growth,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with hypersensitivity,no significant side effects have been observed in therapeutic dosage
145,marham kharish,indicated in- scabies itching pustular piles,"antiseptic, anti-inflammatory and anti-microbial",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,no significant side effect has been observed in proper dosage
146,malus sylvestris,-,-,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>
147,mahadrakkharist [grape extract],pulmonary fibrosis pulmonary tuberculosis,inhibition of l-kb kinase,anticoagulants,grape seed may increase the risk of bleeding,NO SPECIFIC DATA AVAILABLE,no side effects
148,lutein + zeaxanthin,cataracts retinitis pigmentosa,immunostimulant and photoprotectant properties,drugs,proton-pump inhibitors and lipid lowering drugs,no toxicities,no adverse side effects have been reported
149,liquorice + cascara sagrada + belladona,spermatorrhoea painful micturations nocturnal emission enuresis,preparation,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,contraindication,no significant side effect has been observed in proper dosage
150,azelastine hydrochloride (eye drop),12 years and older,antiallergics,high oral doses,systemic,hypersensitivity,NO SPECIFIC DATA AVAILABLE
151,azelaic acid,mild to moderate inflammatory acne vulgaris,inhibition of microbial cellular protein synthesis,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals who have shown hypersensitivity to any of its components,skin irritation
