acemetacin,joint disorders,blocking a substance in the body called cyclooxygenase,antihypertensive effect of b-blockers,quinolone,peptic ulcer,"anorexia, nausea, vomiting"
aceclofenac,"osteoarthritis, rheumatoid arthritis",potent inhibitor of the enzyme cyclooxygenase,monitoring of patients,methotrexate,patients with known hypersensitivity to it,"after oral administration, it is rapidly and completely absorbed an unchanged drug"
"bandish [oak galls, tannic acid]",no answer,no answer,no answer,no answer,no answer,no answer
balarista,no answer,no answer,no answer,no answer,no answer,no answer
bacopa extract [natural memory enhancer],children,enzymes involved in generation and scavenging of reactive oxygen species in the brain,reduce the decline in cognitive function associated with phenytoin,thyroid stimulating drugs or decrease the effects of anti-thyroid medications,"hyperthyroidism, fever and acute infection",no side effects
aushokarist [saraca indica],no answer,no answer,no answer,no answer,no answer,no answer
aswagandharista,no answer,no answer,no answer,no answer,no answer,no answer
ashokarista,no answer,no answer,no answer,no answer,no answer,no answer
arjunarista,no answer,no answer,no answer,no answer,no answer,no answer
aravindasav,no answer,no answer,no answer,no answer,no answer,no answer
antacid [unani],no answer,no answer,no answer,no answer,no answer,no answer
aniseed + indian dill + black cardamom + peppermint,no answer,no answer,no answer,no answer,no answer,no answer
andrographis paniculata,"viral fever 
 flu 
 common cold 
 sinusitis 
 upper respiratory tract infection 
 viral hepatitis",antihepatotoxic,isoniazid,isoniazid,cases of known allergy to plants of the acanthaceae family,"gastric discomfort, vomiting and loss of appetite"
ambergris + salep + galangal,no answer,no answer,no answer,no answer,no answer,no answer
ambar momiyaee,no answer,no answer,no answer,no answer,no answer,no answer
amalaki rasayana,no answer,no answer,no answer,no answer,no answer,no answer
aloe indica+ hyoscyamus niger + piper nigrum,acid reflux,anti-inflammatory agent,antiarrhythmic agents,corticosteroids,acutely inflamed intestinal diseases,allergic reaction
allopurinol,hyperuricosuria,it acts on purine catabolism,skin rash,azathioprine,patients withknown hypersensitive to allopurinol,"hypertension, alopecia,hepatotoxicity"
allium cepa + heparin + allantoin,scar treatment,amp; allantoin gel,drug interaction,drug,patients with known hypersensitivity,some local irritations are reported such as slight erythema and itching
alfuzosin hydrochloride,treatment of the signs and symptoms of benign prostatic hyperplasia,selective antagonist of post-synaptic a1 adrenoreceptors,profound hypotension,high fat meal,patients with severe renal impairment,flushing
alfacalcidol,certain illnesses.,binds to intracellular receptors,reduce the efficacy of vitamin d,corticosteroids,hypoparathyroidism,hypercalcaemia
alendronic acid + vitamin d3,amp,inhibitor of osteoclast mediated bone resorption,calcium supplement,mineral oils,stricture or achalasia,transient decreases in serum calcium and phosphate.
alendronic acid,men and women,inhibits the activity of osteoclasts,antacids and calcium supplements,supplements,patients at increased risk of aspiration,"nausea, vomiting, peptic ulceration, hypersensitivity reactions"
alectinib,patients,highly selective and potent alk and ret tyrosine kinase inhibitor,co-administered cyp3a substrates,drug-drug,patients with a known hypersensitivity,nausea
alcaftadine,no answer,no answer,no answer,no answer,no answer,no answer
albumin (human),hypoproteinemia,binds and carries a plethora of hydrophobic molecules,risk of atypical reactions to ace inhibitors,protein hydrolysates or alcoholic solutions,patients with severe anemia or cardiac failure,vascular overload with resultant pulmonary edema
albendazole,single and mixed infestations,"vermicidal, ovicidal and larvicidal activities",no interaction,pharmacodynamic or pharmacokinetic,during pregnancy or women thought to be pregnant,rarely reversible alopecia
agomelatine,major depressive disorder especially in non-responders,"mt1, mt2, and 5ht-2c receptors",potent cyp1a2 inhibitors,medicinal products,patients with hepatic impairment and hypersensitivity,"headache, nausea and diarrhea"
aflibercept,no answer,no answer,no answer,no answer,no answer,no answer
afatinib dimaleate,no answer,no answer,no answer,no answer,no answer,no answer
adsorbed tetanus vaccine,not to be used for the treatment of tetanus infection,shaking,neutralisation of tetanus immune globulin,different syringes,a minor febrile illness such as a mild upper respiratory infection,generally well tolerated
adrenaline,if a person begins exhibiting severe allergic reactions,stimulation of adrenergic nerves,drugs that sensitize the heart to arrhythmias,drugs,hypertension,local anaesthetics
dasamularista,no answer,no answer,no answer,no answer,no answer,no answer
curcuminoids [curcuma longa],no answer,no answer,no answer,no answer,no answer,no answer
curcuma longa [turmeric extract],dyspeptic disorders,antiproliferative mechanism,risk of bleeding,antiplatelet,patients with hyperacidity or gastrointestinal ulcers,usually does not cause significant side effects
cranberry [vaccinium macrocarpon],urinary tract infection,cranberry inhibits adherence of bacteria,interactions with antibiotics or other drugs,omeprazole,uric acid or calcium oxalate stones,occasionally diarrhea or mild gastrointestinal upset
compound asparagus,no answer,no answer,no answer,no answer,no answer,no answer
collagen ii & gags,no answer,no answer,no answer,no answer,no answer,no answer
coenzyme q10 [ubidecarenone],mitochondrial disorders,antioxidant activity,antihypertensive drugs,warfarin,patients who have hypersensitivity to the active substance,"stomach upset, loss of appetite, nausea, vomiting, and diarrhea"
chirata [swertia chirata],no answer,no answer,no answer,no answer,no answer,no answer
chebulic myrobalan + barberry,no answer,no answer,no answer,no answer,no answer,no answer
carica papaya leaf extract,-,gt,"- ()               , , , ,  , , ,  , , ,",-,bph,","
camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns",antiseptic,drug interactions,drug,contraindication,no significant side effect has been observed in proper dosage
calendula officinalis [marigold],no answer,no answer,no answer,no answer,no answer,no answer
buzuri,no answer,no answer,no answer,no answer,no answer,no answer
brahmi rasayan,no answer,no answer,no answer,no answer,no answer,no answer
black cohosh [cimicifuga racemosa],"premenstrual discomfort, dysmenorrhea",alternative to hormonal therapy,birth control pills,birth control pills,no significant contraindication is observed,"stomach upset, cramping, headache"
amino acid + calcium,protein,decreasing the formation of urea by re-using the amino group,disturbed absorption of the active substances,disturbed absorption of the active substances,hypercalcaemia,calcium
amino acid,no answer,no answer,no answer,no answer,no answer,no answer
amikacin,bacterial septicemia,in vitro,the combination with other aminoglycoside antibiotics,aminoglycoside antibiotics,patients with a known history of hypersensitivity to amikacin,"skin rash, drug fever, headache, paraesthesia, nausea and vomiting"
ambroxol hydrochloride,productive cough,hydrating,antitussives,antitussives,hypersensitivity,allergic responses
ambrisentan,pulmonary arterial hypertension,predominantly by non-renal pathways,limit the dose of ambrisentan to 5 mg once daily,cyclosporine,patients with idiopathic pulmonary fibrosis,decreases in hemoglobin concentration and hematocrit
amantadine hydrochloride,parkinsonism,not clearly understood,close observation,alcohol,patients with known hypersensitivity to the active substances,mild
alverine citrate,irritable bowel syndrome,"directly on the muscle in the gut, causing it to relax",drug interactions,drug interactions reported with this medicine,paralytic ileus or known hypersensitivity,"nausea, headache, dizziness, itching, rash and allergic reactions"
aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate,aluminum hydroxide  neutralizes stomach hydrocloride,none well documented,none well documented,hypophosphataemia,"diarrhoea, constipation, nausea, vomiting"
aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent,neutralizing gastric acid secreted from parietal cells of the stomach,decrease the bioavailability,oral drugs,alkalosis and hypermagnesaemia,gastrointestinal side effects are uncommon
aluminium hydroxide + magnesium hydroxide,aluminium hydroxide,magnesium hydroxide possesses a slow but sustained acid neutralizing property,drugs,hydroxychloroquine and phenothiazines,alkalosis and hypermagnesaemia,calcium phosphate
aluminium chloride hexahydrate,"hands, feet and scalp",relieve hyperhidrosis,drug interactions,drug interactions for aluminium chloride hexahydrate topical solution,patients with known hypersensitivity to any of its components,mild and short-lasting
aluminium chloride + melaleuca alternifolia oil + geothermal water,no answer,no answer,no answer,no answer,no answer,no answer
alteplase,pulmonary embolism,serine protease,bleeding,anticoagulants and antiplatelet drugs,acute myocardial infarction or pulmonary embolism,"bleeding 
 orolingual angioedema 
 cholesterol embolization"
alprazolam,no answer,no answer,no answer,no answer,no answer,no answer
alphanate,withvon willebrand disease,temporarily increases the plasma level of fviii,none known,none known,patients who have manifested life-threatening immediate hypersensitivity reactions,"respiratory distress, pruritus, rash, urticaria"
ginkgo biloba,no answer,no answer,no answer,no answer,no answer,no answer
garlitab,no answer,no answer,no answer,no answer,no answer,no answer
garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension",enhances palmitate-induced inhibition of cholesterol biosynthesis,antiplatelet agents and anticoagulants,warfarin,patients with a known allergy to garlic and those taking warfarin,rare
flaxseed oil [linum usitatissimum],no answer,no answer,no answer,no answer,no answer,no answer
"fishar [snake root, potassium, magnesium]",no answer,no answer,no answer,no answer,no answer,no answer
fermented soy [lactobacillus delbrueckii],"occasional heartburn 
 gastric and duodenal ulcers",inhibit the action of the protease enzymes on stomach lining,depression,depression,known hypersensitivity to any of its active ingredients,well tolerated
"fennel [mouri, gohkshura, kasni]",no answer,no answer,no answer,no answer,no answer,no answer
evening primrose oil,no answer,no answer,no answer,no answer,no answer,no answer
espand,no answer,no answer,no answer,no answer,no answer,no answer
emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis",antiulcerogenic,vitamin c,large dose of vitamin c,hypersensitive,there is no known significant side effect
emblic myrobalan + sesame,no answer,no answer,no answer,no answer,no answer,no answer
emblic myrobalan + chebulic + belleric,no answer,no answer,no answer,no answer,no answer,no answer
emblic myrobalan + aswagandha + grape,no answer,no answer,no answer,no answer,no answer,no answer
ejaz,no answer,no answer,no answer,no answer,no answer,no answer
echinacea,no answer,no answer,no answer,no answer,no answer,no answer
amorolfine hydrochloride (nail lacquer),onychomycosis,broad spectrum of action,drug interactions,drug,patients who have shown hypersensitivity to the treatment,a burning sensation
amorolfine hydrochloride (cream),dermatomycoses,fungicidal,nail varnish or artificial nails,nail varnish or artificial nails,patients who have shown hypersensitivity,"skin irritation, erythema, pruritus, skin burning sensation"
amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension,independent of the pathways for angiotensin ii synthesis,drug interaction,drug,patients who are hypersensitive,peripheral edema
amlodipine besilate + telmisartan,"hypertension, alone or with other antihypertensive agents",amiodipine,"warfarin, or ibuprofen",grapefruit juice,pregnancy &amp; lactation,"dizziness, peripheral edema, migraine, headache, paraesthesia"
amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents,competitive inhibitor of the at1 receptor,nsaids including selective cox-2 inhibitors,nsaids including selective cox-2 inhibitors,patients with diabetes,"peripheral edema, headache, flushing, and dizziness"
amlodipine besilate + benazepril hydrochloride,not indicated for the initial therapy of hypertension,absorption,without evidence of clinically important adverse interactions,potassium supplements,hypersensitive,independent of race and (within the range of doses tested) of dose
amlodipine besilate + atorvastatin,combination with other antianginal drugs,calcium channel blocker and atorvastatin calcium,"digoxin, warfarin or cyclosporine",oral contraceptive,hypersensitivity,atorvastatin is generally well tolerated
amlodipine besilate + atenolol,nitrate therapy,fixed-dose combination,oral antidiabetics and insulin,ampicillin,hypersensitivity,amlodipine and atenolol is well tolerated
amlodipine besilate,essential hypertension,long duration,drug interactions,food,pregnant woman,vasodilatory action
amlexanox,no answer,no answer,no answer,no answer,no answer,no answer
amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety,anxiolytic,antihypertensive action of guanethidine,guanethidine,patients with hypersensitivity,adverse reactions
amitriptyline hydrochloride,"indicated in- 
 
 depressive illness: particularly where sedation is required",not fully elucidated,disulfirum and cimetidine inhibit the metabolism,disulfirum,"myocardial infarction, arrythmias",anticholinergic
amisulpride,no answer,no answer,no answer,no answer,no answer,no answer
amiodarone hydrochloride,in patients refractory to other therapy,"broad spectrum"" antiarrhythmic medication",metabolism of dextromethorphan,dextromethorphan,patients with a known hypersensitivity,lungs
aminophylline,no answer,no answer,no answer,no answer,no answer,no answer
kabid nawshadri,no answer,no answer,no answer,no answer,no answer,no answer
jouban satadal,no answer,no answer,no answer,no answer,no answer,no answer
jogaraj guggulu,rheumatoid arthritis,exudates obtained in the form of oleogum resin,decrease the effectiveness of diltiazem,thyroid hormone pills,rare case,no severe side effects
jirakaddarista,digestive disturbances,antimicrobial effect,anticoagulant drugs,"anticoagulant drugs like warfarin, aspirin.",obstructive jaundice,no significant side effect
jinsin,no answer,no answer,no answer,no answer,no answer,no answer
jeerakaddarishta carminative,reactive arthritis,increase hydrochloric acid in the stomach,anticoagulant drugs,anticoagulant drugs,obstructive jaundice,no known significant side effect
jamani arka,no answer,no answer,no answer,no answer,no answer,no answer
"jadwar [denudatum, saffron, henbane]",no answer,no answer,no answer,no answer,no answer,no answer
ispaghula husk + sonapata,no answer,no answer,no answer,no answer,no answer,no answer
ispaghula husk + mebeverine hydrochloride,all kinds of ibs,antispasmodic drug,"absorption of calcium, iron and zinc",other agents,"cases of intestinal obstruction, fecal impaction",safe
hingastak churna,"hyperacidity, peptic ulcer disease",antioxidant mechanism,not known,not known,cases of known allergy to plants,stomach irritation
herbal multivitamin,no answer,no answer,no answer,no answer,no answer,no answer
herbal gastric preparation,no answer,no answer,no answer,no answer,no answer,no answer
herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness",mucolytic and expectorant action,drug interactions,drug,patients who are hypersensitive,rare
herbal cough syrup [tulsi],no answer,no answer,no answer,no answer,no answer,no answer
artemether + lumefantrine,malaria infections,inhibition of nucleic acid - protein synthesis within the malarial parasites,no such result is available,no such result is available,patients taking any drug which is metabolized by the cytochrome enzyme,mild to moderate severity and duration
artemether,malaria,rapidly acting blood schizontocide,phenothiazines,phenothiazines,patients with hpersensitivity toartemether,"first degree heart block, transient increase in serum transaminases"
armodafinil,adult patients,indirect dopamine receptor agonist,mao inhibitors,mao inhibitors,patients with known hypersensitivity,rash
aripiprazole,"schizophrenia 
 schizoaffective disorder",both dopamine and serotonin receptors activity,alcohol,alcohol,hypersensitive to it or to any component of this product,"vomiting, coughing, abdominal pain."
arformoterol tartrate,no answer,no answer,no answer,no answer,no answer,no answer
arabinoxylan,no answer,no answer,no answer,no answer,no answer,no answer
aprepitant,prevention of postoperative nausea and vomiting,selective high affinity antagonist,alternative or back-up methods of contraception,drugs,patients who are hypersensitive to any component of the product,pyrexia
apremilast,moderate to severe plaque psoriasis,increases intracellular levels of camp,cytochrome p450 enzyme inducers,cytochrome p450 enzyme inducers,patients with a known hypersensitivity,"nausea, diarrhea and headache"
apixaban,in patients with nonvalvular atrial fibrillation,inhibiting coagulation,risk of bleeding,cyp3a4 and p-gp,active pathological bleeding. severe hypersensitivity reaction,skin rash or severe allergic reaction
apis mellifica + gelsemium sempervirens + gnaphalium,no answer,no answer,no answer,no answer,no answer,no answer
antioxidants and micronutrients,no answer,no answer,no answer,no answer,no answer,no answer
antihemophilic factor [factor viii],haemophilia a,it activates factor x in conjunction with activated factor ix,allergic reactions,vomiting,anaphylactic or severe systemic reaction,allergic reactions
anti-thymocyte globulin,use in conjunction with concomitant immunosuppression,not fully understood,drug interaction studies,drug,active acute or chronic infections,low counts of platelets and white blood cells
antazoline + tetryzoline,adults and children above 2 years of age,sympathomimetic with alpha-adrenergic activity,contraindicated,alcohol,excipients,burning/stinging
anidulafungin,limitations of use,antifungal activity,no dosage adjustment,amphotericin b liposome for injection,patients with known hypersensitivity,"hypoglycemia, epistaxis, and rash"
nabayas louha herbal haematinic,iron deficiency anemia,laxative,drug interactions,drug,patients who are hypertensive,not known to have any side effects
"mustakarista [cyperus, zingiber, piper nigrum]",no answer,no answer,no answer,no answer,no answer,no answer
mumshik,no answer,no answer,no answer,no answer,no answer,no answer
"mudir [aloe, saffron, ferrus sulphate]",no answer,no answer,no answer,no answer,no answer,no answer
monjistha [rubia cordifolia],no answer,no answer,no answer,no answer,no answer,no answer
menthol + camphor + methyl salicylate + oleoresin capsicum,no answer,no answer,no answer,no answer,no answer,no answer
menthol + camphor + eucalyptus oil + mint oil,cream,topically used as a pain reliever,not known,not known,not recommended for infant &amp; young children,not known
mentha + cinnamomum + gaultheria + capsicum,effective,capsicum,no data available,no data available,contraindication,not yet known
marwareedi,no answer,no answer,no answer,no answer,no answer,no answer
marine collagen,no answer,no answer,no answer,no answer,no answer,no answer
marham kharish,no answer,no answer,no answer,no answer,no answer,no answer
malus sylvestris,no answer,no answer,no answer,no answer,no answer,no answer
mahadrakkharist [grape extract],no answer,no answer,no answer,no answer,no answer,no answer
lutein + zeaxanthin,"cataracts 
 retinitis pigmentosa",immunostimulant and photoprotectant properties,drugs,proton-pump inhibitors and lipid lowering drugs,no toxicities,no adverse side effects have been reported
liquorice + cascara sagrada + belladona,no answer,no answer,no answer,no answer,no answer,no answer
azelastine hydrochloride (eye drop),no answer,no answer,no answer,no answer,no answer,no answer
azelaic acid,no answer,no answer,no answer,no answer,no answer,no answer
azathioprine,cannot be recommended,incorporation of thiopurine analogues into the dna structure,reduces the neuromuscular blockade,succinylcholine,pregnant women,pancreatitis
axitinib,failure of one priorsystemic therapy,inhibit receptortyrosinekinases,strong cyp3a4/5 inducers,grapefruit or grapefruit juice,none,"dizziness (9%),"
avanafil,erectile dysfunction,selective phosphodiesterase 5 (pde5) enzyme inhibitor,cyp3a4 inhibitors,alcohol,patients using any form of organic nitrate,"nasal congestion, nasopharyngitis, and back pain"
atropine sulfate,"non ulcer dyspepsia, irritable bowel syndrome",anticholinergic effects,antihistamines,antihistamines,.,may progress to circulatory failure and resp depression
atracurium besilate,"facilitate mechanical ventilation in intensive care, muscle relaxant in general anaesthesia",acetylcholine,"halothane), certain antibiotics",general anaesth,patients known to be hypersensitive,potentially fatal
atosiban acetate,indicated to delay imminent pre-term birth,it acts as an antagonist of gq coupling,inhibit the drug metabolising cytochrome p450 enzymes,labetalol and betamethasone,gestational age below 24 or over 33 completed weeks,high blood sugar
atorvastatin calcium,adjunct to diet,selective inhibitor of hmg-coa reductase,antihypertensives or hypoglycemic agents,antihypertensives or hypoglycemic agents,liver disease or unexplained persistent elevations of serum transaminases,"constipation, flatulence, dyspepsia"
atorvastatin + ezetimibe,no answer,no answer,no answer,no answer,no answer,no answer
atomoxetine hydrochloride,attention deficit hyperactivity disorder (adhd).,unknown,antihypertensive agents,albuterol,history of pheochromocytoma,decreased appetite; headache; nausea
atezolizumab,no answer,no answer,no answer,no answer,no answer,no answer
atenolol + chlorthalidone,hypertension,no interference with bioavailability,bradycardia,catecholamine depletor,hypersensitivity,chlorthalidone
atenolol,for the long-term management of patients with angina pectoris,no membranestability activity and no partial agonist activity,hypotension and/or marked bradycardia,a catecholamine depletor,those patients with a history of hypersensitivity,"fever, combined with aching and sore throat"
astaxanthin,cancer,dual mode of action,absorption rate,"mineral oil, orlistat",known allergies,no severe side effects have been reported yet
red clover isoflavones,menopausal women,interact with the human estrogen receptor,anti-coagulants,"contraceptives, estrogen",during therapy with reproductive hormones,no adverse reactions are known at the recommended dosage
"qurs mulayin [scammony, lavender, fennel]",no answer,no answer,no answer,no answer,no answer,no answer
pumpkin [cucurbita pepo],no answer,no answer,no answer,no answer,no answer,no answer
psyllium [ispaghula husk] + senna extract,"constipation 
 hemorrhoids or piles 
 bowel regulation",laxative effect,potassium deficiency which may increase the effectiveness of cardiac glycosides,cardiac glycosides,contraindicated for children under 12 years old,allergic reaction
probiotic combination [4 billion],antibiotic associated diarrhea,chelation of metal ions,none well documented,none well documented,patients at risk of opportunistic infections,no known toxicity or side-effects
probiotic combination [3.2 billion],no answer,no answer,no answer,no answer,no answer,no answer
probiotic combination [2.3 billion],urinary tract infection,lactobacillus reuteri rc-14,drug interaction,drug,known hypersensitivity to any component of the formulation,no clinically significant adverse reactions have been observed in therapeutic dosage
probiotic combination [2 billion],lactobacillus reuteri ncimb 30242,over-the-counter probiotic supplement,clinically signif icant drug interaction,drug,persons with a hypersensitivity to lactose or milk,no clinically signif icant adverse reactions have been observed
proanthocyanidins,amp,antioxidant,drug interaction,drugs,contraindications,no serious side effects have been reported
prasarani sandhan,no answer,no answer,no answer,no answer,no answer,no answer
peppermint oil,no answer,no answer,no answer,no answer,no answer,no answer
penitab,no answer,no answer,no answer,no answer,no answer,no answer
pechish,no answer,no answer,no answer,no answer,no answer,no answer
patrangasav,no answer,no answer,no answer,no answer,no answer,no answer
panax ginseng,no answer,no answer,no answer,no answer,no answer,no answer
beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine,no answer,no answer,no answer,no answer,no answer,no answer
beclomethasone dipropionate (nasal spray),nasal polyps,anti-inflammatory and vasoconstrictor effects,none is known,none is known,infections,dryness and irritation of the nose and throat
beclomethasone dipropionate (inhaler),no answer,no answer,no answer,no answer,no answer,no answer
beclometasone dipropionate + formoterol fumarate,asthma,glucocorticoid,beta-blockers,eye drops,patients with hypersensitivity,dihydrate
basiliximab,some cases oflichen planushave,inhibiting il-2 binding,concomitant admin,concomitant admin,known hypersensitivity,"pain or burning when you urinate 
 easy bruising or bleeding,"
barium sulfate,no answer,no answer,no answer,no answer,no answer,no answer
baricitinib,limitation of use: use of baricitinib in combination with other,janus kinase (jak) inhibitor,strong organic anion transporter 3 (oat3) inhibitors,strong organic anion transporter 3 (oat3) inhibitors,patients with hemoglobin less than 8 g/dl,not known if baricitinib will harm an unborn baby
bambuterol hydrochloride,"bronchial asthma, chronic bronchitis, emphysema",adrenergic 2 receptor agonist,inhibit the effect of -blockers,xanthine,"hepatic impairment, liver cirrhosis or severely impaired liver function","fatigue, nausea, palpitation, headache, dizziness"
baloxavir marboxil,treatment of acute uncomplicated influenza,selective inhibitor of influenza cap-dependent endonuclease,dairy products,dairy products,patients with a history of hypersensitivity,"diarrhea (3%), bronchitis (3%)"
balanced salt solution,no answer,no answer,no answer,no answer,no answer,no answer
baclofen,spasticity,stimulating the gaba b  receptors,magnesium sulphate or other neuromuscular blocking agents,magnesium sulphate,patients with hypersensitivity,"transient drowsiness, daytime sedation, dizziness, weakness and fatigue"
bacitracin zinc + polymyxin b sulfate,no answer,no answer,no answer,no answer,no answer,no answer
bacillus clausii spores,no answer,no answer,no answer,no answer,no answer,no answer
aztreonam,infections caused by susceptible aerobic gram-negative micro-organisms,it inhibits bacterial cell wall synthesis,serum levels of aztreonam,probenecid or furosemide,patients with known hypersensitivity,"anaphylaxis, angioedema"
azithromycin dihydrate (ophthalmic),bacterial conjunctivitis,biliary excretion,drug,drug,hypersensitivity,eye irritation
stevia rebaudiana,no answer,no answer,no answer,no answer,no answer,no answer
st. johns wort,no answer,no answer,no answer,no answer,no answer,no answer
spirulina,"malnutrition, diabetes, arthritis, asthma",high digestibility,conventional medication,medication,those who are hypersensitive to any component of this product,"occasional diarrhea, gastrointestinal discomfort, such as nausea"
silymarin [milk thistle],"indicated for the treatment and prevention of- 
 
 liver disease",biologically active component,lipid peroxidation,butyrophenones or phenothiazines,hypersensitivity,mild laxative effect
sharbat musaffi,no answer,no answer,no answer,no answer,no answer,no answer
sharbat amla,no answer,no answer,no answer,no answer,no answer,no answer
saw palmetto (500 mg),no answer,no answer,no answer,no answer,no answer,no answer
saw palmetto (160 mg),zinc,inhibits action of 5-reductase,estrogen,birth control pills,frst ruling out prostate cancer,hypertension
saribadyarista,no answer,no answer,no answer,no answer,no answer,no answer
sanoon babla,no answer,no answer,no answer,no answer,no answer,no answer
sanjivani rasayan,no answer,no answer,no answer,no answer,no answer,no answer
sana + revand chini + neem + chirata + tulsi,no answer,no answer,no answer,no answer,no answer,no answer
salep + coconut + poppy seeds +  almond,no answer,no answer,no answer,no answer,no answer,no answer
"salajeet [mineral pitch, red sage]",no answer,no answer,no answer,no answer,no answer,no answer
saffron + sand lizard + nutmeg fruit,no answer,no answer,no answer,no answer,no answer,no answer
betamethasone + calcipotriol,topical suspension,non-steroidal antipsoriatic agent,additive adverse effects,steroids,patients with a history of hypersensitivity to any of the components,folliculitis and burning sensation of skin
betamethasone,no answer,no answer,no answer,no answer,no answer,no answer
betahistine mesylate,no answer,no answer,no answer,no answer,no answer,no answer
betahistine dihydrochloride,meniere's disease,multifactorial,antihistamines,antihistamines,pheochromocytoma,there is no known serious adverse effects
betacarotene + vitamin c + vitamin e,carotene,vitamin a,impair intestinal absorption of vitamins a and k,"oestrogen, tetracycline and aspirin",patients with hypersensitivity,vitamin e
besifloxacin,fewer than 10 infections,inhibition of both bacterial dna gyrase and topoisomerase iv,topical ophthalmic,topical ophthalmic,hypersensitivity,"blurred vision, eye pain, eye irritation, eye pruritus and headache"
bepotastine besilate,itching associated with signs and symptoms of allergic conjunctivitis,direct h1-receptor antagonist,no drug interactions,drug,patients with a history of hypersensitivity reactions,"eye irritation, headache, and nasopharyngitis"
benzyl penicillin,pneumonia,bactericidal,bacteriostatic antibacterials,bacteriostatic antibacterials,hypersensitivity,"nausea, vomiting, stomatitis"
benzyl benzoate,indicated for scabies,unknown,allergic dermatitis reactions,"mucous membranes, allergic dermatitis reactions, drying effects in the elderly",broken or irritated skin; neonates; pregnancy,"allergic dermatitis reactions, drying effects in the elderly"
benzyl alcohol,6 months of age and older,inhibits lice from closing their respiratory spiracles,drug,no formal drug interaction studies to date.,hypersensitivity to any of the active ingredients.,"irritation, itching, redness, tingling, or numbness"
benzydamine hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
benzoyl peroxide,acne vulgaris.,release of free-radical oxygen which oxidizes bacterial protein,"drugs with desquamative, irritant and drying effects",gel,hypersensitivity to benzoyl peroxide,irritation of the skin
benzoic acid + salicylic acid,amp,potent keratolytic action,topical drugs,topical drugs,hypersensitivity,"irritation, sensitivity, excessive drying"
benzocaine + camphor + methanol + phenol,"sore throat, toothaches, gum pain, canker sores",the underlying molecular mechanism of camphor action is not understood,drug interactions,drug,if you have a history of allergy,"slight burning, tingling, or stinging"
benzocaine + butamben + tetracaine hydrochloride,no answer,no answer,no answer,no answer,no answer,no answer
-sitosterol,no answer,no answer,no answer,no answer,no answer,no answer
yohimbine hydrochloride,erectile dysfunction,antidopaminergic properties,inadequate blood pressure control,yohimbe,patients with liver and kidney diseases,"tachycardia, tremor, mania and vomiting"
white damar + acacia + bole rubra,no answer,no answer,no answer,no answer,no answer,no answer
