generic_name,cases,rating,useful_count
cabergoline,hyperprolactinemia,10,13
levonorgestrel,birth control,10,15
levonorgestrel,birth control,10,1
dulaglutide,"diabetes, type 2",7,1
carisoprodol,muscle spasm,10,44
hydrochlorothiazide,high blood pressure,9,0
pramipexole,restless legs syndrome,3,35
ropinirole,restless legs syndrome,4,30
omeprazole,indigestion,10,29
dapsone,acne,10,20
pregabalin,pain,10,63
lamotrigine,bipolar disorde,10,66
lubiprostone,irritable bowel syndrome,2,21
gabapentin,insomnia,10,34
lorazepam,anxiety,10,2
clarithromycin,pneumonia,9,8
gabapentin,migraine,8,31
lamotrigine,bipolar disorde,10,104
lorazepam,status epilepticus,5,8
orlistat,obesity,5,0
lenalidomide,multiple myeloma,10,33
furosemide,edema,7,28
pregabalin,pain,8,78
lansoprazole,gerd,10,17
metronidazole,bacterial vaginitis,8,2
sumatriptan,migraine,6,9
mirtazapine,anxiety,6,0
nitrofurantoin,urinary tract infection,5,23
rivaroxaban,deep vein thrombosis,1,7
clindamycin,bacterial infection,9,154
ziprasidone,schizoaffective disorde,8,29
desvenlafaxine,anxiety,9,21
desvenlafaxine,depression,2,29
adapalene,acne,7,2
sumatriptan,cluster headaches,9,16
temazepam,insomnia,10,39
etanercept,ankylosing spondylitis,10,34
paliperidone,schizoaffective disorde,10,54
silodosin,benign prostatic hyperplasia,1,0
levonorgestrel,birth control,10,5
loratadine,allergic rhinitis,10,10
estradiol,atrophic vaginitis,1,37
lansoprazole,gerd,10,10
lactulose,"constipation, acute",9,51
bisacodyl,constipation,10,8
adapalene,acne,5,5
omalizumab,"asthma, maintenance",10,32
clonazepam,night terrors,9,12
atenolol,high blood pressure,10,12
carbamazepine,dystonia,8,1
pregabalin,ibromyalgia,8,127
clonazepam,panic disorde,8,33
secukinumab,plaque psoriasis,6,3
oseltamivir,influenza,1,10
liraglutide,obesity,10,87
bisacodyl,constipation,9,8
zolmitriptan,migraine,9,6
oseltamivir,influenza,9,0
aripiprazole,depression,1,26
acetazolamide,pseudotumor cerebri,7,26
levonorgestrel,emergency contraception,10,5
fluorouracil,actinic keratosis,9,21
methocarbamol,opiate withdrawal,8,23
clonazepam,anxiety,8,63
rivaroxaban,atrial fibrillation,7,2
levonorgestrel,birth control,10,19
liraglutide,"diabetes, type 2",10,87
clonazepam,anxiety,9,26
cefdinir,sinusitis,10,2
oseltamivir,influenza,1,8
levonorgestrel,birth control,6,4
gabapentin,pain,1,130
omalizumab,"asthma, maintenance",3,26
diazepam,not listed / othe,8,5
mefenamic acid,period pain,10,8
aripiprazole,depression,6,35
gabapentin,trigeminal neuralgia,8,23
levonorgestrel,birth control,4,3
valacyclovir,"herpes simplex, suppression",10,25
tioconazole,vaginal yeast infection,1,4
fluconazole,"onychomycosis, toenail",10,10
alprazolam,anxiety,1,1
pramipexole,restless legs syndrome,10,10
lubiprostone,irritable bowel syndrome,4,10
pramipexole,restless legs syndrome,1,5
apremilast,plaque psoriasis,2,5
desvenlafaxine,depression,1,27
pregabalin,ibromyalgia,8,40
ciprofloxacin,urinary tract infection,1,17
gabapentin,pain,1,62
bisacodyl,constipation,7,7
ezetimibe,high cholesterol,9,118
irbesartan,high blood pressure,1,28
liraglutide,"diabetes, type 2",10,45
gabapentin,insomnia,10,82
infliximab,"crohn's disease, maintenance",10,36
ropinirole,parkinson's disease,6,44
levonorgestrel,birth control,6,2
levonorgestrel,birth control,9,6
liraglutide,"diabetes, type 2",7,46
esomeprazole,gerd,10,14
levetiracetam,seizures,1,3
chlorthalidone,high blood pressure,1,23
gabapentin,pain,8,31
pimecrolimus,eczema,10,26
celecoxib,osteoarthritis,7,0
levonorgestrel,birth control,5,7
meloxicam,osteoarthritis,10,84
levonorgestrel,birth control,4,6
pregabalin,neuropathic pain,10,36
sumatriptan,migraine,10,15
ciprofloxacin,urinary tract infection,8,19
oxaliplatin,colorectal cance,9,32
somatropin,adult human growth hormone deficiency,5,7
dapsone,acne,8,23
valsartan,high blood pressure,6,14
ibuprofen,pain,9,15
lamotrigine,bipolar disorde,8,14
levonorgestrel,birth control,10,1
levonorgestrel,birth control,9,1
desvenlafaxine,depression,8,11
alprazolam,not listed / othe,10,2
topiramate,obesity,10,175
levonorgestrel,birth control,10,5
omeprazole,gerd,7,90
atenolol,anxiety,10,40
metronidazole,bacterial vaginitis,1,4
clarithromycin,bronchitis,1,7
levonorgestrel,birth control,5,42
brexpiprazole,depression,10,13
metronidazole,bacterial infection,1,6
pregabalin,pain,4,13
sitagliptin,"diabetes, type 2",9,46
brexpiprazole,depression,4,22
suvorexant,insomnia,1,0
clonazepam,anxiety,10,95
levetiracetam,new daily persistent headache,10,5
oxcarbazepine,bipolar disorde,8,19
metronidazole,bacterial infection,9,5
bisacodyl,constipation,9,11
liraglutide,obesity,5,9
alprazolam,tinnitus,9,92
methylprednisolone,allergic rhinitis,3,3
adapalene,acne,4,3
carvedilol,atrial fibrillation,2,5
rivaroxaban,deep vein thrombosis,9,24
levonorgestrel,birth control,9,1
pramipexole,restless legs syndrome,9,4
minoxidil,alopecia,10,42
naltrexone,alcohol dependence,10,51
nitrofurantoin,urinary tract infection,2,5
loratadine,allergic rhinitis,1,29
tioconazole,vaginal yeast infection,5,0
gabapentin,pain,10,59
clonazepam,burning mouth syndrome,10,18
levonorgestrel,emergency contraception,10,3
clonazepam,panic disorde,9,7
nitrofurantoin,urinary tract infection,1,26
apixaban,prevention of thromboembolism in atrial fibrillation,1,77
sumatriptan,migraine,7,4
ciprofloxacin,prostatitis,5,7
ondansetron,nausea/vomiting,10,9
levonorgestrel,birth control,3,12
levonorgestrel,emergency contraception,10,9
methocarbamol,muscle spasm,10,24
clindamycin,sinusitis,1,20
pregabalin,generalized anxiety disorde,10,84
tazarotene,acne,10,41
estradiol,atrophic vaginitis,10,66
temazepam,insomnia,10,36
apremilast,plaque psoriasis,1,12
golimumab,rheumatoid arthritis,10,50
secukinumab,plaque psoriasis,3,0
etodolac,pain,10,48
ziprasidone,bipolar disorde,1,1
clonazepam,bipolar disorde,10,34
desvenlafaxine,major depressive disorde,1,0
sumatriptan,migraine,7,9
pregabalin,diabetic peripheral neuropathy,10,109
levonorgestrel,birth control,9,7
gabapentin,peripheral neuropathy,10,93
levonorgestrel,emergency contraception,10,37
topiramate,seizure prevention,9,4
levonorgestrel,birth control,9,12
methocarbamol,muscle spasm,2,9
teriparatide,osteoporosis,10,1
etodolac,pain,8,22
clonazepam,restless legs syndrome,10,9
potassium chloride,hypokalemia,10,12
cefdinir,sinusitis,1,7
tadalafil,erectile dysfunction,9,38
levonorgestrel,birth control,3,0
alprazolam,anxiety,6,0
omalizumab,"asthma, maintenance",10,33
tranexamic acid,menorrhagia,9,51
gabapentin,neuropathic pain,6,8
desvenlafaxine,anxiety,8,15
pregabalin,ibromyalgia,1,41
nitrofurantoin,urinary tract infection,9,23
temazepam,insomnia,10,25
nabumetone,back pain,8,101
armodafinil,narcolepsy,9,25
tioconazole,vaginal yeast infection,1,8
hydroxyurea,"anemia, sickle cell",10,13
ropinirole,restless legs syndrome,7,4
methocarbamol,muscle spasm,1,16
clindamycin,bacterial vaginitis,1,2
ciprofloxacin,urinary tract infection,1,8
metronidazole,diverticulitis,7,43
clonazepam,migraine prevention,7,20
valacyclovir,cold sores,5,22
lamotrigine,bipolar disorde,10,22
liraglutide,"diabetes, type 2",8,4
lorazepam,anxiety,10,38
lamotrigine,seizure prevention,9,33
cephalexin,skin or soft tissue infection,10,26
lansoprazole,stomach ulce,3,19
bisacodyl,constipation,8,34
oseltamivir,influenza,9,8
apremilast,psoriatic arthritis,10,18
clarithromycin,sinusitis,7,0
acetazolamide,pseudotumor cerebri,6,33
aripiprazole,depression,9,3
propofol,anesthesia,10,11
cephalexin,skin or soft tissue infection,10,19
nabumetone,back pain,8,71
alprazolam,panic disorde,8,77
olanzapine,bipolar disorde,8,26
armodafinil,narcolepsy,7,27
methotrexate,rheumatoid arthritis,5,60
valacyclovir,cold sores,10,18
tadalafil,erectile dysfunction,2,8
gabapentin,migraine,1,56
aripiprazole,depression,7,78
clarithromycin,bronchitis,6,14
zaleplon,insomnia,8,61
carisoprodol,muscle spasm,10,37
gabapentin,burning mouth syndrome,1,3
levonorgestrel,abnormal uterine bleeding,9,33
bisacodyl,bowel preparation,10,3
bisacodyl,bowel preparation,8,81
meloxicam,inflammatory conditions,10,76
ramipril,high blood pressure,10,38
dulaglutide,"diabetes, type 2",1,17
levonorgestrel,birth control,8,1
imiquimod,keratosis,8,35
lamotrigine,epilepsy,3,3
baclofen,trigeminal neuralgia,9,44
meloxicam,inflammatory conditions,9,5
estradiol,primary ovarian failure,10,40
clarithromycin,sinusitis,5,9
furosemide,high blood pressure,5,9
liraglutide,obesity,1,11
silodosin,benign prostatic hyperplasia,1,2
sunitinib,renal cell carcinoma,7,77
clarithromycin,sinusitis,2,52
alprazolam,anxiety,10,46
erlotinib,non-small cell lung cance,10,189
alprazolam,panic disorde,8,55
aspirin,back pain,9,18
zaleplon,insomnia,10,14
letrozole,breast cance,10,158
alprazolam,depression,10,68
mirtazapine,insomnia,1,4
metronidazole,bacterial vaginitis,10,12
levonorgestrel,birth control,10,2
levonorgestrel,birth control,2,3
eluxadoline,irritable bowel syndrome,8,21
lamotrigine,bipolar disorde,10,25
gabapentin,insomnia,1,22
rituximab,non-hodgkin's lymphoma,9,61
levonorgestrel,birth control,1,1
ropinirole,restless legs syndrome,10,25
levonorgestrel,birth control,2,0
tadalafil,erectile dysfunction,10,6
metronidazole,bacterial vaginitis,8,12
adapalene,acne,9,7
nabumetone,rheumatoid arthritis,10,56
levonorgestrel,emergency contraception,10,73
clonazepam,periodic limb movement disorde,8,4
bisacodyl,constipation,5,4
imiquimod,keratosis,9,23
levonorgestrel,emergency contraception,10,0
methylprednisolone,allergic rhinitis,2,2
empagliflozin,"diabetes, type 2",10,1
ropinirole,restless legs syndrome,1,10
aripiprazole,depression,8,69
dulaglutide,"diabetes, type 2",5,13
nitrofurantoin,urinary tract infection,7,7
lamotrigine,bipolar disorde,8,15
desvenlafaxine,major depressive disorde,10,16
levonorgestrel,emergency contraception,10,7
clonazepam,panic disorde,8,19
tioconazole,vaginal yeast infection,10,9
spironolactone,acne,7,27
levonorgestrel,abnormal uterine bleeding,5,1
zolmitriptan,migraine,10,2
calcitriol,psoriasis,8,6
esomeprazole,erosive esophagitis,9,19
desvenlafaxine,major depressive disorde,9,6
diazepam,anxiety,10,140
liraglutide,obesity,1,18
liraglutide,"diabetes, type 2",10,55
aripiprazole,depression,10,81
clarithromycin,tonsillitis/pharyngitis,1,5
midazolam,light sedation,10,6
liraglutide,obesity,4,14
tocilizumab,juvenile idiopathic arthritis,9,16
armodafinil,obstructive sleep apnea/hypopnea syndrome,8,0
oseltamivir,swine flu,8,2
sitagliptin,"diabetes, type 2",10,140
adalimumab,psoriatic arthritis,9,27
levonorgestrel,nan,2,0
eszopiclone,insomnia,3,8
metronidazole,giardiasis,9,1
bicalutamide,prostate cance,10,13
olanzapine,depression,9,42
eszopiclone,insomnia,10,11
levonorgestrel,emergency contraception,5,3
oseltamivir,influenza,10,0
metronidazole,bacterial vaginitis,5,3
gabapentin,pain,7,38
levonorgestrel,emergency contraception,10,25
celecoxib,osteoarthritis,7,3
glipizide,"diabetes, type 2",9,46
valacyclovir,cold sores,9,5
desvenlafaxine,depression,8,17
levonorgestrel,birth control,7,3
aripiprazole,tourette's syndrome,10,24
metronidazole,trichomoniasis,10,22
levonorgestrel,birth control,6,4
liraglutide,obesity,10,47
gabapentin,ibromyalgia,7,47
diazepam,muscle spasm,10,94
rosuvastatin,"high cholesterol, familial heterozygous",10,44
levonorgestrel,emergency contraception,10,5
estradiol,atrophic vaginitis,10,25
topiramate,migraine prevention,9,57
cefprozil,bronchitis,8,16
alprazolam,anxiety,8,30
bisacodyl,constipation,4,11
metronidazole,trichomoniasis,8,12
zaleplon,insomnia,1,2
adapalene,acne,10,13
diazepam,temporomandibular joint disorde,10,41
rivaroxaban,pulmonary embolism,10,48
lamotrigine,bipolar disorde,10,55
mirtazapine,major depressive disorde,8,35
adalimumab,psoriatic arthritis,8,16
levonorgestrel,abnormal uterine bleeding,10,8
levonorgestrel,birth control,9,3
clindamycin,bacterial infection,1,14
apremilast,psoriatic arthritis,1,23
ibuprofen,headache,10,4
metronidazole,bacterial vaginitis,4,6
mirtazapine,depression,6,8
telmisartan,high blood pressure,8,58
desvenlafaxine,depression,2,14
clonazepam,anxiety,10,157
nitrofurantoin,urinary tract infection,8,3
metronidazole,trichomoniasis,5,9
rivaroxaban,pulmonary embolism,8,4
nitrofurantoin,urinary tract infection,1,22
liraglutide,obesity,8,21
lorazepam,anxiety,9,25
diazepam,anxiety,10,114
sucralfate,stomach ulce,3,67
lamotrigine,bipolar disorde,8,24
lubiprostone,"constipation, chronic",10,45
olanzapine,bipolar disorde,8,3
omalizumab,"asthma, maintenance",1,19
eszopiclone,insomnia,1,3
tranexamic acid,menorrhagia,10,46
tioconazole,vaginal yeast infection,10,4
ribavirin,hepatitis c,1,7
valsartan,high blood pressure,4,46
bisacodyl,constipation,3,2
topiramate,migraine prevention,7,24
levonorgestrel,birth control,10,13
desvenlafaxine,anxiety,8,48
