generic_name,cases
atenolol,ventricular tachycardia
avanafil,erectile dysfunction
azathioprine,autoimmune hepatitis
azathioprine,crohn's disease
azathioprine,"crohn's disease, acute"
azathioprine,"crohn's disease, maintenance"
azathioprine,eczema
azathioprine,multiple sclerosis
azathioprine,myasthenia gravis
azathioprine,renal transplant
azathioprine,rheumatoid arthritis
azathioprine,systemic lupus erythematosus
azathioprine,ulcerative colitis
azathioprine,wegener's granulomatosis
azelaic acid,acne
azelaic acid,rosacea
azilsartan medoxomil,high blood pressure
azilsartan medoxomil,hypertension
aztreonam,bacterial urinary tract infection
baclofen,alcohol withdrawal
baclofen,cerebral spasticity
baclofen,cervical dystonia
baclofen,chronic spasticity
baclofen,dystonia
baclofen,hiccups
baclofen,migraine prevention
baclofen,muscle spasm
baclofen,muscle twitching
baclofen,neuralgia
baclofen,not listed / othe
baclofen,periodic limb movement disorde
baclofen,temporomandibular joint disorde
baclofen,trigeminal neuralgia
barium sulfate,computed tomography
bendamustine,chronic lymphocytic leukemia
bendamustine,non-hodgkin's lymphoma
benzocaine,cold sores
benzocaine,oral and dental conditions
benzocaine,pain
benzocaine,pruritus
benzocaine,sore throat
benzocaine,tonsillitis/pharyngitis
benzoyl peroxide,acne
benzoyl peroxide,not listed / othe
benzyl alcohol,head lice
besifloxacin,bacterial conjunctivitis
besifloxacin,"conjunctivitis, bacterial"
betamethasone,atopic dermatitis
betamethasone,dermatitis
betamethasone,dermatological disorders
betamethasone,inflammatory conditions
betamethasone,lichen sclerosus
betamethasone dipropionate,atopic dermatitis
betamethasone valerate,atopic dermatitis
bevacizumab,"breast cancer, metastatic"
bevacizumab,colorectal cance
bevacizumab,glioblastoma multi
bevacizumab,macular degeneration
bevacizumab,malignant glioma
bevacizumab,non-small cell lung cance
bevacizumab,ovarian cance
bevacizumab,pancreatic cance
bevacizumab,renal cell carcinoma
bicalutamide,prostate cance
bimatoprost,eyelash hypotrichosis
bimatoprost,"glaucoma, open angle"
bimatoprost,intraocular hypertension
biotin,dietary supplementation
biotin,not listed / othe
bisacodyl,bowel preparation
bisacodyl,constipation
bismuth subsalicylate,diarrhea
bismuth subsalicylate,"diarrhea, chronic"
bismuth subsalicylate,indigestion
bivalirudin,percutaneous coronary intervention
bortezomib,multiple myeloma
brexpiprazole,depression
brexpiprazole,major depressive disorde
brexpiprazole,not listed / othe
brexpiprazole,schizophrenia
brinzolamide,"glaucoma, open angle"
brivaracetam,seizures
bumetanide,edema
bumetanide,hypertension
busulfan,chronic myelogenous leukemia
busulfan,thrombocythemia
butoconazole nitrate,vulvovaginal candidiasis
cabergoline,hyperprolactinemia
cabozantinib,thyroid cance
calcitriol,hypocalcemia
calcitriol,hypoparathyroidism
calcitriol,psoriasis
calcium acetate,hyperphosphatemia
calcium carbonate,gerd
calcium carbonate,hypocalcemia
calcium carbonate,indigestion
calcium carbonate,osteoporosis
calcium carbonate,stomach ulce
capecitabine,adenocarcinoma of pancreas
capecitabine,breast cance
capecitabine,"breast cancer, metastatic"
capecitabine,colorectal cance
capecitabine,stomach cance
capsaicin,back pain
capsaicin,diabetic peripheral neuropathy
capsaicin,not listed / othe
capsaicin,osteoarthritis
capsaicin,pain
capsaicin,peripheral neuropathy
capsaicin,postherpetic neuralgia
captopril,high blood pressure
captopril,hypertension
carbamazepine,bipolar disorde
carbamazepine,cluster-tic syndrome
carbamazepine,dystonia
carbamazepine,epilepsy
carbamazepine,not listed / othe
carbamazepine,peripheral neuropathy
carbamazepine,trigeminal neuralgia
carboplatin,ovarian cance
carisoprodol,muscle spasm
carisoprodol,nocturnal leg cramps
carisoprodol,not listed / othe
carvedilol,angina
carvedilol,atrial fibrillation
carvedilol,heart failure
carvedilol,high blood pressure
carvedilol,hypertension
carvedilol,left ventricular dysfunction
carvedilol,not listed / othe
cefdinir,bacterial urinary tract infection
cefdinir,bronchitis
cefdinir,otitis media
cefdinir,pharyngitis due to streptococcus pyogenes
cefdinir,pneumonia
cefdinir,sinusitis
cefdinir,skin and structure infection
cefdinir,skin or soft tissue infection
cefdinir,strep throat
cefdinir,tonsillitis/pharyngitis
cefditoren,bronchitis
cefditoren,skin and structure infection
cefotaxime,skin or soft tissue infection
cefprozil,bladder infection
cefprozil,bronchitis
cefprozil,pharyngitis due to streptococcus pyogenes
cefprozil,pneumonia
cefprozil,sinusitis
cefprozil,tonsillitis/pharyngitis
cefprozil,upper respiratory tract infection
cefuroxime axetil,bacterial urinary tract infection
cefuroxime axetil,impetigo
cefuroxime axetil,pharyngitis due to streptococcus pyogenes
celecoxib,ankylosing spondylitis
celecoxib,gout
celecoxib,juvenile rheumatoid arthritis
celecoxib,not listed / othe
celecoxib,osteoarthritis
celecoxib,pain
celecoxib,period pain
celecoxib,rheumatoid arthritis
cephalexin,acne
cephalexin,bacterial endocarditis prevention
cephalexin,bacterial infection
cephalexin,bacterial urinary tract infection
cephalexin,bladder infection
cephalexin,bone infection
cephalexin,kidney infections
cephalexin,otitis media
cephalexin,pharyngitis
cephalexin,pharyngitis due to streptococcus pyogenes
cephalexin,skin or soft tissue infection
cephalexin,upper respiratory tract infection
cetuximab,colorectal cance
cetuximab,head and neck cance
cetuximab,squamous cell carcinoma
chlorambucil,chronic lymphocytic leukemia
chlorambucil,lymphoma
chlorthalidone,edema
chlorthalidone,high blood pressure
chlorthalidone,hypertension
cilostazol,intermittent claudication
cinacalcet,secondary hyperparathyroidism
ciprofloxacin,anthrax
ciprofloxacin,bacterial infection
ciprofloxacin,bacterial urinary tract infection
ciprofloxacin,bladder infection
ciprofloxacin,bone infection
ciprofloxacin,bronchitis
ciprofloxacin,cholera
ciprofloxacin,"conjunctivitis, bacterial"
ciprofloxacin,crohn's disease
ciprofloxacin,diverticulitis
ciprofloxacin,diverticulitis of gastrointestinal tract
ciprofloxacin,"epididymitis, sexually transmitted"
ciprofloxacin,"gonococcal infection, uncomplicated"
ciprofloxacin,infectious diarrhea
ciprofloxacin,kidney infections
ciprofloxacin,not listed / othe
ciprofloxacin,prostatitis
ciprofloxacin,sinusitis
ciprofloxacin,skin or soft tissue infection
ciprofloxacin,traveler's diarrhea
ciprofloxacin,typhoid feve
ciprofloxacin,urinary tract infection
cisplatin,adenocarcinoma of pancreas
cisplatin,brain tum
clarithromycin,acute bacterial sinusitis
clarithromycin,bronchitis
clarithromycin,dental abscess
clarithromycin,helicobacter pylori infection
clarithromycin,legionella pneumonia
clarithromycin,llicular lymphoma
clarithromycin,"mycobacterium avium-intracellulare, treatment"
clarithromycin,mycoplasma pneumonia
clarithromycin,not listed / othe
clarithromycin,otitis media
clarithromycin,pertussis
clarithromycin,pharyngitis
clarithromycin,pharyngitis due to streptococcus pyogenes
clarithromycin,pneumonia
clarithromycin,sinusitis
clarithromycin,skin and structure infection
clarithromycin,skin or soft tissue infection
clarithromycin,strep throat
clarithromycin,tonsillitis/pharyngitis
clarithromycin,upper respiratory tract infection
clindamycin,acne
clindamycin,aspiration pneumonia
clindamycin,bacterial endocarditis prevention
clindamycin,bacterial infection
clindamycin,bacterial vaginitis
clindamycin,bone infection
clindamycin,deep neck infection
clindamycin,intraabdominal infection
clindamycin,not listed / othe
clindamycin,peritonitis
clindamycin,prevention of perinatal group b streptococcal disease
clindamycin,sinusitis
clindamycin,skin or soft tissue infection
clindamycin,surgical prophylaxis
clobazam,epilepsy
clobazam,lennox-gastaut syndrome
clonazepam,anxiety
clonazepam,benzodiazepine withdrawal
clonazepam,bipolar disorde
clonazepam,borderline personality disorde
clonazepam,burning mouth syndrome
clonazepam,hyperekplexia
clonazepam,insomnia
clonazepam,migraine prevention
clonazepam,night terrors
clonazepam,not listed / othe
clonazepam,obsessive compulsive disorde
clonazepam,panic disorde
clonazepam,periodic limb movement disorde
clonazepam,restless legs syndrome
clonazepam,seizure prevention
clonazepam,sleep paralysis
clonazepam,temporomandibular joint disorde
clozapine,borderline personality disorde
clozapine,paranoid disorde
clozapine,schizophrenia
coal tar,dermatitis
coal tar,psoriasis
coal tar,seborrheic dermatitis
colchicine,amilial mediterranean feve
colchicine,behcet's disease
colchicine,"gout, acute"
colchicine,"gout, prophylaxis"
colchicine,"pseudogout, prophylaxis"
crisaborole,atopic dermatitis
crizotinib,non-small cell lung cance
crotamiton,pruritus
crotamiton,scabies
cyanocobalamin,b12 nutritional deficiency
cyanocobalamin,schilling test
cyanocobalamin,vitamin b12 deficiency
cyclophosphamide,brain tum
cyclophosphamide,chronic myelogenous leukemia
cyclophosphamide,multiple sclerosis
cyclophosphamide,ovarian cance
cyclophosphamide,wegener's granulomatosis
cyclosporine,eczema
cyclosporine,idiopathic thrombocytopenic purpura
cyclosporine,keratoconjunctivitis sicca
cyclosporine,"organ transplant, rejection prophylaxis"
cyclosporine,psoriasis
cyclosporine,"ulcerative colitis, active"
daclatasvir,hepatitis c
danazol,angioedema
danazol,endometriosis
danazol,ibrocystic breast disease
dapsone,acne
dapsone,leukocytoclastic vasculitis
dapsone,linear iga disease
dapsone,mis
darbepoetin alfa,anemia associated with chronic renal failure
darbepoetin alfa,"anemia, chemotherapy induced"
darifenacin,overactive bladde
darifenacin,urinary incontinence
dasatinib,acute lymphoblastic leukemia
dasatinib,chronic myelogenous leukemia
dasatinib,leukemia
dasatinib,not listed / othe
dehydroepiandrosterone,dietary supplementation
denosumab,giant cell tumor of bone
denosumab,hypercalcemia of malignancy
denosumab,osteolytic bone metastases of solid tumors
denosumab,osteoporosis
desloratadine,allergic rhinitis
desloratadine,urticaria
desonide,atopic dermatitis
desonide,dermatitis
desonide,eczema
desonide,psoriasis
desoximetasone,atopic dermatitis
desoximetasone,dermatitis
desoximetasone,eczema
desoximetasone,psoriasis
desvenlafaxine,adhd
desvenlafaxine,anxiety
desvenlafaxine,bipolar disorde
desvenlafaxine,depression
desvenlafaxine,ibromyalgia
desvenlafaxine,major depressive disorde
desvenlafaxine,not listed / othe
desvenlafaxine,obesity
desvenlafaxine,panic disorde
desvenlafaxine,post traumatic stress disorde
desvenlafaxine,postmenopausal symptoms
dexamethasone,addison's disease
dexamethasone,allergic rhinitis
dexamethasone,asthma
dexamethasone,atopic dermatitis
dexamethasone,cerebral edema
dexamethasone,croup
dexamethasone,dermatitis herpeti
dexamethasone,eczema
dexamethasone,inflammatory conditions
dexamethasone,lymphoma
dexamethasone,macular edema
dexamethasone,multiple myeloma
dexamethasone,multiple sclerosis
dexamethasone,"nausea/vomiting, chemotherapy induced"
dexamethasone,not listed / othe
dexlansoprazole,barrett's esophagus
dexlansoprazole,erosive esophagitis
dexlansoprazole,gastroesophageal reflux disease
dexlansoprazole,gerd
dexpanthenol,dry skin
diazepam,alcohol withdrawal
diazepam,anxiety
diazepam,borderline personality disorde
diazepam,endoscopy or radiology premedication
diazepam,icu agitation
diazepam,light anesthesia
diazepam,light sedation
diazepam,meniere's disease
diazepam,muscle spasm
diazepam,night terrors
diazepam,not listed / othe
diazepam,seizure prevention
diazepam,seizures
diazepam,status epilepticus
diazepam,temporomandibular joint disorde
diazepam,tetanus
diazoxide,hypoglycemia
diclofenac potassium,gout
diclofenac sodium,gout
difluprednate,postoperative ocular inflammation
difluprednate,uveitis
digoxin,atrial fibrillation
digoxin,heart failure
dulaglutide,"diabetes, type 2"
dutasteride,benign prostatic hyperplasia
echinacea,cold symptoms
echinacea,condylomata acuminata
efavirenz,hiv infection
efavirenz,nonoccupational exposure
eluxadoline,irritable bowel syndrome
empagliflozin,"diabetes, type 2"
enalapril maleate,hypertension
entacapone,parkinson's disease
eplerenone,high blood pressure
eplerenone,hypertension
erlotinib,non-small cell lung cance
erlotinib,pancreatic cance
esomeprazole,barrett's esophagus
esomeprazole,duodenal ulcer prophylaxis
esomeprazole,erosive esophagitis
esomeprazole,gerd
esomeprazole,helicobacter pylori infection
esomeprazole,not listed / othe
esomeprazole,nsaid-induced gastric ulce
estradiol,atrophic urethritis
estradiol,atrophic vaginitis
estradiol,gender dysphoria
estradiol,hypoestrogenism
estradiol,not listed / othe
estradiol,oophorectomy
estradiol,osteoporosis
estradiol,postmenopausal symptoms
estradiol,primary ovarian failure
eszopiclone,insomnia
etanercept,ankylosing spondylitis
etanercept,behcet's disease
etanercept,juvenile idiopathic arthritis
etanercept,juvenile rheumatoid arthritis
etanercept,not listed / othe
etanercept,plaque psoriasis
etanercept,psoriasis
etanercept,psoriatic arthritis
etanercept,rheumatoid arthritis
etanercept,still's disease
ethambutol,"mycobacterium avium-intracellulare, treatment"
ethosuximide,seizures
etodolac,gout
etodolac,juvenile rheumatoid arthritis
etodolac,osteoarthritis
etodolac,pain
etodolac,rheumatoid arthritis
evening primrose oil,chronic fatigue syndrome
evening primrose oil,hot flashes
evening primrose oil,premenstrual dysphoric disorde
evening primrose oil,sjogren's syndrome
everolimus,brain tum
everolimus,breast cance
everolimus,pancreatic cance
everolimus,renal cell carcinoma
ezetimibe,high cholesterol
ezetimibe,"high cholesterol, familial heterozygous"
ezetimibe,hypercholesterolemia
famciclovir,cold sores
famciclovir,"herpes simplex, mucocutaneous/immunocompetent host"
famciclovir,"herpes simplex, suppression"
famciclovir,herpes zoste
famciclovir,herpes zoster
famotidine,allergic urticaria
famotidine,duodenal ulce
famotidine,gastroesophageal reflux disease
famotidine,gerd
famotidine,indigestion
famotidine,not listed / othe
famotidine,urticaria
febuxostat,gout
fenofibrate,hypercholesterolemia
fenofibrate,hyperlipoproteinemia
fenofibrate,"hyperlipoproteinemia type iia, elevated ldl"
fenofibrate,hypertriglyceridemia
fenofibrate,not listed / othe
ferric citrate,hyperphosphatemia of renal failure
ferrous fumarate,iron deficiency anemia
ferrous gluconate,iron deficiency anemia
ferrous gluconate,vitamin/mineral supplementation during pregnancy/lactation
ferrous sulfate,iron deficiency anemia
ferrous sulfate,vitamin/mineral supplementation during pregnancy/lactation
filgrastim,neutropenia
filgrastim,neutropenia associated with chemotherapy
flibanserin,hypoactive sexual desire disorde
fluconazole,candida urinary tract infection
fluconazole,candidemia
fluconazole,esophageal candidiasis
fluconazole,"onychomycosis, toenail"
fluconazole,oral candidiasis
fluconazole,oral thrush
fluconazole,systemic candidiasis
fluconazole,tinea corporis
fluconazole,tinea cruris
fluconazole,tinea versicol
fluconazole,ungal pneumonia
fluconazole,vaginal yeast infection
fluconazole,vulvovaginal candidiasis
fluorouracil,actinic keratosis
fluorouracil,adenocarcinoma of pancreas
fluorouracil,basal cell carcinoma
fluorouracil,colorectal cancer
fluorouracil,keratosis
fluorouracil,skin cance
fluorouracil,warts
flurazepam,insomnia
flurbiprofen,back pain
flurbiprofen,gout
flurbiprofen,period pain
flurbiprofen,rheumatoid arthritis
flurbiprofen,sciatica
fluvastatin,hypercholesterolemia
fluvastatin,prevention of cerebrovascular accident
folic acid,lic acid deficiency
folic acid,vitamin/mineral supplementation and deficiency
furosemide,edema
furosemide,heart failure
furosemide,high blood pressure
furosemide,hypercalcemia
furosemide,hypertension
gabapentin,alcohol withdrawal
gabapentin,anxiety
gabapentin,benign essential trem
gabapentin,bipolar disorde
gabapentin,burning mouth syndrome
gabapentin,cough
gabapentin,diabetic peripheral neuropathy
gabapentin,epilepsy
gabapentin,hot flashes
gabapentin,ibromyalgia
gabapentin,insomnia
gabapentin,migraine
gabapentin,neuropathic pain
gabapentin,not listed / othe
gabapentin,occipital neuralgia
gabapentin,pain
gabapentin,peripheral neuropathy
gabapentin,postherpetic neuralgia
gabapentin,pruritus
gabapentin,pudendal neuralgia
gabapentin,reflex sympathetic dystrophy syndrome
gabapentin,restless legs syndrome
gabapentin,small fiber neuropathy
gabapentin,spondylolisthesis
gabapentin,syringomyelia
gabapentin,transverse myelitis
gabapentin,trigeminal neuralgia
gabapentin,vulvodynia
gefitinib,non-small cell lung cance
gemcitabine,adenocarcinoma of pancreas
gemcitabine,"breast cancer, metastatic"
gemcitabine,pancreatic cance
gemfibrozil,high cholesterol
gemifloxacin,bronchitis
gemifloxacin,pneumonia
gentian violet,oral thrush
glimepiride,"diabetes, type 2"
glipizide,"diabetes, type 2"
glipizide,not listed / othe
glycerin,constipation
golimumab,ankylosing spondylitis
golimumab,psoriatic arthritis
golimumab,rheumatoid arthritis
golimumab,ulcerative colitis
granisetron,"nausea/vomiting, chemotherapy induced"
granisetron,"nausea/vomiting, postoperative"
halcinonide,dermatitis
halcinonide,eczema
halobetasol propionate,atopic dermatitis
haloperidol,aggressive behavi
haloperidol,dementia
haloperidol,icu agitation
haloperidol,mania
haloperidol,nausea/vomiting
haloperidol,not listed / othe
haloperidol,psychosis
haloperidol,tourette's syndrome
hydrochlorothiazide,edema
hydrochlorothiazide,high blood pressure
hydrochlorothiazide,hypertension
hydrochlorothiazide,nephrocalcinosis
hydrocortisone,addison's disease
hydrocortisone,adrenocortical insufficiency
hydrocortisone,atopic dermatitis
hydrocortisone,dermatitis
hydrocortisone,eczema
hydrocortisone,hemorrhoids
hydrocortisone,inflammatory conditions
hydrocortisone,pruritus
hydrocortisone,psoriasis
hydrocortisone,skin rash
hydrocortisone,ulcerative proctitis
hydrocortisone acetate,atopic dermatitis
hydrocortisone acetate,hemorrhoids
hydrocortisone butyrate,atopic dermatitis
hydroquinone,dermatological disorders
hydroxocobalamin,vitamin b12 deficiency
hydroxyurea,"anemia, sickle cell"
hydroxyurea,not listed / othe
hydroxyurea,polycythemia vera
hydroxyurea,thrombocythemia
hylan g-f 20,osteoarthritis
ibrutinib,chronic lymphocytic leukemia
ibuprofen,back pain
ibuprofen,cystic fibrosis
ibuprofen,eve
ibuprofen,fever
ibuprofen,gout
ibuprofen,"gout, acute"
ibuprofen,headache
ibuprofen,muscle pain
ibuprofen,neck pain
ibuprofen,not listed / othe
ibuprofen,osteoarthritis
ibuprofen,pain
ibuprofen,patent ductus arteriosus
ibuprofen,period pain
ibuprofen,rheumatoid arthritis
ibuprofen,sciatica
ibuprofen,spondylolisthesis
ibuprofen,temporomandibular joint disorde
ibuprofen,toothache
ibuprofen,zen shoulde
ifosfamide,testicular cance
iloperidone,bipolar disorde
iloperidone,psychosis
iloperidone,schizophrenia
imiquimod,basal cell carcinoma
imiquimod,condylomata acuminata
imiquimod,human papilloma virus
imiquimod,keratosis
indapamide,edema
indapamide,high blood pressure
indapamide,hypertension
indapamide,not listed / othe
infliximab,ankylosing spondylitis
infliximab,behcet's disease
infliximab,crohn's disease
infliximab,"crohn's disease, acute"
infliximab,"crohn's disease, maintenance"
infliximab,juvenile idiopathic arthritis
infliximab,psoriasis
infliximab,psoriatic arthritis
infliximab,rheumatoid arthritis
infliximab,sjogren's syndrome
infliximab,ulcerative colitis
infliximab,uveitis
insulin aspart,"diabetes, type 1"
insulin aspart,"diabetes, type 2"
insulin degludec,"diabetes, type 1"
insulin degludec,"diabetes, type 2"
insulin detemir,"diabetes, type 1"
insulin detemir,"diabetes, type 2"
insulin glulisine,"diabetes, type 1"
insulin glulisine,"diabetes, type 2"
insulin lispro,"diabetes, type 1"
insulin lispro,"diabetes, type 2"
iohexol,body imaging
irbesartan,diabetic kidney disease
irbesartan,high blood pressure
irbesartan,not listed / othe
isoniazid,"tuberculosis, active"
isoniazid,"tuberculosis, latent"
isoniazid,"tuberculosis, prophylaxis"
isosorbide mononitrate,angina
isosorbide mononitrate,angina pectoris prophylaxis
isosorbide mononitrate,esophageal spasm
isosorbide mononitrate,heart failure
isradipine,hypertension
isradipine,raynaud's syndrome
itraconazole,"aspergillosis, aspergilloma"
itraconazole,candidemia
itraconazole,dermatophytosis
itraconazole,histoplasmosis
itraconazole,"onychomycosis, fingernail"
itraconazole,"onychomycosis, toenail"
itraconazole,sporotrichosis
itraconazole,ungal infection prophylaxis
itraconazole,vaginal yeast infection
ivabradine,heart failure
ketamine,anesthesia
ketamine,pain
lacosamide,seizures
lactase,lactose intolerance
lactulose,"constipation, acute"
lactulose,"constipation, chronic"
lamotrigine,anxiety
lamotrigine,bipolar disorde
lamotrigine,borderline personality disorde
lamotrigine,cyclothymic disorde
lamotrigine,depression
lamotrigine,epilepsy
lamotrigine,migraine prevention
lamotrigine,not listed / othe
lamotrigine,post traumatic stress disorde
lamotrigine,restless legs syndrome
lamotrigine,schizoaffective disorde
lamotrigine,seizure prevention
lansoprazole,aspiration pneumonia
lansoprazole,barrett's esophagus
lansoprazole,erosive esophagitis
lansoprazole,gastritis/duodenitis
lansoprazole,gastroesophageal reflux disease
lansoprazole,gerd
lansoprazole,helicobacter pylori infection
lansoprazole,stomach ulce
lanthanum carbonate,hyperphosphatemia of renal failure
latanoprost,"glaucoma, open angle"
latanoprost,intraocular hypertension
leflunomide,psoriatic arthritis
leflunomide,rheumatoid arthritis
lenalidomide,multiple myeloma
letrozole,breast cance
letrozole,"breast cancer, adjuvant"
letrozole,"breast cancer, metastatic"
letrozole,emale infertility
levetiracetam,bipolar disorde
levetiracetam,epilepsy
levetiracetam,neuralgia
levetiracetam,new daily persistent headache
levetiracetam,not listed / othe
levetiracetam,seizures
levonorgestrel,abnormal uterine bleeding
levonorgestrel,birth control
levonorgestrel,emergency contraception
levonorgestrel,not listed / othe
lifitegrast,dry eye disease
linagliptin,"diabetes, type 2"
linezolid,bacterial infection
linezolid,methicillin-resistant staphylococcus aureus infection
linezolid,pneumonia
linezolid,skin and structure infection
liraglutide,"diabetes, type 1"
liraglutide,"diabetes, type 2"
liraglutide,not listed / othe
liraglutide,obesity
liraglutide,weight loss
lisinopril,coronary artery disease
lisinopril,diabetic kidney disease
lisinopril,heart attack
lisinopril,heart failure
lisinopril,high blood pressure
lisinopril,hypertension
lisinopril,migraine prevention
lisinopril,not listed / othe
loratadine,allergic reactions
loratadine,allergic rhinitis
loratadine,not listed / othe
loratadine,urticaria
lorazepam,anxiety
lorazepam,borderline personality disorde
lorazepam,cervical dystonia
lorazepam,dysautonomia
lorazepam,insomnia
lorazepam,light anesthesia
lorazepam,nausea/vomiting
lorazepam,"nausea/vomiting, chemotherapy induced"
lorazepam,not listed / othe
lorazepam,panic disorde
lorazepam,sedation
lorazepam,status epilepticus
lubiprostone,constipation
lubiprostone,"constipation, chronic"
lubiprostone,"constipation, drug induced"
lubiprostone,irritable bowel syndrome
lubiprostone,opioid-induced constipation
macitentan,pulmonary hypertension
magaldrate,gastroesophageal reflux disease
magnesium hydroxide,acne
magnesium hydroxide,constipation
magnesium hydroxide,gastroesophageal reflux disease
magnesium hydroxide,indigestion
magnesium oxide,constipation
magnesium oxide,gastroesophageal reflux disease
magnesium oxide,hypomagnesemia
magnesium oxide,not listed / othe
mebendazole,ascariasis
mefenamic acid,gout
mefenamic acid,not listed / othe
mefenamic acid,pain
mefenamic acid,period pain
mefloquine,malaria
mefloquine,malaria prevention
melatonin,insomnia
melatonin,not listed / othe
meloxicam,gout
meloxicam,ibromyalgia
meloxicam,inflammatory conditions
meloxicam,juvenile rheumatoid arthritis
meloxicam,not listed / othe
meloxicam,osteoarthritis
meloxicam,rheumatoid arthritis
meloxicam,tendonitis
mercaptopurine,autoimmune hepatitis
mercaptopurine,"crohn's disease, acute"
mercaptopurine,"crohn's disease, maintenance"
mercaptopurine,"ulcerative colitis, maintenance"
methimazole,hyperthyroidism
methocarbamol,muscle spasm
methocarbamol,not listed / othe
methocarbamol,opiate withdrawal
methotrexate,cogan's syndrome
methotrexate,ectopic pregnancy
methotrexate,eczema
methotrexate,gastric cance
methotrexate,lymphoma
methotrexate,neoplastic diseases
methotrexate,psoriasis
methotrexate,psoriatic arthritis
methotrexate,rheumatoid arthritis
methotrexate,scleroderma
methotrexate,systemic sclerosis
methyldopa,high blood pressure
methyldopa,hypertension
methyldopa,hypertensive emergency
methylprednisolone,allergic rhinitis
methylprednisolone,asthma
methylprednisolone,"asthma, acute"
methylprednisolone,"asthma, maintenance"
methylprednisolone,atopic dermatitis
methylprednisolone,dermatologic lesion
methylprednisolone,"gout, acute"
methylprednisolone,immunosuppression
methylprednisolone,inflammatory conditions
methylprednisolone,neuralgia
methylprednisolone,not listed / othe
methylprednisolone,osteoarthritis
methylprednisolone,rheumatoid arthritis
methylprednisolone acetate,atopic dermatitis
metolazone,edema
metolazone,hypertension
metoprolol tartrate,heart attack
metoprolol tartrate,high blood pressure
metoprolol tartrate,hypertension
metronidazole,amebiasis
metronidazole,bacterial infection
metronidazole,bacterial vaginitis
metronidazole,bone infection
metronidazole,clostridial infection
metronidazole,"crohn's disease, acute"
metronidazole,"crohn's disease, maintenance"
metronidazole,deep neck infection
metronidazole,dental abscess
metronidazole,diverticulitis
metronidazole,diverticulitis of gastrointestinal tract
metronidazole,giardiasis
