Entity Group,Word,Score,Generic Name,Use Case
Severity,severe,0.9998229,adrenaline,if a person begins exhibiting severe allergic reactions
Sign_symptom,allergic reactions,0.99987024,adrenaline,if a person begins exhibiting severe allergic reactions
Sign_symptom,spermatorrhoe,0.48463264,dasamularista,spermatorrhoea
Disease_disorder,arthritis,0.9990914,curcuminoids [curcuma longa],rheumatoid arthritis
Disease_disorder,infection,0.99985015,cranberry [vaccinium macrocarpon],urinary tract infection
Detailed_description,compound,0.99135745,compound asparagus,"sexual weakness, oligospermia"
Diagnostic_procedure,collagen ii & gags,0.9910577,collagen ii & gags,amp; gags helps to maintain stronger bones
Diagnostic_procedure,gags,0.8962319,collagen ii & gags,amp; gags helps to maintain stronger bones
Lab_value,stronger,0.8978749,collagen ii & gags,amp; gags helps to maintain stronger bones
Biological_structure,bones,0.9962949,collagen ii & gags,amp; gags helps to maintain stronger bones
Disease_disorder,mitochondrial disorders,0.99674,coenzyme q10 [ubidecarenone],mitochondrial disorders
Detailed_description,chiratacapsule,0.9976207,chirata [swertia chirata],long term uses of chiratacapsule destroy intestinal worms
Sign_symptom,worms,0.9643743,chirata [swertia chirata],long term uses of chiratacapsule destroy intestinal worms
Detailed_description,chebulic,0.96913654,chebulic myrobalan + barberry,constipation flatulence
Detailed_description,barberry,0.9949013,chebulic myrobalan + barberry,constipation flatulence
Sign_symptom,flatulence,0.99987435,chebulic myrobalan + barberry,constipation flatulence
Disease_disorder,papaya,0.28722185,carica papaya leaf extract,no specific data available
Coreference,leaf,0.19459678,carica papaya leaf extract,no specific data available
Diagnostic_procedure,extract,0.51759136,carica papaya leaf extract,no specific data available
Medication,camphor,0.9862486,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
Medication,eucalyptus oil,0.9307686,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
Sign_symptom,tooth,0.9998211,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
Sign_symptom,burns,0.99988055,camphor + thymol + menthol + eucalyptus oil,"headache, toothache and burns"
Medication,calendula,0.5585538,calendula officinalis [marigold],topical application
Administration,topical,0.9476576,calendula officinalis [marigold],topical application
Disease_disorder,hepatitis,0.5280903,buzuri,hepatitis jaundice
Disease_disorder,rasayan memory deficiency,0.97974956,brahmi rasayan,memory deficiency impaired speech rough &amp
Sign_symptom,impaired,0.6357791,brahmi rasayan,memory deficiency impaired speech rough &amp
Diagnostic_procedure,speech,0.65815115,brahmi rasayan,memory deficiency impaired speech rough &amp
Detailed_description,rough,0.71788764,brahmi rasayan,memory deficiency impaired speech rough &amp
Color,black,0.9903009,black cohosh [cimicifuga racemosa],"premenstrual discomfort, dysmenorrhea"
Detailed_description,prem,0.9982003,black cohosh [cimicifuga racemosa],"premenstrual discomfort, dysmenorrhea"
Diagnostic_procedure,amino acid + calcium protein,0.9998274,amino acid + calcium,protein
Diagnostic_procedure,amino acid,0.98788947,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Administration,oral,0.9985726,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Therapeutic_procedure,enteral nutrition,0.9962017,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Lab_value,impossible,0.9819118,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Lab_value,insufficient,0.99613345,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Lab_value,contra,0.981967,amino acid,when oral or enteral nutrition is impossible or insufficient or contraindicated
Medication,amikacin,0.69827336,amikacin,bacterial septicemia
Detailed_description,bacterial,0.71883047,amikacin,bacterial septicemia
Disease_disorder,septicemia,0.6725695,amikacin,bacterial septicemia
Detailed_description,productive,0.99977595,ambroxol hydrochloride,productive cough
Sign_symptom,cough,0.9949721,ambroxol hydrochloride,productive cough
Disease_disorder,pulmonary arterial hypertension,0.99868613,ambrisentan,pulmonary arterial hypertension
Medication,amantadine hydrochloride,0.91780144,amantadine hydrochloride,parkinsonism
Disease_disorder,parkinsonism,0.82489824,amantadine hydrochloride,parkinsonism
Diagnostic_procedure,alverine,0.6572461,alverine citrate,irritable bowel syndrome
Disease_disorder,citrate irritable bowel syndrome,0.8964221,alverine citrate,irritable bowel syndrome
Diagnostic_procedure,aluminium,0.9816475,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Medication,oxide,0.38027415,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Diagnostic_procedure,magnesium,0.9605092,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Diagnostic_procedure,aluminium,0.92218035,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Medication,oxide,0.42547607,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Diagnostic_procedure,magnesium,0.88673,aluminium oxide + magnesium trisilicate,aluminium oxide &amp; magnesium trisilicate
Diagnostic_procedure,aluminium,0.8838027,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent
Medication,hydroxide,0.7857176,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent
Diagnostic_procedure,magnesium,0.96391356,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent
Medication,hydroxide,0.86006176,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent
Detailed_description,antiflatulent,0.8912324,aluminium hydroxide + magnesium hydroxide + simethicone,antiflatulent
Diagnostic_procedure,aluminium,0.9591478,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Medication,hydroxide,0.86584246,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Diagnostic_procedure,magnesium,0.9647115,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Medication,hydroxide,0.8166965,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Diagnostic_procedure,aluminium,0.9695705,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Medication,hydroxide,0.84233946,aluminium hydroxide + magnesium hydroxide,aluminium hydroxide
Diagnostic_procedure,aluminium,0.6807912,aluminium chloride hexahydrate,"hands, feet and scalp"
Detailed_description,chloride,0.7175534,aluminium chloride hexahydrate,"hands, feet and scalp"
Biological_structure,feet,0.9999299,aluminium chloride hexahydrate,"hands, feet and scalp"
Biological_structure,scalp,0.9999242,aluminium chloride hexahydrate,"hands, feet and scalp"
Diagnostic_procedure,aluminium chloride,0.9795587,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
Diagnostic_procedure,melaleuca,0.6025238,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
Sign_symptom,alter,0.63822496,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
Detailed_description,geothermal water,0.8936217,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
Sign_symptom,hyper,0.9995845,aluminium chloride + melaleuca alternifolia oil + geothermal water,hyperhidrosis
Biological_structure,pulmonary,0.99984753,alteplase,pulmonary embolism
Disease_disorder,embolism,0.9735913,alteplase,pulmonary embolism
Medication,alphanate,0.9983877,alphanate,withvon willebrand disease
Disease_disorder,ginkgo biloba,0.957231,ginkgo biloba,sexual dysfunction associated with ssri use
Disease_disorder,sexual dysfunction,0.9768601,ginkgo biloba,sexual dysfunction associated with ssri use
Medication,ssri use,0.8738191,ginkgo biloba,sexual dysfunction associated with ssri use
Medication,garlitab,0.84713244,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
Disease_disorder,diabetes,0.9730953,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
Disease_disorder,rheumatoid arthritis,0.9952963,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
Biological_structure,respiratory tract,0.99483204,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
Disease_disorder,infection,0.99911577,garlitab,in- diabetes rheumatoid arthritis gout respiratory tract infection
Medication,garlic,0.70320165,garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension"
Severity,mild,0.9997769,garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension"
Sign_symptom,hypertension,0.9997752,garlic oil,"hyperlipidemia, atherosclerosis, mild hypertension"
Sign_symptom,hyper,0.99967146,flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation"
Sign_symptom,consti,0.941056,flaxseed oil [linum usitatissimum],"hyperlipidemia, constipation"
Sign_symptom,hyper,0.9984363,"fishar [snake root, potassium, magnesium]",hypertension
Detailed_description,ferm,0.80944276,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
Detailed_description,occasional,0.970455,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
Detailed_description,heart,0.9990833,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
Biological_structure,duodenal,0.99444383,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
Sign_symptom,ulcers,0.8410942,fermented soy [lactobacillus delbrueckii],occasional heartburn gastric and duodenal ulcers
Detailed_description,evening,0.7070129,evening primrose oil,premenstrual syndrome symptoms
Diagnostic_procedure,primrose oil,0.7464658,evening primrose oil,premenstrual syndrome symptoms
Disease_disorder,premenstrual syndrome,0.9936517,evening primrose oil,premenstrual syndrome symptoms
Sign_symptom,symptoms,0.99971753,evening primrose oil,premenstrual syndrome symptoms
Sign_symptom,sperm,0.6932687,espand,spermatorrhoea
Disease_disorder,officinalis,0.7700002,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
Detailed_description,piper,0.482969,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
Disease_disorder,tuberculosis,0.9966738,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
Disease_disorder,asthma,0.97834456,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
Disease_disorder,bronchitis,0.9576125,emblica officinalis + piper longum,"tuberculosis of lungs, asthma and bronchitis"
Detailed_description,+ sesame,0.6928886,emblic myrobalan + sesame,dandruff insomnia
Sign_symptom,dandr,0.54252064,emblic myrobalan + sesame,dandruff insomnia
Detailed_description,chebulic,0.90214425,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
Detailed_description,belleric,0.9704634,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
Disease_disorder,indigestion,0.984017,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
Disease_disorder,diabetes,0.9989666,emblic myrobalan + chebulic + belleric,constipation anorexia indigestion diabetes
Other_entity,grape,0.24053809,emblic myrobalan + aswagandha + grape,it improves the immunity
Lab_value,improves,0.99991906,emblic myrobalan + aswagandha + grape,it improves the immunity
Diagnostic_procedure,immunity,0.999811,emblic myrobalan + aswagandha + grape,it improves the immunity
Sign_symptom,cough,0.99961406,ejaz,all types of cough
Disease_disorder,echinacea,0.79897064,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
Detailed_description,common,0.83178115,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
Biological_structure,upper respiratory tract,0.99985814,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
Disease_disorder,infections,0.99939215,echinacea,"common cold, cough, bronchitis and other upper respiratory tract infections"
Medication,amorolfine hydro,0.9325929,amorolfine hydrochloride (nail lacquer),onychomycosis
Detailed_description,nail,0.98129624,amorolfine hydrochloride (nail lacquer),onychomycosis
Medication,amorolfine hydrochloride,0.8019548,amorolfine hydrochloride (cream),dermatomycoses
Detailed_description,cream,0.9670935,amorolfine hydrochloride (cream),dermatomycoses
Therapeutic_procedure,dermatomycoses,0.9825522,amorolfine hydrochloride (cream),dermatomycoses
Medication,valsartan,0.9217945,amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension
Sign_symptom,hypertension,0.99316263,amlodipine besilate + valsartan,not indicated for the initial therapy of hypertension
Administration,alone,0.9204436,amlodipine besilate + telmisartan,"hypertension, alone or with other antihypertensive agents"
Medication,antihypertensive agents,0.96375793,amlodipine besilate + telmisartan,"hypertension, alone or with other antihypertensive agents"
Therapeutic_procedure,therapy,0.6591242,amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents
Quantitative_concept,multiple,0.46372285,amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents
Medication,antihypertensive agents,0.99899155,amlodipine besilate + olmesartan medoxomil,initial therapy in patients likely to need multiple antihypertensive agents
Medication,benazepril hydrochloride,0.9942309,amlodipine besilate + benazepril hydrochloride,not indicated for the initial therapy of hypertension
Sign_symptom,hypertension,0.9971272,amlodipine besilate + benazepril hydrochloride,not indicated for the initial therapy of hypertension
Medication,atorvastatin,0.86587125,amlodipine besilate + atorvastatin,combination with other antianginal drugs
Medication,anti,0.9993187,amlodipine besilate + atorvastatin,combination with other antianginal drugs
Medication,nitrate therapy,0.99606895,amlodipine besilate + atenolol,nitrate therapy
Detailed_description,essential,0.7973219,amlodipine besilate,essential hypertension
Disease_disorder,hypertension,0.98969436,amlodipine besilate,essential hypertension
Medication,amitriptyline hydrochloride + chlordiazepoxide,0.9516775,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
Severity,moderate to severe,0.92458224,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
Sign_symptom,depression,0.9995111,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
Severity,moderate to severe,0.949106,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
Sign_symptom,anxiety,0.99970955,amitriptyline hydrochloride + chlordiazepoxide,moderate to severe depression associated with moderate to severe anxiety
Medication,amitriptyline hydrochloride,0.9956232,amitriptyline hydrochloride,indicated in- depressive illness: particularly where sedation is required
Medication,sedation,0.9654,amitriptyline hydrochloride,indicated in- depressive illness: particularly where sedation is required
Medication,amisulpride,0.999545,amisulpride,amisulpride injection is indicated in adults
Medication,amisulpride,0.9990336,amisulpride,amisulpride injection is indicated in adults
Administration,injection,0.99313277,amisulpride,amisulpride injection is indicated in adults
Age,adults,0.42353556,amisulpride,amisulpride injection is indicated in adults
Medication,amiodarone hydrochloride,0.9990519,amiodarone hydrochloride,in patients refractory to other therapy
Therapeutic_procedure,therapy,0.99900514,amiodarone hydrochloride,in patients refractory to other therapy
Diagnostic_procedure,aminophylline,0.9996773,aminophylline,adults
Detailed_description,adults,0.9969042,aminophylline,adults
Sign_symptom,weakness,0.9999323,kabid nawshadri,weakness of stomach and liver hepatitis
Biological_structure,stomach,0.9999473,kabid nawshadri,weakness of stomach and liver hepatitis
Biological_structure,liver,0.9999497,kabid nawshadri,weakness of stomach and liver hepatitis
Disease_disorder,hepatitis,0.9998857,kabid nawshadri,weakness of stomach and liver hepatitis
Lab_value,increases,0.9993363,jouban satadal,increases the secretion of testosterone &amp;
Diagnostic_procedure,testosterone,0.98812443,jouban satadal,increases the secretion of testosterone &amp;
Disease_disorder,rheumatoid arthritis,0.88053083,jogaraj guggulu,rheumatoid arthritis
Sign_symptom,digest,0.94557816,jirakaddarista,digestive disturbances
Diagnostic_procedure,jinsin,0.31076843,jinsin,anaemia immunodeficiency
Disease_disorder,anaemia,0.99489665,jinsin,anaemia immunodeficiency
Disease_disorder,immunodeficiency,0.990195,jinsin,anaemia immunodeficiency
Disease_disorder,reactive arthritis,0.90609115,jeerakaddarishta carminative,reactive arthritis
Sign_symptom,dyspepsia,0.8990549,jamani arka,"indigestion, dyspepsia"
Detailed_description,chronic,0.99993515,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough
Sign_symptom,cold,0.9984622,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough
Sign_symptom,cough,0.9998859,"jadwar [denudatum, saffron, henbane]",chronic cold catarrh &amp; cough
Detailed_description,all kinds of,0.98177606,ispaghula husk + mebeverine hydrochloride,all kinds of ibs
Disease_disorder,peptic,0.7560996,hingastak churna,"hyperacidity, peptic ulcer disease"
Disease_disorder,ulcer disease,0.99827105,hingastak churna,"hyperacidity, peptic ulcer disease"
Detailed_description,herbal,0.9995956,herbal multivitamin,anaemia of pregnancy
Medication,multi,0.62436384,herbal multivitamin,anaemia of pregnancy
Sign_symptom,anaemia,0.95798546,herbal multivitamin,anaemia of pregnancy
Detailed_description,pregnancy,0.72241205,herbal multivitamin,anaemia of pregnancy
Detailed_description,herbal,0.9971872,herbal gastric preparation,hyperacidity
Therapeutic_procedure,gastric preparation,0.9576753,herbal gastric preparation,hyperacidity
Sign_symptom,hyperacidity,0.9959131,herbal gastric preparation,hyperacidity
Detailed_description,herbal,0.99948835,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Sign_symptom,cough,0.9231419,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Therapeutic_procedure,syrup,0.572428,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Sign_symptom,smokers,0.8133186,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Sign_symptom,cough,0.9996301,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Biological_structure,throat,0.99981004,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Sign_symptom,hoarseness,0.9995187,herbal cough syrup [vasakarista],"asthma, smokers cough and throat hoarseness"
Detailed_description,herbal,0.9987708,herbal cough syrup [tulsi],no specific data available
Medication,cough,0.87538373,herbal cough syrup [tulsi],no specific data available
Therapeutic_procedure,syrup,0.62836754,herbal cough syrup [tulsi],no specific data available
Medication,arte,0.98410577,artemether + lumefantrine,malaria infections
Detailed_description,lumefan,0.57099944,artemether + lumefantrine,malaria infections
Disease_disorder,malaria,0.99982566,artemether + lumefantrine,malaria infections
Disease_disorder,infections,0.9998273,artemether + lumefantrine,malaria infections
Medication,arte,0.9356034,artemether,malaria
Disease_disorder,malaria,0.9989718,artemether,malaria
Medication,armoda,0.77784485,armodafinil,adult patients
Medication,aripi,0.97821176,aripiprazole,schizophrenia schizoaffective disorder
Disease_disorder,schizophrenia,0.9991634,aripiprazole,schizophrenia schizoaffective disorder
Disease_disorder,schizoaffective disorder,0.99941635,aripiprazole,schizophrenia schizoaffective disorder
Medication,arformoterol,0.9573759,arformoterol tartrate,important limitations of use: arformoterol ... read more
Medication,arformoterol,0.9913676,arformoterol tartrate,important limitations of use: arformoterol ... read more
Medication,arabinoxy,0.7812609,arabinoxylan,"patients who are attacked by cancer, virus, bacteria"
Sign_symptom,nausea,0.99996245,aprepitant,prevention of postoperative nausea and vomiting
Sign_symptom,vomiting,0.9999571,aprepitant,prevention of postoperative nausea and vomiting
Sign_symptom,apremi,0.9366192,apremilast,moderate to severe plaque psoriasis
Severity,moderate to severe,0.9544737,apremilast,moderate to severe plaque psoriasis
Sign_symptom,plaque,0.86113626,apremilast,moderate to severe plaque psoriasis
Medication,apixaban,0.92889804,apixaban,in patients with nonvalvular atrial fibrillation
Detailed_description,nonvalvular,0.9978922,apixaban,in patients with nonvalvular atrial fibrillation
Disease_disorder,atrial fibrillation,0.99986184,apixaban,in patients with nonvalvular atrial fibrillation
Diagnostic_procedure,apis mellifica +,0.86037064,apis mellifica + gelsemium sempervirens + gnaphalium,100% safe to use between the toes non-greasy formula
Detailed_description,between the toes,0.9324303,apis mellifica + gelsemium sempervirens + gnaphalium,100% safe to use between the toes non-greasy formula
Detailed_description,non - greasy formula,0.9964614,apis mellifica + gelsemium sempervirens + gnaphalium,100% safe to use between the toes non-greasy formula
