generic_name,cases,rating
cyclophosphamide,ovarian cance,0.44
cyclophosphamide,wegener's granulomatosis,1.0
cyclosporine,eczema,0.56
cyclosporine,idiopathic thrombocytopenic purpura,0.89
cyclosporine,keratoconjunctivitis sicca,0.42
cyclosporine,"organ transplant, rejection prophylaxis",1.0
cyclosporine,psoriasis,1.0
cyclosporine,"ulcerative colitis, active",1.0
daclatasvir,hepatitis c,1.0
danazol,angioedema,0.94
danazol,endometriosis,0.58
danazol,ibrocystic breast disease,0.89
dapsone,acne,0.69
dapsone,leukocytoclastic vasculitis,0.44
dapsone,linear iga disease,1.0
dapsone,mis,0.91
darbepoetin alfa,anemia associated with chronic renal failure,0.78
darbepoetin alfa,"anemia, chemotherapy induced",1.0
darifenacin,overactive bladde,0.76
darifenacin,urinary incontinence,0.38
dasatinib,acute lymphoblastic leukemia,1.0
dasatinib,chronic myelogenous leukemia,0.88
dasatinib,leukemia,0.5
dasatinib,not listed / othe,1.0
dehydroepiandrosterone,dietary supplementation,0.78
denosumab,giant cell tumor of bone,1.0
denosumab,hypercalcemia of malignancy,0.0
denosumab,osteolytic bone metastases of solid tumors,0.89
denosumab,osteoporosis,0.29
desloratadine,allergic rhinitis,0.54
desloratadine,urticaria,0.72
desonide,atopic dermatitis,0.91
desonide,dermatitis,0.71
desonide,eczema,0.95
desonide,psoriasis,0.83
desoximetasone,atopic dermatitis,0.79
desoximetasone,dermatitis,0.89
desoximetasone,eczema,0.78
desoximetasone,psoriasis,0.82
desvenlafaxine,adhd,0.89
desvenlafaxine,anxiety,0.71
desvenlafaxine,bipolar disorde,0.75
desvenlafaxine,depression,0.69
desvenlafaxine,ibromyalgia,0.79
desvenlafaxine,major depressive disorde,0.47
desvenlafaxine,not listed / othe,0.81
desvenlafaxine,obesity,0.81
desvenlafaxine,panic disorde,0.86
desvenlafaxine,post traumatic stress disorde,0.9
desvenlafaxine,postmenopausal symptoms,1.0
dexamethasone,addison's disease,0.93
dexamethasone,allergic rhinitis,1.0
dexamethasone,asthma,0.78
dexamethasone,atopic dermatitis,0.52
dexamethasone,cerebral edema,0.78
dexamethasone,croup,0.89
dexamethasone,dermatitis herpeti,1.0
dexamethasone,eczema,1.0
dexamethasone,inflammatory conditions,0.63
dexamethasone,lymphoma,1.0
dexamethasone,macular edema,0.0
dexamethasone,multiple myeloma,0.0
dexamethasone,multiple sclerosis,1.0
dexamethasone,"nausea/vomiting, chemotherapy induced",0.8
dexamethasone,not listed / othe,0.44
dexlansoprazole,barrett's esophagus,0.86
dexlansoprazole,erosive esophagitis,0.86
dexlansoprazole,gastroesophageal reflux disease,0.6
dexlansoprazole,gerd,0.66
dexpanthenol,dry skin,1.0
diazepam,alcohol withdrawal,0.87
diazepam,anxiety,0.87
diazepam,borderline personality disorde,0.89
diazepam,endoscopy or radiology premedication,0.83
diazepam,icu agitation,1.0
diazepam,light anesthesia,0.89
diazepam,light sedation,0.83
diazepam,meniere's disease,0.97
diazepam,muscle spasm,0.87
diazepam,night terrors,1.0
diazepam,not listed / othe,0.93
diazepam,seizure prevention,0.81
diazepam,seizures,0.7
diazepam,status epilepticus,1.0
diazepam,temporomandibular joint disorde,0.93
diazepam,tetanus,0.56
diazoxide,hypoglycemia,0.89
diclofenac potassium,gout,0.64
diclofenac sodium,gout,0.66
difluprednate,postoperative ocular inflammation,0.56
difluprednate,uveitis,1.0
digoxin,atrial fibrillation,0.61
digoxin,heart failure,0.61
dulaglutide,"diabetes, type 2",0.55
dutasteride,benign prostatic hyperplasia,0.77
echinacea,cold symptoms,0.93
echinacea,condylomata acuminata,1.0
efavirenz,hiv infection,0.47
efavirenz,nonoccupational exposure,0.89
eluxadoline,irritable bowel syndrome,0.64
empagliflozin,"diabetes, type 2",0.68
enalapril maleate,hypertension,0.51
entacapone,parkinson's disease,0.33
eplerenone,high blood pressure,0.78
eplerenone,hypertension,0.58
erlotinib,non-small cell lung cance,0.95
erlotinib,pancreatic cance,0.44
esomeprazole,barrett's esophagus,0.86
esomeprazole,duodenal ulcer prophylaxis,0.67
esomeprazole,erosive esophagitis,0.89
esomeprazole,gerd,0.75
esomeprazole,helicobacter pylori infection,1.0
esomeprazole,not listed / othe,0.94
esomeprazole,nsaid-induced gastric ulce,1.0
estradiol,atrophic urethritis,0.38
estradiol,atrophic vaginitis,0.52
estradiol,gender dysphoria,1.0
estradiol,hypoestrogenism,0.61
estradiol,not listed / othe,0.5
estradiol,oophorectomy,0.62
estradiol,osteoporosis,0.33
estradiol,postmenopausal symptoms,0.72
estradiol,primary ovarian failure,0.8
eszopiclone,insomnia,0.56
etanercept,ankylosing spondylitis,0.8
etanercept,behcet's disease,0.56
etanercept,juvenile idiopathic arthritis,0.83
etanercept,juvenile rheumatoid arthritis,0.78
etanercept,not listed / othe,1.0
etanercept,plaque psoriasis,0.83
etanercept,psoriasis,0.8
etanercept,psoriatic arthritis,0.81
etanercept,rheumatoid arthritis,0.84
etanercept,still's disease,0.89
ethambutol,"mycobacterium avium-intracellulare, treatment",0.0
ethosuximide,seizures,0.9
etodolac,gout,0.56
etodolac,juvenile rheumatoid arthritis,1.0
etodolac,osteoarthritis,0.74
etodolac,pain,0.7
etodolac,rheumatoid arthritis,0.78
evening primrose oil,chronic fatigue syndrome,0.0
evening primrose oil,hot flashes,1.0
evening primrose oil,premenstrual dysphoric disorde,0.94
evening primrose oil,sjogren's syndrome,1.0
everolimus,brain tum,0.78
everolimus,breast cance,0.6
everolimus,pancreatic cance,0.89
everolimus,renal cell carcinoma,0.67
ezetimibe,high cholesterol,0.44
ezetimibe,"high cholesterol, familial heterozygous",0.96
ezetimibe,hypercholesterolemia,0.36
famciclovir,cold sores,0.85
famciclovir,"herpes simplex, mucocutaneous/immunocompetent host",0.93
famciclovir,"herpes simplex, suppression",1.0
famciclovir,herpes zoste,0.78
famciclovir,herpes zoster,0.58
famotidine,allergic urticaria,0.72
famotidine,duodenal ulce,0.78
famotidine,gastroesophageal reflux disease,0.64
famotidine,gerd,0.44
famotidine,indigestion,0.06
famotidine,not listed / othe,1.0
famotidine,urticaria,0.61
febuxostat,gout,0.83
fenofibrate,hypercholesterolemia,0.31
fenofibrate,hyperlipoproteinemia,0.46
fenofibrate,"hyperlipoproteinemia type iia, elevated ldl",0.52
fenofibrate,hypertriglyceridemia,0.6
fenofibrate,not listed / othe,0.94
ferric citrate,hyperphosphatemia of renal failure,0.78
ferrous fumarate,iron deficiency anemia,1.0
ferrous gluconate,iron deficiency anemia,0.89
ferrous gluconate,vitamin/mineral supplementation during pregnancy/lactation,1.0
ferrous sulfate,iron deficiency anemia,0.57
ferrous sulfate,vitamin/mineral supplementation during pregnancy/lactation,1.0
filgrastim,neutropenia,1.0
filgrastim,neutropenia associated with chemotherapy,1.0
flibanserin,hypoactive sexual desire disorde,0.47
fluconazole,candida urinary tract infection,0.67
fluconazole,candidemia,0.93
fluconazole,esophageal candidiasis,1.0
fluconazole,"onychomycosis, toenail",0.94
fluconazole,oral candidiasis,0.56
fluconazole,oral thrush,1.0
fluconazole,systemic candidiasis,0.78
fluconazole,tinea corporis,1.0
fluconazole,tinea cruris,0.89
fluconazole,tinea versicol,0.5
fluconazole,ungal pneumonia,0.11
fluconazole,vaginal yeast infection,0.66
fluconazole,vulvovaginal candidiasis,0.56
fluorouracil,actinic keratosis,0.66
fluorouracil,adenocarcinoma of pancreas,0.5
fluorouracil,basal cell carcinoma,0.78
fluorouracil,colorectal cancer,0.5
fluorouracil,keratosis,0.84
fluorouracil,skin cance,0.79
fluorouracil,warts,0.0
flurazepam,insomnia,0.88
flurbiprofen,back pain,0.96
flurbiprofen,gout,0.85
flurbiprofen,period pain,0.78
flurbiprofen,rheumatoid arthritis,0.56
flurbiprofen,sciatica,1.0
fluvastatin,hypercholesterolemia,0.56
fluvastatin,prevention of cerebrovascular accident,0.56
folic acid,lic acid deficiency,0.78
folic acid,vitamin/mineral supplementation and deficiency,1.0
furosemide,edema,0.72
furosemide,heart failure,0.94
furosemide,high blood pressure,0.59
furosemide,hypercalcemia,0.67
furosemide,hypertension,0.37
gabapentin,alcohol withdrawal,0.86
gabapentin,anxiety,0.78
gabapentin,benign essential trem,0.67
gabapentin,bipolar disorde,0.84
gabapentin,burning mouth syndrome,0.0
gabapentin,cough,0.89
gabapentin,diabetic peripheral neuropathy,0.63
gabapentin,epilepsy,0.64
gabapentin,hot flashes,0.88
gabapentin,ibromyalgia,0.63
gabapentin,insomnia,0.77
gabapentin,migraine,0.76
gabapentin,neuropathic pain,0.64
gabapentin,not listed / othe,0.82
gabapentin,occipital neuralgia,1.0
gabapentin,pain,0.61
gabapentin,peripheral neuropathy,0.66
gabapentin,postherpetic neuralgia,0.74
gabapentin,pruritus,0.67
gabapentin,pudendal neuralgia,0.33
gabapentin,reflex sympathetic dystrophy syndrome,0.6
gabapentin,restless legs syndrome,0.81
gabapentin,small fiber neuropathy,0.22
gabapentin,spondylolisthesis,0.56
gabapentin,syringomyelia,0.56
gabapentin,transverse myelitis,0.67
gabapentin,trigeminal neuralgia,0.86
gabapentin,vulvodynia,0.69
gefitinib,non-small cell lung cance,0.96
gemcitabine,adenocarcinoma of pancreas,0.46
gemcitabine,"breast cancer, metastatic",0.67
gemcitabine,pancreatic cance,0.7
gemfibrozil,high cholesterol,0.67
gemifloxacin,bronchitis,0.33
gemifloxacin,pneumonia,0.28
gentian violet,oral thrush,0.67
glimepiride,"diabetes, type 2",0.74
glipizide,"diabetes, type 2",0.64
glipizide,not listed / othe,0.78
glycerin,constipation,0.69
golimumab,ankylosing spondylitis,0.7
golimumab,psoriatic arthritis,0.6
golimumab,rheumatoid arthritis,0.68
golimumab,ulcerative colitis,0.94
granisetron,"nausea/vomiting, chemotherapy induced",0.9
granisetron,"nausea/vomiting, postoperative",1.0
halcinonide,dermatitis,1.0
halcinonide,eczema,0.89
halobetasol propionate,atopic dermatitis,0.86
haloperidol,aggressive behavi,0.0
haloperidol,dementia,0.19
haloperidol,icu agitation,0.0
haloperidol,mania,0.44
haloperidol,nausea/vomiting,0.3
haloperidol,not listed / othe,1.0
haloperidol,psychosis,0.72
haloperidol,tourette's syndrome,0.48
hydrochlorothiazide,edema,0.59
hydrochlorothiazide,high blood pressure,0.5
hydrochlorothiazide,hypertension,0.49
hydrochlorothiazide,nephrocalcinosis,0.69
hydrocortisone,addison's disease,0.85
hydrocortisone,adrenocortical insufficiency,0.69
hydrocortisone,atopic dermatitis,0.48
hydrocortisone,dermatitis,0.76
hydrocortisone,eczema,0.87
hydrocortisone,hemorrhoids,0.67
hydrocortisone,inflammatory conditions,0.89
hydrocortisone,pruritus,0.72
hydrocortisone,psoriasis,1.0
hydrocortisone,skin rash,1.0
hydrocortisone,ulcerative proctitis,0.33
hydrocortisone acetate,atopic dermatitis,0.47
hydrocortisone acetate,hemorrhoids,0.31
hydrocortisone butyrate,atopic dermatitis,0.62
hydroquinone,dermatological disorders,0.08
hydroxocobalamin,vitamin b12 deficiency,0.0
hydroxyurea,"anemia, sickle cell",0.67
hydroxyurea,not listed / othe,1.0
hydroxyurea,polycythemia vera,0.0
hydroxyurea,thrombocythemia,0.44
hylan g-f 20,osteoarthritis,0.6
ibrutinib,chronic lymphocytic leukemia,0.49
ibuprofen,back pain,0.7
ibuprofen,cystic fibrosis,1.0
ibuprofen,eve,0.89
ibuprofen,fever,0.64
ibuprofen,gout,0.65
ibuprofen,"gout, acute",0.93
ibuprofen,headache,0.81
ibuprofen,muscle pain,0.58
ibuprofen,neck pain,0.0
ibuprofen,not listed / othe,0.44
ibuprofen,osteoarthritis,0.94
ibuprofen,pain,0.86
ibuprofen,patent ductus arteriosus,0.44
ibuprofen,period pain,0.67
ibuprofen,rheumatoid arthritis,1.0
ibuprofen,sciatica,0.64
ibuprofen,spondylolisthesis,0.11
ibuprofen,temporomandibular joint disorde,0.78
ibuprofen,toothache,1.0
ibuprofen,zen shoulde,0.78
ifosfamide,testicular cance,1.0
iloperidone,bipolar disorde,0.84
iloperidone,psychosis,0.58
iloperidone,schizophrenia,0.65
imiquimod,basal cell carcinoma,0.71
imiquimod,condylomata acuminata,0.75
imiquimod,human papilloma virus,0.68
imiquimod,keratosis,0.67
indapamide,edema,0.6
indapamide,high blood pressure,1.0
indapamide,hypertension,0.54
indapamide,not listed / othe,0.56
infliximab,ankylosing spondylitis,0.67
infliximab,behcet's disease,0.94
infliximab,crohn's disease,0.5
infliximab,"crohn's disease, acute",0.62
infliximab,"crohn's disease, maintenance",0.75
infliximab,juvenile idiopathic arthritis,0.89
infliximab,psoriasis,0.96
infliximab,psoriatic arthritis,0.84
infliximab,rheumatoid arthritis,0.81
infliximab,sjogren's syndrome,0.44
infliximab,ulcerative colitis,0.68
infliximab,uveitis,0.85
insulin aspart,"diabetes, type 1",0.89
insulin aspart,"diabetes, type 2",0.7
insulin degludec,"diabetes, type 1",0.47
insulin degludec,"diabetes, type 2",0.61
