drugName,condition,rating,usefulCount
lorazepam,anxiety,1,20
colchicine,"gout, acute",1,11
citalopram,depression,10,17
amitriptyline,interstitial cystitis,10,66
levofloxacin,bladder infection,7,15
levonorgestrel,emergency contraception,10,1
omeprazole,erosive esophagitis,7,21
fluoride,prevention of dental caries,10,5
amitriptyline,pain,8,176
turmeric,herbal supplementation,8,85
aripiprazole,depression,10,50
secukinumab,plaque psoriasis,10,30
metoclopramide,migraine,4,6
nifedipine,raynaud's syndrome,8,7
clonazepam,anxiety,10,20
tizanidine,muscle spasm,4,36
morphine,pain,10,29
medroxyprogesterone,birth control,8,4
methylphenidate,adhd,5,16
aripiprazole,depression,3,94
oxymorphone,pain,9,5
clarithromycin,sinusitis,1,5
methylphenidate,adhd,9,11
vardenafil,erectile dysfunction,1,41
fluoxetine,depression,9,126
levonorgestrel,birth control,10,2
oxazepam,anxiety,10,32
lurasidone,bipolar disorde,10,1
norethindrone,birth control,10,8
diclofenac,back pain,10,41
gabapentin,restless legs syndrome,10,47
amitriptyline,reflex sympathetic dystrophy syndrome,3,2
metformin,polycystic ovary syndrome,1,19
infliximab,rheumatoid arthritis,10,75
tiotropium,"copd, maintenance",6,39
venlafaxine,generalized anxiety disorde,9,48
sertraline,depression,10,45
paroxetine,anxiety and stress,5,19
hydroxyzine,allergies,9,48
ramipril,high blood pressure,7,52
morphine,pain,1,12
ezetimibe,high cholesterol,2,12
doxycycline,bronchitis,6,16
atomoxetine,adhd,10,16
mefenamic acid,period pain,2,5
minocycline,skin or soft tissue infection,2,0
estradiol,atrophic vaginitis,9,117
metronidazole,bacterial vaginitis,9,2
sertraline,anxiety and stress,6,41
medroxyprogesterone,endometriosis,10,82
escitalopram,irritable bowel syndrome,10,13
desvenlafaxine,depression,9,9
omalizumab,"asthma, maintenance",10,36
levonorgestrel,emergency contraception,10,14
hydrochlorothiazide,high blood pressure,1,36
apri,birth control,8,1
minocycline,acne,1,3
tizanidine,muscle spasm,9,10
mometasone,eczema,10,16
copper,birth control,10,8
bupropion,depression,9,43
medroxyprogesterone,abnormal uterine bleeding,4,15
phenylephrine,nasal congestion,10,0
azithromycin,chlamydia infection,7,5
vilazodone,depression,3,9
varenicline,smoking cessation,10,19
meloxicam,inflammatory conditions,8,94
clozapine,schizophrenia,8,67
olopatadine,seasonal allergic conjunctivitis,9,18
pregabalin,ibromyalgia,8,29
ciprofloxacin,sinusitis,6,25
lurasidone,bipolar disorde,10,41
doxycycline,urinary tract infection,10,48
metronidazole,diverticulitis,5,28
medroxyprogesterone,birth control,1,2
mirabegron,overactive bladde,10,118
hydroxychloroquine,systemic lupus erythematosus,10,26
nitrofurantoin,urinary tract infection,1,13
tramadol,pain,2,4
valsartan,high blood pressure,6,40
cyclobenzaprine,nan,1,38
moxifloxacin,"conjunctivitis, bacterial",10,3
tinidazole,bacterial vaginitis,8,16
citalopram,anxiety and stress,8,28
alprazolam,panic disorde,6,25
ondansetron,nausea/vomiting,9,13
clonazepam,insomnia,1,33
oxymetazoline,rosacea,9,0
pregabalin,pain,10,27
gabapentin,spondylolisthesis,4,6
miconazole,vaginal yeast infection,10,3
levonorgestrel,birth control,10,11
valacyclovir,cold sores,10,8
escitalopram,anxiety,10,23
temazepam,insomnia,10,22
levonorgestrel,birth control,8,3
levonorgestrel,birth control,1,1
armodafinil,obstructive sleep apnea/hypopnea syndrome,8,31
cipro,sinusitis,1,17
levonorgestrel,emergency contraception,10,3
levonorgestrel,birth control,1,4
gabapentin,pain,6,68
ketorolac,pain,10,1
lansoprazole,stomach ulce,10,16
bupropion,smoking cessation,10,43
prazosin,post traumatic stress disorde,10,39
vancomycin,bacterial infection,8,56
metoclopramide,migraine,10,6
tadalafil,erectile dysfunction,10,29
chloral hydrate,insomnia,10,16
naproxen,rheumatoid arthritis,10,105
diclofenac,rheumatoid arthritis,10,23
fluconazole,vaginal yeast infection,1,12
desvenlafaxine,depression,3,13
venlafaxine,depression,1,15
isotretinoin,acne,10,12
duloxetine,depression,9,68
denosumab,osteoporosis,2,100
propranolol,mance anxiety,10,1
hydroxyzine,anxiety,5,5
cefdinir,tonsillitis/pharyngitis,1,5
lamotrigine,bipolar disorde,10,42
acetazolamide,pseudotumor cerebri,7,5
zolmitriptan,migraine,9,0
gemfibrozil,high cholesterol,10,77
varenicline,smoking cessation,10,68
levonorgestrel,birth control,8,21
diltiazem,high blood pressure,9,39
levonorgestrel,birth control,6,13
rizatriptan,migraine,9,5
varenicline,smoking cessation,9,12
linaclotide,constipation,8,58
sitagliptin,"diabetes, type 2",10,77
ceftriaxone,otitis media,9,9
miconazole,vaginal yeast infection,1,3
aripiprazole,depression,10,160
zoledronic acid,osteoporosis,1,26
anastrozole,"breast cancer, metastatic",10,33
desloratadine,allergic rhinitis,1,15
cyclobenzaprine,ibromyalgia,9,38
citalopram,generalized anxiety disorde,9,31
diclofenac,pain,9,17
venlafaxine,depression,9,43
propranolol,high blood pressure,8,57
amitriptyline,pain,10,118
ziprasidone,bipolar disorde,8,15
atomoxetine,adhd,7,0
venlafaxine,depression,10,172
lisinopril,high blood pressure,9,41
melatonin,insomnia,10,112
terbinafine,"onychomycosis, toenail",1,12
lorazepam,insomnia,10,102
lurasidone,bipolar disorde,9,78
lamotrigine,depression,2,4
bupropion,depression,10,97
anastrozole,breast cance,2,115
venlafaxine,hot flashes,10,127
azithromycin,bacterial endocarditis prevention,1,1
temazepam,insomnia,1,26
nifedipine,hypertensive emergency,9,6
desvenlafaxine,depression,5,22
indomethacin,"gout, acute",10,18
lorazepam,not listed / othe,7,8
morphine,chronic pain,6,30
azithromycin,not listed / othe,5,1
infliximab,behcet's disease,9,18
tiotropium,"copd, maintenance",6,7
lubiprostone,"constipation, chronic",4,16
apri,birth control,9,5
bupropion,depression,9,93
quetiapine,borderline personality disorde,7,7
celecoxib,rheumatoid arthritis,9,4
simvastatin,high cholesterol,1,68
amoxicillin,bladder infection,3,2
tadalafil,erectile dysfunction,10,52
hydroxyzine,anxiety,8,85
dapagliflozin,"diabetes, type 2",1,0
aripiprazole,schizophrenia,10,33
cefdinir,bronchitis,1,4
oxymorphone,pain,2,27
duloxetine,ibromyalgia,9,12
clonazepam,anxiety,10,97
tamoxifen,"breast cancer, adjuvant",10,44
imiquimod,basal cell carcinoma,6,1
miconazole,vaginal yeast infection,2,14
etanercept,ankylosing spondylitis,10,22
trospium,overactive bladde,4,15
lisinopril,high blood pressure,10,102
armodafinil,narcolepsy,7,7
mometasone,eczema,10,12
orlistat,obesity,3,59
pregabalin,diabetic peripheral neuropathy,10,90
venlafaxine,depression,2,23
sertraline,depression,8,24
pregabalin,generalized anxiety disorde,2,23
tamsulosin,benign prostatic hyperplasia,5,2
levonorgestrel,emergency contraception,10,11
lisinopril,high blood pressure,5,20
methylphenidate,adhd,8,17
escitalopram,anxiety,9,30
nitrofurantoin,urinary tract infection,1,37
verapamil,arrhythmia,6,4
pentazocine,pain,10,1
apremilast,psoriatic arthritis,7,13
paroxetine,depression,8,13
ciclesonide,"asthma, maintenance",7,18
canagliflozin,"diabetes, type 2",1,17
megestrol,weight loss,9,12
nitrofurantoin,bladder infection,4,10
escitalopram,depression,9,60
montelukast,asthma,4,7
acyclovir,cold sores,10,21
mirtazapine,anxiety,10,14
propranolol,mance anxiety,10,26
levonorgestrel,emergency contraception,10,8
gabapentin,pain,4,27
pantoprazole,gerd,1,99
gabapentin,ibromyalgia,8,166
armodafinil,chronic fatigue syndrome,8,39
methylprednisolone,"gout, acute",9,20
linaclotide,"constipation, chronic",1,21
dimenhydrinate,motion sickness,10,13
levonorgestrel,birth control,8,2
temazepam,insomnia,5,53
duloxetine,pain,8,5
nitrofurantoin,urinary tract infection,8,12
desvenlafaxine,depression,10,26
cefdinir,sinusitis,1,13
doxycycline,acne,6,7
letrozole,"breast cancer, adjuvant",5,53
valacyclovir,cold sores,7,18
cefuroxime,sinusitis,10,81
levomilnacipran,depression,5,20
sucralfate,gerd,2,12
clonazepam,panic disorde,10,51
armodafinil,chronic fatigue syndrome,10,66
lamotrigine,depression,7,11
levonorgestrel,emergency contraception,10,0
olanzapine,schizoaffective disorde,1,2
tadalafil,benign prostatic hyperplasia,9,124
dulaglutide,"diabetes, type 2",10,48
copper,birth control,10,10
miconazole,vaginal yeast infection,3,5
citalopram,anxiety and stress,9,63
escitalopram,generalized anxiety disorde,3,4
medroxyprogesterone,abnormal uterine bleeding,5,8
levonorgestrel,birth control,6,8
rizatriptan,migraine,7,8
omalizumab,urticaria,1,6
desvenlafaxine,depression,5,6
escitalopram,anxiety,7,9
progesterone,"endometrial hyperplasia, prophylaxis",10,6
adapalene,acne,10,4
amitriptyline,migraine prevention,7,39
lamotrigine,bipolar disorde,10,9
valacyclovir,cold sores,10,33
tramadol,pain,9,31
promethazine,sedation,10,66
cyclobenzaprine,muscle spasm,4,58
bupropion,depression,5,42
citalopram,anxiety and stress,9,413
venlafaxine,depression,1,25
alprazolam,anxiety,8,34
methylprednisolone,immunosuppression,3,4
azithromycin,chlamydia infection,7,3
fluoxetine,anxiety and stress,10,27
bupropion,adhd,9,47
metronidazole,bacterial vaginitis,5,2
levonorgestrel,emergency contraception,10,13
quetiapine,bipolar disorde,9,10
cyclobenzaprine,migraine,9,43
oseltamivir,influenza,10,14
ziprasidone,schizophrenia,1,11
naproxen,sciatica,10,124
denosumab,osteoporosis,10,132
vilazodone,depression,1,41
minoxidil,alopecia,7,40
fluoxetine,depression,7,28
bupropion,depression,1,30
bupropion,depression,3,3
linaclotide,"constipation, chronic",9,66
gabapentin,neuropathic pain,10,12
tramadol,vulvodynia,10,24
adalimumab,plaque psoriasis,10,18
fluoxetine,premenstrual dysphoric disorde,10,26
letrozole,breast cance,7,177
nilotinib,chronic myelogenous leukemia,10,3
loratadine,urticaria,10,26
citalopram,depression,3,29
venlafaxine,anxiety,2,10
amitriptyline,anxiety and stress,1,12
levofloxacin,sinusitis,9,55
citalopram,depression,9,37
dexlansoprazole,gerd,10,26
doxycycline,acne,8,14
copper,birth control,1,5
sertraline,generalized anxiety disorde,8,13
apri,polycystic ovary syndrome,1,3
bupropion,depression,10,42
naphazoline,nasal congestion,10,24
naproxen,pain,9,11
infliximab,psoriasis,10,0
ranitidine,gerd,8,34
mycophenolate mofetil,myasthenia gravis,10,14
risperidone,social anxiety disorde,10,90
risperidone,anxiety,8,44
metoprolol,high blood pressure,7,10
lamotrigine,bipolar disorde,3,28
fluoxetine,depression,9,1
miconazole,vaginal yeast infection,1,2
levonorgestrel,emergency contraception,10,17
metformin,"diabetes, type 2",1,21
citalopram,depression,10,18
bisacodyl,bowel preparation,1,10
adalimumab,psoriasis,2,15
escitalopram,anxiety,10,53
escitalopram,depression,5,5
dulaglutide,"diabetes, type 2",9,22
fexofenadine,allergic rhinitis,10,13
gabapentin,ibromyalgia,4,28
vilazodone,major depressive disorde,8,27
bupropion,depression,1,20
guaifenesin,cough,10,54
modafinil,hypersomnia,1,4
ciprofloxacin,bacterial infection,1,8
copper,birth control,10,24
diazepam,anxiety,8,71
dexamethasone,asthma,8,15
citalopram,depression,8,22
duloxetine,diabetic peripheral neuropathy,10,45
dexlansoprazole,gerd,1,20
fluorouracil,keratosis,10,10
tretinoin,acne,8,6
docusate,constipation,2,27
clobetasol,dermatitis,8,7
dapsone,acne,1,4
gabapentin,insomnia,8,101
medroxyprogesterone,abnormal uterine bleeding,1,9
pramipexole,restless legs syndrome,10,12
sertraline,panic disorde,10,79
nystatin,vaginal yeast infection,8,20
venlafaxine,depression,8,11
diclofenac,pain,10,66
levonorgestrel,birth control,10,2
medroxyprogesterone,birth control,10,15
venlafaxine,anxiety,1,5
oxymorphone,pain,6,16
levonorgestrel,abnormal uterine bleeding,9,37
venlafaxine,depression,1,17
fluorouracil,warts,1,12
tamsulosin,benign prostatic hyperplasia,4,8
racepinephrine,"asthma, acute",10,4
hydrochlorothiazide,high blood pressure,1,37
fluoxetine,anxiety and stress,9,149
magnesium hydroxide,acne,10,4
adalimumab,rheumatoid arthritis,1,22
loratadine,allergic rhinitis,3,17
ketorolac,pain,9,10
fluticasone,allergic rhinitis,10,4
carbamazepine,trigeminal neuralgia,10,14
lubiprostone,"constipation, chronic",10,24
isotretinoin,acne,10,5
escitalopram,anxiety,2,24
lamotrigine,depression,9,76
lurasidone,bipolar disorde,5,28
methylphenidate,adhd,8,13
levetiracetam,seizures,10,11
tranexamic acid,menorrhagia,9,77
citalopram,depression,8,771
esomeprazole,gerd,10,16
desvenlafaxine,anxiety,2,9
duloxetine,ibromyalgia,5,5
tramadol,pain,8,5
promethazine,nausea/vomiting,10,5
bupropion,depression,8,29
levomilnacipran,depression,1,34
testosterone,"hypogonadism, male",6,5
paroxetine,depression,6,17
anastrozole,breast cance,10,24
quetiapine,insomnia,10,34
varenicline,smoking cessation,10,25
sertraline,anxiety and stress,10,100
hydrocortisone,skin rash,10,4
duloxetine,depression,10,61
medroxyprogesterone,endometriosis,1,36
duloxetine,generalized anxiety disorde,10,15
escitalopram,anxiety,10,73
atorvastatin,high cholesterol,1,70
tizanidine,muscle spasm,10,65
tioconazole,vaginal yeast infection,1,4
carisoprodol,muscle spasm,9,58
topiramate,obesity,9,314
promethazine,nausea/vomiting,8,5
