usp_category,usp_class,usp_drug,drug_example
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen lysine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketoprofen,ketoprofen sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,ketorolac
Analgesics,Nonsteroidal Anti-inflammatory Drugs,ketorolac,ketorolac tromethamine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamic acid
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamate sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meclofenamate,meclofenamate sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,mefenamic acid,mefenamic acid
Analgesics,Nonsteroidal Anti-inflammatory Drugs,meloxicam,meloxicam
Analgesics,Nonsteroidal Anti-inflammatory Drugs,nabumetone,nabumetone
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen sodium
Analgesics,Nonsteroidal Anti-inflammatory Drugs,naproxen,naproxen etemesil
Analgesics,Nonsteroidal Anti-inflammatory Drugs,oxaprozin,oxaprozin
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam betadex
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam cinnamate
Analgesics,Nonsteroidal Anti-inflammatory Drugs,piroxicam,piroxicam olamine
Analgesics,Nonsteroidal Anti-inflammatory Drugs,sulindac,sulindac
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,tolmetin
Analgesics,Nonsteroidal Anti-inflammatory Drugs,tolmetin,tolmetin sodium
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,hydromorphone
Analgesics,"Opioid Analgesics, Long-acting",hydromorphone,hydromorphone hydrochloride
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,fentanyl
Analgesics,"Opioid Analgesics, Long-acting",fentanyl,fentanyl citrate
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,levorphanol
Analgesics,"Opioid Analgesics, Long-acting",levorphanol,levorphanol tartrate
Analgesics,"Opioid Analgesics, Long-acting",methadone,methadone
Analgesics,"Opioid Analgesics, Long-acting",methadone,methadone hydrochloride
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine sulfate
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine hydrochloride hydrate
Analgesics,"Opioid Analgesics, Long-acting",morphine,morphine tartrate
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone hydrochloride
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,compound oxycodone
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone terephthalate
Analgesics,"Opioid Analgesics, Long-acting",oxycodone,oxycodone hydrochloride hydrate
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,oxymorphone
Analgesics,"Opioid Analgesics, Long-acting",oxymorphone,oxymorphone hydrochloride
Analgesics,"Opioid Analgesics, Long-acting",tramadol,tramadol
Analgesics,"Opioid Analgesics, Long-acting",tramadol,tramadol hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,butorphanol
Analgesics,"Opioid Analgesics, Short-acting",butorphanol,butorphanol tartrate
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine phosphate
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine polistirex
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine sulfate
Analgesics,"Opioid Analgesics, Short-acting",codeine,codeine hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,fentanyl
Analgesics,"Opioid Analgesics, Short-acting",fentanyl,fentanyl citrate
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,hydromorphone
Analgesics,"Opioid Analgesics, Short-acting",hydromorphone,hydromorphone hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",meperidine,pethidine
Analgesics,"Opioid Analgesics, Short-acting",meperidine,meperidine hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,nalbuphine
Analgesics,"Opioid Analgesics, Short-acting",nalbuphine,nalbuphine hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,compound oxycodone
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone terephthalate
Analgesics,"Opioid Analgesics, Short-acting",oxycodone,oxycodone hydrochloride hydrate
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,oxymorphone
Analgesics,"Opioid Analgesics, Short-acting",oxymorphone,oxymorphone hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine lactate
Analgesics,"Opioid Analgesics, Short-acting",pentazocine,pentazocine hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,tapentadol
Analgesics,"Opioid Analgesics, Short-acting",tapentadol,tapentadol hydrochloride
Analgesics,"Opioid Analgesics, Short-acting",tramadol,tramadol
Analgesics,"Opioid Analgesics, Short-acting",tramadol,tramadol hydrochloride
Anesthetics,Local Anesthetics,lidocaine,lidocaine
Anesthetics,Local Anesthetics,lidocaine,lidocaine hydrochloride
Anesthetics,Local Anesthetics,lidocaine,lidocaine hydrochloride monohydrate
Anesthetics,Local Anesthetics,lidocaine and prilocaine,lidocaine - prilocaine mixt
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,acamprosate
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,acamprosate,acamprosate calcium
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,disulfiram,disulfiram
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,naltrexone
Anti-Addiction/Substance Abuse Treatment Agents,Alcohol Deterrents/Anti-craving,naltrexone,naltrexone hydrochloride
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,buprenorphine
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine,buprenorphine hydrochloride
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,buprenorphine/naloxone,buprenorphine - naloxone mixt
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,naltrexone
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Dependence Treatments,naltrexone,naltrexone hydrochloride
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,naloxone
Anti-Addiction/Substance Abuse Treatment Agents,Opioid Reversal Agents,naloxone,naloxone hydrochloride
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion hydrochloride
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,bupropion,bupropion hydrobromide
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine bitartrate
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,nicotine,nicotine polacrilex
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,varenicline
Anti-Addiction/Substance Abuse Treatment Agents,Smoking Cessation Agents,varenicline,varenicline tartrate
Antibacterials,Aminoglycosides,amikacin,amikacin
Antibacterials,Aminoglycosides,amikacin,amikacin sulfate
Antibacterials,Aminoglycosides,gentamicin,gentamicin
Antibacterials,Aminoglycosides,gentamicin,gentamicin sulfate
Antibacterials,Aminoglycosides,kanamycin,kanamycin sulfate
Antibacterials,Aminoglycosides,kanamycin,kanamycin sulfate
Antibacterials,Aminoglycosides,neomycin,neomycin
Antibacterials,Aminoglycosides,neomycin,neomycin sulfate
Antibacterials,Aminoglycosides,neomycin,neomycin palmitate
Antibacterials,Aminoglycosides,neomycin,neomycin undecylenate
Antibacterials,Aminoglycosides,paromomycin,paromomycin
Antibacterials,Aminoglycosides,paromomycin,paromomycin sulfate
Antibacterials,Aminoglycosides,streptomycin,streptomycin
Antibacterials,Aminoglycosides,streptomycin,streptomycin sulfate
Antibacterials,Aminoglycosides,tobramycin,tobramycin
Antibacterials,Aminoglycosides,tobramycin,tobramycin sulfate
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,cefadroxil
Antibacterials,"Beta-lactam, Cephalosporins",cefadroxil,cefadroxil
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin sodium
Antibacterials,"Beta-lactam, Cephalosporins",cefazolin,cefazolin sodium hydrate
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cefalexin
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cephalexin
Antibacterials,"Beta-lactam, Cephalosporins",cephalexin,cephalexin hydrochloride
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,cefaclor
Antibacterials,"Beta-lactam, Cephalosporins",cefaclor,cefaclor
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,cefoxitin
Antibacterials,"Beta-lactam, Cephalosporins",cefoxitin,cefoxitin sodium
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,cefprozil
Antibacterials,"Beta-lactam, Cephalosporins",cefprozil,cefprozil
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime axetil
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime sodium
Antibacterials,"Beta-lactam, Cephalosporins",cefuroxime,cefuroxime pivoxetil
Antibacterials,"Beta-lactam, Cephalosporins",cefdinir,cefdinir
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,cefditoren
Antibacterials,"Beta-lactam, Cephalosporins",cefditoren,cefditoren pivoxil
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,cefixime
Antibacterials,"Beta-lactam, Cephalosporins",cefixime,cefixime hydrate
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,cefotaxime
Antibacterials,"Beta-lactam, Cephalosporins",cefotaxime,cefotaxime sodium
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,cefpodoxime
Antibacterials,"Beta-lactam, Cephalosporins",cefpodoxime,cefpodoxime proxetil
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,ceftazidime
Antibacterials,"Beta-lactam, Cephalosporins",ceftazidime,ceftazidime
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,ceftibuten
Antibacterials,"Beta-lactam, Cephalosporins",ceftibuten,ceftibuten hydrate
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,ceftriaxone
Antibacterials,"Beta-lactam, Cephalosporins",ceftriaxone,ceftriaxone sodium
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,cefepime
Antibacterials,"Beta-lactam, Cephalosporins",cefepime,cefepime hydrochloride
Antibacterials,"Beta-lactam, Cephalosporins",ceftaroline,ceftaroline fosamil
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin
Antibacterials,"Beta-lactam, Penicillins",amoxicillin,amoxicillin sodium
Antibacterials,"Beta-lactam, Penicillins",amoxicillin and clavulanate potassium,amoxicillin - potassium clavulanate combination
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin hydrate
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin sodium
Antibacterials,"Beta-lactam, Penicillins",ampicillin,ampicillin benzathine
Antibacterials,"Beta-lactam, Penicillins",ampicillin sodium and sulbactam sodium,ampicillin sodium and sulbactam sodium for injection
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin sodium
Antibacterials,"Beta-lactam, Penicillins",piperacillin,piperacillin
Antibacterials,"Beta-lactam, Penicillins",penicillin g,benzylpenicillin
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g potassium
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g benzathine
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g procaine
Antibacterials,"Beta-lactam, Penicillins",penicillin g,penicillin g sodium
Antibacterials,"Beta-lactam, Penicillins",penicillin g,clemizole penicillin
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v potassium
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v benzathine
Antibacterials,"Beta-lactam, Penicillins",penicillin v,phenoxymethylpenicillin benzathine
Antibacterials,"Beta-lactam, Penicillins",penicillin v,penicillin v hydrabamine
Antibacterials,"Beta-lactam, Penicillins",penicillin v,phenoxymethylpenicillin calcium
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,dicloxacillin
Antibacterials,"Beta-lactam, Penicillins",dicloxacillin,dicloxacillin sodium
Antibacterials,"Beta-lactam, Penicillins",nafcillin,nafcillin
Antibacterials,"Beta-lactam, Penicillins",nafcillin,nafcillin sodium
Antibacterials,"Beta-lactam, Penicillins",oxacillin,oxacillin
Antibacterials,"Beta-lactam, Penicillins",oxacillin,oxacillin sodium
Antibacterials,"Beta-lactam, Other",aztreonam,aztreonam
Antibacterials,"Beta-lactam, Other",aztreonam,aztreonam lysine
Antibacterials,"Beta-lactam, Other",doripenem,doripenem
Antibacterials,"Beta-lactam, Other",doripenem,doripenem hydrate
Antibacterials,"Beta-lactam, Other",ertapenem,ertapenem
Antibacterials,"Beta-lactam, Other",ertapenem,ertapenem sodium
Antibacterials,"Beta-lactam, Other",imipenem and cilastatin sodium,imipenem hydrate - cilastatin sodium
Antibacterials,"Beta-lactam, Other",meropenem,meropenem
Antibacterials,"Beta-lactam, Other",meropenem,meropenem
Antibacterials,Macrolides,azithromycin,azithromycin
Antibacterials,Macrolides,azithromycin,azithromycin hydrate
Antibacterials,Macrolides,azithromycin,azithromycin
Antibacterials,Macrolides,clarithromycin,clarithromycin
Antibacterials,Macrolides,clarithromycin,clarithromycin lactobionate
Antibacterials,Macrolides,erythromycin,erythromycin
Antibacterials,Macrolides,erythromycin,erythromycin estolate
Antibacterials,Macrolides,erythromycin,erythromycin ethylsuccinate
Antibacterials,Macrolides,erythromycin,erythromycin lactobionate
Antibacterials,Macrolides,erythromycin,erythromycin stearate
Antibacterials,Macrolides,erythromycin,erythromycin acistrate
Antibacterials,Macrolides,erythromycin,erythromycin gluceptate
Antibacterials,Macrolides,erythromycin,erythromycin propionate
Antibacterials,Macrolides,erythromycin,erythromycin salnacedin
Antibacterials,Macrolides,erythromycin,erythromycin thiocyanate
Antibacterials,Macrolides,erythromycin,erythromycin stinoprate
Antibacterials,Macrolides,fidaxomicin,fidaxomicin
Antibacterials,Macrolides,telithromycin,telithromycin
Antibacterials,Quinolones,besifloxacin,besifloxacin hydrochloride
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin hydrochloride
Antibacterials,Quinolones,ciprofloxacin,ciprofloxacin lactate
Antibacterials,Quinolones,gatifloxacin,gatifloxacin
Antibacterials,Quinolones,gatifloxacin,gatifloxacin
Antibacterials,Quinolones,gemifloxacin,gemifloxacin
Antibacterials,Quinolones,gemifloxacin,gemifloxacin mesylate
Antibacterials,Quinolones,levofloxacin,levofloxacin
Antibacterials,Quinolones,levofloxacin,levofloxacin
Antibacterials,Quinolones,moxifloxacin,moxifloxacin
Antibacterials,Quinolones,moxifloxacin,moxifloxacin hydrochloride
Antibacterials,Quinolones,norfloxacin,norfloxacin
Antibacterials,Quinolones,norfloxacin,norfloxacin nicotinate
Antibacterials,Quinolones,ofloxacin,ofloxacin
Antibacterials,Quinolones,ofloxacin,ofloxacin hydrochloride
Antibacterials,Sulfonamides,sulfacetamide,sulfacetamide
Antibacterials,Sulfonamides,sulfacetamide,sulfacetamide sodium
Antibacterials,Sulfonamides,sulfadiazine,sulfadiazine
Antibacterials,Sulfonamides,sulfadiazine,sulfadiazine sodium
Antibacterials,Sulfonamides,sulfadiazine,"sulfadiazine, silver"
Antibacterials,Sulfonamides,sulfamethoxazole and trimethoprim,co-trimoxazole
Antibacterials,Tetracyclines,demeclocycline,demeclocycline
Antibacterials,Tetracyclines,demeclocycline,demeclocycline hydrochloride
Antibacterials,Tetracyclines,doxycycline,doxycycline
Antibacterials,Tetracyclines,doxycycline,doxycycline
Antibacterials,Tetracyclines,doxycycline,doxycycline hyclate
Antibacterials,Tetracyclines,doxycycline,doxycycline calcium
Antibacterials,Tetracyclines,doxycycline,doxycycline fosfatex
Antibacterials,Tetracyclines,doxycycline,doxycycline hydrochloride
Antibacterials,Tetracyclines,minocycline,minocycline
Antibacterials,Tetracyclines,minocycline,minocycline hydrochloride
Antibacterials,Tetracyclines,tetracycline,tetracycline
Antibacterials,Tetracyclines,tetracycline,tetracycline hydrochloride
Antibacterials,Tetracyclines,tetracycline,tetracycline metaphosphate
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim sulfate
Antibacterials,"Antibacterials, Other",trimethoprim,trimethoprim lactate
Antibacterials,"Antibacterials, Other",vancomycin,vancomycin
Antibacterials,"Antibacterials, Other",vancomycin,vancomycin hydrochloride
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin phosphate
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin palmitate hydrochloride
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin hydrochloride
Antibacterials,"Antibacterials, Other",clindamycin,clindamycin phosphate hydrate
Antibacterials,"Antibacterials, Other",lincomycin,lincomycin
Antibacterials,"Antibacterials, Other",lincomycin,lincomycin hydrochloride hydrate
Antibacterials,"Antibacterials, Other",nitrofurantoin,nitrofurantoin
Antibacterials,"Antibacterials, Other",linezolid,linezolid
Antibacterials,"Antibacterials, Other",acetic acid,"acetic acid, glacial"
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin methylene disalicylate
Antibacterials,"Antibacterials, Other",bacitracin,bacitracin zinc
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol palmitate
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol sodium succinate
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol stearate
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol succinate
Antibacterials,"Antibacterials, Other",chloramphenicol,chloramphenicol pantothenate complex
Antibacterials,"Antibacterials, Other",daptomycin,daptomycin
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin tromethamine
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin calcium hydrate
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin sodium
Antibacterials,"Antibacterials, Other",fosfomycin,fosfomycin calcium
Antibacterials,"Antibacterials, Other",gramicidin,gramicidin
Antibacterials,"Antibacterials, Other",gramicidin,gramicidin s hydrochloride
Antibacterials,"Antibacterials, Other",mafenide,mafenide
Antibacterials,"Antibacterials, Other",mafenide,mafenide acetate
Antibacterials,"Antibacterials, Other",mafenide,homosulfamine
Antibacterials,"Antibacterials, Other",methenamine,methenamine
Antibacterials,"Antibacterials, Other",methenamine,methenamine hippurate
Antibacterials,"Antibacterials, Other",methenamine,methenamine mandelate
Antibacterials,"Antibacterials, Other",methenamine,methenamine sulfosalicylate
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole hydrochloride
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole phosphate
Antibacterials,"Antibacterials, Other",metronidazole,metronidazole benzoate
Antibacterials,"Antibacterials, Other",mupirocin,mupirocin
Antibacterials,"Antibacterials, Other",mupirocin,mupirocin calcium
Antibacterials,"Antibacterials, Other",polymyxin b,polymyxin b
Antibacterials,"Antibacterials, Other",polymyxin b,polymyxin b sulfate
Antibacterials,"Antibacterials, Other",retapamulin,retapamulin
Antibacterials,"Antibacterials, Other",rifaximin,rifaximin
Antibacterials,"Antibacterials, Other",telavancin,telavancin hydrochloride
Antibacterials,"Antibacterials, Other",tinidazole,tinidazole
Antibacterials,"Antibacterials, Other",tigecycline,tigecycline
Anticonvulsants,Calcium Channel Modifying Agents,ethosuximide,ethosuximide
Anticonvulsants,Calcium Channel Modifying Agents,methsuximide,methsuximide
Anticonvulsants,Calcium Channel Modifying Agents,pregabalin,pregabalin
Anticonvulsants,Calcium Channel Modifying Agents,zonisamide,zonisamide
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clobazam,clobazam
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clonazepam,clonazepam
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,clorazepate dipotassium
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,clorazepate,clorazepate monopotassium
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,diazepam,diazepam
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,lorazepam,lorazepam
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,mephobarbital,mephobarbital
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,primidone
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,divalproex,divalproex sodium
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,gabapentin
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,gabapentin,gabapentin enacarbil
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,primidone,primidone
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,tiagabine
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,tiagabine,tiagabine hydrochloride
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,valproic acid
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,divalproex sodium
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,valproate sodium
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,valproate,calcium valproate
Anticonvulsants,Gamma-aminobutyric Acid (GABA) Augmenting Agents,vigabatrin,vigabatrin
Anticonvulsants,Glutamate Reducing Agents,felbamate,felbamate
Anticonvulsants,Glutamate Reducing Agents,lamotrigine,lamotrigine
Anticonvulsants,Glutamate Reducing Agents,perampanel,perampanel
Anticonvulsants,Glutamate Reducing Agents,perampanel,perampanel hydrate
Anticonvulsants,Glutamate Reducing Agents,topiramate,topiramate
Anticonvulsants,Sodium Channel Agents,carbamazepine,carbamazepine
Anticonvulsants,Sodium Channel Agents,eslicarbazepine,eslicarbazepine
Anticonvulsants,Sodium Channel Agents,eslicarbazepine,eslicarbazepine acetate
Anticonvulsants,Sodium Channel Agents,ethotoin,ethotoin
Anticonvulsants,Sodium Channel Agents,fosphenytoin,fosphenytoin
Anticonvulsants,Sodium Channel Agents,fosphenytoin,fosphenytoin sodium
Anticonvulsants,Sodium Channel Agents,fosphenytoin,fosphenytoin sodium hydrate
Anticonvulsants,Sodium Channel Agents,lacosamide,lacosamide
Anticonvulsants,Sodium Channel Agents,oxcarbazepine,oxcarbazepine
Anticonvulsants,Sodium Channel Agents,phenytoin,phenytoin
Anticonvulsants,Sodium Channel Agents,phenytoin,phenytoin sodium
Anticonvulsants,Sodium Channel Agents,rufinamide,rufinamide
Anticonvulsants,"Anticonvulsants, Other",levetiracetam,levetiracetam
Anticonvulsants,"Anticonvulsants, Other",ezogabine,ezogabine
Antidementia Agents,Cholinesterase Inhibitors,donepezil,donepezil
Antidementia Agents,Cholinesterase Inhibitors,donepezil,donepezil hydrochloride
Antidementia Agents,Cholinesterase Inhibitors,galantamine,galantamine
Antidementia Agents,Cholinesterase Inhibitors,galantamine,galantamine hydrobromide
Antidementia Agents,Cholinesterase Inhibitors,rivastigmine,rivastigmine
Antidementia Agents,Cholinesterase Inhibitors,rivastigmine,rivastigmine tartrate
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist,memantine,memantine
Antidementia Agents,N-methyl-D-aspartate (NMDA) Receptor Antagonist,memantine,memantine hydrochloride
Antidementia Agents,"Antidementia Agents, Other",ergoloid mesylates,ergoloid mesylates
Antidepressants,Monoamine Oxidase Inhibitors,phenelzine,phenelzine
Antidepressants,Monoamine Oxidase Inhibitors,phenelzine,phenelzine sulfate
