group,indication,score,contraindications_description,generic_name,contraindication_result
medication,acitretin,0.9722704,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
history,childbearing potential,0.6388588,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acit,0.9246838,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acitret,0.92899305,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
disease_disorder,renal impairment,0.99940026,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acitretin,0.8668826,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,retinoids,0.99730724,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,vitamin a,0.9995806,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acitret,0.8488278,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acitret,0.6977768,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine.",acitretin,patients with severe hepatic or renal impairment
medication,acetylc,0.8879846,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria.",acetylcysteine,patients suffering from phenylketonuria
medication,acetylcyst,0.91288656,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria.",acetylcysteine,patients suffering from phenylketonuria
medication,acetazolamide,0.99084777,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma",acetazolamide,marked kidney and liver diseases or dysfunction
medication,acetazolamide,0.99101526,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma",acetazolamide,marked kidney and liver diseases or dysfunction
disease_disorder,closure glaucoma,0.98944044,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma",acetazolamide,marked kidney and liver diseases or dysfunction
medication,nsaids,0.9991362,aceclofenac is contraindicated in patients with known hypersensitivity to it or in whom aspirin or nsaids precipitate attacks of asthma.,aceclofenac,asthma
disease_disorder,cardiovascular,0.6639602,"there is no evidence available on contraindication. but caution should be taken in hypertension, dm, bph, cardiovascular diseases and with other cns stimulant.",balarista,"hypertension, dm, bph, cardiovascular diseases"
medication,bacopa,0.8928561,"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa.",bacopa extract [natural memory enhancer],"hyperthyroidism, fever and acute infection"
family_history,allergy to plants,0.6011263,andrographis is contraindicated in cases of known allergy to plants of the acanthaceae family,andrographis paniculata,known allergy to plants
family_history,the acanthaceae family,0.6815362,andrographis is contraindicated in cases of known allergy to plants of the acanthaceae family,andrographis paniculata,known allergy to plants
disease_disorder,ulcerative colitis,0.99182624,"intestinal pathological narrow or obstruction &amp; acutely inflamed intestinal diseases, e.g, crohns disease, ulcerative colitis &amp; appendicitis.",aloe indica+ hyoscyamus niger + piper nigrum,acutely inflamed intestinal diseases
medication,alpha - 1 - blockers,0.97379476,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,medications,0.9476717,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,alfuzosin hydrochloride,0.9409714,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,alfuz,0.79255307,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,hydrochloride,0.7444017,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
disease_disorder,pectoris,0.81946594,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,alfuz,0.9301318,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
disease_disorder,renal impairment,0.995347,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
medication,hydrochlor,0.8372511,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",alfuzosin hydrochloride,no clinical safety data available in patients with severe renal impairment
