group,indication,Score,side_effects,generic_name
disease_disorder,bilia,0.91838396," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,immune system,0.7614405," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,cell carcinoma,0.9983458," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,nervous system,0.9927107," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
disease_disorder,demyelinating disorders,0.92759717," the most common adverse reaction with adalimumab was injection site reactions (erythema and/or itching, hemorrhage, pain or swelling). the most common adverse reactions leading to discontinuation of adalimumab in rheumatoid arthritis were clinical flare reaction, rash and pneumonia.  
 
 other adverse reactions of adalimumab includes- gastrointestinal disorders: diverticulitis, large bowel perforations including perforations associated with diverticulitis and appendiceal perforations associated with appendicitis, pancreatitis. 
 general disorders and administration site conditions: pyrexia. 
 hepato-biliary disorders: liver failure, hepatitis. 
 immune system disorders: sarcoidosis. 
 neoplasms benign, malignant and unspecified (including cysts and polyps): merkel cell carcinoma (neuroendocrine carcinoma of the skin). 
 nervous system disorders: demyelinating disorders (e.g., optic neuritis, guillain-barr syndrome). 
 cerebrovascular accident respiratory disorders: interstitial lung disease, including pulmonary fibrosis. 
 pulmonary embolism skin reactions: stevens johnson syndrome, cutaneous vasculitis, erythema multiforme, new or worsening psoriasis (all sub-types including pustular and palmoplantar), alopecia. 
 vascular disorders: systemic vasculitis, deep vein thrombosis. 
  ",adalimumab
sign_symptom,adverse reactions,0.99967563," the following most common adverse reactions (&lt;1%) were local skin reactions like drying or flaking of the skin; burning or tingling, erythema; pigmentation changes, application site reactions including signs and symptoms of inflammation. ",acyclovir + hydrocortisone
sign_symptom,skin reactions,0.9321515," the following most common adverse reactions (&lt;1%) were local skin reactions like drying or flaking of the skin; burning or tingling, erythema; pigmentation changes, application site reactions including signs and symptoms of inflammation. ",acyclovir + hydrocortisone
sign_symptom,drying,0.98654336," the following most common adverse reactions (&lt;1%) were local skin reactions like drying or flaking of the skin; burning or tingling, erythema; pigmentation changes, application site reactions including signs and symptoms of inflammation. ",acyclovir + hydrocortisone
sign_symptom,adverse reactions,0.99296075," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
sign_symptom,dryness,0.75440824," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
sign_symptom,flakiness,0.90086156," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
sign_symptom,stinging,0.8798617," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
sign_symptom,adverse reaction,0.9996006," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
medication,place,0.9908783," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
medication,placebo,0.9996451," the most common adverse reactions at the site of topical application were dry lips, desquamation, dryness of skin, cracked lips, burning skin, pruritus, flakiness of skin, and stinging on skin; each adverse reaction occurred in less than 1% of patients receiving acyclovircream and placebo. three patients on acyclovircream and one patient on placebo discontinued treatment due to an adverse event. ",acyclovir (topical)
sign_symptom,stinging,0.9999304," very common: superficial punctate keratopathy. this did not necessitate an early termination of therapy and healed without apparent sequelae. common: transient mild stinging of the eye occurring immediately following application, conjunctivitis. rare: blepharitis. ",acyclovir (ophthalmic)
sign_symptom,adverse reactions,0.9973279," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
sign_symptom,tremor,0.9972445," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
sign_symptom,confusion,0.8368436," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
sign_symptom,halluc,0.7153324," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
sign_symptom,inflammatory reactions,0.99773204," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
medication,acyclovir iv,0.9911206," some infrequent adverse reactions are lethargy, obtundation, tremors, confusion, hallucinations, agitation, somnolence, psychosis, convulsions and coma, phlebitis, nausea, vomiting, reversible increases in liver-related enzymes, pruritus, urticaria, rashes, increases in blood urea and creatinine. local inflammatory reactions may occur if acyclovir iv infusion is inadvertently infused into extracellular tissues. ",acyclovir (injection)
sign_symptom,adverse reactions,0.99976134," as most undesirable effects are based on post-marketing spontaneous reporting, precise frequency estimation is not possible. no adverse reactions to ultracarbon are known to occur if taken in the recommended dosage to treat the diarrhoea. after very high doses as those taken in intoxications, constipation and intestinal obstruction (mechanical ileus) may occur in individual cases; this can be prevented by administering saline laxatives (eg, sodium sulfate). as medicinal charcoal is excreted in unchanged form, the stools turn black (discoloured faeces) after intake of ultracarbon tablets. ",activated charcoal
medication,ultracarbon,0.9919897," as most undesirable effects are based on post-marketing spontaneous reporting, precise frequency estimation is not possible. no adverse reactions to ultracarbon are known to occur if taken in the recommended dosage to treat the diarrhoea. after very high doses as those taken in intoxications, constipation and intestinal obstruction (mechanical ileus) may occur in individual cases; this can be prevented by administering saline laxatives (eg, sodium sulfate). as medicinal charcoal is excreted in unchanged form, the stools turn black (discoloured faeces) after intake of ultracarbon tablets. ",activated charcoal
sign_symptom,consti,0.9958608," as most undesirable effects are based on post-marketing spontaneous reporting, precise frequency estimation is not possible. no adverse reactions to ultracarbon are known to occur if taken in the recommended dosage to treat the diarrhoea. after very high doses as those taken in intoxications, constipation and intestinal obstruction (mechanical ileus) may occur in individual cases; this can be prevented by administering saline laxatives (eg, sodium sulfate). as medicinal charcoal is excreted in unchanged form, the stools turn black (discoloured faeces) after intake of ultracarbon tablets. ",activated charcoal
sign_symptom,intestinal obstruction,0.93641156," as most undesirable effects are based on post-marketing spontaneous reporting, precise frequency estimation is not possible. no adverse reactions to ultracarbon are known to occur if taken in the recommended dosage to treat the diarrhoea. after very high doses as those taken in intoxications, constipation and intestinal obstruction (mechanical ileus) may occur in individual cases; this can be prevented by administering saline laxatives (eg, sodium sulfate). as medicinal charcoal is excreted in unchanged form, the stools turn black (discoloured faeces) after intake of ultracarbon tablets. ",activated charcoal
sign_symptom,adverse reactions,0.9991071, most common adverse reactions (incidence 3% and more common than with placebo) include: upper respiratory tract infection and headache. ,aclidinium bromide + formoterol fumarate
sign_symptom,infection,0.8158817, most common adverse reactions (incidence 3% and more common than with placebo) include: upper respiratory tract infection and headache. ,aclidinium bromide + formoterol fumarate
sign_symptom,adverse effects,0.96279234," adverse effects are seen in most patients receiving acitretin. most of the clinical side-effects of acitretin are dose-related and are usually well-tolerated at the recommended dosages. however, the toxic dose of acitretin is close to the therapeutic dose and most patients experience some side-effects during theinitial period whilst dosage is being adjusted. the skin and mucous membranes are most commonly affected. an initial worsening of psoriasis symptoms issometimes seen at the beginning of the treatment period. ",acitretin
medication,acitret,0.8778185," adverse effects are seen in most patients receiving acitretin. most of the clinical side-effects of acitretin are dose-related and are usually well-tolerated at the recommended dosages. however, the toxic dose of acitretin is close to the therapeutic dose and most patients experience some side-effects during theinitial period whilst dosage is being adjusted. the skin and mucous membranes are most commonly affected. an initial worsening of psoriasis symptoms issometimes seen at the beginning of the treatment period. ",acitretin
sign_symptom,side - effects,0.99886227," adverse effects are seen in most patients receiving acitretin. most of the clinical side-effects of acitretin are dose-related and are usually well-tolerated at the recommended dosages. however, the toxic dose of acitretin is close to the therapeutic dose and most patients experience some side-effects during theinitial period whilst dosage is being adjusted. the skin and mucous membranes are most commonly affected. an initial worsening of psoriasis symptoms issometimes seen at the beginning of the treatment period. ",acitretin
medication,acetylcysteine,0.96098167," like all medicines, acetylcysteine can cause side effects, although not everybody gets them. in very rare cases, severe immune reactions may occur such as anaphylactic shock and severe skin reaction. in rare cases the oral administration can be followed by shortness of breath, upset stomach and bronchospasm. the most frequent side effects are headache, increased heart rate, stomatitis, pruritus, urticaria, nausea, vomiting, abdominal pain, fever, decrease in the blood pressure, diarrhoea and noises in the ears. ",acetylcysteine
sign_symptom,immune reactions,0.99899364," like all medicines, acetylcysteine can cause side effects, although not everybody gets them. in very rare cases, severe immune reactions may occur such as anaphylactic shock and severe skin reaction. in rare cases the oral administration can be followed by shortness of breath, upset stomach and bronchospasm. the most frequent side effects are headache, increased heart rate, stomatitis, pruritus, urticaria, nausea, vomiting, abdominal pain, fever, decrease in the blood pressure, diarrhoea and noises in the ears. ",acetylcysteine
sign_symptom,shortness of breath,0.9714336," like all medicines, acetylcysteine can cause side effects, although not everybody gets them. in very rare cases, severe immune reactions may occur such as anaphylactic shock and severe skin reaction. in rare cases the oral administration can be followed by shortness of breath, upset stomach and bronchospasm. the most frequent side effects are headache, increased heart rate, stomatitis, pruritus, urticaria, nausea, vomiting, abdominal pain, fever, decrease in the blood pressure, diarrhoea and noises in the ears. ",acetylcysteine
sign_symptom,upset stomach,0.8013763," like all medicines, acetylcysteine can cause side effects, although not everybody gets them. in very rare cases, severe immune reactions may occur such as anaphylactic shock and severe skin reaction. in rare cases the oral administration can be followed by shortness of breath, upset stomach and bronchospasm. the most frequent side effects are headache, increased heart rate, stomatitis, pruritus, urticaria, nausea, vomiting, abdominal pain, fever, decrease in the blood pressure, diarrhoea and noises in the ears. ",acetylcysteine
sign_symptom,depressed,0.9707345," common side effects include anorexia, nausea, vomiting, diarrhoea and constipation, peptic ulceration, headache, dizziness &amp; vertigo. rarely confusion, depressed mood, oedema, chest pain, blood urea elevation are found. ",acemetacin
medication,aceclofenac,0.9441322,"  aceclofenac is a non-steroidal drug with anti-inflammatory and analgesic properties. it is a potent inhibitor of the enzyme cyclooxygenase, which is involved in the production of prostaglandin. after oral administration, it is rapidly and completely absorbed an unchanged drug.  ",aceclofenac
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,"bandish [oak galls, tannic acid]"
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,"mudir [aloe, saffron, ferrus sulphate]"
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,salep + coconut + poppy seeds +  almond
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,nux-vomica + black pepper + long pepper
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,belgiri [bael fruit + connessi bark]
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,almond + coconut + edible pine + salep
sign_symptom,side effect,0.7559587, no significant side effect has been observed in the therapeutic dosage. ,acacia + dates + asparagus + edible pine
medication,bacopa,0.9844163, there are no side effects associated with the use of bacopa in the above mentioned therapeutic doses. bacopa has been used safely as an ayurvedic medicine for hundreds of years. ,bacopa extract [natural memory enhancer]
sign_symptom,hazards,0.943784, no health hazards or side effects are known in conjunction with the proper administration of designated therapeutic dosages. ,aushokarist [saraca indica]
sign_symptom,effects,0.99212086, no health hazards or side effects are known in conjunction with the proper administration of designated therapeutic dosages. ,aushokarist [saraca indica]
sign_symptom,side effect,0.99700356, no significant side effect has been observed in proper dosage. ,antacid [unani]
