Entity Group,Word,Score,Sentence
Medication,strong,0.88223565,"febrile diarrhoea. medicinal charcoal should not be taken in the case of intoxication with corrosive substances (strong acids and alkalis) as this would complicate diagnostic measures eg, oesophagoscopy and gastroscopy."
Medication,beta 2,0.78207266,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product."
Medication,formoterol fumarate,0.9966464,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product."
Medication,corticosteroid,0.9960429,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product."
Medication,formoterol fumarate,0.99763346,"use of a long-acting beta 2-adrenergic agonist (laba), including formoterol fumarate, one of the active ingredients in this combination, without an inhaled corticosteroid is contraindicated in patients with asthma. hypersensitivity to aclidinium bromide or formoterol fumarate or to any component of this product."
Medication,acitretin,0.9722704,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
History,childbearing potential,0.6388588,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Therapeutic_procedure,contraception,0.9816108,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Duration,2 years,0.86329496,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,acit,0.9246838,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,acitret,0.92899305,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Severity,severe,0.9980812,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Disease_disorder,renal impairment,0.99940026,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Detailed_description,chronic,0.9970228,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Lab_value,abnormal,0.95304406,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Lab_value,elevated,0.98449475,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Diagnostic_procedure,blood lipid,0.89240366,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,acitretin,0.8668826,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,retinoids,0.99730724,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,vitamin a,0.9995806,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Sign_symptom,hyper,0.94228816,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,acitret,0.8488278,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Sign_symptom,hyper,0.9997336,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Medication,acitret,0.6977768,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Therapeutic_procedure,glucose - galactosemalabsorption,0.91926235,"acitretin is highly teratogenic and must not be used by women who are pregnant. the same applies to women of childbearing potential unless strict contraception is practiced 4 weeks before, during and for 2 years after treatment. the use of acitretin is contra-indicated in women who are breast feeding.acitretin is contraindicated in patients with severe hepatic or renal impairment and in patients with chronic abnormally elevated blood lipid values. concomitant administration of acitretin with other retinoids or vitamin a is contra-indicated due to the risk of hypervitaminosis a. acitretin is contra-indicated in cases of hypersensitivity to the preparation (acitretin or excipients) or to other retinoids. patients with rare glucose-galactosemalabsorption should not take this medicine."
Sign_symptom,hypersensitivity,0.99284905,known hypersensitivity to any of the ingredients of this preparation.
Lab_value,hyper,0.6883476,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria."
Medication,acetylc,0.8879846,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria."
Medication,acetylcyst,0.91288656,"known hypersensitivity to acetylcysteine. acetylcysteine contains aspartame, thus it is contraindicated in patients suffering from phenylketonuria."
Medication,acetazolamide,0.99084777,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Detailed_description,marked,0.48618293,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Biological_structure,kidney,0.99979824,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Biological_structure,liver,0.9917099,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Diagnostic_procedure,sodium,0.9993544,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Diagnostic_procedure,potassium,0.9998473,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Diagnostic_procedure,blood,0.9961379,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Diagnostic_procedure,serum,0.9994862,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Medication,acetazolamide,0.99101526,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Detailed_description,chronic,0.9996941,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Disease_disorder,closure glaucoma,0.98944044,"acetazolamide is contraindicated in cases of marked kidney and liver diseases or dysfunction, in situations in which sodium and or potassium blood serum levels decreased. acetazolamide is also contraindicated in patients with chronic noncongestive angle closure glaucoma"
Sign_symptom,hypersensitivity,0.8948389,known hypersensitivity to any of the ingredients of this preparation
Coreference,this,0.96860415,known hypersensitivity to any of the ingredients of this preparation
Coreference,preparation,0.8595671,known hypersensitivity to any of the ingredients of this preparation
Sign_symptom,hypersensitivity,0.9989972,aceclofenac is contraindicated in patients with known hypersensitivity to it or in whom aspirin or nsaids precipitate attacks of asthma.
Medication,nsaids,0.9991362,aceclofenac is contraindicated in patients with known hypersensitivity to it or in whom aspirin or nsaids precipitate attacks of asthma.
Disease_disorder,cardiovascular,0.6639602,"there is no evidence available on contraindication. but caution should be taken in hypertension, dm, bph, cardiovascular diseases and with other cns stimulant."
Medication,bacopa,0.8928561,"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa."
Sign_symptom,fever,0.98733413,"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa."
Detailed_description,acute,0.9146094,"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa."
Clinical_event,talk,0.9958584,"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa."
Sign_symptom,hypersensitive,0.828206,there is no evidence available on contraindication but it may happen in-patient who is hypersensitive to any of its ingredients.
Family_history,allergy to plants,0.6011263,andrographis is contraindicated in cases of known allergy to plants of the acanthaceae family
Family_history,the acanthaceae family,0.6815362,andrographis is contraindicated in cases of known allergy to plants of the acanthaceae family
Biological_structure,intestinal,0.997205,"intestinal pathological narrow or obstruction &amp; acutely inflamed intestinal diseases, e.g, crohns disease, ulcerative colitis &amp; appendicitis."
Sign_symptom,obstruction,0.98707205,"intestinal pathological narrow or obstruction &amp; acutely inflamed intestinal diseases, e.g, crohns disease, ulcerative colitis &amp; appendicitis."
Disease_disorder,ulcerative colitis,0.99182624,"intestinal pathological narrow or obstruction &amp; acutely inflamed intestinal diseases, e.g, crohns disease, ulcerative colitis &amp; appendicitis."
Administration,tablet,0.97960573,allopurinol tablet is contra-indicated in patients withknown hypersensitive to allopurinol.
Sign_symptom,hypersensitivity,0.75116706,this gel should not be used in patients with known hypersensitivity to any of its ingredients.
Medication,alpha - 1 - blockers,0.97379476,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea."
Medication,medications,0.9476717,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea."
Sign_symptom,symptoms,0.75713015,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea."
Time,a few hours,0.98335165,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea."
