group,indication,Score,drug_class,generic_name
detailed_description,combined,0.93485177,combined bronchodilators,vilanterol + umeclidinium + fluticasone furoate
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,aclidinium bromide + formoterol fumarate
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,formoterol fumarate + glycopyrrolate + budesonide
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,indacaterol + glycopyrronium
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,salbutamol + ipratropium (solution for inhalation)
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,salbutamol + ipratropium (inhaler)
therapeutic_procedure,bronchodilators,0.93598926,combined bronchodilators,vilanterol + umeclidinium + fluticasone furoate
diagnostic_procedure,oral retinoid preparations,0.9383651,oral retinoid preparations,acitretin
diagnostic_procedure,oral retinoid preparations,0.9383651,oral retinoid preparations,tretinoin (oral)
therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions,acidic component [hco3 hemodialysis solution]
therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions,acetate formulation [hemodialysis solution]
therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions,bicarbonate component [hco3 hemodialysis solution]
therapeutic_procedure,haemodialysis solutions,0.99399763,haemodialysis solutions,hartmann's solution
medication,carbonic,0.579399,carbonic anhydrase inhibitor,acetazolamide
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),acemetacin
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),cetalkonium chloride + choline salicylate
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),diclofenac sodium + methyl salicylate + linseed oil + menthol
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),etoricoxib
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),ketoprofen (topical)
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),lornoxicam
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),nimesulide
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),parecoxib
medication,steroidal anti - inflammatory drugs,0.983231,non-steroidal anti-inflammatory drugs (nsaids),paracetamol+tramadolhydrochloride
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),acemetacin
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),cetalkonium chloride + choline salicylate
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),diclofenac sodium + methyl salicylate + linseed oil + menthol
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),etoricoxib
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),ketoprofen (topical)
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),lornoxicam
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),nimesulide
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),parecoxib
medication,nsaids,0.83558786,non-steroidal anti-inflammatory drugs (nsaids),paracetamol+tramadolhydrochloride
medication,drugs,0.97521734,drugs for osteoarthritis,aceclofenac
medication,drugs,0.97521734,drugs for osteoarthritis,celecoxib
medication,drugs,0.97521734,drugs for osteoarthritis,dexketoprofen
medication,drugs,0.97521734,drugs for osteoarthritis,dexibuprofen
medication,drugs,0.97521734,drugs for osteoarthritis,diclofenac sodium + misoprostol
medication,drugs,0.97521734,drugs for osteoarthritis,diclofenac sodium + lidocaine hydrochloride
medication,drugs,0.97521734,drugs for osteoarthritis,diclofenac sodium
medication,drugs,0.97521734,drugs for osteoarthritis,diclofenac potassium
medication,drugs,0.97521734,drugs for osteoarthritis,etodolac
medication,drugs,0.97521734,drugs for osteoarthritis,flurbiprofen
medication,drugs,0.97521734,drugs for osteoarthritis,ibuprofen
medication,drugs,0.97521734,drugs for osteoarthritis,hylan g-f 20
medication,drugs,0.97521734,drugs for osteoarthritis,indomethacin (rectal)
medication,drugs,0.97521734,drugs for osteoarthritis,indomethacin (oral)
medication,drugs,0.97521734,drugs for osteoarthritis,ketoprofen (oral & injection)
medication,drugs,0.97521734,drugs for osteoarthritis,menaquinone-7
medication,drugs,0.97521734,drugs for osteoarthritis,meloxicam
medication,drugs,0.97521734,drugs for osteoarthritis,mefenamic acid
medication,drugs,0.97521734,drugs for osteoarthritis,naproxen sodium + esomeprazole magnesium
medication,drugs,0.97521734,drugs for osteoarthritis,naproxen sodium
medication,drugs,0.97521734,drugs for osteoarthritis,nabumetone
medication,drugs,0.97521734,drugs for osteoarthritis,oxaprozin
medication,drugs,0.97521734,drugs for osteoarthritis,secukinumab
medication,drugs,0.97521734,drugs for osteoarthritis,salsalate
medication,drugs,0.97521734,drugs for osteoarthritis,sodium hyaluronate (injection)
medication,drugs,0.97521734,drugs for osteoarthritis,sulindac
medication,drugs,0.97521734,drugs for osteoarthritis,tenoxicam
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,aceclofenac
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,celecoxib
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,dexketoprofen
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,dexibuprofen
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,diclofenac sodium + misoprostol
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,diclofenac sodium + lidocaine hydrochloride
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,diclofenac sodium
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,diclofenac potassium
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,etodolac
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,flurbiprofen
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,ibuprofen
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,hylan g-f 20
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,indomethacin (rectal)
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,indomethacin (oral)
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,ketoprofen (oral & injection)
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,menaquinone-7
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,meloxicam
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,mefenamic acid
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,naproxen sodium + esomeprazole magnesium
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,naproxen sodium
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,nabumetone
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,oxaprozin
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,secukinumab
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,salsalate
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,sodium hyaluronate (injection)
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,sulindac
disease_disorder,osteoarthritis,0.9525166,drugs for osteoarthritis,tenoxicam
medication,herbal,0.5304499,herbal and nutraceuticals,"bandish [oak galls, tannic acid]"
medication,herbal,0.5304499,herbal and nutraceuticals,balarista
medication,herbal,0.5304499,herbal and nutraceuticals,bacopa extract [natural memory enhancer]
medication,herbal,0.5304499,herbal and nutraceuticals,aushokarist [saraca indica]
medication,herbal,0.5304499,herbal and nutraceuticals,aswagandharista
medication,herbal,0.5304499,herbal and nutraceuticals,ashokarista
medication,herbal,0.5304499,herbal and nutraceuticals,arjunarista
medication,herbal,0.5304499,herbal and nutraceuticals,aravindasav
medication,herbal,0.5304499,herbal and nutraceuticals,antacid [unani]
medication,herbal,0.5304499,herbal and nutraceuticals,aniseed + indian dill + black cardamom + peppermint
medication,herbal,0.5304499,herbal and nutraceuticals,andrographis paniculata
medication,herbal,0.5304499,herbal and nutraceuticals,ambergris + salep + galangal
medication,herbal,0.5304499,herbal and nutraceuticals,ambar momiyaee
medication,herbal,0.5304499,herbal and nutraceuticals,amalaki rasayana
medication,herbal,0.5304499,herbal and nutraceuticals,aloe indica+ hyoscyamus niger + piper nigrum
medication,herbal,0.5304499,herbal and nutraceuticals,dasamularista
medication,herbal,0.5304499,herbal and nutraceuticals,curcuminoids [curcuma longa]
medication,herbal,0.5304499,herbal and nutraceuticals,curcuma longa [turmeric extract]
medication,herbal,0.5304499,herbal and nutraceuticals,cranberry [vaccinium macrocarpon]
medication,herbal,0.5304499,herbal and nutraceuticals,compound asparagus
medication,herbal,0.5304499,herbal and nutraceuticals,collagen ii & gags
medication,herbal,0.5304499,herbal and nutraceuticals,chirata [swertia chirata]
medication,herbal,0.5304499,herbal and nutraceuticals,chebulic myrobalan + barberry
medication,herbal,0.5304499,herbal and nutraceuticals,camphor + thymol + menthol + eucalyptus oil
medication,herbal,0.5304499,herbal and nutraceuticals,calendula officinalis [marigold]
medication,herbal,0.5304499,herbal and nutraceuticals,buzuri
medication,herbal,0.5304499,herbal and nutraceuticals,brahmi rasayan
medication,herbal,0.5304499,herbal and nutraceuticals,black cohosh [cimicifuga racemosa]
medication,herbal,0.5304499,herbal and nutraceuticals,ginkgo biloba
medication,herbal,0.5304499,herbal and nutraceuticals,garlitab
medication,herbal,0.5304499,herbal and nutraceuticals,"fishar [snake root, potassium, magnesium]"
medication,herbal,0.5304499,herbal and nutraceuticals,fermented soy [lactobacillus delbrueckii]
medication,herbal,0.5304499,herbal and nutraceuticals,"fennel [mouri, gohkshura, kasni]"
medication,herbal,0.5304499,herbal and nutraceuticals,evening primrose oil
medication,herbal,0.5304499,herbal and nutraceuticals,espand
medication,herbal,0.5304499,herbal and nutraceuticals,emblica officinalis + piper longum
medication,herbal,0.5304499,herbal and nutraceuticals,emblic myrobalan + sesame
medication,herbal,0.5304499,herbal and nutraceuticals,emblic myrobalan + chebulic + belleric
medication,herbal,0.5304499,herbal and nutraceuticals,emblic myrobalan + aswagandha + grape
medication,herbal,0.5304499,herbal and nutraceuticals,ejaz
medication,herbal,0.5304499,herbal and nutraceuticals,echinacea
medication,herbal,0.5304499,herbal and nutraceuticals,kabid nawshadri
medication,herbal,0.5304499,herbal and nutraceuticals,jouban satadal
medication,herbal,0.5304499,herbal and nutraceuticals,jogaraj guggulu
medication,herbal,0.5304499,herbal and nutraceuticals,jirakaddarista
medication,herbal,0.5304499,herbal and nutraceuticals,jinsin
medication,herbal,0.5304499,herbal and nutraceuticals,jeerakaddarishta carminative
medication,herbal,0.5304499,herbal and nutraceuticals,jamani arka
medication,herbal,0.5304499,herbal and nutraceuticals,"jadwar [denudatum, saffron, henbane]"
medication,herbal,0.5304499,herbal and nutraceuticals,hingastak churna
medication,herbal,0.5304499,herbal and nutraceuticals,herbal multivitamin
medication,herbal,0.5304499,herbal and nutraceuticals,herbal gastric preparation
medication,herbal,0.5304499,herbal and nutraceuticals,herbal cough syrup [vasakarista]
medication,herbal,0.5304499,herbal and nutraceuticals,herbal cough syrup [tulsi]
medication,herbal,0.5304499,herbal and nutraceuticals,nabayas louha herbal haematinic
medication,herbal,0.5304499,herbal and nutraceuticals,"mustakarista [cyperus, zingiber, piper nigrum]"
medication,herbal,0.5304499,herbal and nutraceuticals,mumshik
medication,herbal,0.5304499,herbal and nutraceuticals,"mudir [aloe, saffron, ferrus sulphate]"
medication,herbal,0.5304499,herbal and nutraceuticals,monjistha [rubia cordifolia]
medication,herbal,0.5304499,herbal and nutraceuticals,menthol + camphor + eucalyptus oil + mint oil
medication,herbal,0.5304499,herbal and nutraceuticals,mentha + cinnamomum + gaultheria + capsicum
medication,herbal,0.5304499,herbal and nutraceuticals,marwareedi
medication,herbal,0.5304499,herbal and nutraceuticals,marham kharish
medication,herbal,0.5304499,herbal and nutraceuticals,mahadrakkharist [grape extract]
medication,herbal,0.5304499,herbal and nutraceuticals,lutein + zeaxanthin
medication,herbal,0.5304499,herbal and nutraceuticals,liquorice + cascara sagrada + belladona
medication,herbal,0.5304499,herbal and nutraceuticals,red clover isoflavones
medication,herbal,0.5304499,herbal and nutraceuticals,"qurs mulayin [scammony, lavender, fennel]"
medication,herbal,0.5304499,herbal and nutraceuticals,pumpkin [cucurbita pepo]
medication,herbal,0.5304499,herbal and nutraceuticals,probiotic combination [4 billion]
medication,herbal,0.5304499,herbal and nutraceuticals,probiotic combination [3.2 billion]
medication,herbal,0.5304499,herbal and nutraceuticals,probiotic combination [2.3 billion]
medication,herbal,0.5304499,herbal and nutraceuticals,probiotic combination [2 billion]
medication,herbal,0.5304499,herbal and nutraceuticals,proanthocyanidins
medication,herbal,0.5304499,herbal and nutraceuticals,prasarani sandhan
medication,herbal,0.5304499,herbal and nutraceuticals,penitab
medication,herbal,0.5304499,herbal and nutraceuticals,pechish
medication,herbal,0.5304499,herbal and nutraceuticals,patrangasav
medication,herbal,0.5304499,herbal and nutraceuticals,panax ginseng
medication,herbal,0.5304499,herbal and nutraceuticals,stevia rebaudiana
medication,herbal,0.5304499,herbal and nutraceuticals,st. johns wort
medication,herbal,0.5304499,herbal and nutraceuticals,spirulina
medication,herbal,0.5304499,herbal and nutraceuticals,sharbat musaffi
medication,herbal,0.5304499,herbal and nutraceuticals,sharbat amla
medication,herbal,0.5304499,herbal and nutraceuticals,saw palmetto (500 mg)
medication,herbal,0.5304499,herbal and nutraceuticals,saw palmetto (160 mg)
medication,herbal,0.5304499,herbal and nutraceuticals,saribadyarista
medication,herbal,0.5304499,herbal and nutraceuticals,sanoon babla
medication,herbal,0.5304499,herbal and nutraceuticals,sanjivani rasayan
medication,herbal,0.5304499,herbal and nutraceuticals,sana + revand chini + neem + chirata + tulsi
medication,herbal,0.5304499,herbal and nutraceuticals,salep + coconut + poppy seeds + almond
medication,herbal,0.5304499,herbal and nutraceuticals,"salajeet [mineral pitch, red sage]"
medication,herbal,0.5304499,herbal and nutraceuticals,saffron + sand lizard + nutmeg fruit
medication,herbal,0.5304499,herbal and nutraceuticals,#name?
medication,herbal,0.5304499,herbal and nutraceuticals,yohimbine hydrochloride
medication,herbal,0.5304499,herbal and nutraceuticals,white damar + acacia + bole rubra
medication,herbal,0.5304499,herbal and nutraceuticals,vitamin d3 + vitamin k1 + vitamin k2
medication,herbal,0.5304499,herbal and nutraceuticals,vaskar laban [piper + zingiber + cinnamomum]
medication,herbal,0.5304499,herbal and nutraceuticals,valerian root
medication,herbal,0.5304499,herbal and nutraceuticals,tocotrienol + tocopherol
medication,herbal,0.5304499,herbal and nutraceuticals,"tila jadeed [madar, mace arillus, nutmeg nut]"
medication,herbal,0.5304499,herbal and nutraceuticals,tart cherry
medication,herbal,0.5304499,herbal and nutraceuticals,tabkheer
medication,herbal,0.5304499,herbal and nutraceuticals,"suzark [chir pine, chickpea, pearl]"
medication,herbal,0.5304499,herbal and nutraceuticals,suranjan
medication,herbal,0.5304499,herbal and nutraceuticals,steviol glycoside
medication,herbal,0.5304499,herbal and nutraceuticals,saffron + mace arillus + nutmeg fruit
medication,herbal,0.5304499,herbal and nutraceuticals,saccharomyces boulardii
medication,herbal,0.5304499,herbal and nutraceuticals,rohitakarista
medication,herbal,0.5304499,herbal and nutraceuticals,rhubarb + ginger
medication,herbal,0.5304499,herbal and nutraceuticals,rehmin
medication,herbal,0.5304499,herbal and nutraceuticals,nux-vomica + black pepper + long pepper
medication,herbal,0.5304499,herbal and nutraceuticals,nimbadi churna
medication,herbal,0.5304499,herbal and nutraceuticals,nigella sativa [black seed oil]
medication,herbal,0.5304499,herbal and nutraceuticals,neem
medication,herbal,0.5304499,herbal and nutraceuticals,natural medicine for diabetes
medication,herbal,0.5304499,herbal and nutraceuticals,licorice + yellow silk cotton + mastic tree
medication,herbal,0.5304499,herbal and nutraceuticals,licorice + vasaka + basil + peppermint
medication,herbal,0.5304499,herbal and nutraceuticals,lavendar [lavendula stoechas]
medication,herbal,0.5304499,herbal and nutraceuticals,kusta qalyee [calcined stannum]
medication,herbal,0.5304499,herbal and nutraceuticals,khakshi
medication,herbal,0.5304499,herbal and nutraceuticals,herbal cough syrup [glycyrrhiza glabra]
medication,herbal,0.5304499,herbal and nutraceuticals,herbal cough syrup [adhatoda vasica]
medication,herbal,0.5304499,herbal and nutraceuticals,hazmina
medication,herbal,0.5304499,herbal and nutraceuticals,habb-e-nishat
medication,herbal,0.5304499,herbal and nutraceuticals,guggul + barberry + chebulic myrobalan
medication,herbal,0.5304499,herbal and nutraceuticals,dinar
medication,herbal,0.5304499,herbal and nutraceuticals,devils cotton + ashoka bark + aswagandha
medication,herbal,0.5304499,herbal and nutraceuticals,devil's claw
medication,herbal,0.5304499,herbal and nutraceuticals,datura + rhubarb + ginger
medication,herbal,0.5304499,herbal and nutraceuticals,date palm + betel nut + acacia
medication,herbal,0.5304499,herbal and nutraceuticals,bitter melon [korola]
medication,herbal,0.5304499,herbal and nutraceuticals,biotin
medication,herbal,0.5304499,herbal and nutraceuticals,bilberry fruit [vaccinium myrtillus l]
medication,herbal,0.5304499,herbal and nutraceuticals,belgiri [bael fruit + connessi bark]
medication,herbal,0.5304499,herbal and nutraceuticals,barsina
medication,herbal,0.5304499,herbal and nutraceuticals,aloe + black pepper + henbane
medication,herbal,0.5304499,herbal and nutraceuticals,almond + coconut + edible pine + salep
medication,herbal,0.5304499,herbal and nutraceuticals,acacia + dates + asparagus + edible pine
medication,herbal,0.5304499,herbal and nutraceuticals,abhayarista
medication,herbal,0.5304499,herbal and nutraceuticals,23 herb formula to increase breast milk
medication,drugs,0.7210219,drugs used in gout,allopurinol
medication,drugs,0.7210219,drugs used in gout,colchicine
medication,drugs,0.7210219,drugs used in gout,febuxostat
medication,drugs,0.7210219,drugs used in gout,sulfinpyrazone
history,gout,0.6896461,drugs used in gout,allopurinol
history,gout,0.6896461,drugs used in gout,colchicine
history,gout,0.6896461,drugs used in gout,febuxostat
history,gout,0.6896461,drugs used in gout,sulfinpyrazone
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,alfuzosin hydrochloride
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,darifenacin
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,dutasteride
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,flavoxate hydrochloride
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,finasteride [for b.p.h.]
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,mirabegron
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,silodosin
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride + dutasteride
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride
sign_symptom,retention,0.99770254,bph/ urinary retention/ urinary incontinence,tolterodine tartrate
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,alfuzosin hydrochloride
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,darifenacin
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,dutasteride
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,flavoxate hydrochloride
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,finasteride [for b.p.h.]
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,mirabegron
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,silodosin
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride + dutasteride
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride
detailed_description,urinary,0.8876981,bph/ urinary retention/ urinary incontinence,tolterodine tartrate
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,alfuzosin hydrochloride
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,darifenacin
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,dutasteride
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,flavoxate hydrochloride
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,finasteride [for b.p.h.]
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,mirabegron
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,silodosin
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride + dutasteride
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,tamsulosin hydrochloride
sign_symptom,incontinence,0.82377565,bph/ urinary retention/ urinary incontinence,tolterodine tartrate
diagnostic_procedure,vitamin in bone formation,0.999136,vitamin in bone formation,alfacalcidol
diagnostic_procedure,vitamin in bone formation,0.999136,vitamin in bone formation,calcitriol
diagnostic_procedure,vitamin in bone formation,0.999136,vitamin in bone formation,colecalciferol [vitamin d3]
biological_structure,bone,0.9946467,combined preparations: inhibiting bone resorption,alendronic acid + vitamin d3
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,alendronic acid
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,ibandronic acid + calcium carbonate + vitamin d3
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,ibandronic acid
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,risedronate sodium + calcium
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,risedronate sodium
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,zoledronic acid [for osteoporosis]
diagnostic_procedure,bisphosphonate preparations,0.9983842,bisphosphonate preparations,zoledronic acid [for hypercalcemia]
diagnostic_procedure,protein kinase inhibitor,0.99780685,protein kinase inhibitor,alectinib
diagnostic_procedure,protein kinase inhibitor,0.99780685,protein kinase inhibitor,abemaciclib
therapeutic_procedure,plasma expanders,0.97195196,plasma expanders,albumin (human)
therapeutic_procedure,plasma expanders,0.97195196,plasma expanders,dextran + sodium chloride
therapeutic_procedure,plasma expanders,0.97195196,plasma expanders,dextran + dextrose
therapeutic_procedure,plasma expanders,0.97195196,plasma expanders,hydroxyethyl starch + sodium chloride
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs,agomelatine
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs,bupropion hydrochloride
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs,lacosamide
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs,mirtazapine
medication,anti - depressant drugs,0.9944534,atypical anti-depressant drugs,vilazodone hydrochloride
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,aflibercept
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,bendamustine
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,brigatinib
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,bleomycin sulfate
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,cabazitaxel
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,busulfan
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,carboplatin
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,capecitabine
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,chlorambucil
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,abiraterone acetate
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,cisplatin
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,dacomitinib
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,dacarbazine
medication,chemotherapy,0.9987558,cytotoxic chemotherapy,cytarabine
