generic_name,cases,head
aspirin,fever,cold-cough-fever
aspirin,fever,cold-cough-fever
aspirin,heart failure,heart diseases
aspirin,osteoarthritis,arthritis
aspirin,pain,pain
aspirin,prevention of cerebrovascular accident,nervous system
aspirin,rheumatoid arthritis,arthritis
aspirin,sciatica,pain
aspirin,thromboembolic stroke prophylaxis,thrombosis
aspirin,transient ischemic attack,stroke
atenolol,alcohol withdrawal,alcohol
atenolol,angina,heart diseases
atenolol,anxiety,anxiety
atenolol,hypertension,hypertension
atenolol,hypertension,hypertension
atenolol,migraine prevention,migraine
atenolol,mitral valve prolapse,heart diseases
atenolol,supraventricular tachycardia,heart diseases
atenolol,ventricular tachycardia,heart diseases
avanafil,erectile dysfunction,erectile dysfunction
azathioprine,autoimmune hepatitis,hepatitis
azathioprine,crohn's disease,crohn's disease
azathioprine,"crohn's disease, acute",crohn's disease
azathioprine,"crohn's disease, maintenance",crohn's disease
azathioprine,eczema,skin
azathioprine,multiple sclerosis,sclerosis
azathioprine,myasthenia gravis,muscular
azathioprine,renal transplant,kidney disease
azathioprine,rheumatoid arthritis,arthritis
azathioprine,systemic lupus erythematosus,lupus
azathioprine,ulcerative colitis,ulcer
azathioprine,wegener's granulomatosis,inflammation
azelaic acid,acne,acne
azelaic acid,rosacea,skin
azilsartan medoxomil,hypertension,hypertension
azilsartan medoxomil,hypertension,hypertension
aztreonam,bacterial urinary tract infection,specific urinary
baclofen,alcohol withdrawal,alcohol
baclofen,cerebral spasticity,nervous system
baclofen,cervical dystonia,cervical dystonia
baclofen,chronic spasticity,chronic spasticity
baclofen,dystonia,dystonia
baclofen,hiccups,hiccups
baclofen,migraine prevention,migraine
baclofen,muscle spasm,muscular
baclofen,muscle twitching,muscular
baclofen,neuralgia,nervous system
baclofen,periodic limb movement disorder,sleep
baclofen,temporomandibular joint disorder,joint disorders
baclofen,trigeminal neuralgia,nervous system
barium sulfate,computed tomography,computed tomography
bendamustine,chronic lymphocytic leukemia,leukemia
bendamustine,non-hodgkin's lymphoma,lymphoma
benzocaine,cold sores,cold-cough-fever
benzocaine,oral and dental conditions,oral & dental
benzocaine,pain,pain
benzocaine,pruritus,skin
benzocaine,sore throat,throat
benzocaine,tonsillitis/pharyngitis,throat
benzoyl peroxide,acne,acne
benzyl alcohol,head lice,worms
besifloxacin,bacterial conjunctivitis,conjunctivitis
besifloxacin,"conjunctivitis, bacterial",conjunctivitis
betamethasone,atopic dermatitis,skin
betamethasone,dermatitis,skin
betamethasone,dermatitis,skin
betamethasone,inflammatory conditions,inflammation
betamethasone,lichen sclerosus,skin
betamethasone dipropionate,atopic dermatitis,skin
betamethasone valerate,atopic dermatitis,skin
bevacizumab,"breast cancer, metastatic",lymphoma
bevacizumab,colorectal cancer,lymphoma
bevacizumab,glioblastoma multi,glioblastoma multi
bevacizumab,macular degeneration,macular issue
bevacizumab,malignant glioma,malignant glioma
bevacizumab,non-small cell lung cancer,lymphoma
bevacizumab,ovarian cancer,lymphoma
bevacizumab,pancreatic cancer,lymphoma
bevacizumab,renal cell carcinoma,kidney disease
bicalutamide,prostate cancer,lymphoma
bimatoprost,eyelash hypotrichosis,eye
bimatoprost,"glaucoma, open angle",glaucoma
bimatoprost,intraocular hypertension,hypertension
biotin,dietary supplementation,dietary supplementation
bisacodyl,bowel preparation,bowel function
bisacodyl,constipation,constipation
bismuth subsalicylate,diarrhoea,diarrhoea
bismuth subsalicylate,"diarrhoea, chronic",diarrhoea
bismuth subsalicylate,indigestion,gastroenteritis
bivalirudin,percutaneous coronary intervention,heart diseases
bortezomib,multiple myeloma,multiple myeloma
brexpiprazole,depression,anxiety
brexpiprazole,depression,anxiety
brexpiprazole,schizophrenia,schizophrenia
brinzolamide,"glaucoma, open angle",glaucoma
brivaracetam,seizure,seizure
bumetanide,edema,edema
bumetanide,hypertension,hypertension
busulfan,chronic myelogenous leukemia,leukemia
busulfan,thrombocythemia,thrombosis
butoconazole nitrate,vulvovaginal candidiasis,candidiasis
cabergoline,hyperprolactinemia,hyperprolactinemia
cabozantinib,thyroid cancer,lymphoma
calcitriol,hypocalcemia,calcemia
calcitriol,hypoparathyroidism,thyroidism
calcitriol,psoriasis,skin
calcium acetate,hyperphosphatemia,hyperphosphatemia
calcium carbonate,gerd,gastroenteritis
calcium carbonate,hypocalcemia,calcemia
calcium carbonate,indigestion,gastroenteritis
calcium carbonate,osteoporosis,arthritis
calcium carbonate,stomach ulcer,ulcer
capecitabine,adenocarcinoma of pancreas,lymphoma
capecitabine,breast cancer,lymphoma
capecitabine,"breast cancer, metastatic",lymphoma
capecitabine,colorectal cancer,lymphoma
capecitabine,stomach cancer,lymphoma
capsaicin,back pain,pain
capsaicin,diabetic peripheral neuropathy,neurosis
capsaicin,osteoarthritis,arthritis
capsaicin,pain,pain
capsaicin,peripheral neuropathy,neurosis
capsaicin,postherpetic neuralgia,nervous system
captopril,hypertension,hypertension
captopril,hypertension,hypertension
carbamazepine,bipolar disorder,bipolar disorder
carbamazepine,cluster-tic syndrome,cluster-tic syndrome
carbamazepine,dystonia,dystonia
carbamazepine,epilepsy,epilepsy
carbamazepine,peripheral neuropathy,neurosis
carbamazepine,trigeminal neuralgia,nervous system
carboplatin,ovarian cancer,lymphoma
carisoprodol,muscle spasm,muscular
carisoprodol,nocturnal leg cramps,muscular
carvedilol,angina,heart diseases
carvedilol,atrial fibrillation,heart diseases
carvedilol,heart failure,heart diseases
carvedilol,hypertension,hypertension
carvedilol,hypertension,hypertension
carvedilol,left ventricular dysfunction,heart diseases
cefdinir,bacterial urinary tract infection,specific urinary
cefdinir,bronchitis,bronchitis
cefdinir,otitis media,otitis
cefdinir,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefdinir,pneumonia,pneumonia
cefdinir,sinusitis,sinusitis
cefdinir,skin and structure infection,skin
cefdinir,skin or soft tissue infection,skin
cefdinir,strep throat,throat
cefdinir,tonsillitis/pharyngitis,throat
cefditoren,bronchitis,bronchitis
cefditoren,skin and structure infection,skin
cefotaxime,skin or soft tissue infection,skin
cefprozil,bladder infection,infection
cefprozil,bronchitis,bronchitis
cefprozil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefprozil,pneumonia,pneumonia
cefprozil,sinusitis,sinusitis
cefprozil,tonsillitis/pharyngitis,throat
cefprozil,upper respiratory tract infection,infection
cefuroxime axetil,bacterial urinary tract infection,specific urinary
cefuroxime axetil,impetigo,impetigo
cefuroxime axetil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
celecoxib,ankylosing spondylitis,arthritis
celecoxib,gout,arthritis
celecoxib,juvenile rheumatoid arthritis,arthritis
celecoxib,osteoarthritis,arthritis
celecoxib,pain,pain
celecoxib,period pain,pain
celecoxib,rheumatoid arthritis,arthritis
cephalexin,acne,acne
cephalexin,bacterial endocarditis prevention,bacterial
cephalexin,bacterial infection,bacterial
cephalexin,bacterial urinary tract infection,specific urinary
cephalexin,bladder infection,infection
cephalexin,bone infection,infection
cephalexin,kidney infections,infection
cephalexin,otitis media,otitis
cephalexin,pharyngitis,pharyngitis
cephalexin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cephalexin,skin or soft tissue infection,skin
cephalexin,upper respiratory tract infection,infection
cetuximab,colorectal cancer,lymphoma
cetuximab,head and neck cancer,lymphoma
cetuximab,squamous cell carcinoma,squamous cell carcinoma
chlorambucil,chronic lymphocytic leukemia,leukemia
chlorambucil,lymphoma,lymphoma
chlorthalidone,edema,edema
chlorthalidone,hypertension,hypertension
chlorthalidone,hypertension,hypertension
cilostazol,intermittent claudication,intermittent claudication
cinacalcet,secondary hyperparathyroidism,thyroidism
ciprofloxacin,anthrax,anthrax
ciprofloxacin,bacterial infection,bacterial
ciprofloxacin,bacterial urinary tract infection,specific urinary
ciprofloxacin,bladder infection,infection
ciprofloxacin,bone infection,infection
ciprofloxacin,bronchitis,bronchitis
ciprofloxacin,cholera,cholera
ciprofloxacin,"conjunctivitis, bacterial",conjunctivitis
ciprofloxacin,crohn's disease,crohn's disease
ciprofloxacin,diverticulitis,bowel function
ciprofloxacin,diverticulitis of gastrointestinal tract,gastroenteritis
ciprofloxacin,"epididymitis, sexually transmitted","epididymitis, sexually transmitted"
ciprofloxacin,"gonococcal infection, uncomplicated",infection
ciprofloxacin,infectious diarrhoea,diarrhoea
ciprofloxacin,kidney infections,infection
ciprofloxacin,prostatitis,prostatitis
ciprofloxacin,sinusitis,sinusitis
ciprofloxacin,skin or soft tissue infection,skin
ciprofloxacin,traveler's diarrhoea,diarrhoea
ciprofloxacin,typhoid fever,typhoid fever
ciprofloxacin,urinary tract infection,specific urinary
cisplatin,adenocarcinoma of pancreas,lymphoma
cisplatin,brain tumor,tumor
clarithromycin,acute bacterial sinusitis,bacterial
clarithromycin,bronchitis,bronchitis
clarithromycin,dental abscess,oral & dental
clarithromycin,helicobacter pylori infection,infection
clarithromycin,legionella pneumonia,pneumonia
clarithromycin,llicular lymphoma,lymphoma
clarithromycin,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment"
clarithromycin,mycoplasma pneumonia,pneumonia
clarithromycin,otitis media,otitis
clarithromycin,pertussis,lung
clarithromycin,pharyngitis,pharyngitis
clarithromycin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
clarithromycin,pneumonia,pneumonia
clarithromycin,sinusitis,sinusitis
clarithromycin,skin and structure infection,skin
clarithromycin,skin or soft tissue infection,skin
clarithromycin,strep throat,throat
clarithromycin,tonsillitis/pharyngitis,throat
clarithromycin,upper respiratory tract infection,infection
clindamycin,acne,acne
clindamycin,aspiration pneumonia,pneumonia
clindamycin,bacterial endocarditis prevention,bacterial
clindamycin,bacterial infection,bacterial
clindamycin,bacterial vaginitis,bacterial
clindamycin,bone infection,infection
clindamycin,deep neck infection,infection
clindamycin,intraabdominal infection,infection
clindamycin,peritonitis,peritonitis
clindamycin,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease
clindamycin,sinusitis,sinusitis
clindamycin,skin or soft tissue infection,skin
clindamycin,surgical prophylaxis,surgical prophylaxis
clobazam,epilepsy,epilepsy
clobazam,lennox-gastaut syndrome,epilepsy
clonazepam,anxiety,anxiety
clonazepam,benzodiazepine withdrawal,benzodiazepine withdrawal
clonazepam,bipolar disorder,bipolar disorder
clonazepam,borderline personality disorder,mental
clonazepam,burning mouth syndrome,burning mouth syndrome
clonazepam,hyperekplexia,hyperekplexia
clonazepam,insomnia,anxiety
clonazepam,migraine prevention,migraine
clonazepam,night terrors,anxiety
clonazepam,obsessive compulsive disorder,mental
clonazepam,panic disorder,anxiety
clonazepam,periodic limb movement disorder,sleep
clonazepam,restless legs syndrome,muscular
clonazepam,seizure prevention,seizure
clonazepam,sleep paralysis,sleep
clonazepam,temporomandibular joint disorder,joint disorders
clozapine,borderline personality disorder,mental
clozapine,paranoid disorder,paranoid disorder
clozapine,schizophrenia,schizophrenia
coal tar,dermatitis,skin
coal tar,psoriasis,skin
coal tar,seborrheic dermatitis,skin
colchicine,amilial mediterranean feve,amilial mediterranean feve
colchicine,behcet's disease,behcet's disease
colchicine,"gout, acute",arthritis
colchicine,"gout, prophylaxis",arthritis
colchicine,"pseudogout, prophylaxis",arthritis
crisaborole,atopic dermatitis,skin
crizotinib,non-small cell lung cancer,lymphoma
crotamiton,pruritus,skin
crotamiton,scabies,scabies
cyanocobalamin,b12 nutritional deficiency,b12 nutritional deficiency
cyanocobalamin,schilling test,schilling test
cyanocobalamin,vitamin b12 deficiency,vitamin
cyclophosphamide,brain tumor,tumor
cyclophosphamide,chronic myelogenous leukemia,leukemia
cyclophosphamide,multiple sclerosis,sclerosis
cyclophosphamide,ovarian cancer,lymphoma
cyclophosphamide,wegener's granulomatosis,inflammation
cyclosporine,eczema,skin
cyclosporine,idiopathic thrombocytopenic purpura,thrombosis
cyclosporine,keratoconjunctivitis sicca,conjunctivitis
cyclosporine,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis"
cyclosporine,psoriasis,skin
cyclosporine,"ulcerative colitis, active",ulcer
daclatasvir,hepatitis c,hepatitis
danazol,angioedema,edema
danazol,endometriosis,endometriosis
danazol,ibrocystic breast disease,ibrocystic breast disease
dapsone,acne,acne
dapsone,leukocytoclastic vasculitis,leukocytoclastic vasculitis
dapsone,linear iga disease,linear iga disease
dapsone,mis,mis
darbepoetin alfa,anemia associated with chronic renal failure,kidney disease
darbepoetin alfa,"anemia, chemotherapy induced",anemia
darifenacin,overactive bladder,bladder
darifenacin,urinary incontinence,specific urinary
dasatinib,acute lymphoblastic leukemia,leukemia
dasatinib,chronic myelogenous leukemia,leukemia
dasatinib,leukemia,leukemia
dehydroepiandrosterone,dietary supplementation,dietary supplementation
denosumab,giant cell tumor of bone,tumor
denosumab,hypercalcemia of malignancy,calcemia
denosumab,osteolytic bone metastases of solid tumors,tumor
denosumab,osteoporosis,arthritis
desloratadine,allergic rhinitis,allergic
desloratadine,urticaria,urticaria
desonide,atopic dermatitis,skin
desonide,dermatitis,skin
desonide,eczema,skin
desonide,psoriasis,skin
desoximetasone,atopic dermatitis,skin
desoximetasone,dermatitis,skin
desoximetasone,eczema,skin
desoximetasone,psoriasis,skin
desvenlafaxine,adhd,autism
desvenlafaxine,anxiety,anxiety
desvenlafaxine,bipolar disorder,bipolar disorder
desvenlafaxine,depression,anxiety
desvenlafaxine,fibromyalgia,muscular
desvenlafaxine,depression,anxiety
desvenlafaxine,obesity,obesity
desvenlafaxine,panic disorder,anxiety
desvenlafaxine,post traumatic stress disorder,anxiety
desvenlafaxine,postmenopausal symptoms,postmenopausal symptoms
dexamethasone,addison's disease,addison's disease
dexamethasone,allergic rhinitis,allergic
dexamethasone,asthma,asthma
dexamethasone,atopic dermatitis,skin
dexamethasone,cerebral edema,nervous system
dexamethasone,croup,infection
dexamethasone,dermatitis herpetiformis,skin
dexamethasone,eczema,skin
dexamethasone,inflammatory conditions,inflammation
dexamethasone,lymphoma,lymphoma
dexamethasone,macular edema,edema
dexamethasone,multiple myeloma,multiple myeloma
dexamethasone,multiple sclerosis,sclerosis
dexamethasone,"nausea/vomiting, chemotherapy induced",nausea
dexlansoprazole,barrett's esophagus,barrett's esophagus
dexlansoprazole,erosive esophagitis,gastroenteritis
dexlansoprazole,gastroesophageal reflux disease,gastroenteritis
dexlansoprazole,gerd,gastroenteritis
dexpanthenol,dry skin,skin
diazepam,alcohol withdrawal,alcohol
diazepam,anxiety,anxiety
diazepam,borderline personality disorder,mental
diazepam,endoscopy or radiology premedication,endoscopy or radiology premedication
diazepam,icu agitation,agitation
diazepam,light anesthesia,anesthesia
diazepam,light sedation,light sedation
diazepam,meniere's disease,meniere's disease
diazepam,muscle spasm,muscular
diazepam,night terrors,anxiety
diazepam,seizure prevention,seizure
diazepam,seizure,seizure
diazepam,status epilepticus,crohn's disease
diazepam,temporomandibular joint disorder,joint disorders
diazepam,tetanus,tetanus
diazoxide,hypoglycemia,hypoglycemia
diclofenac potassium,gout,arthritis
diclofenac sodium,gout,arthritis
difluprednate,postoperative ocular inflammation,inflammation
difluprednate,uveitis,uveitis
digoxin,atrial fibrillation,heart diseases
digoxin,heart failure,heart diseases
dulaglutide,"diabetes, diabetes mellitus",diabetes
dutasteride,benign prostatic hyperplasia,lymphoma
echinacea,cold symptoms,cold-cough-fever
echinacea,condylomata acuminata,condylomata acuminata
efavirenz,hiv infection,infection
efavirenz,nonoccupational exposure,nonoccupational exposure
eluxadoline,irritable bowel syndrome,bowel function
empagliflozin,"diabetes, diabetes mellitus",diabetes
enalapril maleate,hypertension,hypertension
entacapone,parkinson's disease,parkinsonism
eplerenone,hypertension,hypertension
eplerenone,hypertension,hypertension
erlotinib,non-small cell lung cancer,lymphoma
erlotinib,pancreatic cancer,lymphoma
esomeprazole,barrett's esophagus,barrett's esophagus
esomeprazole,duodenal ulcer prophylaxis,ulcer
esomeprazole,erosive esophagitis,gastroenteritis
esomeprazole,gerd,gastroenteritis
esomeprazole,helicobacter pylori infection,infection
esomeprazole,nsaid-induced gastric ulcer,gastroenteritis
estradiol,atrophic urethritis,atrophied
estradiol,atrophic vaginitis,atrophied
estradiol,gender dysphoria,certain hereditary disorders
estradiol,hypoestrogenism,hypoestrogenism
estradiol,oophorectomy,oophorectomy
estradiol,osteoporosis,arthritis
estradiol,postmenopausal symptoms,postmenopausal symptoms
estradiol,primary ovarian failure,ovary
eszopiclone,insomnia,anxiety
etanercept,ankylosing spondylitis,arthritis
etanercept,behcet's disease,behcet's disease
etanercept,juvenile idiopathic arthritis,arthritis
etanercept,juvenile rheumatoid arthritis,arthritis
etanercept,plaque psoriasis,skin
etanercept,psoriasis,skin
etanercept,psoriatic arthritis,arthritis
etanercept,rheumatoid arthritis,arthritis
etanercept,still's disease,inflammation
ethambutol,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment"
ethosuximide,seizure,seizure
etodolac,gout,arthritis
etodolac,juvenile rheumatoid arthritis,arthritis
etodolac,osteoarthritis,arthritis
etodolac,pain,pain
etodolac,rheumatoid arthritis,arthritis
evening primrose oil,chronic fatigue syndrome,nausea
evening primrose oil,hot flashes,hot flashes
evening primrose oil,premenstrual dysphoric disorder,premenstrual dysphoric disorder
evening primrose oil,sjogren's syndrome,sjogren's syndrome
everolimus,brain tumor,tumor
everolimus,breast cancer,lymphoma
everolimus,pancreatic cancer,lymphoma
everolimus,renal cell carcinoma,kidney disease
ezetimibe,high cholesterol,cholesterol
ezetimibe,"high cholesterol, familial heterozygous",cholesterol
ezetimibe,hypercholesterolemia,cholesterol
famciclovir,cold sores,cold-cough-fever
famciclovir,"herpes simplex, mucocutaneous/immunocompetent host",infectious
famciclovir,"herpes simplex, suppression",infectious
famciclovir,herpes zoste,herpes zoste
famciclovir,herpes zoster,herpes zoster
famotidine,allergic urticaria,allergic
famotidine,duodenal ulcer,ulcer
famotidine,gastroesophageal reflux disease,gastroenteritis
famotidine,gerd,gastroenteritis
famotidine,indigestion,gastroenteritis
famotidine,urticaria,urticaria
febuxostat,gout,arthritis
fenofibrate,hypercholesterolemia,cholesterol
fenofibrate,hyperlipoproteinemia,hyperlipoproteinemia
fenofibrate,"hyperlipoproteinemia type iia, elevated ldl","hyperlipoproteinemia type iia, elevated ldl"
fenofibrate,hypertriglyceridemia,hypertriglyceridemia
ferric citrate,hyperphosphatemia of renal failure,kidney disease
ferrous fumarate,iron deficiency anemia,anemia
ferrous gluconate,iron deficiency anemia,anemia
ferrous gluconate,vitamin/mineral supplementation during pregnancy/lactation,specific urinary
ferrous sulfate,iron deficiency anemia,anemia
ferrous sulfate,vitamin/mineral supplementation during pregnancy/lactation,specific urinary
filgrastim,neutropenia,neutropenia
filgrastim,neutropenia associated with chemotherapy,neutropenia associated with chemotherapy
flibanserin,hypoactive sexual desire disorder,hypoactive sexual desire disorder
fluconazole,candida urinary tract infection,specific urinary
fluconazole,candidemia,candidiasis
fluconazole,esophageal candidiasis,candidiasis
fluconazole,"onychomycosis, toenail","onychomycosis, toenail"
fluconazole,oral candidiasis,candidiasis
fluconazole,oral thrush,oral & dental
fluconazole,systemic candidiasis,candidiasis
fluconazole,tinea corporis,tinea corporis
fluconazole,tinea cruris,tinea cruris
fluconazole,tinea versicol,tinea versicol
fluconazole,ungal pneumonia,pneumonia
fluconazole,vaginal yeast infection,infection
fluconazole,vulvovaginal candidiasis,candidiasis
fluorouracil,actinic keratosis,skin
fluorouracil,adenocarcinoma of pancreas,lymphoma
fluorouracil,basal cell carcinoma,basal cell carcinoma
fluorouracil,colorectal cancer,lymphoma
fluorouracil,keratosis,skin
fluorouracil,skin cancer,lymphoma
fluorouracil,warts,warts
flurazepam,insomnia,anxiety
flurbiprofen,back pain,pain
flurbiprofen,gout,arthritis
flurbiprofen,period pain,pain
flurbiprofen,rheumatoid arthritis,arthritis
flurbiprofen,sciatica,pain
fluvastatin,hypercholesterolemia,cholesterol
fluvastatin,prevention of cerebrovascular accident,nervous system
folic acid,lic acid deficiency,lic acid deficiency
folic acid,vitamin/mineral supplementation and deficiency,vitamin
furosemide,edema,edema
furosemide,heart failure,heart diseases
furosemide,hypertension,hypertension
furosemide,hypercalcemia,calcemia
furosemide,hypertension,hypertension
gabapentin,alcohol withdrawal,alcohol
gabapentin,anxiety,anxiety
gabapentin,benign essential trem,benign essential trem
gabapentin,bipolar disorder,bipolar disorder
gabapentin,burning mouth syndrome,burning mouth syndrome
gabapentin,cough,cold-cough-fever
gabapentin,diabetic peripheral neuropathy,neurosis
gabapentin,epilepsy,epilepsy
gabapentin,hot flashes,hot flashes
gabapentin,fibromyalgia,muscular
gabapentin,insomnia,anxiety
gabapentin,migraine,migraine
gabapentin,neuropathic pain,neurosis
gabapentin,occipital neuralgia,nervous system
gabapentin,pain,pain
gabapentin,peripheral neuropathy,neurosis
gabapentin,postherpetic neuralgia,nervous system
gabapentin,pruritus,skin
gabapentin,pudendal neuralgia,nervous system
gabapentin,reflex sympathetic dystrophy syndrome,reflex sympathetic dystrophy syndrome
gabapentin,restless legs syndrome,muscular
gabapentin,small fiber neuropathy,neurosis
gabapentin,spondylolisthesis,spondylolisthesis
gabapentin,syringomyelia,syringomyelia
gabapentin,transverse myelitis,transverse myelitis
gabapentin,trigeminal neuralgia,nervous system
gabapentin,vulvodynia,vulvodynia
gefitinib,non-small cell lung cancer,lymphoma
gemcitabine,adenocarcinoma of pancreas,lymphoma
gemcitabine,"breast cancer, metastatic",lymphoma
gemcitabine,pancreatic cancer,lymphoma
gemfibrozil,high cholesterol,cholesterol
gemifloxacin,bronchitis,bronchitis
gemifloxacin,pneumonia,pneumonia
gentian violet,oral thrush,oral & dental
glimepiride,"diabetes, diabetes mellitus",diabetes
glipizide,"diabetes, diabetes mellitus",diabetes
glycerin,constipation,constipation
golimumab,ankylosing spondylitis,arthritis
golimumab,psoriatic arthritis,arthritis
golimumab,rheumatoid arthritis,arthritis
golimumab,ulcerative colitis,ulcer
granisetron,"nausea/vomiting, chemotherapy induced",nausea
granisetron,"nausea/vomiting, postoperative",nausea
halcinonide,dermatitis,skin
halcinonide,eczema,skin
halobetasol propionate,atopic dermatitis,skin
haloperidol,aggressive behavi,aggressive behavi
haloperidol,dementia,dementia
haloperidol,icu agitation,agitation
haloperidol,mania,mania
haloperidol,nausea/vomiting,nausea
haloperidol,psychosis,psychosis
haloperidol,tourette's syndrome,nervous system
hydrochlorothiazide,edema,edema
hydrochlorothiazide,hypertension,hypertension
hydrochlorothiazide,hypertension,hypertension
hydrochlorothiazide,nephrocalcinosis,nephrocalcinosis
hydrocortisone,addison's disease,addison's disease
hydrocortisone,adrenocortical insufficiency,adrenocortical insufficiency
hydrocortisone,atopic dermatitis,skin
hydrocortisone,dermatitis,skin
hydrocortisone,eczema,skin
hydrocortisone,hemorrhoids,hemorrhoids
hydrocortisone,inflammatory conditions,inflammation
hydrocortisone,pruritus,skin
hydrocortisone,psoriasis,skin
hydrocortisone,skin rash,skin
hydrocortisone,ulcerative proctitis,ulcer
hydrocortisone acetate,atopic dermatitis,skin
hydrocortisone acetate,hemorrhoids,hemorrhoids
hydrocortisone butyrate,atopic dermatitis,skin
hydroquinone,dermatitis,skin
hydroxocobalamin,vitamin b12 deficiency,vitamin
hydroxyurea,"anemia, sickle cell",anemia
hydroxyurea,polycythemia vera,polycythemia vera
hydroxyurea,thrombocythemia,thrombosis
hylan g-f 20,osteoarthritis,arthritis
ibrutinib,chronic lymphocytic leukemia,leukemia
ibuprofen,back pain,pain
ibuprofen,cystic fibrosis,cystic fibrosis
ibuprofen,fever,cold-cough-fever
ibuprofen,fever,cold-cough-fever
ibuprofen,gout,arthritis
ibuprofen,"gout, acute",arthritis
ibuprofen,headache,headache
ibuprofen,muscle pain,muscular
ibuprofen,neck pain,pain
ibuprofen,osteoarthritis,arthritis
ibuprofen,pain,pain
ibuprofen,patent ductus arteriosus,patent ductus arteriosus
ibuprofen,period pain,pain
ibuprofen,rheumatoid arthritis,arthritis
ibuprofen,sciatica,pain
ibuprofen,spondylolisthesis,spondylolisthesis
ibuprofen,temporomandibular joint disorder,joint disorders
ibuprofen,toothache,oral & dental
