generic_name,cases,head,singular_case,main_generic_name
azathioprine,multiple sclerosis,sclerosis,multiple sclerosis,azathioprine
azathioprine,myasthenia gravis,muscular,myasthenia gravis,azathioprine
azathioprine,renal transplant,kidney disease,renal transplant,azathioprine
azathioprine,rheumatoid arthritis,arthritis,rheumatoid arthritis,azathioprine
azathioprine,systemic lupus erythematosus,lupus,systemic lupus erythematosus,azathioprine
azathioprine,ulcerative colitis,ulcer,ulcerative colitis,azathioprine
azathioprine,wegener's granulomatosis,inflammation,wegener's granulomatosis,azathioprine
azelaic acid,acne,acne,acne,azelaic acid
azelaic acid,rosacea,skin,rosacea,azelaic acid
azilsartan medoxomil,hypertension,hypertension,hypertension,azilsartan medoxomil
azilsartan medoxomil,hypertension,hypertension,hypertension,azilsartan medoxomil
aztreonam,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,aztreonam
baclofen,alcohol withdrawal,alcohol,alcohol withdrawal,baclofen
baclofen,cerebral spasticity,nervous system,cerebral spasticity,baclofen
baclofen,cervical dystonia,cervical dystonia,cervical dystonia,baclofen
baclofen,chronic spasticity,chronic spasticity,chronic spasticity,baclofen
baclofen,dystonia,dystonia,dystonia,baclofen
baclofen,hiccups,hiccups,hiccups,baclofen
baclofen,migraine prevention,migraine,migraine prevention,baclofen
baclofen,muscle spasm,muscular,muscle spasm,baclofen
baclofen,muscle twitching,muscular,muscle twitching,baclofen
baclofen,neuralgia,nervous system,neuralgia,baclofen
baclofen,periodic limb movement disorder,sleep,periodic limb movement disorder,baclofen
baclofen,temporomandibular joint disorder,joint disorders,temporomandibular joint disorder,baclofen
baclofen,trigeminal neuralgia,nervous system,trigeminal neuralgia,baclofen
barium sulfate,computed tomography,computed tomography,computed tomography,barium sulfate
bendamustine,chronic lymphocytic leukemia,leukemia,chronic lymphocytic leukemia,bendamustine
bendamustine,non-hodgkin's lymphoma,lymphoma,non-hodgkin's lymphoma,bendamustine
benzocaine,cold sores,cold-cough-fever,cold sores,benzocaine
benzocaine,oral and dental conditions,oral & dental,oral and dental conditions,benzocaine
benzocaine,pain,pain,pain,benzocaine
benzocaine,pruritus,skin,pruritus,benzocaine
benzocaine,sore throat,throat,sore throat,benzocaine
benzocaine,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis,benzocaine
benzoyl peroxide,acne,acne,acne,benzoyl peroxide
benzyl alcohol,head lice,worms,head lice,benzyl alcohol
besifloxacin,bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis,besifloxacin
besifloxacin,"conjunctivitis, bacterial",conjunctivitis,"conjunctivitis, bacterial",besifloxacin
betamethasone,atopic dermatitis,skin,atopic dermatitis,betamethasone
betamethasone,dermatitis,skin,dermatitis,betamethasone
betamethasone,dermatitis,skin,dermatitis,betamethasone
betamethasone,inflammatory conditions,inflammation,inflammatory conditions,betamethasone
betamethasone,lichen sclerosus,skin,lichen sclerosus,betamethasone
betamethasone dipropionate,atopic dermatitis,skin,atopic dermatitis,betamethasone dipropionate
betamethasone valerate,atopic dermatitis,skin,atopic dermatitis,betamethasone valerate
bevacizumab,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",bevacizumab
bevacizumab,colorectal cancer,lymphoma,colorectal cancer,bevacizumab
bevacizumab,glioblastoma multi,glioblastoma multi,glioblastoma multi,bevacizumab
bevacizumab,macular degeneration,macular issue,macular degeneration,bevacizumab
bevacizumab,malignant glioma,malignant glioma,malignant glioma,bevacizumab
bevacizumab,non-small cell lung cancer,lymphoma,non-small cell lung cancer,bevacizumab
bevacizumab,ovarian cancer,lymphoma,ovarian cancer,bevacizumab
bevacizumab,pancreatic cancer,lymphoma,pancreatic cancer,bevacizumab
bevacizumab,renal cell carcinoma,kidney disease,renal cell carcinoma,bevacizumab
bicalutamide,prostate cancer,lymphoma,prostate cancer,bicalutamide
bimatoprost,eyelash hypotrichosis,eye,eyelash hypotrichosis,bimatoprost
bimatoprost,"glaucoma, open angle",glaucoma,"glaucoma, open angle",bimatoprost
bimatoprost,intraocular hypertension,hypertension,intraocular hypertension,bimatoprost
biotin,dietary supplementation,dietary supplementation,dietary supplementation,biotin
bisacodyl,bowel preparation,bowel function,bowel preparation,bisacodyl
bisacodyl,constipation,constipation,constipation,bisacodyl
bismuth subsalicylate,diarrhoea,diarrhoea,diarrhoea,bismuth subsalicylate
bismuth subsalicylate,"diarrhoea, chronic",diarrhoea,"diarrhoea, chronic",bismuth subsalicylate
bismuth subsalicylate,indigestion,gastroenteritis,indigestion,bismuth subsalicylate
bivalirudin,percutaneous coronary intervention,heart diseases,percutaneous coronary intervention,bivalirudin
bortezomib,multiple myeloma,multiple myeloma,multiple myeloma,bortezomib
brexpiprazole,depression,anxiety,depression,brexpiprazole
brexpiprazole,depression,anxiety,depression,brexpiprazole
brexpiprazole,schizophrenia,schizophrenia,schizophrenia,brexpiprazole
brinzolamide,"glaucoma, open angle",glaucoma,"glaucoma, open angle",brinzolamide
brivaracetam,seizure,seizure,seizure,brivaracetam
bumetanide,edema,edema,edema,bumetanide
bumetanide,hypertension,hypertension,hypertension,bumetanide
busulfan,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia,busulfan
busulfan,thrombocythemia,thrombosis,thrombocythemia,busulfan
butoconazole nitrate,vulvovaginal candidiasis,candidiasis,vulvovaginal candidiasis,butoconazole nitrate
cabergoline,hyperprolactinemia,hyperprolactinemia,hyperprolactinemia,cabergoline
cabozantinib,thyroid cancer,lymphoma,thyroid cancer,cabozantinib
calcitriol,hypocalcemia,calcemia,hypocalcemia,calcitriol
calcitriol,hypoparathyroidism,thyroidism,hypoparathyroidism,calcitriol
calcitriol,psoriasis,skin,psoriasis,calcitriol
calcium acetate,hyperphosphatemia,hyperphosphatemia,hyperphosphatemia,calcium acetate
calcium carbonate,gerd,gastroenteritis,gerd,calcium carbonate
calcium carbonate,hypocalcemia,calcemia,hypocalcemia,calcium carbonate
calcium carbonate,indigestion,gastroenteritis,indigestion,calcium carbonate
calcium carbonate,osteoporosis,arthritis,osteoporosis,calcium carbonate
calcium carbonate,stomach ulcer,ulcer,stomach ulcer,calcium carbonate
capecitabine,adenocarcinoma of pancreas,lymphoma,adenocarcinoma of pancreas,capecitabine
capecitabine,breast cancer,lymphoma,breast cancer,capecitabine
capecitabine,"breast cancer, metastatic",lymphoma,"breast cancer, metastatic",capecitabine
capecitabine,colorectal cancer,lymphoma,colorectal cancer,capecitabine
capecitabine,stomach cancer,lymphoma,stomach cancer,capecitabine
capsaicin,back pain,pain,back pain,capsaicin
capsaicin,diabetic peripheral neuropathy,neurosis,diabetic peripheral neuropathy,capsaicin
capsaicin,osteoarthritis,arthritis,osteoarthritis,capsaicin
capsaicin,pain,pain,pain,capsaicin
capsaicin,peripheral neuropathy,neurosis,peripheral neuropathy,capsaicin
capsaicin,postherpetic neuralgia,nervous system,postherpetic neuralgia,capsaicin
captopril,hypertension,hypertension,hypertension,captopril
captopril,hypertension,hypertension,hypertension,captopril
carbamazepine,bipolar disorder,bipolar disorder,bipolar disorder,carbamazepine
carbamazepine,cluster-tic syndrome,cluster-tic syndrome,cluster-tic syndrome,carbamazepine
carbamazepine,dystonia,dystonia,dystonia,carbamazepine
carbamazepine,epilepsy,epilepsy,epilepsy,carbamazepine
carbamazepine,peripheral neuropathy,neurosis,peripheral neuropathy,carbamazepine
carbamazepine,trigeminal neuralgia,nervous system,trigeminal neuralgia,carbamazepine
carboplatin,ovarian cancer,lymphoma,ovarian cancer,carboplatin
carisoprodol,muscle spasm,muscular,muscle spasm,carisoprodol
carisoprodol,nocturnal leg cramps,muscular,nocturnal leg cramps,carisoprodol
carvedilol,angina,heart diseases,angina,carvedilol
carvedilol,atrial fibrillation,heart diseases,atrial fibrillation,carvedilol
carvedilol,heart failure,heart diseases,heart failure,carvedilol
carvedilol,hypertension,hypertension,hypertension,carvedilol
carvedilol,hypertension,hypertension,hypertension,carvedilol
carvedilol,left ventricular dysfunction,heart diseases,left ventricular dysfunction,carvedilol
cefdinir,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,cefdinir
cefdinir,bronchitis,bronchitis,bronchitis,cefdinir
cefdinir,otitis media,otitis,otitis media,cefdinir
cefdinir,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,cefdinir
cefdinir,pneumonia,pneumonia,pneumonia,cefdinir
cefdinir,sinusitis,sinusitis,sinusitis,cefdinir
cefdinir,skin and structure infection,skin,skin and structure infection,cefdinir
cefdinir,skin or soft tissue infection,skin,skin or soft tissue infection,cefdinir
cefdinir,strep throat,throat,strep throat,cefdinir
cefdinir,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis,cefdinir
cefditoren,bronchitis,bronchitis,bronchitis,cefditoren
cefditoren,skin and structure infection,skin,skin and structure infection,cefditoren
cefotaxime,skin or soft tissue infection,skin,skin or soft tissue infection,cefotaxime
cefprozil,bladder infection,infection,bladder infection,cefprozil
cefprozil,bronchitis,bronchitis,bronchitis,cefprozil
cefprozil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,cefprozil
cefprozil,pneumonia,pneumonia,pneumonia,cefprozil
cefprozil,sinusitis,sinusitis,sinusitis,cefprozil
cefprozil,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis,cefprozil
cefprozil,upper respiratory tract infection,infection,upper respiratory tract infection,cefprozil
cefuroxime axetil,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,cefuroxime axetil
cefuroxime axetil,impetigo,impetigo,impetigo,cefuroxime axetil
cefuroxime axetil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,cefuroxime axetil
celecoxib,ankylosing spondylitis,arthritis,ankylosing spondylitis,celecoxib
celecoxib,gout,arthritis,gout,celecoxib
celecoxib,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis,celecoxib
celecoxib,osteoarthritis,arthritis,osteoarthritis,celecoxib
celecoxib,pain,pain,pain,celecoxib
celecoxib,period pain,pain,period pain,celecoxib
celecoxib,rheumatoid arthritis,arthritis,rheumatoid arthritis,celecoxib
cephalexin,acne,acne,acne,cephalexin
cephalexin,bacterial endocarditis prevention,bacterial,bacterial endocarditis prevention,cephalexin
cephalexin,bacterial infection,bacterial,bacterial infection,cephalexin
cephalexin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,cephalexin
cephalexin,bladder infection,infection,bladder infection,cephalexin
cephalexin,bone infection,infection,bone infection,cephalexin
cephalexin,kidney infections,infection,kidney infections,cephalexin
cephalexin,otitis media,otitis,otitis media,cephalexin
cephalexin,pharyngitis,pharyngitis,pharyngitis,cephalexin
cephalexin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,cephalexin
cephalexin,skin or soft tissue infection,skin,skin or soft tissue infection,cephalexin
cephalexin,upper respiratory tract infection,infection,upper respiratory tract infection,cephalexin
cetuximab,colorectal cancer,lymphoma,colorectal cancer,cetuximab
cetuximab,head and neck cancer,lymphoma,head and neck cancer,cetuximab
cetuximab,squamous cell carcinoma,squamous cell carcinoma,squamous cell carcinoma,cetuximab
chlorambucil,chronic lymphocytic leukemia,leukemia,chronic lymphocytic leukemia,chlorambucil
chlorambucil,lymphoma,lymphoma,lymphoma,chlorambucil
chlorthalidone,edema,edema,edema,chlorthalidone
chlorthalidone,hypertension,hypertension,hypertension,chlorthalidone
chlorthalidone,hypertension,hypertension,hypertension,chlorthalidone
cilostazol,intermittent claudication,intermittent claudication,intermittent claudication,cilostazol
cinacalcet,secondary hyperparathyroidism,thyroidism,secondary hyperparathyroidism,cinacalcet
ciprofloxacin,anthrax,anthrax,anthrax,ciprofloxacin
ciprofloxacin,bacterial infection,bacterial,bacterial infection,ciprofloxacin
ciprofloxacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection,ciprofloxacin
ciprofloxacin,bladder infection,infection,bladder infection,ciprofloxacin
ciprofloxacin,bone infection,infection,bone infection,ciprofloxacin
ciprofloxacin,bronchitis,bronchitis,bronchitis,ciprofloxacin
ciprofloxacin,cholera,cholera,cholera,ciprofloxacin
ciprofloxacin,"conjunctivitis, bacterial",conjunctivitis,"conjunctivitis, bacterial",ciprofloxacin
ciprofloxacin,crohn's disease,crohn's disease,crohn's disease,ciprofloxacin
ciprofloxacin,diverticulitis,bowel function,diverticulitis,ciprofloxacin
ciprofloxacin,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract,ciprofloxacin
ciprofloxacin,"epididymitis, sexually transmitted","epididymitis, sexually transmitted","epididymitis, sexually transmitted",ciprofloxacin
ciprofloxacin,"gonococcal infection, uncomplicated",infection,"gonococcal infection, uncomplicated",ciprofloxacin
ciprofloxacin,infectious diarrhoea,diarrhoea,infectious diarrhoea,ciprofloxacin
ciprofloxacin,kidney infections,infection,kidney infections,ciprofloxacin
ciprofloxacin,prostatitis,prostatitis,prostatitis,ciprofloxacin
ciprofloxacin,sinusitis,sinusitis,sinusitis,ciprofloxacin
ciprofloxacin,skin or soft tissue infection,skin,skin or soft tissue infection,ciprofloxacin
ciprofloxacin,traveler's diarrhoea,diarrhoea,traveler's diarrhoea,ciprofloxacin
ciprofloxacin,typhoid fever,typhoid fever,typhoid fever,ciprofloxacin
ciprofloxacin,urinary tract infection,specific urinary,urinary tract infection,ciprofloxacin
cisplatin,adenocarcinoma of pancreas,lymphoma,adenocarcinoma of pancreas,cisplatin
cisplatin,brain tumor,tumor,brain tumor,cisplatin
clarithromycin,acute bacterial sinusitis,bacterial,acute bacterial sinusitis,clarithromycin
clarithromycin,bronchitis,bronchitis,bronchitis,clarithromycin
clarithromycin,dental abscess,oral & dental,dental abscess,clarithromycin
clarithromycin,helicobacter pylori infection,infection,helicobacter pylori infection,clarithromycin
clarithromycin,legionella pneumonia,pneumonia,legionella pneumonia,clarithromycin
clarithromycin,llicular lymphoma,lymphoma,llicular lymphoma,clarithromycin
clarithromycin,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment",clarithromycin
clarithromycin,mycoplasma pneumonia,pneumonia,mycoplasma pneumonia,clarithromycin
clarithromycin,otitis media,otitis,otitis media,clarithromycin
clarithromycin,pertussis,lung,pertussis,clarithromycin
clarithromycin,pharyngitis,pharyngitis,pharyngitis,clarithromycin
clarithromycin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,clarithromycin
clarithromycin,pneumonia,pneumonia,pneumonia,clarithromycin
clarithromycin,sinusitis,sinusitis,sinusitis,clarithromycin
clarithromycin,skin and structure infection,skin,skin and structure infection,clarithromycin
clarithromycin,skin or soft tissue infection,skin,skin or soft tissue infection,clarithromycin
clarithromycin,strep throat,throat,strep throat,clarithromycin
clarithromycin,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis,clarithromycin
clarithromycin,upper respiratory tract infection,infection,upper respiratory tract infection,clarithromycin
clindamycin,acne,acne,acne,clindamycin
clindamycin,aspiration pneumonia,pneumonia,aspiration pneumonia,clindamycin
clindamycin,bacterial endocarditis prevention,bacterial,bacterial endocarditis prevention,clindamycin
clindamycin,bacterial infection,bacterial,bacterial infection,clindamycin
clindamycin,bacterial vaginitis,bacterial,bacterial vaginitis,clindamycin
clindamycin,bone infection,infection,bone infection,clindamycin
clindamycin,deep neck infection,infection,deep neck infection,clindamycin
clindamycin,intraabdominal infection,infection,intraabdominal infection,clindamycin
clindamycin,peritonitis,peritonitis,peritonitis,clindamycin
clindamycin,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease,clindamycin
clindamycin,sinusitis,sinusitis,sinusitis,clindamycin
clindamycin,skin or soft tissue infection,skin,skin or soft tissue infection,clindamycin
clindamycin,surgical prophylaxis,surgical prophylaxis,surgical prophylaxis,clindamycin
clobazam,epilepsy,epilepsy,epilepsy,clobazam
clobazam,lennox-gastaut syndrome,epilepsy,lennox-gastaut syndrome,clobazam
clonazepam,anxiety,anxiety,anxiety,clonazepam
clonazepam,benzodiazepine withdrawal,benzodiazepine withdrawal,benzodiazepine withdrawal,clonazepam
clonazepam,bipolar disorder,bipolar disorder,bipolar disorder,clonazepam
clonazepam,borderline personality disorder,mental,borderline personality disorder,clonazepam
clonazepam,burning mouth syndrome,burning mouth syndrome,burning mouth syndrome,clonazepam
clonazepam,hyperekplexia,hyperekplexia,hyperekplexia,clonazepam
clonazepam,insomnia,anxiety,insomnia,clonazepam
clonazepam,migraine prevention,migraine,migraine prevention,clonazepam
clonazepam,night terrors,anxiety,night terrors,clonazepam
clonazepam,obsessive compulsive disorder,mental,obsessive compulsive disorder,clonazepam
clonazepam,panic disorder,anxiety,panic disorder,clonazepam
clonazepam,periodic limb movement disorder,sleep,periodic limb movement disorder,clonazepam
clonazepam,restless legs syndrome,muscular,restless legs syndrome,clonazepam
clonazepam,seizure prevention,seizure,seizure prevention,clonazepam
clonazepam,sleep paralysis,sleep,sleep paralysis,clonazepam
clonazepam,temporomandibular joint disorder,joint disorders,temporomandibular joint disorder,clonazepam
clozapine,borderline personality disorder,mental,borderline personality disorder,clozapine
clozapine,paranoid disorder,paranoid disorder,paranoid disorder,clozapine
clozapine,schizophrenia,schizophrenia,schizophrenia,clozapine
coal tar,dermatitis,skin,dermatitis,coal tar
coal tar,psoriasis,skin,psoriasis,coal tar
coal tar,seborrheic dermatitis,skin,seborrheic dermatitis,coal tar
colchicine,amilial mediterranean feve,amilial mediterranean feve,amilial mediterranean feve,colchicine
colchicine,behcet's disease,behcet's disease,behcet's disease,colchicine
colchicine,"gout, acute",arthritis,"gout, acute",colchicine
colchicine,"gout, prophylaxis",arthritis,"gout, prophylaxis",colchicine
colchicine,"pseudogout, prophylaxis",arthritis,"pseudogout, prophylaxis",colchicine
crisaborole,atopic dermatitis,skin,atopic dermatitis,crisaborole
crizotinib,non-small cell lung cancer,lymphoma,non-small cell lung cancer,crizotinib
crotamiton,pruritus,skin,pruritus,crotamiton
crotamiton,scabies,scabies,scabies,crotamiton
cyanocobalamin,b12 nutritional deficiency,b12 nutritional deficiency,b12 nutritional deficiency,cyanocobalamin
cyanocobalamin,schilling test,schilling test,schilling test,cyanocobalamin
cyanocobalamin,vitamin b12 deficiency,vitamin,vitamin b12 deficiency,cyanocobalamin
cyclophosphamide,brain tumor,tumor,brain tumor,cyclophosphamide
cyclophosphamide,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia,cyclophosphamide
cyclophosphamide,multiple sclerosis,sclerosis,multiple sclerosis,cyclophosphamide
cyclophosphamide,ovarian cancer,lymphoma,ovarian cancer,cyclophosphamide
cyclophosphamide,wegener's granulomatosis,inflammation,wegener's granulomatosis,cyclophosphamide
cyclosporine,eczema,skin,eczema,cyclosporine
cyclosporine,idiopathic thrombocytopenic purpura,thrombosis,idiopathic thrombocytopenic purpura,cyclosporine
cyclosporine,keratoconjunctivitis sicca,conjunctivitis,keratoconjunctivitis sicca,cyclosporine
cyclosporine,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis",cyclosporine
cyclosporine,psoriasis,skin,psoriasis,cyclosporine
cyclosporine,"ulcerative colitis, active",ulcer,"ulcerative colitis, active",cyclosporine
daclatasvir,hepatitis c,hepatitis,hepatitis c,daclatasvir
danazol,angioedema,edema,angioedema,danazol
danazol,endometriosis,endometriosis,endometriosis,danazol
danazol,ibrocystic breast disease,ibrocystic breast disease,ibrocystic breast disease,danazol
dapsone,acne,acne,acne,dapsone
dapsone,leukocytoclastic vasculitis,leukocytoclastic vasculitis,leukocytoclastic vasculitis,dapsone
dapsone,linear iga disease,linear iga disease,linear iga disease,dapsone
dapsone,mis,mis,mis,dapsone
