name,dosage_form,generic_name,strength,manufacturer,price
a-pak,tablet,aceclofenac,100 mg,benham pharmaceuticals ltd.,4.0
a-b1,tablet,thiamine hydrochloride,100 mg,acme laboratories ltd.,0.86
3d,capsule,cholecalciferol [vitamin d3],40000 iu,jenphar bangladesh ltd.,35.0
a-one xr,tablet (extended release),paracetamol,665 mg,apex pharmaceuticals ltd.,2.0
a-one plus,tablet,paracetamol + caffeine,500 mg+65 mg,apex pharmaceuticals ltd.,1.5
a-mycin,tablet,erythromycin,500 mg,aristopharma ltd.,9.0
a-mycin,tablet,erythromycin,250 mg,aristopharma ltd.,5.15
a-mycin,lotion,erythromycin,3%,aristopharma ltd.,0.0
a-migel,oral gel,miconazole nitrate,2% w/w,acme laboratories ltd.,0.0
3-geocef,capsule,cefixime trihydrate,200 mg,hallmark pharmaceuticals ltd.,30.0
a-mycin,pediatric drops,erythromycin,200 mg/5 ml,aristopharma ltd.,0.0
a-mectin,tablet,ivermectin,12 mg,acme laboratories ltd.,30.0
a-mycin,powder for suspension,erythromycin,125 mg/5 ml,aristopharma ltd.,0.0
a-mycin,powder for suspension,erythromycin,250 mg/5 ml,aristopharma ltd.,0.0
a-flox,im/iv injection,flucloxacillin sodium,250 mg/vial,acme laboratories ltd.,35.25
a-mectin,tablet,ivermectin,6 mg,acme laboratories ltd.,15.0
a-meb,tablet,mebeverine hydrochloride,135 mg,acme laboratories ltd.,6.01
a-forte,capsule,vitamin a,50000 iu,globe pharmaceuticals ltd.,1.9
a-flox,capsule,flucloxacillin sodium,250 mg,acme laboratories ltd.,5.66
a-kit,tablet,mifepristone + misoprostol,200 mg+200 mcg,acme laboratories ltd.,0.0
a-fenac plus,im injection,diclofenac sodium + lidocaine hydrochloride,(75 mg+20 mg)/2 ml,acme laboratories ltd.,15.0
a-fenac k,tablet,diclofenac potassium,50 mg,acme laboratories ltd.,4.0
a-fenac,gel,diclofenac sodium,1% w/w,acme laboratories ltd.,0.0
a-fenac,im injection,diclofenac sodium,75 mg/3 ml,acme laboratories ltd.,14.1
a-fenac,suppository,diclofenac sodium,12.5 mg,acme laboratories ltd.,8.07
a-fenac,tablet,diclofenac sodium,50 mg,acme laboratories ltd.,1.2
a-one,oral suspension,paracetamol,120 mg/5 ml,apex pharmaceuticals ltd.,0.0
a-flox,capsule,flucloxacillin sodium,500 mg,acme laboratories ltd.,10.58
a-cof,syrup,dextromethorphan + pseudoephedrine + triprolidine,(10 mg+30 mg+1.25 mg)/5 ml,acme laboratories ltd.,0.0
3-c,capsule,cefixime trihydrate,200 mg,edruc limited,35.0
a-fenac,suppository,diclofenac sodium,50 mg,acme laboratories ltd.,15.0
abecab,tablet,amlodipine besilate + olmesartan medoxomil,5 mg+40 mg,aci limited,19.0
abeclib,tablet,abemaciclib,200 mg,eskayef pharmaceuticals ltd.,7.14
abecab,tablet,amlodipine besilate + olmesartan medoxomil,5 mg+20 mg,aci limited,12.0
abdorin,syrup,dicycloverine hydrochloride,10 mg/5 ml,opsonin pharma ltd.,0.0
aben-ds,chewable tablet,albendazole,400 mg,team pharmaceuticals ltd.,4.5
abeclib,tablet,abemaciclib,150 mg,eskayef pharmaceuticals ltd.,16.67
abdolax,oral solution,sodium picosulfate,5 mg/5 ml,incepta pharmaceuticals ltd.,0.0
abdolax,tablet,sodium picosulfate,10 mg,incepta pharmaceuticals ltd.,10.0
abacten,powder for suspension,azithromycin dihydrate,200 mg/5 ml,arges life science limited,0.0
abdorin,tablet,dicycloverine hydrochloride,10 mg,opsonin pharma ltd.,2.01
ace power,tablet,paracetamol,1000 mg,square pharmaceuticals ltd.,2.25
ace plus,tablet,paracetamol + caffeine,500 mg+65 mg,square pharmaceuticals ltd.,2.51
ace,iv infusion,paracetamol,10 mg/ml,square pharmaceuticals ltd.,0.0
abasaglar,sc injection,insulin glargine,100 iu/ml,eli lilly and company,20.0
ace,suppository,paracetamol,500 mg,square pharmaceuticals ltd.,8.06
ace,syrup,paracetamol,120 mg/5 ml,square pharmaceuticals ltd.,0.0
ace,pediatric drops,paracetamol,80 mg/ml,square pharmaceuticals ltd.,0.0
ace,suppository,paracetamol,125 mg,square pharmaceuticals ltd.,4.03
accolate,tablet,zafirlukast,20 mg,astrazeneca pharmaceuticals,26.26
acaril,tablet,acarbose,50 mg,the white horse pharmaceuticals ltd.,15.0
acep,oral suspension,paracetamol,120 mg/5 ml,zenith pharmaceuticals ltd.,0.0
absol,syrup,salbutamol,2 mg/5 ml,pharmik laboratories ltd.,0.0
a-card,tablet,isosorbide mononitrate,20 mg,acme laboratories ltd.,1.43
acelock,tablet,aceclofenac,100 mg,bristol pharmaceuticals ltd.,3.0
ace,suppository,paracetamol,250 mg,square pharmaceuticals ltd.,5.03
acelex,capsule,cephalexin,500 mg,acme laboratories ltd.,12.5
acenac,tablet,aceclofenac,100 mg,medicon pharmaceuticals ltd.,2.73
acelex,powder for suspension,cephalexin,125 mg/5 ml,acme laboratories ltd.,0.0
acedone-z,chewable tablet,aluminium hydroxide + magnesium hydroxide,250 mg+400 mg,zenith pharmaceuticals ltd.,0.42
acemox,tablet,acetazolamide,250 mg,acme laboratories ltd.,4.0
acelex,capsule,cephalexin,250 mg,acme laboratories ltd.,6.6
aceflex,tablet,aceclofenac,100 mg,maks drug limited,5.0
acedol,tablet,aceclofenac,100 mg,concord pharmaceuticals ltd.,4.01
acecard,tablet,ramipril,1.25 mg,healthcare pharmaceuticals ltd.,3.0
acecard,tablet,ramipril,5 mg,healthcare pharmaceuticals ltd.,8.0
abpres,ophthalmic solution,brimonidine tartrate + timolol maleate,0.2%+0.5%,navana pharmaceuticals ltd.,0.0
aceclofen,tablet,aceclofenac,100 mg,astra biopharmaceuticals ltd.,3.0
abo kit,tablet,mifepristone + misoprostol,200 mg+200 mcg,globe pharmaceuticals ltd.,0.0
abiret,tablet,abiraterone acetate,250 mg,drug international ltd.,71.43
abicon,oral suspension,sodium alginate + potassium bicarbonate,(500 mg+100 mg)/5 ml,healthcare pharmaceuticals ltd.,0.0
abex,syrup,pseudoephedrine + guaiphenasine + triprolidine,(30 mg+100 mg+1.25 mg)/5 ml,ibn sina pharmaceuticals ltd.,0.0
abicon,chewable tablet,sodium alginate + potassium bicarbonate,500 mg+100 mg,healthcare pharmaceuticals ltd.,5.0
abetis plus,tablet,olmesartan medoxomil + hydrochlorothiazide,40 mg+12.5 mg,aci limited,16.5
abetis plus,tablet,olmesartan medoxomil + hydrochlorothiazide,20 mg+12.5 mg,aci limited,10.0
abetis,tablet,olmesartan medoxomil,40 mg,aci limited,18.0
abetis,tablet,olmesartan medoxomil,20 mg,aci limited,11.0
abixa,tablet,memantine hydrochloride,10 mg,aci limited,8.0
abentel,chewable tablet,albendazole,400 mg,aristopharma ltd.,5.0
abaclor,capsule,cefaclor monohydrate,250 mg,aci limited,21.14
abaclor,capsule,cefaclor monohydrate,500 mg,aci limited,40.27
abac,powder for suspension,cephradine,125 mg/5 ml,chemist laboratories  ltd.,0.0
abetis,tablet,olmesartan medoxomil,10 mg,aci limited,6.0
abac,capsule,cephradine,500 mg,chemist laboratories  ltd.,12.5
ab-ds,chewable tablet,albendazole,400 mg,prime pharmaceuticals ltd.,0.0
abac,pediatric drops,cephradine,125 mg/1.25 ml,chemist laboratories  ltd.,0.0
ab kit,tablet,mifepristone + misoprostol,200 mg+200 mcg,renata limited,0.0
a-tetra,capsule,tetracycline hydrochloride,500 mg,acme laboratories ltd.,3.39
abaclor,pediatric drops,cefaclor monohydrate,125 mg/1.25 ml,aci limited,0.0
abaclor,powder for suspension,cefaclor monohydrate,125 mg/5 ml,aci limited,0.0
a-spasm,tablet,oxyphenonium bromide,5 mg,acme laboratories ltd.,1.44
a-tetra,ophthalmic ointment,tetracycline hydrochloride,1%,acme laboratories ltd.,0.0
a-rox,tablet,roxithromycin,300 mg,ambee pharmaceuticals ltd.,11.04
a-zyme,tablet,pancreatin,325 mg,acme laboratories ltd.,3.51
a-flox,im/iv injection,flucloxacillin sodium,500 mg/vial,acme laboratories ltd.,45.3
a-rox,tablet,roxithromycin,150 mg,ambee pharmaceuticals ltd.,6.53
a-rox,powder for suspension,roxithromycin,50 mg/5 ml,ambee pharmaceuticals ltd.,0.0
a-phenicol d,ophthalmic solution,dexamethasone + chloramphenicol,0.1%+0.5%,acme laboratories ltd.,0.0
a-flox,powder for suspension,flucloxacillin sodium,125 mg/5 ml,acme laboratories ltd.,0.0
aceclof,tablet,aceclofenac,100 mg,premier pharmaceuticals ltd.,3.0
acecard,tablet,ramipril,2.5 mg,healthcare pharmaceuticals ltd.,5.0
acefenac,tablet,aceclofenac,100 mg,general pharmaceuticals ltd.,4.01
acedone-z plus,oral suspension,aluminium hydroxide + magnesium hydroxide + simethicone,(400 mg+400 mg+30 mg)/5 ml,zenith pharmaceuticals ltd.,0.0
acedone-z plus,chewable tablet,aluminium hydroxide + magnesium hydroxide + simethicone,400 mg+400 mg+30 mg,zenith pharmaceuticals ltd.,1.2
acecol,tablet,aceclofenac,100 mg,ziska pharmaceuticals ltd.,3.0
acegic,tablet,aceclofenac,100 mg,belsen pharmaceuticals ltd.,3.0
acelex,pediatric drops,cephalexin,125 mg/1.25 ml,acme laboratories ltd.,0.0
acelon,tablet,aceclofenac,100 mg,central pharmaceuticals ltd.,3.0
acefra,capsule,cephradine,500 mg,apollo pharmaceutical ltd.,12.0
acep,tablet,paracetamol,500 mg,zenith pharmaceuticals ltd.,1.2
ace xr,tablet (extended release),paracetamol,665 mg,square pharmaceuticals ltd.,2.0
acenopan,tablet,aceclofenac,100 mg,rn pharmaceuticals,4.0
ac pr,tablet,aceclofenac,100 mg,pacific pharmaceuticals ltd.,4.0
a-statin,tablet,atorvastatin calcium,10 mg,doctor tims pharmaceuticals ltd.,10.0
ace,tablet,paracetamol,500 mg,square pharmaceuticals ltd.,1.2
aceclora,tablet,aceclofenac,100 mg,marksman pharmaceuticals ltd.,3.02
ace,oral suspension,paracetamol,120 mg/5 ml,square pharmaceuticals ltd.,0.0
a-fenac sr,tablet (sustained release),diclofenac sodium,100 mg,acme laboratories ltd.,3.5
acedol sr,tablet (sustained release),aceclofenac,200 mg,concord pharmaceuticals ltd.,7.0
acetram,tablet,paracetamol + tramadol hydrochloride,325 mg+37.5 mg,square pharmaceuticals ltd.,8.03
aceten,effervescent granules,acetylcysteine,100 mg/sachet,eskayef pharmaceuticals ltd.,10.0
acetor,tablet,captopril,25 mg,drug international ltd.,3.05
aceten,effervescent tablet,acetylcysteine,600 mg,eskayef pharmaceuticals ltd.,20.0
aceta-x,tablet,paracetamol + caffeine,500 mg+65 mg,biopharma laboratories ltd.,2.5
aceta-t,tablet,paracetamol + tramadol hydrochloride,325 mg+37.5 mg,biopharma laboratories ltd.,8.0
aceta,tablet,paracetamol,500 mg,biopharma laboratories ltd.,0.8
aces plus,tablet,super antioxidant [vitamins & minerals],0,ambee pharmaceuticals ltd.,4.0
acerux,tablet,acyclovir,800 mg,opsonin pharma ltd.,30.0
accuzith,powder for suspension,azithromycin dihydrate,200 mg/5 ml,dbl pharmaceuticals ltd.,0.0
acerux,ophthalmic ointment,acyclovir,3%,opsonin pharma ltd.,0.0
acerux,iv infusion,acyclovir,500 mg/vial,opsonin pharma ltd.,0.0
aceta,oral suspension,paracetamol,120 mg/5 ml,biopharma laboratories ltd.,0.0
aceta extend,tablet (extended release),paracetamol,665 mg,biopharma laboratories ltd.,2.0
aceril,tablet,ramipril,2.5 mg,ibn sina pharmaceuticals ltd.,5.0
aceptin-r,tablet,ranitidine hydrochloride,150 mg,asiatic laboratories ltd.,2.0
acepril,tablet,lisinopril,5 mg,drug international ltd.,4.05
acerux,oral suspension,acyclovir,200 mg/5 ml,opsonin pharma ltd.,0.0
acerux,tablet,acyclovir,400 mg,opsonin pharma ltd.,22.0
acep plus,tablet,paracetamol + caffeine,500 mg+65 mg,zenith pharmaceuticals ltd.,1.5
acerux,iv infusion,acyclovir,250 mg/vial,opsonin pharma ltd.,0.0
acerux,cream,acyclovir,5% w/w,opsonin pharma ltd.,0.0
aceril,tablet,ramipril,5 mg,ibn sina pharmaceuticals ltd.,8.0
aceta-pd,pediatric drops,paracetamol,80 mg/ml,biopharma laboratories ltd.,0.0
acerux,tablet,acyclovir,200 mg,opsonin pharma ltd.,14.05
acepril,tablet,lisinopril,10 mg,drug international ltd.,7.05
aceta one,tablet,paracetamol,1000 mg,biopharma laboratories ltd.,2.25
acep,pediatric drops,paracetamol,80 mg/ml,zenith pharmaceuticals ltd.,0.0
acerux-h,cream,acyclovir + hydrocortisone,5%+1%,opsonin pharma ltd.,0.0
accuzith,tablet,azithromycin dihydrate,500 mg,dbl pharmaceuticals ltd.,55.0
abz,chewable tablet,albendazole,400 mg,al-madina pharmaceuticals ltd.,4.0
acefra,powder for suspension,cephradine,125 mg/5 ml,apollo pharmaceutical ltd.,0.0
aciphin,im injection,ceftriaxone sodium,1 gm/vial,aci limited,0.0
acipam,tablet,escitalopram oxalate,10 mg,ibn sina pharmaceuticals ltd.,10.0
aciphin,im injection,ceftriaxone sodium,250 mg/vial,aci limited,0.0
acin,syrup,ranitidine hydrochloride,75 mg/5 ml,biopharma laboratories ltd.,0.0
aciphin,iv injection,ceftriaxone sodium,250 mg/vial,aci limited,0.0
acipam,tablet,escitalopram oxalate,5 mg,ibn sina pharmaceuticals ltd.,5.5
aciphin,im injection,ceftriaxone sodium,500 mg/vial,aci limited,0.0
acifix,tablet (enteric coated),rabeprazole sodium,20 mg,beximco pharmaceuticals ltd.,7.0
acin,tablet,ranitidine hydrochloride,150 mg,biopharma laboratories ltd.,2.02
acifix,capsule (delayed release),rabeprazole sodium,20 mg,beximco pharmaceuticals ltd.,8.0
aceto,tablet,paracetamol,500 mg,reliance pharmaceuticals ltd.,1.2
aciflox,tablet,sparfloxacin,200 mg,aci limited,12.0
acilog mix,sc injection,biphasic insulin aspart,30%+70%,aci limited,25.0
aclovix,tablet,aceclofenac,100 mg,aexim pharmaceuticals ltd.,2.5
aclopain,tablet,aceclofenac,100 mg,jenphar bangladesh ltd.,4.5
aclonac,tablet,aceclofenac,100 mg,pharmasia limited,4.0
acme's ors,oral powder,oral rehydration salt [glucose based],10.25 gm,acme laboratories ltd.,6.0
acme's milk of magnesia,oral suspension,magnesium hydroxide,400 mg/5 ml,acme laboratories ltd.,0.0
actimom,tablet,10 vitamin & 6 mineral [pregnancy and breast feeding formula],0,nuvista pharma ltd.,3.0
actilac,oral solution,lactulose,3.35 gm/5 ml,healthcare pharmaceuticals ltd.,0.0
aclobet-n,ointment,clobetasol propionate + neomycin sulphate + nystatin,(0.5 mg+5 mg+1 lac iu)/gm,acme laboratories ltd.,0.0
actemra,iv infusion,tocilizumab,400 mg/20 ml,roche bangladesh ltd.,0.0
actifast,tablet,ketorolac tromethamine,10 mg,jenphar bangladesh ltd.,10.0
actilyse,iv infusion,alteplase,1 mg/1 ml,boehringer ingelheim,0.0
actemra,iv infusion,tocilizumab,200 mg/10 ml,roche bangladesh ltd.,0.0
actemra,iv infusion,tocilizumab,80 mg/4 ml,roche bangladesh ltd.,0.0
act plus,tablet,paracetamol + caffeine,500 mg+65 mg,ambee pharmaceuticals ltd.,2.0
act,tablet,paracetamol,500 mg,ambee pharmaceuticals ltd.,0.8
actidex,tablet,dexketoprofen,25 mg,incepta pharmaceuticals ltd.,4.0
act,oral suspension,paracetamol,120 mg/5 ml,ambee pharmaceuticals ltd.,0.0
acnesone,gel,dapsone,7.5%,incepta pharmaceuticals ltd.,0.0
acnegel,gel,adapalene + benzoyl peroxide,0.1%+2.5%,acme laboratories ltd.,0.0
acos,tablet,azithromycin dihydrate,500 mg,radiant pharmaceuticals ltd.,55.17
acryth,powder for suspension,erythromycin,125 mg/5 ml,monicopharma ltd.,0.0
acmegra,tablet,sildenafil citrate,50 mg,acme laboratories ltd.,27.09
actemra,sc injection,tocilizumab,162 mg/0.9 ml,roche bangladesh ltd.,0.0
acmecilin,capsule,ampicillin sodium,250 mg,acme laboratories ltd.,3.34
acmecilin,injection,ampicillin sodium,500 mg/vial,acme laboratories ltd.,27.32
aclobet,ointment,clobetasol propionate,0.05%,acme laboratories ltd.,0.0
actisal,tablet,levosalbutamol,2 mg,silva pharmaceuticals ltd.,1.71
acliz plus,tablet,meclizine + pyridoxine,25 mg+50 mg,aristopharma ltd.,3.5
aclobet,cream,clobetasol propionate,0.05%,acme laboratories ltd.,0.0
aclitol,inhalation capsule,aclidinium bromide + formoterol fumarate,400 mcg+12 mcg,square pharmaceuticals ltd.,25.0
acitrin,pediatric drops,cetirizine hydrochloride,2.5 mg/ml,aci limited,0.0
acitrin-l,oral solution,levocetirizine dihydrochloride,2.5 mg/5 ml,aci limited,0.0
acmegra,tablet,sildenafil citrate,25 mg,acme laboratories ltd.,18.06
acitrin-l,tablet,levocetirizine dihydrochloride,5 mg,aci limited,3.01
aciphin,iv injection,ceftriaxone sodium,2 gm/vial,aci limited,0.0
acipra,capsule (delayed release),rabeprazole sodium,20 mg,alco pharma ltd.,7.0
acitrin,tablet,cetirizine hydrochloride,10 mg,aci limited,3.01
aclene plus,gel,adapalene + benzoyl peroxide,0.1%+2.5%,drug international ltd.,0.0
acidron,iv infusion,zoledronic acid [for hypercalcemia],4 mg/5 ml,aci limited,0.0
acical-m,tablet,calcium carbonate + vitamin d3 + multimineral,0,aci limited,7.0
acical-c,effervescent tablet,calcium lactate gluconate + calcium carbonate + vitamin c,1000 mg+327 mg+500 mg,aci limited,11.03
acicot,ophthalmic solution,dexamethasone,0.1%,aci limited,0.0
acical jr,chewable tablet,calcium carbonate [elemental source],250 mg,aci limited,3.01
aclene,cream,adapalene,0.1%,drug international ltd.,0.0
achnil,tablet,tolfenamic acid,200 mg,desh pharmaceuticals ltd.,8.0
aci ors fruity,oral powder,oral rehydration salt [flavore & glucose based],13.47 gm/sachet,aci limited,6.0
aciclon,ophthalmic ointment,acyclovir,3%,reman drug laboratories ltd.,0.0
acflam,tablet,aceclofenac,100 mg,apollo pharmaceutical ltd.,4.0
acical-dx,effervescent tablet,calcium carbonate [elemental source] + vitamin d3,600 mg+400 iu,aci limited,15.0
acf,tablet,aceclofenac,100 mg,decent pharma laboratories ltd.,4.0
acical-mx,effervescent tablet,calcium carbonate + vitamin d3 + multimineral,0,aci limited,20.0
acical,tablet,calcium carbonate [elemental source],500 mg,aci limited,4.01
acliz,chewable tablet,meclizine hydrochloride,50 mg,aristopharma ltd.,2.5
acitrin,syrup,cetirizine hydrochloride,5 mg/5 ml,aci limited,0.0
acicaft,ophthalmic solution,alcaftadine,0.25%,aci limited,0.0
acmecilin,injection,ampicillin sodium,250 mg/vial,acme laboratories ltd.,19.43
acmegra,tablet,sildenafil citrate,100 mg,acme laboratories ltd.,45.13
aciphin,iv injection,ceftriaxone sodium,1 gm/vial,aci limited,0.0
acorex,syrup,ambroxol hydrochloride,15 mg/5 ml,apex pharmaceuticals ltd.,0.0
acos,tablet,azithromycin dihydrate,250 mg,radiant pharmaceuticals ltd.,30.0
acn,tablet,aceclofenac,100 mg,modern pharmaceuticals ltd.,4.0
act,pediatric drops,paracetamol,80 mg/ml,ambee pharmaceuticals ltd.,0.0
aclobet-n,cream,clobetasol propionate + neomycin sulphate + nystatin,(0.5 mg+5 mg+1 lac iu)/gm,acme laboratories ltd.,0.0
acora,tablet,ticagrelor,90 mg,aci limited,75.0
aclosol,cream,clobetasol propionate,0.05%,ad-din pharmaceuticals ltd.,0.0
acos,powder for suspension,azithromycin dihydrate,200 mg/5 ml,radiant pharmaceuticals ltd.,0.0
acme's dextrose,iv infusion,dextrose,5%,acme laboratories ltd.,0.0
acme's mannitol,iv infusion,mannitol,20%,acme laboratories ltd.,0.0
acidrox m,chewable tablet,magaldrate,400 mg,syntho laboratories ltd.,1.0
aclasta,iv infusion,zoledronic acid [for osteoporosis],5 mg/100 ml,sandoz (a novartis division),0.0
abacten,tablet,azithromycin dihydrate,500 mg,arges life science limited,35.0
acme's dextrose ds,iv infusion,dextrose,10%,acme laboratories ltd.,0.0
acilog,sc injection,insulin aspart [protamine crystallised],100 iu/ml,aci limited,25.0
aci ors,oral powder,oral rehydration salt [glucose based],10.25 gm,aci limited,6.0
aciphin,iv injection,ceftriaxone sodium,500 mg/vial,aci limited,0.0
acepro,tablet,aceclofenac,100 mg,the white horse pharmaceuticals ltd.,4.5
acme's dns,iv infusion,sodium chloride + dextrose,0.9%+5%,acme laboratories ltd.,0.0
aclo,tablet,aceclofenac,100 mg,alco pharma ltd.,4.0
aculizer,inhaler,inhaler device,0,aci limited,0.0
acupain,tablet,ketorolac tromethamine,10 mg,beacon pharmaceuticals ltd.,12.0
acupain,im/iv injection,ketorolac tromethamine,30 mg/ml,beacon pharmaceuticals ltd.,55.2
acical-d,tablet,calcium carbonate [elemental source] + vitamin d3,500 mg+200 iu,aci limited,7.0
actulose,oral solution,lactulose,3.35 gm/5 ml,silva pharmaceuticals ltd.,0.0
acubis,tablet,bisoprolol hemifumarate,2.5 mg,concord pharmaceuticals ltd.,6.02
actrim,oral suspension,sulphamethoxazole + trimethoprim,(200 mg+40 mg)/5 ml,globe pharmaceuticals ltd.,0.0
acudipin,tablet,amlodipine besilate,5 mg,concord pharmaceuticals ltd.,5.02
actomeg,tablet,pioglitazone + metformin hydrochloride,15 mg+850 mg,unimed unihealth pharmaceuticals ltd.,10.0
actol,oral suspension,paracetamol,120 mg/5 ml,somatec pharmaceuticals ltd.,0.0
acubis,tablet,bisoprolol hemifumarate,5 mg,concord pharmaceuticals ltd.,10.03
actrim-ds,tablet,sulphamethoxazole + trimethoprim,800 mg+160 mg,globe pharmaceuticals ltd.,2.0
acunac,ophthalmic solution,bromfenac sodium,0.09%,general pharmaceuticals ltd.,0.0
activit zi,syrup,iron polymaltose complex + vitamin b complex + zinc,0,delta pharma ltd.,0.0
activa,tablet,sildenafil citrate,100 mg,pacific pharmaceuticals ltd.,40.0
acmecilin,oral suspension,ampicillin sodium,125 mg/5 ml,acme laboratories ltd.,0.0
activit gold,tablet,multivitamin & multimineral [a-z gold preparation],0,delta pharma ltd.,7.0
active plus,tablet,betacarotene + vitamin c + vitamin e,6 mg+200 mg+50 mg,the white horse pharmaceuticals ltd.,2.5
actizen,tablet,cetirizine hydrochloride,10 mg,ambee pharmaceuticals ltd.,2.03
actolin,tablet,salbutamol,4 mg,globe pharmaceuticals ltd.,0.4
actizen,syrup,cetirizine hydrochloride,5 mg/5 ml,ambee pharmaceuticals ltd.,0.0
activit z,syrup,vitamin b complex + zinc,0,delta pharma ltd.,0.0
acudipin plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,concord pharmaceuticals ltd.,6.02
actisal,syrup,levosalbutamol,1 mg/5 ml,silva pharmaceuticals ltd.,0.0
actose,tablet,pioglitazone,15 mg,unimed unihealth pharmaceuticals ltd.,8.0
activit silver,tablet,multivitamin & multimineral [a-z silver preparation],0,delta pharma ltd.,7.0
activa,tablet,sildenafil citrate,50 mg,pacific pharmaceuticals ltd.,25.0
actolin,syrup,salbutamol,2 mg/5 ml,globe pharmaceuticals ltd.,0.0
adegra,tablet,sildenafil citrate,25 mg,aci limited,20.06
actrapid,sc injection,insulin human [rdna],40 iu/ml,eskayef pharmaceuticals ltd.,0.0
adegra,tablet,sildenafil citrate,100 mg,aci limited,50.15
adecin,tablet,ciprofloxacin,500 mg,supreme pharmaceutical ltd.,14.0
adecef,capsule,cephradine,500 mg,supreme pharmaceutical ltd.,12.5
adecef,powder for suspension,cephradine,125 mg/5 ml,supreme pharmaceutical ltd.,0.0
adecef ds,powder for suspension,cephradine,250 mg/5 ml,supreme pharmaceutical ltd.,0.0
adcovit,syrup,vitamin b complex,0,team pharmaceuticals ltd.,0.0
adcal d,tablet,calcium carbonate [elemental source] + vitamin d3,500 mg+200 iu,amulet pharmaceuticals ltd.,5.02
adarbi,tablet,azilsartan medoxomil,40 mg,nipro jmi pharma ltd.,12.0
adebrox,syrup,ambroxol hydrochloride,15 mg/5 ml,supreme pharmaceutical ltd.,0.0
adarbi,tablet,azilsartan medoxomil,80 mg,nipro jmi pharma ltd.,22.0
adam 33,tablet,prednisolone,20 mg,nuvista pharma ltd.,6.28
adair,tablet,roflumilast,500 mcg,aci limited,15.0
adam 33,tablet,prednisolone,5 mg,nuvista pharma ltd.,1.73
adagel plus,gel,adapalene + benzoyl peroxide,0.1%+2.5%,unimed unihealth pharmaceuticals ltd.,0.0
adalimab,sc injection,adalimumab,40 mg/0.8 ml,healthcare pharmaceuticals ltd.,0.0
adlock,tablet,propranolol hydrochloride,10 mg,sonear laboratories ltd.,0.5
adlinameg,tablet,linagliptin + metformin hydrochloride,2.5 mg+850 mg,unimed unihealth pharmaceuticals ltd.,14.0
adecard,iv injection,adenosine,6 mg/2 ml,popular pharmaceuticals ltd.,150.0
adapel,cream,adapalene,0.1%,healthcare pharmaceuticals ltd.,0.0
adlinameg,tablet,linagliptin + metformin hydrochloride,2.5 mg+500 mg,unimed unihealth pharmaceuticals ltd.,12.0
adafil,tablet,tadalafil,20 mg,beximco pharmaceuticals ltd.,60.0
adiz,powder for suspension,azithromycin dihydrate,200 mg/5 ml,euro pharma ltd.,0.0
adiz,capsule,azithromycin dihydrate,250 mg,euro pharma ltd.,25.0
adiva,tablet,efavirenz,600 mg,square pharmaceuticals ltd.,0.7
adlina-em,tablet,empagliflozin + linagliptin,25 mg+5 mg,unimed unihealth pharmaceuticals ltd.,0.0
