generic_name,cases,head,singular_case
allopurinol,urinary tract stones,specific urinary,urinary tract stones
almotriptan,migraine,migraine,migraine
alprazolam,anxiety,anxiety,anxiety
alprazolam,depression,depression,depression
alprazolam,dysautonomia,dysautonomia,dysautonomia
alprazolam,panic disorde,panic disorde,panic disorde
alprazolam,tinnitus,tinnitus,tinnitus
ambrisentan,pulmonary hypertension,pulmonary hypertension,pulmonary hypertension
amikacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
amikacin,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract
amikacin,urinary tract infection,specific urinary,urinary tract infection
ampicillin sodium,acute bacterial sinusitis,acute bacterial sinusitis,acute bacterial sinusitis
ampicillin sodium,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
anastrozole,breast cancer,cancer,breast cancer
anastrozole,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
anastrozole,endometrial cancer,cancer,endometrial cancer
apixaban,deep vein thrombosis,deep vein thrombosis,deep vein thrombosis
apixaban,"deep vein thrombosis, prophylaxis","deep vein thrombosis, prophylaxis","deep vein thrombosis, prophylaxis"
apixaban,prevention of thromboembolism in atrial fibrillation,prevention of thromboembolism in atrial fibrillation,prevention of thromboembolism in atrial fibrillation
apixaban,pulmonary embolism,pulmonary embolism,pulmonary embolism
apixaban,thromboembolic stroke prophylaxis,thromboembolic stroke prophylaxis,thromboembolic stroke prophylaxis
apremilast,plaque psoriasis,plaque,plaque psoriasis
apremilast,psoriatic arthritis,arthritis,psoriatic arthritis
aprepitant,"nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced"
aprepitant,"nausea/vomiting, postoperative","nausea/vomiting, postoperative","nausea/vomiting, postoperative"
aripiprazole,agitated state,agitated state,agitated state
aripiprazole,autism,autism,autism
aripiprazole,bipolar disorde,bipolar disorde,bipolar disorde
aripiprazole,borderline personality disorde,borderline personality disorde,borderline personality disorde
aripiprazole,depression,depression,depression
aripiprazole,infantile autism,infantile autism,infantile autism
aripiprazole,major depressive disorde,major depressive disorde,major depressive disorde
aripiprazole,obsessive compulsive disorde,obsessive compulsive disorde,obsessive compulsive disorde
aripiprazole,post traumatic stress disorde,post traumatic stress disorde,post traumatic stress disorde
aripiprazole,schizoaffective disorde,schizoaffective disorde,schizoaffective disorde
aripiprazole,schizophrenia,schizophrenia,schizophrenia
aripiprazole,tourette's syndrome,tourette's syndrome,tourette's syndrome
armodafinil,adhd,adhd,adhd
armodafinil,bipolar disorde,bipolar disorde,bipolar disorde
armodafinil,chronic fatigue syndrome,chronic fatigue syndrome,chronic fatigue syndrome
armodafinil,depression,depression,depression
armodafinil,hypersomnia,hypersomnia,hypersomnia
armodafinil,ibromyalgia,ibromyalgia,ibromyalgia
armodafinil,narcolepsy,narcolepsy,narcolepsy
armodafinil,obstructive sleep apnea/hypopnea syndrome,obstructive sleep apnea/hypopnea syndrome,obstructive sleep apnea/hypopnea syndrome
armodafinil,shift work sleep disorde,shift work sleep disorde,shift work sleep disorde
armodafinil,sleepiness due to obstructive sleep apnea,sleepiness due to obstructive sleep apnea,sleepiness due to obstructive sleep apnea
aspirin,angina,angina,angina
aspirin,back pain,back pain,back pain
aspirin,eve,eve,eve
aspirin,fever,fever,fever
aspirin,heart attack,heart attack,heart attack
aspirin,osteoarthritis,arthritis,osteoarthritis
aspirin,pain,pain,pain
aspirin,prevention of cerebrovascular accident,prevention of cerebrovascular accident,prevention of cerebrovascular accident
aspirin,rheumatoid arthritis,arthritis,rheumatoid arthritis
aspirin,sciatica,sciatica,sciatica
aspirin,thromboembolic stroke prophylaxis,thromboembolic stroke prophylaxis,thromboembolic stroke prophylaxis
aspirin,transient ischemic attack,transient ischemic attack,transient ischemic attack
atenolol,alcohol withdrawal,alcohol withdrawal,alcohol withdrawal
atenolol,angina,angina,angina
atenolol,anxiety,anxiety,anxiety
atenolol,high blood pressure,high blood pressure,high blood pressure
atenolol,hypertension,hypertension,hypertension
atenolol,migraine prevention,migraine,migraine prevention
atenolol,mitral valve prolapse,mitral valve prolapse,mitral valve prolapse
atenolol,supraventricular tachycardia,supraventricular tachycardia,supraventricular tachycardia
atenolol,ventricular tachycardia,ventricular tachycardia,ventricular tachycardia
avanafil,erectile dysfunction,erectile dysfunction,erectile dysfunction
azathioprine,autoimmune hepatitis,autoimmune hepatitis,autoimmune hepatitis
azathioprine,crohn's disease,crohn's disease,crohn's disease
azathioprine,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
azathioprine,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
azathioprine,eczema,eczema,eczema
azathioprine,multiple sclerosis,multiple sclerosis,multiple sclerosis
azathioprine,myasthenia gravis,myasthenia gravis,myasthenia gravis
azathioprine,renal transplant,renal transplant,renal transplant
azathioprine,rheumatoid arthritis,arthritis,rheumatoid arthritis
azathioprine,systemic lupus erythematosus,systemic lupus erythematosus,systemic lupus erythematosus
azathioprine,ulcerative colitis,ulcer,ulcerative colitis
azathioprine,wegener's granulomatosis,wegener's granulomatosis,wegener's granulomatosis
azelaic acid,acne,acne,acne
azelaic acid,rosacea,rosacea,rosacea
azilsartan medoxomil,high blood pressure,high blood pressure,high blood pressure
azilsartan medoxomil,hypertension,hypertension,hypertension
aztreonam,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
baclofen,alcohol withdrawal,alcohol withdrawal,alcohol withdrawal
baclofen,cerebral spasticity,cerebral spasticity,cerebral spasticity
baclofen,cervical dystonia,cervical dystonia,cervical dystonia
baclofen,chronic spasticity,chronic spasticity,chronic spasticity
baclofen,dystonia,dystonia,dystonia
baclofen,hiccups,hiccups,hiccups
baclofen,migraine prevention,migraine,migraine prevention
baclofen,muscle spasm,muscle spasm,muscle spasm
baclofen,muscle twitching,muscle twitching,muscle twitching
baclofen,neuralgia,neuralgia,neuralgia
baclofen,periodic limb movement disorde,periodic limb movement disorde,periodic limb movement disorde
baclofen,temporomandibular joint disorde,temporomandibular joint disorde,temporomandibular joint disorde
baclofen,trigeminal neuralgia,trigeminal neuralgia,trigeminal neuralgia
barium sulfate,computed tomography,computed tomography,computed tomography
bendamustine,chronic lymphocytic leukemia,chronic lymphocytic leukemia,chronic lymphocytic leukemia
bendamustine,non-hodgkin's lymphoma,non-hodgkin's lymphoma,non-hodgkin's lymphoma
benzocaine,cold sores,cold sores,cold sores
benzocaine,oral and dental conditions,oral and dental conditions,oral and dental conditions
benzocaine,pain,pain,pain
benzocaine,pruritus,pruritus,pruritus
benzocaine,sore throat,sore throat,sore throat
benzocaine,tonsillitis/pharyngitis,tonsillitis/pharyngitis,tonsillitis/pharyngitis
benzoyl peroxide,acne,acne,acne
benzyl alcohol,head lice,head lice,head lice
besifloxacin,bacterial conjunctivitis,bacterial conjunctivitis,bacterial conjunctivitis
besifloxacin,"conjunctivitis, bacterial","conjunctivitis, bacterial","conjunctivitis, bacterial"
betamethasone,atopic dermatitis,dermatitis,atopic dermatitis
betamethasone,dermatitis,dermatitis,dermatitis
betamethasone,dermatitis,dermatitis,dermatitis
betamethasone,inflammatory conditions,inflammatory conditions,inflammatory conditions
betamethasone,lichen sclerosus,lichen sclerosus,lichen sclerosus
betamethasone dipropionate,atopic dermatitis,dermatitis,atopic dermatitis
betamethasone valerate,atopic dermatitis,dermatitis,atopic dermatitis
bevacizumab,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
bevacizumab,colorectal cancer,cancer,colorectal cancer
bevacizumab,glioblastoma multi,glioblastoma multi,glioblastoma multi
bevacizumab,macular degeneration,macular issue,macular degeneration
bevacizumab,malignant glioma,malignant glioma,malignant glioma
bevacizumab,non-small cell lung cancer,cancer,non-small cell lung cancer
bevacizumab,ovarian cancer,cancer,ovarian cancer
bevacizumab,pancreatic cancer,cancer,pancreatic cancer
bevacizumab,renal cell carcinoma,renal cell carcinoma,renal cell carcinoma
bicalutamide,prostate cancer,cancer,prostate cancer
bimatoprost,eyelash hypotrichosis,eyelash hypotrichosis,eyelash hypotrichosis
bimatoprost,"glaucoma, open angle","glaucoma, open angle","glaucoma, open angle"
bimatoprost,intraocular hypertension,intraocular hypertension,intraocular hypertension
biotin,dietary supplementation,dietary supplementation,dietary supplementation
bisacodyl,bowel preparation,bowel preparation,bowel preparation
bisacodyl,constipation,constipation,constipation
bismuth subsalicylate,diarrhea,diarrhea,diarrhea
bismuth subsalicylate,"diarrhea, chronic","diarrhea, chronic","diarrhea, chronic"
bismuth subsalicylate,indigestion,indigestion,indigestion
bivalirudin,percutaneous coronary intervention,percutaneous coronary intervention,percutaneous coronary intervention
bortezomib,multiple myeloma,multiple myeloma,multiple myeloma
brexpiprazole,depression,depression,depression
brexpiprazole,major depressive disorde,major depressive disorde,major depressive disorde
brexpiprazole,schizophrenia,schizophrenia,schizophrenia
brinzolamide,"glaucoma, open angle","glaucoma, open angle","glaucoma, open angle"
brivaracetam,seizure,seizure,seizure
bumetanide,edema,edema,edema
bumetanide,hypertension,hypertension,hypertension
busulfan,chronic myelogenous leukemia,chronic myelogenous leukemia,chronic myelogenous leukemia
busulfan,thrombocythemia,thrombocythemia,thrombocythemia
butoconazole nitrate,vulvovaginal candidiasis,vulvovaginal candidiasis,vulvovaginal candidiasis
cabergoline,hyperprolactinemia,hyperprolactinemia,hyperprolactinemia
cabozantinib,thyroid cancer,cancer,thyroid cancer
calcitriol,hypocalcemia,hypocalcemia,hypocalcemia
calcitriol,hypoparathyroidism,hypoparathyroidism,hypoparathyroidism
calcitriol,psoriasis,psoriasis,psoriasis
calcium acetate,hyperphosphatemia,hyperphosphatemia,hyperphosphatemia
calcium carbonate,gerd,gerd,gerd
calcium carbonate,hypocalcemia,hypocalcemia,hypocalcemia
calcium carbonate,indigestion,indigestion,indigestion
calcium carbonate,osteoporosis,osteoporosis,osteoporosis
calcium carbonate,stomach ulce,stomach ulce,stomach ulce
capecitabine,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
capecitabine,breast cancer,cancer,breast cancer
capecitabine,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
capecitabine,colorectal cancer,cancer,colorectal cancer
capecitabine,stomach cancer,cancer,stomach cancer
capsaicin,back pain,back pain,back pain
capsaicin,diabetic peripheral neuropathy,diabetic,diabetic peripheral neuropathy
capsaicin,osteoarthritis,arthritis,osteoarthritis
capsaicin,pain,pain,pain
capsaicin,peripheral neuropathy,peripheral neuropathy,peripheral neuropathy
capsaicin,postherpetic neuralgia,postherpetic neuralgia,postherpetic neuralgia
captopril,high blood pressure,high blood pressure,high blood pressure
captopril,hypertension,hypertension,hypertension
carbamazepine,bipolar disorde,bipolar disorde,bipolar disorde
carbamazepine,cluster-tic syndrome,cluster-tic syndrome,cluster-tic syndrome
carbamazepine,dystonia,dystonia,dystonia
carbamazepine,epilepsy,epilepsy,epilepsy
carbamazepine,peripheral neuropathy,peripheral neuropathy,peripheral neuropathy
carbamazepine,trigeminal neuralgia,trigeminal neuralgia,trigeminal neuralgia
carboplatin,ovarian cancer,cancer,ovarian cancer
carisoprodol,muscle spasm,muscle spasm,muscle spasm
carisoprodol,nocturnal leg cramps,nocturnal leg cramps,nocturnal leg cramps
carvedilol,angina,angina,angina
carvedilol,atrial fibrillation,atrial fibrillation,atrial fibrillation
carvedilol,heart failure,heart failure,heart failure
carvedilol,high blood pressure,high blood pressure,high blood pressure
carvedilol,hypertension,hypertension,hypertension
carvedilol,left ventricular dysfunction,left ventricular dysfunction,left ventricular dysfunction
cefdinir,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cefdinir,bronchitis,bronchitis,bronchitis
cefdinir,otitis media,otitis media,otitis media
cefdinir,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefdinir,pneumonia,pneumonia,pneumonia
cefdinir,sinusitis,sinusitis,sinusitis
cefdinir,skin and structure infection,infection,skin and structure infection
cefdinir,skin or soft tissue infection,infection,skin or soft tissue infection
cefdinir,strep throat,strep throat,strep throat
cefdinir,tonsillitis/pharyngitis,tonsillitis/pharyngitis,tonsillitis/pharyngitis
cefditoren,bronchitis,bronchitis,bronchitis
cefditoren,skin and structure infection,infection,skin and structure infection
cefotaxime,skin or soft tissue infection,infection,skin or soft tissue infection
cefprozil,bladder infection,infection,bladder infection
cefprozil,bronchitis,bronchitis,bronchitis
cefprozil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefprozil,pneumonia,pneumonia,pneumonia
cefprozil,sinusitis,sinusitis,sinusitis
cefprozil,tonsillitis/pharyngitis,tonsillitis/pharyngitis,tonsillitis/pharyngitis
cefprozil,upper respiratory tract infection,infection,upper respiratory tract infection
cefuroxime axetil,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cefuroxime axetil,impetigo,impetigo,impetigo
cefuroxime axetil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
celecoxib,ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis
celecoxib,gout,arthritis,gout
celecoxib,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis
celecoxib,osteoarthritis,arthritis,osteoarthritis
celecoxib,pain,pain,pain
celecoxib,period pain,period pain,period pain
celecoxib,rheumatoid arthritis,arthritis,rheumatoid arthritis
cephalexin,acne,acne,acne
cephalexin,bacterial endocarditis prevention,bacterial endocarditis prevention,bacterial endocarditis prevention
cephalexin,bacterial infection,infection,bacterial infection
cephalexin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cephalexin,bladder infection,infection,bladder infection
cephalexin,bone infection,infection,bone infection
cephalexin,kidney infections,infection,kidney infections
cephalexin,otitis media,otitis media,otitis media
cephalexin,pharyngitis,pharyngitis,pharyngitis
cephalexin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cephalexin,skin or soft tissue infection,infection,skin or soft tissue infection
cephalexin,upper respiratory tract infection,infection,upper respiratory tract infection
cetuximab,colorectal cancer,cancer,colorectal cancer
cetuximab,head and neck cancer,cancer,head and neck cancer
cetuximab,squamous cell carcinoma,squamous cell carcinoma,squamous cell carcinoma
chlorambucil,chronic lymphocytic leukemia,chronic lymphocytic leukemia,chronic lymphocytic leukemia
chlorambucil,lymphoma,lymphoma,lymphoma
chlorthalidone,edema,edema,edema
chlorthalidone,high blood pressure,high blood pressure,high blood pressure
chlorthalidone,hypertension,hypertension,hypertension
cilostazol,intermittent claudication,intermittent claudication,intermittent claudication
cinacalcet,secondary hyperparathyroidism,secondary hyperparathyroidism,secondary hyperparathyroidism
ciprofloxacin,anthrax,anthrax,anthrax
ciprofloxacin,bacterial infection,infection,bacterial infection
ciprofloxacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
ciprofloxacin,bladder infection,infection,bladder infection
ciprofloxacin,bone infection,infection,bone infection
ciprofloxacin,bronchitis,bronchitis,bronchitis
ciprofloxacin,cholera,cholera,cholera
ciprofloxacin,"conjunctivitis, bacterial","conjunctivitis, bacterial","conjunctivitis, bacterial"
ciprofloxacin,crohn's disease,crohn's disease,crohn's disease
ciprofloxacin,diverticulitis,diverticulitis,diverticulitis
ciprofloxacin,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract,diverticulitis of gastrointestinal tract
ciprofloxacin,"epididymitis, sexually transmitted","epididymitis, sexually transmitted","epididymitis, sexually transmitted"
ciprofloxacin,"gonococcal infection, uncomplicated",infection,"gonococcal infection, uncomplicated"
ciprofloxacin,infectious diarrhea,infectious diarrhea,infectious diarrhea
ciprofloxacin,kidney infections,infection,kidney infections
ciprofloxacin,prostatitis,prostatitis,prostatitis
ciprofloxacin,sinusitis,sinusitis,sinusitis
ciprofloxacin,skin or soft tissue infection,infection,skin or soft tissue infection
ciprofloxacin,traveler's diarrhea,traveler's diarrhea,traveler's diarrhea
ciprofloxacin,typhoid feve,typhoid feve,typhoid feve
ciprofloxacin,urinary tract infection,specific urinary,urinary tract infection
cisplatin,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
cisplatin,brain tum,brain tum,brain tum
clarithromycin,acute bacterial sinusitis,acute bacterial sinusitis,acute bacterial sinusitis
clarithromycin,bronchitis,bronchitis,bronchitis
clarithromycin,dental abscess,dental abscess,dental abscess
clarithromycin,helicobacter pylori infection,infection,helicobacter pylori infection
clarithromycin,legionella pneumonia,legionella pneumonia,legionella pneumonia
clarithromycin,llicular lymphoma,llicular lymphoma,llicular lymphoma
clarithromycin,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment"
clarithromycin,mycoplasma pneumonia,mycoplasma pneumonia,mycoplasma pneumonia
clarithromycin,otitis media,otitis media,otitis media
clarithromycin,pertussis,pertussis,pertussis
clarithromycin,pharyngitis,pharyngitis,pharyngitis
clarithromycin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
clarithromycin,pneumonia,pneumonia,pneumonia
clarithromycin,sinusitis,sinusitis,sinusitis
clarithromycin,skin and structure infection,infection,skin and structure infection
clarithromycin,skin or soft tissue infection,infection,skin or soft tissue infection
clarithromycin,strep throat,strep throat,strep throat
clarithromycin,tonsillitis/pharyngitis,tonsillitis/pharyngitis,tonsillitis/pharyngitis
clarithromycin,upper respiratory tract infection,infection,upper respiratory tract infection
clindamycin,acne,acne,acne
clindamycin,aspiration pneumonia,aspiration pneumonia,aspiration pneumonia
clindamycin,bacterial endocarditis prevention,bacterial endocarditis prevention,bacterial endocarditis prevention
clindamycin,bacterial infection,infection,bacterial infection
clindamycin,bacterial vaginitis,bacterial vaginitis,bacterial vaginitis
clindamycin,bone infection,infection,bone infection
clindamycin,deep neck infection,infection,deep neck infection
clindamycin,intraabdominal infection,infection,intraabdominal infection
clindamycin,peritonitis,peritonitis,peritonitis
clindamycin,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease
clindamycin,sinusitis,sinusitis,sinusitis
clindamycin,skin or soft tissue infection,infection,skin or soft tissue infection
clindamycin,surgical prophylaxis,surgical prophylaxis,surgical prophylaxis
clobazam,epilepsy,epilepsy,epilepsy
clobazam,lennox-gastaut syndrome,lennox-gastaut syndrome,lennox-gastaut syndrome
clonazepam,anxiety,anxiety,anxiety
clonazepam,benzodiazepine withdrawal,benzodiazepine withdrawal,benzodiazepine withdrawal
clonazepam,bipolar disorde,bipolar disorde,bipolar disorde
clonazepam,borderline personality disorde,borderline personality disorde,borderline personality disorde
clonazepam,burning mouth syndrome,burning mouth syndrome,burning mouth syndrome
clonazepam,hyperekplexia,hyperekplexia,hyperekplexia
clonazepam,insomnia,insomnia,insomnia
clonazepam,migraine prevention,migraine,migraine prevention
clonazepam,night terrors,night terrors,night terrors
clonazepam,obsessive compulsive disorde,obsessive compulsive disorde,obsessive compulsive disorde
clonazepam,panic disorde,panic disorde,panic disorde
clonazepam,periodic limb movement disorde,periodic limb movement disorde,periodic limb movement disorde
clonazepam,restless legs syndrome,restless legs syndrome,restless legs syndrome
clonazepam,seizure prevention,seizure,seizure prevention
clonazepam,sleep paralysis,sleep paralysis,sleep paralysis
clonazepam,temporomandibular joint disorde,temporomandibular joint disorde,temporomandibular joint disorde
clozapine,borderline personality disorde,borderline personality disorde,borderline personality disorde
clozapine,paranoid disorde,paranoid disorde,paranoid disorde
clozapine,schizophrenia,schizophrenia,schizophrenia
coal tar,dermatitis,dermatitis,dermatitis
coal tar,psoriasis,psoriasis,psoriasis
coal tar,seborrheic dermatitis,dermatitis,seborrheic dermatitis
colchicine,amilial mediterranean feve,amilial mediterranean feve,amilial mediterranean feve
colchicine,behcet's disease,behcet's disease,behcet's disease
colchicine,"gout, acute",arthritis,"gout, acute"
colchicine,"gout, prophylaxis",arthritis,"gout, prophylaxis"
colchicine,"pseudogout, prophylaxis",arthritis,"pseudogout, prophylaxis"
crisaborole,atopic dermatitis,dermatitis,atopic dermatitis
crizotinib,non-small cell lung cancer,cancer,non-small cell lung cancer
crotamiton,pruritus,pruritus,pruritus
crotamiton,scabies,scabies,scabies
cyanocobalamin,b12 nutritional deficiency,b12 nutritional deficiency,b12 nutritional deficiency
cyanocobalamin,schilling test,schilling test,schilling test
cyanocobalamin,vitamin b12 deficiency,vitamin b12 deficiency,vitamin b12 deficiency
cyclophosphamide,brain tum,brain tum,brain tum
cyclophosphamide,chronic myelogenous leukemia,chronic myelogenous leukemia,chronic myelogenous leukemia
cyclophosphamide,multiple sclerosis,multiple sclerosis,multiple sclerosis
cyclophosphamide,ovarian cancer,cancer,ovarian cancer
cyclophosphamide,wegener's granulomatosis,wegener's granulomatosis,wegener's granulomatosis
cyclosporine,eczema,eczema,eczema
cyclosporine,idiopathic thrombocytopenic purpura,idiopathic thrombocytopenic purpura,idiopathic thrombocytopenic purpura
cyclosporine,keratoconjunctivitis sicca,keratoconjunctivitis sicca,keratoconjunctivitis sicca
cyclosporine,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis"
cyclosporine,psoriasis,psoriasis,psoriasis
cyclosporine,"ulcerative colitis, active",ulcer,"ulcerative colitis, active"
daclatasvir,hepatitis c,hepatitis c,hepatitis c
danazol,angioedema,angioedema,angioedema
danazol,endometriosis,endometriosis,endometriosis
danazol,ibrocystic breast disease,ibrocystic breast disease,ibrocystic breast disease
dapsone,acne,acne,acne
dapsone,leukocytoclastic vasculitis,leukocytoclastic vasculitis,leukocytoclastic vasculitis
dapsone,linear iga disease,linear iga disease,linear iga disease
dapsone,mis,mis,mis
darbepoetin alfa,anemia associated with chronic renal failure,anemia associated with chronic renal failure,anemia associated with chronic renal failure
darbepoetin alfa,"anemia, chemotherapy induced","anemia, chemotherapy induced","anemia, chemotherapy induced"
darifenacin,overactive bladde,overactive bladde,overactive bladde
darifenacin,urinary incontinence,specific urinary,urinary incontinence
dasatinib,acute lymphoblastic leukemia,acute lymphoblastic leukemia,acute lymphoblastic leukemia
dasatinib,chronic myelogenous leukemia,chronic myelogenous leukemia,chronic myelogenous leukemia
dasatinib,leukemia,leukemia,leukemia
dehydroepiandrosterone,dietary supplementation,dietary supplementation,dietary supplementation
denosumab,giant cell tumor of bone,tumor,giant cell tumor of bone
denosumab,hypercalcemia of malignancy,hypercalcemia of malignancy,hypercalcemia of malignancy
denosumab,osteolytic bone metastases of solid tumors,tumor,osteolytic bone metastases of solid tumors
denosumab,osteoporosis,osteoporosis,osteoporosis
desloratadine,allergic rhinitis,allergic,allergic rhinitis
desloratadine,urticaria,urticaria,urticaria
desonide,atopic dermatitis,dermatitis,atopic dermatitis
desonide,dermatitis,dermatitis,dermatitis
desonide,eczema,eczema,eczema
desonide,psoriasis,psoriasis,psoriasis
desoximetasone,atopic dermatitis,dermatitis,atopic dermatitis
desoximetasone,dermatitis,dermatitis,dermatitis
desoximetasone,eczema,eczema,eczema
desoximetasone,psoriasis,psoriasis,psoriasis
desvenlafaxine,adhd,adhd,adhd
desvenlafaxine,anxiety,anxiety,anxiety
desvenlafaxine,bipolar disorde,bipolar disorde,bipolar disorde
desvenlafaxine,depression,depression,depression
desvenlafaxine,ibromyalgia,ibromyalgia,ibromyalgia
desvenlafaxine,major depressive disorde,major depressive disorde,major depressive disorde
desvenlafaxine,obesity,obesity,obesity
desvenlafaxine,panic disorde,panic disorde,panic disorde
desvenlafaxine,post traumatic stress disorde,post traumatic stress disorde,post traumatic stress disorde
desvenlafaxine,postmenopausal symptoms,postmenopausal symptoms,postmenopausal symptoms
dexamethasone,addison's disease,addison's disease,addison's disease
dexamethasone,allergic rhinitis,allergic,allergic rhinitis
dexamethasone,asthma,asthma,asthma
dexamethasone,atopic dermatitis,dermatitis,atopic dermatitis
dexamethasone,cerebral edema,cerebral edema,cerebral edema
dexamethasone,croup,croup,croup
dexamethasone,dermatitis herpetiformis,dermatitis,dermatitis herpetiformis
dexamethasone,eczema,eczema,eczema
dexamethasone,inflammatory conditions,inflammatory conditions,inflammatory conditions
dexamethasone,lymphoma,lymphoma,lymphoma
dexamethasone,macular edema,macular issue,macular edema
dexamethasone,multiple myeloma,multiple myeloma,multiple myeloma
dexamethasone,multiple sclerosis,multiple sclerosis,multiple sclerosis
dexamethasone,"nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced","nausea/vomiting, chemotherapy induced"
dexlansoprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus
dexlansoprazole,erosive esophagitis,erosive esophagitis,erosive esophagitis
dexlansoprazole,gastroesophageal reflux disease,gastroesophageal reflux disease,gastroesophageal reflux disease
dexlansoprazole,gerd,gerd,gerd
dexpanthenol,dry skin,dry skin,dry skin
diazepam,alcohol withdrawal,alcohol withdrawal,alcohol withdrawal
diazepam,anxiety,anxiety,anxiety
diazepam,borderline personality disorde,borderline personality disorde,borderline personality disorde
diazepam,endoscopy or radiology premedication,endoscopy or radiology premedication,endoscopy or radiology premedication
diazepam,icu agitation,icu agitation,icu agitation
diazepam,light anesthesia,light anesthesia,light anesthesia
diazepam,light sedation,light sedation,light sedation
diazepam,meniere's disease,meniere's disease,meniere's disease
diazepam,muscle spasm,muscle spasm,muscle spasm
diazepam,night terrors,night terrors,night terrors
