generic_name,cases,head,singular_case
alprazolam,anxiety,anxiety,anxiety
alprazolam,depression,anxiety,depression
alprazolam,dysautonomia,dysautonomia,dysautonomia
alprazolam,panic disorder,anxiety,panic disorder
alprazolam,tinnitus,tinnitus,tinnitus
ambrisentan,pulmonary hypertension,lung,pulmonary hypertension
amikacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
amikacin,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract
amikacin,urinary tract infection,specific urinary,urinary tract infection
ampicillin sodium,acute bacterial sinusitis,bacterial,acute bacterial sinusitis
ampicillin sodium,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
anastrozole,breast cancer,cancer,breast cancer
anastrozole,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
anastrozole,endometrial cancer,cancer,endometrial cancer
apixaban,deep vein thrombosis,thrombosis,deep vein thrombosis
apixaban,"deep vein thrombosis, prophylaxis",thrombosis,"deep vein thrombosis, prophylaxis"
apixaban,prevention of thromboembolism in atrial fibrillation,thrombosis,prevention of thromboembolism in atrial fibrillation
apixaban,pulmonary embolism,lung,pulmonary embolism
apixaban,thromboembolic stroke prophylaxis,thrombosis,thromboembolic stroke prophylaxis
apremilast,plaque psoriasis,skin,plaque psoriasis
apremilast,psoriatic arthritis,arthritis,psoriatic arthritis
aprepitant,"nausea/vomiting, chemotherapy induced",nausea,"nausea/vomiting, chemotherapy induced"
aprepitant,"nausea/vomiting, postoperative",nausea,"nausea/vomiting, postoperative"
aripiprazole,agitated state,anxiety,agitated state
aripiprazole,autism,autism,autism
aripiprazole,bipolar disorder,bipolar disorder,bipolar disorder
aripiprazole,borderline personality disorder,mental,borderline personality disorder
aripiprazole,depression,anxiety,depression
aripiprazole,infantile autism,autism,infantile autism
aripiprazole,depression,anxiety,depression
aripiprazole,obsessive compulsive disorder,mental,obsessive compulsive disorder
aripiprazole,post traumatic stress disorder,anxiety,post traumatic stress disorder
aripiprazole,schizoaffective disorder,schizoaffective disorder,schizoaffective disorder
aripiprazole,schizophrenia,schizophrenia,schizophrenia
aripiprazole,tourette's syndrome,nervous system,tourette's syndrome
armodafinil,adhd,autism,adhd
armodafinil,bipolar disorder,bipolar disorder,bipolar disorder
armodafinil,chronic fatigue syndrome,nausea,chronic fatigue syndrome
armodafinil,depression,anxiety,depression
armodafinil,hypersomnia,anxiety,hypersomnia
armodafinil,fibromyalgia,fibromyalgia,fibromyalgia
armodafinil,narcolepsy,narcolepsy,narcolepsy
armodafinil,obstructive sleep apnea/hypopnea syndrome,sleep,obstructive sleep apnea/hypopnea syndrome
armodafinil,shift work sleep disorder,sleep,shift work sleep disorder
armodafinil,sleepiness due to obstructive sleep apnea,sleep,sleepiness due to obstructive sleep apnea
aspirin,angina,heart diseases,angina
aspirin,back pain,pain,back pain
aspirin,fever,fever,fever
aspirin,fever,fever,fever
aspirin,heart failure,heart diseases,heart failure
aspirin,osteoarthritis,arthritis,osteoarthritis
aspirin,pain,pain,pain
aspirin,prevention of cerebrovascular accident,nervous system,prevention of cerebrovascular accident
aspirin,rheumatoid arthritis,arthritis,rheumatoid arthritis
aspirin,sciatica,pain,sciatica
aspirin,thromboembolic stroke prophylaxis,thrombosis,thromboembolic stroke prophylaxis
aspirin,transient ischemic attack,stroke,transient ischemic attack
atenolol,alcohol withdrawal,alcohol,alcohol withdrawal
atenolol,angina,heart diseases,angina
atenolol,anxiety,anxiety,anxiety
atenolol,hypertension,hypertension,hypertension
atenolol,hypertension,hypertension,hypertension
atenolol,migraine prevention,migraine,migraine prevention
atenolol,mitral valve prolapse,heart diseases,mitral valve prolapse
atenolol,supraventricular tachycardia,heart diseases,supraventricular tachycardia
atenolol,ventricular tachycardia,heart diseases,ventricular tachycardia
avanafil,erectile dysfunction,erectile dysfunction,erectile dysfunction
azathioprine,autoimmune hepatitis,hepatitis,autoimmune hepatitis
azathioprine,crohn's disease,crohn's disease,crohn's disease
azathioprine,"crohn's disease, acute",crohn's disease,"crohn's disease, acute"
azathioprine,"crohn's disease, maintenance",crohn's disease,"crohn's disease, maintenance"
azathioprine,eczema,skin,eczema
azathioprine,multiple sclerosis,sclerosis,multiple sclerosis
azathioprine,myasthenia gravis,myasthenia gravis,myasthenia gravis
azathioprine,renal transplant,kidney disease,renal transplant
azathioprine,rheumatoid arthritis,arthritis,rheumatoid arthritis
azathioprine,systemic lupus erythematosus,lupus,systemic lupus erythematosus
azathioprine,ulcerative colitis,ulcer,ulcerative colitis
azathioprine,wegener's granulomatosis,inflammation,wegener's granulomatosis
azelaic acid,acne,acne,acne
azelaic acid,rosacea,skin,rosacea
azilsartan medoxomil,hypertension,hypertension,hypertension
azilsartan medoxomil,hypertension,hypertension,hypertension
aztreonam,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
baclofen,alcohol withdrawal,alcohol,alcohol withdrawal
baclofen,cerebral spasticity,nervous system,cerebral spasticity
baclofen,cervical dystonia,cervical dystonia,cervical dystonia
baclofen,chronic spasticity,chronic spasticity,chronic spasticity
baclofen,dystonia,dystonia,dystonia
baclofen,hiccups,hiccups,hiccups
baclofen,migraine prevention,migraine,migraine prevention
baclofen,muscle spasm,muscle issue,muscle spasm
baclofen,muscle twitching,muscle issue,muscle twitching
baclofen,neuralgia,nervous system,neuralgia
baclofen,periodic limb movement disorder,periodic limb movement disorder,periodic limb movement disorder
baclofen,temporomandibular joint disorder,temporomandibular joint disorder,temporomandibular joint disorder
baclofen,trigeminal neuralgia,nervous system,trigeminal neuralgia
barium sulfate,computed tomography,computed tomography,computed tomography
bendamustine,chronic lymphocytic leukemia,leukemia,chronic lymphocytic leukemia
bendamustine,non-hodgkin's lymphoma,lymphoma,non-hodgkin's lymphoma
benzocaine,cold sores,cold,cold sores
benzocaine,oral and dental conditions,oral and dental conditions,oral and dental conditions
benzocaine,pain,pain,pain
benzocaine,pruritus,pruritus,pruritus
benzocaine,sore throat,throat,sore throat
benzocaine,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis
benzoyl peroxide,acne,acne,acne
benzyl alcohol,head lice,head lice,head lice
besifloxacin,bacterial conjunctivitis,conjunctivitis,bacterial conjunctivitis
besifloxacin,"conjunctivitis, bacterial",conjunctivitis,"conjunctivitis, bacterial"
betamethasone,atopic dermatitis,skin,atopic dermatitis
betamethasone,dermatitis,skin,dermatitis
betamethasone,dermatitis,skin,dermatitis
betamethasone,inflammatory conditions,inflammation,inflammatory conditions
betamethasone,lichen sclerosus,lichen sclerosus,lichen sclerosus
betamethasone dipropionate,atopic dermatitis,skin,atopic dermatitis
betamethasone valerate,atopic dermatitis,skin,atopic dermatitis
bevacizumab,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
bevacizumab,colorectal cancer,cancer,colorectal cancer
bevacizumab,glioblastoma multi,glioblastoma multi,glioblastoma multi
bevacizumab,macular degeneration,macular issue,macular degeneration
bevacizumab,malignant glioma,malignant glioma,malignant glioma
bevacizumab,non-small cell lung cancer,cancer,non-small cell lung cancer
bevacizumab,ovarian cancer,ovary,ovarian cancer
bevacizumab,pancreatic cancer,cancer,pancreatic cancer
bevacizumab,renal cell carcinoma,kidney disease,renal cell carcinoma
bicalutamide,prostate cancer,cancer,prostate cancer
bimatoprost,eyelash hypotrichosis,eye,eyelash hypotrichosis
bimatoprost,"glaucoma, open angle",glaucoma,"glaucoma, open angle"
bimatoprost,intraocular hypertension,hypertension,intraocular hypertension
biotin,dietary supplementation,dietary supplementation,dietary supplementation
bisacodyl,bowel preparation,bowel preparation,bowel preparation
bisacodyl,constipation,constipation,constipation
bismuth subsalicylate,diarrhoea,diarrhoea,diarrhoea
bismuth subsalicylate,"diarrhoea, chronic",diarrhoea,"diarrhoea, chronic"
bismuth subsalicylate,indigestion,indigestion,indigestion
bivalirudin,percutaneous coronary intervention,heart diseases,percutaneous coronary intervention
bortezomib,multiple myeloma,multiple myeloma,multiple myeloma
brexpiprazole,depression,anxiety,depression
brexpiprazole,depression,anxiety,depression
brexpiprazole,schizophrenia,schizophrenia,schizophrenia
brinzolamide,"glaucoma, open angle",glaucoma,"glaucoma, open angle"
brivaracetam,seizure,seizure,seizure
bumetanide,edema,edema,edema
bumetanide,hypertension,hypertension,hypertension
busulfan,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia
busulfan,thrombocythemia,thrombosis,thrombocythemia
butoconazole nitrate,vulvovaginal candidiasis,candidiasis,vulvovaginal candidiasis
cabergoline,hyperprolactinemia,hyperprolactinemia,hyperprolactinemia
cabozantinib,thyroid cancer,cancer,thyroid cancer
calcitriol,hypocalcemia,calcemia,hypocalcemia
calcitriol,hypoparathyroidism,thyroidism,hypoparathyroidism
calcitriol,psoriasis,skin,psoriasis
calcium acetate,hyperphosphatemia,hyperphosphatemia,hyperphosphatemia
calcium carbonate,gerd,gerd,gerd
calcium carbonate,hypocalcemia,calcemia,hypocalcemia
calcium carbonate,indigestion,indigestion,indigestion
calcium carbonate,osteoporosis,arthritis,osteoporosis
calcium carbonate,stomach ulcer,ulcer,stomach ulcer
capecitabine,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
capecitabine,breast cancer,cancer,breast cancer
capecitabine,"breast cancer, metastatic",cancer,"breast cancer, metastatic"
capecitabine,colorectal cancer,cancer,colorectal cancer
capecitabine,stomach cancer,cancer,stomach cancer
capsaicin,back pain,pain,back pain
capsaicin,diabetic peripheral neuropathy,neurosis,diabetic peripheral neuropathy
capsaicin,osteoarthritis,arthritis,osteoarthritis
capsaicin,pain,pain,pain
capsaicin,peripheral neuropathy,neurosis,peripheral neuropathy
capsaicin,postherpetic neuralgia,nervous system,postherpetic neuralgia
captopril,hypertension,hypertension,hypertension
captopril,hypertension,hypertension,hypertension
carbamazepine,bipolar disorder,bipolar disorder,bipolar disorder
carbamazepine,cluster-tic syndrome,cluster-tic syndrome,cluster-tic syndrome
carbamazepine,dystonia,dystonia,dystonia
carbamazepine,epilepsy,epilepsy,epilepsy
carbamazepine,peripheral neuropathy,neurosis,peripheral neuropathy
carbamazepine,trigeminal neuralgia,nervous system,trigeminal neuralgia
carboplatin,ovarian cancer,ovary,ovarian cancer
carisoprodol,muscle spasm,muscle issue,muscle spasm
carisoprodol,nocturnal leg cramps,muscle issue,nocturnal leg cramps
carvedilol,angina,heart diseases,angina
carvedilol,atrial fibrillation,atrial fibrillation,atrial fibrillation
carvedilol,heart failure,heart diseases,heart failure
carvedilol,hypertension,hypertension,hypertension
carvedilol,hypertension,hypertension,hypertension
carvedilol,left ventricular dysfunction,heart diseases,left ventricular dysfunction
cefdinir,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cefdinir,bronchitis,bronchitis,bronchitis
cefdinir,otitis media,otitis media,otitis media
cefdinir,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefdinir,pneumonia,pneumonia,pneumonia
cefdinir,sinusitis,sinusitis,sinusitis
cefdinir,skin and structure infection,skin,skin and structure infection
cefdinir,skin or soft tissue infection,skin,skin or soft tissue infection
cefdinir,strep throat,throat,strep throat
cefdinir,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis
cefditoren,bronchitis,bronchitis,bronchitis
cefditoren,skin and structure infection,skin,skin and structure infection
cefotaxime,skin or soft tissue infection,skin,skin or soft tissue infection
cefprozil,bladder infection,infection,bladder infection
cefprozil,bronchitis,bronchitis,bronchitis
cefprozil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cefprozil,pneumonia,pneumonia,pneumonia
cefprozil,sinusitis,sinusitis,sinusitis
cefprozil,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis
cefprozil,upper respiratory tract infection,infection,upper respiratory tract infection
cefuroxime axetil,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cefuroxime axetil,impetigo,impetigo,impetigo
cefuroxime axetil,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
celecoxib,ankylosing spondylitis,arthritis,ankylosing spondylitis
celecoxib,gout,arthritis,gout
celecoxib,juvenile rheumatoid arthritis,arthritis,juvenile rheumatoid arthritis
celecoxib,osteoarthritis,arthritis,osteoarthritis
celecoxib,pain,pain,pain
celecoxib,period pain,pain,period pain
celecoxib,rheumatoid arthritis,arthritis,rheumatoid arthritis
cephalexin,acne,acne,acne
cephalexin,bacterial endocarditis prevention,bacterial,bacterial endocarditis prevention
cephalexin,bacterial infection,bacterial,bacterial infection
cephalexin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
cephalexin,bladder infection,infection,bladder infection
cephalexin,bone infection,infection,bone infection
cephalexin,kidney infections,infection,kidney infections
cephalexin,otitis media,otitis media,otitis media
cephalexin,pharyngitis,pharyngitis,pharyngitis
cephalexin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
cephalexin,skin or soft tissue infection,skin,skin or soft tissue infection
cephalexin,upper respiratory tract infection,infection,upper respiratory tract infection
cetuximab,colorectal cancer,cancer,colorectal cancer
cetuximab,head and neck cancer,cancer,head and neck cancer
cetuximab,squamous cell carcinoma,squamous cell carcinoma,squamous cell carcinoma
chlorambucil,chronic lymphocytic leukemia,leukemia,chronic lymphocytic leukemia
chlorambucil,lymphoma,lymphoma,lymphoma
chlorthalidone,edema,edema,edema
chlorthalidone,hypertension,hypertension,hypertension
chlorthalidone,hypertension,hypertension,hypertension
cilostazol,intermittent claudication,intermittent claudication,intermittent claudication
cinacalcet,secondary hyperparathyroidism,thyroidism,secondary hyperparathyroidism
ciprofloxacin,anthrax,anthrax,anthrax
ciprofloxacin,bacterial infection,bacterial,bacterial infection
ciprofloxacin,bacterial urinary tract infection,specific urinary,bacterial urinary tract infection
ciprofloxacin,bladder infection,infection,bladder infection
ciprofloxacin,bone infection,infection,bone infection
ciprofloxacin,bronchitis,bronchitis,bronchitis
ciprofloxacin,cholera,cholera,cholera
ciprofloxacin,"conjunctivitis, bacterial",conjunctivitis,"conjunctivitis, bacterial"
ciprofloxacin,crohn's disease,crohn's disease,crohn's disease
ciprofloxacin,diverticulitis,diverticulitis,diverticulitis
ciprofloxacin,diverticulitis of gastrointestinal tract,gastroenteritis,diverticulitis of gastrointestinal tract
ciprofloxacin,"epididymitis, sexually transmitted","epididymitis, sexually transmitted","epididymitis, sexually transmitted"
ciprofloxacin,"gonococcal infection, uncomplicated",infection,"gonococcal infection, uncomplicated"
ciprofloxacin,infectious diarrhoea,diarrhoea,infectious diarrhoea
ciprofloxacin,kidney infections,infection,kidney infections
ciprofloxacin,prostatitis,prostatitis,prostatitis
ciprofloxacin,sinusitis,sinusitis,sinusitis
ciprofloxacin,skin or soft tissue infection,skin,skin or soft tissue infection
ciprofloxacin,traveler's diarrhoea,diarrhoea,traveler's diarrhoea
ciprofloxacin,typhoid feve,typhoid feve,typhoid feve
ciprofloxacin,urinary tract infection,specific urinary,urinary tract infection
cisplatin,adenocarcinoma of pancreas,adenocarcinoma of pancreas,adenocarcinoma of pancreas
cisplatin,brain tumor,tumor,brain tumor
clarithromycin,acute bacterial sinusitis,bacterial,acute bacterial sinusitis
clarithromycin,bronchitis,bronchitis,bronchitis
clarithromycin,dental abscess,dental abscess,dental abscess
clarithromycin,helicobacter pylori infection,infection,helicobacter pylori infection
clarithromycin,legionella pneumonia,legionella pneumonia,legionella pneumonia
clarithromycin,llicular lymphoma,lymphoma,llicular lymphoma
clarithromycin,"mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment","mycobacterium avium-intracellulare, treatment"
clarithromycin,mycoplasma pneumonia,mycoplasma pneumonia,mycoplasma pneumonia
clarithromycin,otitis media,otitis media,otitis media
clarithromycin,pertussis,pertussis,pertussis
clarithromycin,pharyngitis,pharyngitis,pharyngitis
clarithromycin,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes,pharyngitis due to streptococcus pyogenes
clarithromycin,pneumonia,pneumonia,pneumonia
clarithromycin,sinusitis,sinusitis,sinusitis
clarithromycin,skin and structure infection,skin,skin and structure infection
clarithromycin,skin or soft tissue infection,skin,skin or soft tissue infection
clarithromycin,strep throat,throat,strep throat
clarithromycin,tonsillitis/pharyngitis,throat,tonsillitis/pharyngitis
clarithromycin,upper respiratory tract infection,infection,upper respiratory tract infection
clindamycin,acne,acne,acne
clindamycin,aspiration pneumonia,aspiration pneumonia,aspiration pneumonia
clindamycin,bacterial endocarditis prevention,bacterial,bacterial endocarditis prevention
clindamycin,bacterial infection,bacterial,bacterial infection
clindamycin,bacterial vaginitis,bacterial,bacterial vaginitis
clindamycin,bone infection,infection,bone infection
clindamycin,deep neck infection,infection,deep neck infection
clindamycin,intraabdominal infection,infection,intraabdominal infection
clindamycin,peritonitis,peritonitis,peritonitis
clindamycin,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease,prevention of perinatal group b streptococcal disease
clindamycin,sinusitis,sinusitis,sinusitis
clindamycin,skin or soft tissue infection,skin,skin or soft tissue infection
clindamycin,surgical prophylaxis,surgical prophylaxis,surgical prophylaxis
clobazam,epilepsy,epilepsy,epilepsy
clobazam,lennox-gastaut syndrome,lennox-gastaut syndrome,lennox-gastaut syndrome
clonazepam,anxiety,anxiety,anxiety
clonazepam,benzodiazepine withdrawal,benzodiazepine withdrawal,benzodiazepine withdrawal
clonazepam,bipolar disorder,bipolar disorder,bipolar disorder
clonazepam,borderline personality disorder,mental,borderline personality disorder
clonazepam,burning mouth syndrome,burning mouth syndrome,burning mouth syndrome
clonazepam,hyperekplexia,hyperekplexia,hyperekplexia
clonazepam,insomnia,anxiety,insomnia
clonazepam,migraine prevention,migraine,migraine prevention
clonazepam,night terrors,night terrors,night terrors
clonazepam,obsessive compulsive disorder,mental,obsessive compulsive disorder
clonazepam,panic disorder,anxiety,panic disorder
clonazepam,periodic limb movement disorder,periodic limb movement disorder,periodic limb movement disorder
clonazepam,restless legs syndrome,muscle issue,restless legs syndrome
clonazepam,seizure prevention,seizure,seizure prevention
clonazepam,sleep paralysis,sleep,sleep paralysis
clonazepam,temporomandibular joint disorder,temporomandibular joint disorder,temporomandibular joint disorder
clozapine,borderline personality disorder,mental,borderline personality disorder
clozapine,paranoid disorder,paranoid disorder,paranoid disorder
clozapine,schizophrenia,schizophrenia,schizophrenia
coal tar,dermatitis,skin,dermatitis
coal tar,psoriasis,skin,psoriasis
coal tar,seborrheic dermatitis,skin,seborrheic dermatitis
colchicine,amilial mediterranean feve,amilial mediterranean feve,amilial mediterranean feve
colchicine,behcet's disease,behcet's disease,behcet's disease
colchicine,"gout, acute",arthritis,"gout, acute"
colchicine,"gout, prophylaxis",arthritis,"gout, prophylaxis"
colchicine,"pseudogout, prophylaxis",arthritis,"pseudogout, prophylaxis"
crisaborole,atopic dermatitis,skin,atopic dermatitis
crizotinib,non-small cell lung cancer,cancer,non-small cell lung cancer
crotamiton,pruritus,pruritus,pruritus
crotamiton,scabies,scabies,scabies
cyanocobalamin,b12 nutritional deficiency,b12 nutritional deficiency,b12 nutritional deficiency
cyanocobalamin,schilling test,schilling test,schilling test
cyanocobalamin,vitamin b12 deficiency,vitamin,vitamin b12 deficiency
cyclophosphamide,brain tumor,tumor,brain tumor
cyclophosphamide,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia
cyclophosphamide,multiple sclerosis,sclerosis,multiple sclerosis
cyclophosphamide,ovarian cancer,ovary,ovarian cancer
cyclophosphamide,wegener's granulomatosis,inflammation,wegener's granulomatosis
cyclosporine,eczema,skin,eczema
cyclosporine,idiopathic thrombocytopenic purpura,thrombosis,idiopathic thrombocytopenic purpura
cyclosporine,keratoconjunctivitis sicca,conjunctivitis,keratoconjunctivitis sicca
cyclosporine,"organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis","organ transplant, rejection prophylaxis"
cyclosporine,psoriasis,skin,psoriasis
cyclosporine,"ulcerative colitis, active",ulcer,"ulcerative colitis, active"
daclatasvir,hepatitis c,hepatitis,hepatitis c
danazol,angioedema,edema,angioedema
danazol,endometriosis,endometriosis,endometriosis
danazol,ibrocystic breast disease,ibrocystic breast disease,ibrocystic breast disease
dapsone,acne,acne,acne
dapsone,leukocytoclastic vasculitis,leukocytoclastic vasculitis,leukocytoclastic vasculitis
dapsone,linear iga disease,linear iga disease,linear iga disease
dapsone,mis,mis,mis
darbepoetin alfa,anemia associated with chronic renal failure,kidney disease,anemia associated with chronic renal failure
darbepoetin alfa,"anemia, chemotherapy induced","anemia, chemotherapy induced","anemia, chemotherapy induced"
darifenacin,overactive bladde,overactive bladde,overactive bladde
darifenacin,urinary incontinence,specific urinary,urinary incontinence
dasatinib,acute lymphoblastic leukemia,leukemia,acute lymphoblastic leukemia
dasatinib,chronic myelogenous leukemia,leukemia,chronic myelogenous leukemia
dasatinib,leukemia,leukemia,leukemia
dehydroepiandrosterone,dietary supplementation,dietary supplementation,dietary supplementation
denosumab,giant cell tumor of bone,tumor,giant cell tumor of bone
denosumab,hypercalcemia of malignancy,calcemia,hypercalcemia of malignancy
denosumab,osteolytic bone metastases of solid tumors,tumor,osteolytic bone metastases of solid tumors
denosumab,osteoporosis,arthritis,osteoporosis
desloratadine,allergic rhinitis,allergic,allergic rhinitis
desloratadine,urticaria,urticaria,urticaria
desonide,atopic dermatitis,skin,atopic dermatitis
desonide,dermatitis,skin,dermatitis
desonide,eczema,skin,eczema
desonide,psoriasis,skin,psoriasis
desoximetasone,atopic dermatitis,skin,atopic dermatitis
desoximetasone,dermatitis,skin,dermatitis
desoximetasone,eczema,skin,eczema
desoximetasone,psoriasis,skin,psoriasis
desvenlafaxine,adhd,autism,adhd
desvenlafaxine,anxiety,anxiety,anxiety
desvenlafaxine,bipolar disorder,bipolar disorder,bipolar disorder
desvenlafaxine,depression,anxiety,depression
desvenlafaxine,fibromyalgia,fibromyalgia,fibromyalgia
desvenlafaxine,depression,anxiety,depression
desvenlafaxine,obesity,obesity,obesity
desvenlafaxine,panic disorder,anxiety,panic disorder
desvenlafaxine,post traumatic stress disorder,anxiety,post traumatic stress disorder
desvenlafaxine,postmenopausal symptoms,postmenopausal symptoms,postmenopausal symptoms
dexamethasone,addison's disease,addison's disease,addison's disease
dexamethasone,allergic rhinitis,allergic,allergic rhinitis
dexamethasone,asthma,asthma,asthma
dexamethasone,atopic dermatitis,skin,atopic dermatitis
dexamethasone,cerebral edema,nervous system,cerebral edema
dexamethasone,croup,croup,croup
dexamethasone,dermatitis herpetiformis,skin,dermatitis herpetiformis
dexamethasone,eczema,skin,eczema
dexamethasone,inflammatory conditions,inflammation,inflammatory conditions
dexamethasone,lymphoma,lymphoma,lymphoma
dexamethasone,macular edema,edema,macular edema
dexamethasone,multiple myeloma,multiple myeloma,multiple myeloma
dexamethasone,multiple sclerosis,sclerosis,multiple sclerosis
dexamethasone,"nausea/vomiting, chemotherapy induced",nausea,"nausea/vomiting, chemotherapy induced"
dexlansoprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus
dexlansoprazole,erosive esophagitis,erosive esophagitis,erosive esophagitis
dexlansoprazole,gastroesophageal reflux disease,gastroenteritis,gastroesophageal reflux disease
dexlansoprazole,gerd,gerd,gerd
dexpanthenol,dry skin,skin,dry skin
diazepam,alcohol withdrawal,alcohol,alcohol withdrawal
diazepam,anxiety,anxiety,anxiety
diazepam,borderline personality disorder,mental,borderline personality disorder
diazepam,endoscopy or radiology premedication,endoscopy or radiology premedication,endoscopy or radiology premedication
diazepam,icu agitation,icu agitation,icu agitation
diazepam,light anesthesia,light anesthesia,light anesthesia
diazepam,light sedation,light sedation,light sedation
diazepam,meniere's disease,meniere's disease,meniere's disease
diazepam,muscle spasm,muscle issue,muscle spasm
diazepam,night terrors,night terrors,night terrors
diazepam,seizure prevention,seizure,seizure prevention
diazepam,seizure,seizure,seizure
diazepam,status epilepticus,crohn's disease,status epilepticus
diazepam,temporomandibular joint disorder,temporomandibular joint disorder,temporomandibular joint disorder
diazepam,tetanus,tetanus,tetanus
diazoxide,hypoglycemia,hypoglycemia,hypoglycemia
diclofenac potassium,gout,arthritis,gout
diclofenac sodium,gout,arthritis,gout
difluprednate,postoperative ocular inflammation,inflammation,postoperative ocular inflammation
difluprednate,uveitis,uveitis,uveitis
digoxin,atrial fibrillation,atrial fibrillation,atrial fibrillation
digoxin,heart failure,heart diseases,heart failure
dulaglutide,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
dutasteride,benign prostatic hyperplasia,cancer,benign prostatic hyperplasia
echinacea,cold symptoms,cold,cold symptoms
echinacea,condylomata acuminata,condylomata acuminata,condylomata acuminata
efavirenz,hiv infection,infection,hiv infection
efavirenz,nonoccupational exposure,nonoccupational exposure,nonoccupational exposure
eluxadoline,irritable bowel syndrome,irritable bowel syndrome,irritable bowel syndrome
empagliflozin,"diabetes, diabetes mellitus",diabetes,"diabetes, diabetes mellitus"
enalapril maleate,hypertension,hypertension,hypertension
entacapone,parkinson's disease,parkinson's disease,parkinson's disease
eplerenone,hypertension,hypertension,hypertension
eplerenone,hypertension,hypertension,hypertension
erlotinib,non-small cell lung cancer,cancer,non-small cell lung cancer
erlotinib,pancreatic cancer,cancer,pancreatic cancer
esomeprazole,barrett's esophagus,barrett's esophagus,barrett's esophagus
