group,indication,Score,drug_class
sign_symptom,ischaemi,0.34749866,other anti-anginal & anti-ischaemic drugs
medication,beta - adrenoceptor blocking drugs,0.9996144,beta-adrenoceptor blocking drugs
diagnostic_procedure,anticholinergics (,0.9526467,anticholinergics (antimuscarinics)/ anti-spasmodics
detailed_description,fungal,0.8918356,anti-fungal or anti-bacterial ear drops
detailed_description,anti - bacterial,0.94384795,anti-fungal or anti-bacterial ear drops
diagnostic_procedure,drops,0.45929375,anti-fungal or anti-bacterial ear drops
detailed_description,nasal,0.8346784,nasal steroid preparations
medication,steroid,0.95577073,nasal steroid preparations
diagnostic_procedure,preparations,0.6708654,nasal steroid preparations
detailed_description,respiratory,0.67958164,respiratory corticosteroids
medication,corticosteroids,0.98779184,respiratory corticosteroids
detailed_description,contrast medium,0.9946454,contrast medium for diagnostic procedures
diagnostic_procedure,diagnostic procedures,0.9993435,contrast medium for diagnostic procedures
detailed_description,short,0.9989666,short-acting selective & 2-adrenoceptor stimulants
detailed_description,acting,0.99721587,short-acting selective & 2-adrenoceptor stimulants
detailed_description,selective,0.98132354,short-acting selective & 2-adrenoceptor stimulants
medication,2 - ad,0.85469145,short-acting selective & 2-adrenoceptor stimulants
therapeutic_procedure,irrigation,0.9994747,irrigation during various surgical procedures
therapeutic_procedure,surgical procedures,0.9972348,irrigation during various surgical procedures
detailed_description,centrally acting,0.9994744,centrally acting skeletal muscle relaxants
medication,skeletal muscle relaxants,0.9963367,centrally acting skeletal muscle relaxants
diagnostic_procedure,opht,0.9035988,ophthalmic antibacterial drugs
medication,beta - lactam,0.99874926,other beta-lactam antibiotics
medication,antibiotics,0.9979259,other beta-lactam antibiotics
detailed_description,macrolides,0.542316,macrolides
medication,beta,0.9997888,betamethasone & combined preparations
diagnostic_procedure,combined,0.883731,betamethasone & combined preparations
therapeutic_procedure,preparations,0.8620146,betamethasone & combined preparations
medication,drugs,0.8820142,drugs used in meniere's diseases
disease_disorder,meniere ' s diseases,0.9994024,drugs used in meniere's diseases
diagnostic_procedure,anti - oxidant multivitamin preparations,0.87481475,anti-oxidant multivitamin preparations
medication,benzylpenicillin,0.95279694,benzylpenicillin & phenoxymethyl penicillin
therapeutic_procedure,parasiticidal preparations,0.7772847,parasiticidal preparations
therapeutic_procedure,scalp preparations,0.99029124,other scalp preparations
administration,topical,0.99729437,topical anti-inflammatory preparations
therapeutic_procedure,anti - inflammatory preparations,0.7815658,topical anti-inflammatory preparations
administration,topical,0.99251634,topical local anesthetics
detailed_description,local,0.7746806,topical local anesthetics
medication,anesthetics,0.99539125,topical local anesthetics
diagnostic_procedure,vitamin - e preparations,0.8167023,vitamin-e preparations
detailed_description,local,0.99993443,local & surface anesthesia
detailed_description,surface,0.99966,local & surface anesthesia
detailed_description,long acting,0.7837654,long acting penicillin
detailed_description,combination,0.9994991,combination insulin
medication,insulin,0.9955772,combination insulin
medication,drugs,0.9700558,drugs for miotics and glaucoma
disease_disorder,miotics,0.65290666,drugs for miotics and glaucoma
disease_disorder,glaucoma,0.9604821,drugs for miotics and glaucoma
medication,sedating antihistamines,0.9196014,non-sedating antihistamines
medication,chemotherapy,0.9994419,hormonal chemotherapy
medication,anti - platelet drugs,0.9866575,anti-platelet drugs
medication,aural steroid,0.88866234,aural steroid & antibiotic combined preparations
medication,antibiotic,0.99813175,aural steroid & antibiotic combined preparations
detailed_description,combined,0.80234087,aural steroid & antibiotic combined preparations
therapeutic_procedure,preparations,0.6703629,aural steroid & antibiotic combined preparations
therapeutic_procedure,vascular protecting preparation,0.9648497,phlebotonic & vascular protecting preparation
medication,steroid,0.99205846,ophthalmic steroid - antibiotic combined preparations
medication,antibiotic,0.99382305,ophthalmic steroid - antibiotic combined preparations
detailed_description,combined,0.48273814,ophthalmic steroid - antibiotic combined preparations
therapeutic_procedure,preparations,0.4560833,ophthalmic steroid - antibiotic combined preparations
administration,topical,0.99954385,other topical corticosteroids
therapeutic_procedure,disinfectants,0.89705205,bleaching and disinfectants
medication,opht,0.8839798,ophthalmic non-steroid drugs
medication,non - steroid drugs,0.94792014,ophthalmic non-steroid drugs
diagnostic_procedure,enzymes,0.9908188,enzymes
detailed_description,adjunct,0.9985819,adjunct anti-epileptic drugs
medication,anti - epileptic drugs,0.93978375,adjunct anti-epileptic drugs
medication,benzodiazepine antagonist,0.9900403,benzodiazepine antagonist
medication,anti adrenergic agent,0.98073816,anti adrenergic agent (beta blockers)
medication,beta blockers,0.9951504,anti adrenergic agent (beta blockers)
medication,angiot,0.780205,angiotensin-ll receptor blocker
detailed_description,nasal,0.5188382,nasal anti-histamine preparations
diagnostic_procedure,anti - histamine preparations,0.8714239,nasal anti-histamine preparations
administration,topical,0.62988776,topical vitamin d & related preparations
medication,vitamin d,0.8396188,topical vitamin d & related preparations
detailed_description,preparations,0.2534436,topical vitamin d & related preparations
detailed_description,local,0.9998198,local antipruritic
medication,painkiller,0.99951094,painkiller muscle relaxant
medication,muscle relaxant,0.99943286,painkiller muscle relaxant
biological_structure,vulval condition,0.982585,drugs used in vaginal and vulval condition
medication,cough,0.6691085,cough suppressant
sign_symptom,suppress,0.49063745,cough suppressant
detailed_description,regional,0.9999193,regional anesthesia
detailed_description,loop,0.99914896,loop diuretics
medication,diuretics,0.88755655,loop diuretics
disease_disorder,ulcerative colitis,0.8029793,ulcerative colitis
therapeutic_procedure,nasal decongestants,0.9618931,nasal decongestants & other nasal preparations
therapeutic_procedure,nasal preparations,0.96410656,nasal decongestants & other nasal preparations
detailed_description,oral,0.5854759,oral nutritional preparations
diagnostic_procedure,nutritional preparations,0.9588614,oral nutritional preparations
diagnostic_procedure,minerals in,0.95487666,minerals in bone formation
diagnostic_procedure,bone formation,0.8522018,minerals in bone formation
detailed_description,specific,0.98385644,specific mineral & vitamin combined preparations
diagnostic_procedure,mineral &,0.987396,specific mineral & vitamin combined preparations
diagnostic_procedure,vitamin combined preparations,0.8556504,specific mineral & vitamin combined preparations
therapeutic_procedure,supportive care therapy,0.99980927,supportive care therapy
medication,drugs,0.95356506,drugs used in ano-rectal region
diagnostic_procedure,vaso,0.66527754,vaso protective
detailed_description,protective,0.38141567,vaso protective
detailed_description,broad spectrum,0.9998385,broad spectrum penicillins
medication,penicillins,0.9944852,broad spectrum penicillins
medication,anti - fibrinolytic drugs,0.9921707,anti-fibrinolytic drugs
detailed_description,other genito - urinary,0.91675025,other genito-urinary preparations
therapeutic_procedure,preparations,0.55213255,other genito-urinary preparations
medication,drugs acting,0.89863664,drugs acting on the uterus
biological_structure,uterus,0.9999216,drugs acting on the uterus
diagnostic_procedure,iron,0.4869076,"iron, vitamin & mineral combined preparation"
therapeutic_procedure,", vitamin & mineral",0.7068267,"iron, vitamin & mineral combined preparation"
therapeutic_procedure,combined preparation,0.97044134,"iron, vitamin & mineral combined preparation"
diagnostic_procedure,iron &,0.7370105,iron & vitamin combined preparations
diagnostic_procedure,vitamin,0.6036233,iron & vitamin combined preparations
therapeutic_procedure,combined preparations,0.60898983,iron & vitamin combined preparations
medication,anti - thyroid drugs,0.9804871,anti-thyroid drugs
detailed_description,primary,0.8668321,primary anti-epileptic drugs
medication,anti - epileptic drugs,0.95162493,primary anti-epileptic drugs
medication,angiotensin - converting enzyme ( ace ) inhibitors,0.9058756,angiotensin-converting enzyme (ace) inhibitors
therapeutic_procedure,emollients,0.62640846,emollients & combined preparations
diagnostic_procedure,combined,0.5003123,emollients & combined preparations
therapeutic_procedure,preparations,0.91607124,emollients & combined preparations
medication,sodium - glucose cotransporter - 2 (,0.98077935,sodium-glucose cotransporter-2 (sglt2) inhibitors
medication,sglt2 ) inhibitors,0.99799186,sodium-glucose cotransporter-2 (sglt2) inhibitors
sign_symptom,hyper,0.9997483,hyperkalaemia products
medication,products,0.4055858,hyperkalaemia products
diagnostic_procedure,dipeptidyl peptidase - 4,0.9603221,dipeptidyl peptidase-4 (dpp-4) inhibitor
medication,dpp - 4,0.9439951,dipeptidyl peptidase-4 (dpp-4) inhibitor
medication,inhibitor,0.98893934,dipeptidyl peptidase-4 (dpp-4) inhibitor
medication,5 - ht,0.63553655,5-ht agonists
diagnostic_procedure,agonists,0.71888846,5-ht agonists
therapeutic_procedure,cerebral vasodilator,0.66130346,cerebral vasodilator & neurosensory oxygenator drugs
therapeutic_procedure,neurosensory oxygenator,0.8931933,cerebral vasodilator & neurosensory oxygenator drugs
medication,drugs,0.8164159,cerebral vasodilator & neurosensory oxygenator drugs
diagnostic_procedure,female,0.7388669,female sex hormones
diagnostic_procedure,sex hormones,0.96235657,female sex hormones
detailed_description,second generation,0.9906224,second generation cephalosporins
medication,cephalosporins,0.9127083,second generation cephalosporins
detailed_description,third generation,0.96252537,third generation cephalosporins
medication,cephalosporins,0.8801459,third generation cephalosporins
detailed_description,fourth generation,0.9799978,fourth generation cephalosporins
medication,cephalosporins,0.8631283,fourth generation cephalosporins
detailed_description,first generation,0.9979868,first generation cephalosporins
medication,cephalosporins,0.95736426,first generation cephalosporins
medication,alpha adrenoceptor blocking drugs,0.99942863,alpha adrenoceptor blocking drugs
medication,drugs,0.86477864,drugs for dry eyes
sign_symptom,dry eyes,0.8348382,drugs for dry eyes
detailed_description,locally acting,0.99757016,locally acting skeletal muscle relaxants
medication,skeletal muscle relaxants,0.9982221,locally acting skeletal muscle relaxants
disease_disorder,tachycardia,0.843559,paroxysmal supraventricular tachycardia (psvt)
disease_disorder,hepatitis b,0.9997308,hepatic viral infections (hepatitis b)
administration,topical,0.7704431,topical retinoid and related preparations
detailed_description,preparations,0.39985254,topical retinoid and related preparations
detailed_description,aura,0.9015374,aural anti-bacterial preparations
diagnostic_procedure,anti - bacterial preparations,0.9482407,aural anti-bacterial preparations
medication,drugs,0.96904325,drugs affecting (inhibiting) gonadotrophin
diagnostic_procedure,gonadotrophin,0.8943696,drugs affecting (inhibiting) gonadotrophin
medication,beta - blockers,0.9977902,beta-blockers
diagnostic_procedure,alpha - glucosidase inhibitor,0.90930784,alpha-glucosidase inhibitor
medication,drugs,0.97261727,drugs for hiv / anti-retroviral drugs
medication,anti - retroviral drugs,0.8770769,drugs for hiv / anti-retroviral drugs
administration,intra,0.9992219,intravenous fluid preparations
therapeutic_procedure,fluid preparations,0.99084127,intravenous fluid preparations
medication,diuretics,0.9666608,thiazide diuretics & related drugs
medication,drugs,0.99765944,thiazide diuretics & related drugs
diagnostic_procedure,preparations,0.34725833,chlorhexidine & chloroxylenol preparations
diagnostic_procedure,antibacterial preparation,0.9265437,other antibacterial preparation
medication,ssris,0.8693831,ssris & related anti-depressant drugs
medication,anti - depressant drugs,0.9765814,ssris & related anti-depressant drugs
disease_disorder,diarrhoeal,0.95182693,anti-diarrhoeal antimicrobial drugs
medication,antimicrobial drugs,0.98777544,anti-diarrhoeal antimicrobial drugs
medication,vertigo drugs,0.984094,anti vertigo drugs
detailed_description,compound,0.99980575,compound steroidal preparations
diagnostic_procedure,calcium regulator,0.99219114,calcium regulator
medication,peripheral vasodilator,0.984549,peripheral vasodilator drugs: intermittent claudication
detailed_description,intermittent,0.9907747,peripheral vasodilator drugs: intermittent claudication
detailed_description,centrally acting,0.99931705,centrally acting antihypertensive drugs (central sympatholytic)
medication,antihypertensive drugs,0.94295126,centrally acting antihypertensive drugs (central sympatholytic)
detailed_description,central,0.93318975,centrally acting antihypertensive drugs (central sympatholytic)
medication,anti - depressant drugs,0.9919374,tricyclic & related anti-depressant drugs
medication,drugs for,0.83303356,drugs for infertility
diagnostic_procedure,infertility,0.97851187,drugs for infertility
diagnostic_procedure,combined,0.37345332,clobetasol / clobetasone & combined preparations
medication,preparations,0.56113344,clobetasol / clobetasone & combined preparations
medication,benzodiazepine hypnotics,0.9415374,benzodiazepine hypnotics
administration,topical,0.9552399,topical antibiotic & retinoid preparations
therapeutic_procedure,preparations,0.6947071,topical antibiotic & retinoid preparations
medication,benzoyl peroxide,0.92075145,"benzoyl peroxide, azelaic acid & other preparations"
medication,azelaic acid,0.99239755,"benzoyl peroxide, azelaic acid & other preparations"
diagnostic_procedure,preparations,0.5565248,"benzoyl peroxide, azelaic acid & other preparations"
detailed_description,specific,0.9971528,specific combined vitamin preparations
diagnostic_procedure,combined vitamin preparations,0.95284075,specific combined vitamin preparations
diagnostic_procedure,coal - tar preparations,0.91442573,coal-tar preparations
medication,penicillin,0.65099996,penicillinase-resistant penicillins
lab_value,resistant,0.4465441,penicillinase-resistant penicillins
medication,penicillins,0.66353476,penicillinase-resistant penicillins
diagnostic_procedure,oral preparations,0.9836073,oral preparations
medication,drugs,0.99372756,drugs for subcutaneous and mycoses
detailed_description,mycoses,0.91183615,drugs for subcutaneous and mycoses
diagnostic_procedure,ophthalmic anti - fungal products,0.9819248,ophthalmic anti-fungal products
detailed_description,aura,0.99347526,aural anti-fungal preparations
diagnostic_procedure,anti - fungal preparations,0.813714,aural anti-fungal preparations
disease_disorder,hepatitis c,0.99935174,hepatic viral infections (hepatitis c)
detailed_description,trop,0.77167785,trophic hormones & related synthetic drugs
diagnostic_procedure,drugs,0.61007434,trophic hormones & related synthetic drugs
administration,oral,0.9989697,oral hormonal preparations for acne
medication,acne,0.3796714,oral hormonal preparations for acne
diagnostic_procedure,vitamin - b preparations,0.9139771,vitamin-b preparations
biological_structure,bone,0.9983096,inhibiting bone resorption
medication,4 - quinolone preparations,0.9170318,4-quinolone preparations
diagnostic_procedure,carboxylic acids,0.9984643,carboxylic acids and derivatives
diagnostic_procedure,derivatives,0.8137576,carboxylic acids and derivatives
medication,parent,0.9993537,parenteral anti-coagulants
detailed_description,combined,0.9857885,combined cough suppressants
medication,cough suppressants,0.87546444,combined cough suppressants
detailed_description,miscellaneous,0.9927422,miscellaneous sedatives & hypnotics
medication,sedatives,0.9363782,miscellaneous sedatives & hypnotics
medication,hypnotics,0.94682455,miscellaneous sedatives & hypnotics
medication,proton pump inhibitor,0.9248071,proton pump inhibitor
medication,norepinephrine reuptake inhibitor,0.810416,serotonin-norepinephrine reuptake inhibitor (snri)
administration,oral,0.99705935,oral contraceptive preparations
medication,contraceptive preparations,0.7044108,oral contraceptive preparations
detailed_description,synthetic,0.9859235,synthetic analogue of adh
therapeutic_procedure,steroid,0.6522833,ophthalmic steroid preparations
diagnostic_procedure,preparations,0.87256664,ophthalmic steroid preparations
detailed_description,other,0.7015664,other anti-protozoals
sign_symptom,anti - proto,0.66633695,other anti-protozoals
detailed_description,combination,0.99433786,combination oral hypoglycemic preparations
administration,oral,0.9996481,combination oral hypoglycemic preparations
therapeutic_procedure,bowel cleansing solution,0.93989015,enema & bowel cleansing solution
detailed_description,combined,0.99978954,combined cough expectorants
sign_symptom,cough,0.9201196,combined cough expectorants
detailed_description,expect,0.44581243,combined cough expectorants
medication,drugs,0.97375643,drugs for dementia
disease_disorder,dementia,0.9996568,drugs for dementia
sign_symptom,stim,0.50967914,motility stimulants
therapeutic_procedure,stool softener,0.89204603,stool softener
sign_symptom,sympathomimetics,0.94140005,inotropic-sympathomimetics
therapeutic_procedure,combined preparations,0.6891637,dithranol & combined preparations
therapeutic_procedure,membrane stabilizing,0.65073496,membrane stabilizing agent (sodium channel blockers)
medication,agent,0.916104,membrane stabilizing agent (sodium channel blockers)
medication,sodium channel blockers,0.9878933,membrane stabilizing agent (sodium channel blockers)
lab_value,positive,0.99990344,positive inotropic drugs
medication,inotropic drugs,0.93009233,positive inotropic drugs
medication,hair growth inhibitor,0.9657636,hair growth inhibitor
diagnostic_procedure,combined,0.84335357,triamcinolone & combined preparations
therapeutic_procedure,preparations,0.9481743,triamcinolone & combined preparations
diagnostic_procedure,glp - 1,0.83509386,glp-1 receptor agonists
diagnostic_procedure,agonists,0.9581869,glp-1 receptor agonists
medication,tetra,0.75142694,tetracycline group of drugs
medication,group,0.49912754,tetracycline group of drugs
medication,drugs,0.9388105,tetracycline group of drugs
detailed_description,haemol,0.6853687,drugs for haemolytic hypoplastic & renal anemia
biological_structure,renal,0.9998934,drugs for haemolytic hypoplastic & renal anemia
detailed_description,potassium - sparing,0.72240496,potassium-sparing diuretics
medication,diuretics,0.83652574,potassium-sparing diuretics
diagnostic_procedure,aldose reductase inhibitor,0.9978829,aldose reductase inhibitor
diagnostic_procedure,prokinetic drugs,0.9740813,prokinetic drugs
medication,haemostatic drugs,0.9663633,haemostatic drugs
medication,gonad,0.73584604,gonadotropin-releasing hormone (gnrh) antagonist
medication,gnrh,0.6908782,gonadotropin-releasing hormone (gnrh) antagonist
diagnostic_procedure,pylori,0.7674618,anti h. pylori drugs
medication,drugs,0.6593793,anti h. pylori drugs
administration,topical,0.9994562,topical antibiotics for acne
medication,antibiotics,0.99972755,topical antibiotics for acne
medication,acne,0.9835992,topical antibiotics for acne
medication,drugs,0.496284,drugs for menopausal symptoms: hormone replacement therapy
sign_symptom,menopausa,0.94751364,drugs for menopausal symptoms: hormone replacement therapy
sign_symptom,symptoms,0.5432976,drugs for menopausal symptoms: hormone replacement therapy
medication,hormone replacement therapy,0.9988082,drugs for menopausal symptoms: hormone replacement therapy
diagnostic_procedure,tubercular chemotherapeutics,0.9634361,anti-tubercular chemotherapeutics
administration,oral,0.7958317,oral iron preparations
diagnostic_procedure,iron preparations,0.9855355,oral iron preparations
administration,parent,0.9529622,parenteral iron preparations
diagnostic_procedure,iron preparations,0.9191396,parenteral iron preparations
therapeutic_procedure,analgesics,0.8711798,opioid analgesics
medication,anti - viral drugs,0.8844401,anti-viral drugs
medication,fluocinolone,0.89523447,fluocinolone & combined preparations
diagnostic_procedure,combined,0.5524875,fluocinolone & combined preparations
therapeutic_procedure,preparations,0.5907505,fluocinolone & combined preparations
detailed_description,prop,0.9913692,miscellaneous prophylactic migraine preparations
therapeutic_procedure,migraine preparations,0.9819711,miscellaneous prophylactic migraine preparations
medication,phenothiazine drugs,0.99131936,phenothiazine drugs
medication,phenothiazine related drugs,0.9929608,phenothiazine related drugs
medication,hydroquinone,0.9368556,hydroquinone preparations
diagnostic_procedure,preparations,0.81992614,hydroquinone preparations
detailed_description,intracellular,0.99968994,intracellular antibiotic
medication,antibiotic,0.70699054,intracellular antibiotic
detailed_description,long,0.9967128,long-acting selective -adrenoceptor stimulants
detailed_description,acting,0.8324879,long-acting selective -adrenoceptor stimulants
medication,selective - adrenoceptor stimulants,0.97323203,long-acting selective -adrenoceptor stimulants
medication,drugs,0.9731627,drugs for megaloblastic anemia
disease_disorder,megaloblastic anemia,0.97738814,drugs for megaloblastic anemia
diagnostic_procedure,combined,0.9320679,fluticasone & combined preparations topical
medication,preparations,0.67851365,fluticasone & combined preparations topical
administration,topical,0.997428,fluticasone & combined preparations topical
medication,sulfonylureas,0.97780424,sulfonylureas
detailed_description,crystal violet,0.9783865,crystal violet/ gentian violet preparations
diagnostic_procedure,preparations,0.9525254,crystal violet/ gentian violet preparations
administration,topical,0.98840684,topical antibiotic preparations
therapeutic_procedure,preparations,0.75157654,topical antibiotic preparations
therapeutic_procedure,irrigation solution,0.7146586,irrigation solution used in urological surgery
therapeutic_procedure,urological surgery,0.9994417,irrigation solution used in urological surgery
history,osmot,0.4902003,osmotic purgatives
history,purga,0.5707403,osmotic purgatives
diagnostic_procedure,cart,0.6465708,stimulation of cartilage formation
diagnostic_procedure,formation,0.66140354,stimulation of cartilage formation
medication,general,0.9717515,general (inhalation) anesthetics
medication,anesthetics,0.9956057,general (inhalation) anesthetics
disease_disorder,tremor,0.9954945,"drugs used in tremor, tics & related disorder"
disease_disorder,tics,0.4835199,"drugs used in tremor, tics & related disorder"
disease_disorder,related disorder,0.8538201,"drugs used in tremor, tics & related disorder"
therapeutic_procedure,water purifying agent,0.9923876,water purifying agent
disease_disorder,rheumatoid arthritis,0.99514914,drugs used for rheumatoid arthritis
detailed_description,oxidising agent,0.87708926,oxidising agent with antibacterial and antiviral properties
detailed_description,antibacterial and antiviral properties,0.9666869,oxidising agent with antibacterial and antiviral properties
medication,hormone preparations,0.6901753,hormone preparations for other uses
diagnostic_procedure,other,0.26482612,hormone preparations for other uses
detailed_description,uses,0.36380804,hormone preparations for other uses
therapeutic_procedure,sunblock preparation,0.9993651,sunblock preparation
diagnostic_procedure,nicotinic acid group,0.9980996,nicotinic acid group
medication,piperidinyl - benzisoxazole derivative,0.97959864,piperidinyl-benzisoxazole derivative
therapeutic_procedure,anticho,0.5940832,anticholinergic bronchodilators
medication,chemotherapy,0.9871837,immunological chemotherapy
detailed_description,rapid acting,0.99982774,rapid acting insulin
medication,insulin,0.99549073,rapid acting insulin
detailed_description,medium acting,0.9996088,medium acting insulin
medication,insulin,0.99806815,medium acting insulin
detailed_description,long acting,0.9970914,long acting insulin
medication,insulin,0.9965904,long acting insulin
administration,oral,0.9950014,oral retinoids for acne
diagnostic_procedure,nitrates,0.8410168,nitrates: coronary vasodilators
biological_structure,coronary,0.8145119,nitrates: coronary vasodilators
diagnostic_procedure,vasodilators,0.9349185,nitrates: coronary vasodilators
therapeutic_procedure,dressing,0.88684696,dressing products for wounds/burns/ulcers
therapeutic_procedure,wounds,0.77315,dressing products for wounds/burns/ulcers
sign_symptom,burns,0.9107289,dressing products for wounds/burns/ulcers
medication,cromoglycate & related drugs,0.9677244,cromoglycate & related drugs
therapeutic_procedure,analgesics,0.927403,non opioid analgesics
medication,general (,0.95353484,general (intravenous) anesthetics
administration,intra,0.99727184,general (intravenous) anesthetics
medication,) anesthetics,0.89906037,general (intravenous) anesthetics
diagnostic_procedure,digestive enzyme,0.99868447,digestive enzyme
medication,drugs,0.9129294,drugs for muscular energy metabolism
diagnostic_procedure,muscular energy metabolism,0.9875633,drugs for muscular energy metabolism
disease_disorder,migraine,0.9826165,other drugs for migraine
medication,thyroid,0.79653174,thyroid drugs & hormone
diagnostic_procedure,drugs & hormone,0.7205525,thyroid drugs & hormone
detailed_description,emergency,0.9981098,emergency contraceptive pill
medication,contra,0.9756749,emergency contraceptive pill
medication,histamine,0.86801416,anti-histamine & decongestant
medication,deco,0.88088536,anti-histamine & decongestant
sign_symptom,diarrhoeal,0.8803712,anti-diarrhoeal
