generic_name,contraindications_description,contraindication_result
bacopa extract [natural memory enhancer],"bacopa is well tolerated but caution should be taken in hyperthyroidism, fever and acute infection. patients with medical conditions should talk to their doctors before taking bacopa.","hyperthyroidism, fever and acute infection"
aushokarist [saraca indica],no data available,no data available
aswagandharista,there is no absolute contraindication.,no absolute contraindication
ashokarista,contraindicated during pregnancy.,during pregnancy
arjunarista,there is no absolute contraindication.,no absolute contraindication
aravindasav,there is no evidence available on contraindication but it may happen in-patient who is hypersensitive to any of its ingredients.,ingredients
antacid [unani],there is no known contraindication.,there is no known contraindication
aniseed + indian dill + black cardamom + peppermint,there is no known contraindication.,there is no known contraindication
andrographis paniculata,andrographis is contraindicated in cases of known allergy to plants of the acanthaceae family,known allergy to plants
ambergris + salep + galangal,there is no known contraindication.,there is no known contraindication
ambar momiyaee,it is contraindicated for women and children.,it is contraindicated for women and children
amalaki rasayana,there is no contraindication.,no contraindication
aloe indica+ hyoscyamus niger + piper nigrum,"intestinal pathological narrow or obstruction &amp; acutely inflamed intestinal diseases, e.g, crohns disease, ulcerative colitis &amp; appendicitis.",acutely inflamed intestinal diseases
allopurinol,allopurinol tablet is contra-indicated in patients withknown hypersensitive to allopurinol.,hypersensitive to allopurinol
allium cepa + heparin + allantoin,this gel should not be used in patients with known hypersensitivity to any of its ingredients.,known hypersensitivity to any of its ingredients
alfuzosin hydrochloride,"as with all alpha-1-blockers in some subjects, in particular patients receiving antihypertensive medications or nitrates, postural hypotension with or without symptoms (dizziness, fatigue, sweating) may develop within a few hours following administration. in such cases, the patient should lie down until the symptoms have completely disappeared. these effects are transient, occur at the beginning of treatment and do not usually prevent the continuation of treatment. the patient should be warned of the possible occurrence of such events. as with all alpha1-receptor blockers, alfuzosin hydrochloride should be used with caution in patients with acute cardiac failure. care should be taken when alfuzosin hydrochloride is administered to patients who have had a pronounced hypotensive response to another alpha-1-blocker. treatment should be initiated gradually in patients with hypersensitivity to alpha-1-blockers. alfuzosin hydrochloride should be administered carefully to patients being treated with antihypertensives. blood pressure should be monitored regularly, especially at the beginning of treatment. patients with congenital qtc prolongation, with a known history of acquired qtc prolongation or who are taking drugs known to increase the qtc interval should be evaluated before and during the administration of alfuzosin hydrochloride. in coronary patients, the specific treatment for coronary insufficiency should be continued. if angina pectoris reappears or worsens alfuzosin hydrochloride should be discontinued. as there are no clinical safety data available in patients with severe renal impairment (creatinine clearance &lt; 30ml/min), alfuzosin hydrochloride 10mg prolonged released tablets should not be administered to this patient group. patients should be warned that the tablet should be swallowed whole. any other mode of administration, such as crunching, crushing, chewing, grinding or pounding to powder should be prohibited. these actions may lead to inappropriate release and absorption of the drug and therefore possible early adverse reactions. the intraoperative floppy iris syndrome (ifis, a variant of small pupil syndrome) has been observed during cataract surgery in some patients on or previously treated with alpha-1-blockers. although the risk of this event with alfuzosin hydrochloride appears very low, ophthalmic surgeons should be informed in advance of cataract surgery of current or past use of alpha-1-blockers, as ifis may lead to increased procedural complications. the ophthalmologists should be prepared for possible modifications to their surgical technique. alfuzosin hydrochloride 10mg prolonged release tablets contain hydrogenated castor oil which may cause stomach upset and diarrhoea.",no clinical safety data available in patients with severe renal impairment
alfacalcidol,"hypercalcaemia, metastatic calcification, hyperphosphataemia (except when occurring with hypoparathyroidism), hypermagnesaemia.",except when occurring with hypoparathyroidism
alendronic acid + vitamin d3,"abnormalities of the esophagus which delay esophageal emptying, such as stricture or achalasia. inability to stand or sit upright for at least 30 minutes. hypersensitivity to any component of this product. hypocalcaemia.",inability to stand or sit upright for at least 30 minutes
alendronic acid,alendronic acid is contraindicated in patients with the following conditions: abnormalities of the esophagus which delay esophageal emptying such as stricture or achalasia. inability to stand or sit upright for at least 30 minutes. do not administer alendronic acid oral solution to patients at increased risk of aspiration. hypocalcemia. hypersensitivity to any component of this product. hypersensitivity reactions including urticaria and angioedema have been reported.,abnormalities of the esophagus
alectinib,alectinib is contraindicated in patients with a known hypersensitivity to alectinib or any of the excipients.,hypersensitivity to alectinib
alcaftadine,alcaftadine is contraindicated in patients with hypersensitivity to any component in the product.,hypersensitivity to any component in the product
albumin (human),albumin (human) may be contraindicated in patients with severe anemia or cardiac failure and in patients with a history of allergic reactions to human albumin.,severe anemia or cardiac failure and in patients with a history of allergic reactions
albendazole,"neonates : albendazole is not normally used in neonates. children : reduction of the dose from 400 mg to 200 mg may be indicated in children weighing less than 10 kg but there are no grounds for a general reduction in dosage to children. pregnant woman : albendazole should not be given during pregnancy or women thought to be pregnant. no information is available on placental transfer. concurrent disease : there is no evidence to suggest that dose should be altered in renal, hepatic or cardiac failure.",should not be given during pregnancy or women thought to be pregnant
agomelatine,it is contraindicated in patients with hepatic impairment and hypersensitivity to the active substances or any of the excipients.,hepatic impairment and hypersensitivity to the active substances
aflibercept,no data available,no data available
afatinib dimaleate,no data available,no data available
adsorbed tetanus vaccine,"hypersensitivity to any component of the vaccine, including thiomersal, is a contraindication. this vaccine is contraindicated in patients with previous hypersensitivity to any tetanus-containing vaccine. tetanus toxoid vaccination should be defferred during the course of any febrile illness or acute infection. a minor febrile illness such as a mild upper respiratory infection should not preclude immunization.",hypersensitivity to any component of the vaccine
adrenaline,"hypertension, arteriosclerosis, coronary disease and hyperthyroidism. not to be given to patients taking monoamine oxidase inhibitors.",not to be given to patients taking monoamine oxidase inhibitors
dasamularista,no reported.,no reported
curcuminoids [curcuma longa],"contraindicated in patients with a known hypersensitivity to curcuminoids. curcuminoids is contraindicated in obstruction of bile passages. in case of gallstones, use only after consulting with a physician.",obstruction of bile passages
curcuma longa [turmeric extract],turmeric should not be used by people with gallstones or bile duct obstruction. it should also not be used by patients with hyperacidity or gastrointestinal ulcers.,hyperacidity or gastrointestinal ulcers
cranberry [vaccinium macrocarpon],potential contraindications of cranberry may be present with renal insufficiency and in persons with the potential for developing uric acid or calcium oxalate stones.,uric acid or calcium oxalate stones
compound asparagus,no reported.,no reported
collagen ii & gags,no data available,no data available
coenzyme q10 [ubidecarenone],co-enzyme q10 is contraindicated in patients who have hypersensitivity to the active substance or to any of the excipients. it is also contraindicated in patients scheduled for surgery in the next two weeks.,hypersensitivity
chirata [swertia chirata],it is contraindicated in pregnancy &amp; lactation.,pregnancy &amp; lactation
chebulic myrobalan + barberry,there is no known contraindication.,there is no known contraindication
camphor + thymol + menthol + eucalyptus oil,there is no known contraindication.,there is no known contraindication
calendula officinalis [marigold],there is no absolute contraindication.,no absolute contraindication
buzuri,there is no known contraindication.,there is no known contraindication
brahmi rasayan,not reported.,not reported
black cohosh [cimicifuga racemosa],no significant contraindication is observed.,no significant contraindication is observed
amino acid + calcium,hypersensitivity to the active substances or to any of the excipients. hypercalcaemia. disturbed amino acid metabolism.,hypersensitivity to the active substances
amino acid,"disturbance of amino acid metabolism, metabolic acidosis, fluid overload, hyponatremia, hypokalemia, renal insufficiency, decompensated cardiac insufficiency, shock, hypoxia. no specific studies have been performed to assess the safety of amino acid 8% in pregnancy and lactation.",pregnancy and lactation
amikacin,"amikacin injection is contraindicated in patients with a known history of hypersensitivity to amikacin, any constituents of the injection.",hypersensitivity to amikacin
ambroxol hydrochloride,contraindicated in known hypersensitivity to ambroxol or bromhexine.,hypersensitivity to ambroxol or bromhexine
ambrisentan,"ambrisentan may cause fetal harm when administered to a pregnant woman. ambrisentan is contraindicated in women who are or may become pregnant. if this drug is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to a fetus. pregnancy must be excluded before the initiation of treatment with ambrisentan and prevented during treatment and for one month after stopping treatment. ambrisentan is contraindicated in patients with idiopathic pulmonary fibrosis (ipf) including ipf patients with pulmonary hypertension (who group 3).",women who are or may become pregnant
amantadine hydrochloride,amantadine is contraindicated in patients with known hypersensitivity to the active substances or to any of the excipients.,active substances or to any of the excipients
alverine citrate,paralytic ileus or known hypersensitivity to any of the ingredients.,paralytic ileus or known hypersensitivity
aluminium oxide + magnesium trisilicate,hypophosphataemia,hypophosphataemia
aluminium hydroxide + magnesium hydroxide + simethicone,"this should not be administered in patients with renal failure or hypophosphataemia or in those who are severely debilitated. it is also contraindicated in alkalosis and hypermagnesaemia, where abdominal distention may be due to partial or complete intestinal obstruction.",alkalosis and hypermagnesaemia
aluminium hydroxide + magnesium hydroxide,this is contraindicated in hypophosphataemia. it is also contraindicated in alkalosis and hypermagnesaemia where abdominal distention may be due to partial or complete intestinal obstruction.,alkalosis and hypermagnesaemia
aluminium chloride hexahydrate,aluminium chloride hexahydrate is contraindicated in patients with known hypersensitivity to any of its components.,patients with known hypersensitivity to any of its components
aluminium chloride + melaleuca alternifolia oil + geothermal water,contraindicated in any other ingredient of this preparations.,any other ingredient
alteplase,"acute ischemic stroke : do not administer alteplase to treat acute ischemic stroke in the following situations in which the risk of bleeding is greater than the potential benefit [see warnings and precautions (5.1)]: current intracranial hemorrhage subarachnoid hemorrhage active internal bleeding recent (within 3 months) intracranial or intraspinal surgery or serious head trauma presence of intracranial conditions that may increase the risk of bleeding (e.g., some neoplasms, arteriovenous malformations, or aneurysms) bleeding diathesis current severe uncontrolled hypertension. acute myocardial infarction or pulmonary embolism : do not administer alteplase for treatment of ami or pe in the following situations in which the risk of bleeding is greater than the potential benefit: active internal bleeding history of recent stroke recent (within 3 months) intracranial or intraspinal surgery or serious head trauma presence of intracranial conditions that may increase the risk of bleeding (e.g. some neoplasms, arteriovenous malformations, or aneurysms) bleeding diathesis current severe uncontrolled hypertension.",presence of intracranial conditions that may increase the risk of bleeding
alprazolam,no data available,no data available
alphanate,"alphanate is contraindicated in patients who have manifested life-threatening immediate hypersensitivity reactions, including anaphylaxis, to the product or its components.",life-threatening immediate hypersensitivity reactions
ginkgo biloba,"ginkgo biloba should only be used with caution in patients taking anticoagulant or antiplatelet agents i.e. warfarin, heparin &amp; aspirin. it is also contraindicated in bleeding disorders due to increased bleeding potential associated with chronic use (6-12 months) or before elective surgery. contraindicated in patients with known risk factors for intracranial hemorrhage.",in patients with known risk factors for intracranial hemorrhage
garlitab,there is no known contraindication.,there is no known contraindication
garlic oil,none known. the world health organization cautions against the use of garlic by patients with a known allergy to garlic and those taking warfarin,known allergy to garlic and those taking warfarin
flaxseed oil [linum usitatissimum],"flaxseed oil should be used with caution when combined with: blood thinning medication (i.e. warfarin, coumadin)",blood thinning medication
"fishar [snake root, potassium, magnesium]",there is no known contraindication.,there is no known contraindication
fermented soy [lactobacillus delbrueckii],known hypersensitivity to any of its active ingredients,known hypersensitivity to any of its active ingredients
"fennel [mouri, gohkshura, kasni]",there is no absolute contraindication.,no absolute contraindication
evening primrose oil,"previously it was not recommended for patients diagnosed with schizophrenia. however, a recently published analysis of clinical trials involving polyunsaturated fatty acids in the treatment of schizophrenia did not indicate a clear therapeutic or adverse effect of evening primrose oil supplements on schizophrenic patients.",polyunsaturated fatty acids
espand,there is no known contraindication.,there is no known contraindication
emblica officinalis + piper longum,there is no evidence available on contraindication but it may happen in patients who are hypersensitive to any of its ingredients.,ingredients
emblic myrobalan + sesame,there is no known contraindication.,there is no known contraindication
emblic myrobalan + chebulic + belleric,there is no known contraindication.,there is no known contraindication
emblic myrobalan + aswagandha + grape,there is no known contraindication.,there is no known contraindication
ejaz,there is no known contraindication.,there is no known contraindication
echinacea,no data available,no data available
amorolfine hydrochloride (nail lacquer),must not be reused by patients who have shown hypersensitivity to the treatment.,must not be reused
amorolfine hydrochloride (cream),amorolfine cream must not be reused by patients who have shown hypersensitivity to the active substance or to any of the excipients.,active substance or to any of the excipients
amlodipine besilate + valsartan,this combination product is contraindicated in patients who are hypersensitive to any components of this product.,hypersensitive to any components
amlodipine besilate + telmisartan,"known hypersensitivity to this product or any of its components. pregnancy &amp; lactation. biliary obstructive disorders, severe hepatic impairment, hypotension, cardiogenic shock, left ventricle outflow tract obstruction.",pregnancy &amp; lactation
amlodipine besilate + olmesartan medoxomil,cannot be co-administered with aliskiren in patients with diabetes.,cannot be co-administered with aliskiren in patients with diabetes
amlodipine besilate + benazepril hydrochloride,"this capsule is contraindicated in patients who are hypersensitive to benazepril, to any other ace inhibitor, or to amlodipine.","hypersensitive to benazepril, to any other ace inhibitor"
amlodipine besilate + atorvastatin,amlodipine: amlodipine is contraindicated in patients with known hypersensitivity to amlodipine. atorvastatin: contraindicated in hypersensitivity to any component of this medication. active liver disease or unexplained persistent elevations of serum transaminases exceed three times the upper limit of normal.,patients with known hypersensitivity to amlodipine
amlodipine besilate + atenolol,"hypersensitivity to either component, sinus bradycardia, second and higher degrees of heart block, cardiogenic shock, hypotension, congestive heart failure, poor left ventricular function.",hypersensitivity to either component
amlodipine besilate,hypersensitivity to dihydropyridine derivatives. pregnant woman.,hypersensitivity to dihydropyridine derivatives
amlexanox,amlexanox oral paste is contraindicated in patients with known hypersensitivity to amlexanox or other ingredients in the formulation.,hypersensitivity to amlexanox or other ingredients
amitriptyline hydrochloride + chlordiazepoxide,this is contraindicated in patients with hypersensitivity to either benzodiazepines or tricyclic antidepressants. it should not be given concomitantly with a monoamine oxidase inhibitor.,benzodiazepines or tricyclic antidepressants
amitriptyline hydrochloride,"amitriptyline is contraindicated in myocardial infarction, arrythmias, particularly heart block of any degree, mania and severe liver disease. initially, sedation may affect the ability to drive or operate machinery.",mania and severe liver disease
amisulpride,hypersensitivity to the active ingredient or to other ingredients of the product. concomitant prolactin-dependent tumours e.g. pituitary gland prolactinomas and breast cancer. phaeochromocytoma. children up to puberty. lactation.,hypersensitivity to the active ingredient or to other ingredients of the product
amiodarone hydrochloride,"amiodarone is contraindicated in patients with cardiogenic shock; severe sinus-node dysfunction, causing marked sinus bradycardia; second- or third degree atrioventricular block; and when episodes of bradycardia have caused syncope (except when used in conjunction with a pacemaker). amiodarone is contraindicated in patients with a known hypersensitivity to the drug or to any of its components, including iodine.",hypersensitivity to the drug or to any of its components
aminophylline,"aminophylline should not be administered to patients with hypersensitivity to xanthines or ehylenediamine. it should not be administered to patients with active peptic ulcer, since it may increase the volume and acidity of gastric secretions.",it may increase the volume and acidity of gastric secretions
kabid nawshadri,there is no known contraindication.,there is no known contraindication
jouban satadal,there is no absolute contraindication.,no absolute contraindication
jogaraj guggulu,"no severe side effects have been observed with jogaraj guggulu during the clinical practice for the last twenty-five years; however, systematic phase 1 study with this drug is carried out and general tolerability of jogaraj guggulu is found good.maximum tolerable dose is about 9 gm per day.in rare case very high dose than prescribed may lead to stomach irritation, diarrhea, stomatitis &amp; urticaria.",general tolerability of jogaraj guggulu is found good
jirakaddarista,there is no evidence available on contraindication but it may happen in patients who are hypersensitive to any of its ingredients. ginger is contraindicated in people suffering from gallstones as it promotes the production of bile. so jirakaddarist should be taken carefully in obstructive jaundice due to cholelithiasis.,it promotes the production of bile
jinsin,there is no known contraindication.,there is no known contraindication
jeerakaddarishta carminative,there is no evidence available on contraindication but it may happen in patients who are hypersensitive to any of its ingredients. ginger is contraindicated in people suffering from gallstones as it promotes the production of bile. so jeerakaddarishta carminative should be taken carefully in obstructive jaundice due to cholelithiasis.,it promotes the production of bile
jamani arka,there is no major contraindication.,no major contraindication
"jadwar [denudatum, saffron, henbane]",there is no known contraindication.,there is no known contraindication
ispaghula husk + sonapata,when dried husk intake orally without water may cause problems.,when dried husk intake orally without water
ispaghula husk + mebeverine hydrochloride,"the drug is contraindicated if patients are allergic to it, in cases of intestinal obstruction, fecal impaction and if the patient has phenylketonuria.",if patients are allergic to it
hingastak churna,"hingastak churna is contraindicated in cases of known allergy to plants. though it is well tolerated, precaution should be taken in moderate to severe hypertension &amp; edema as it contains salt in 12.3% concentration.",known allergy to plants
herbal multivitamin,there is no known contraindication.,there is no known contraindication
herbal gastric preparation,there is no known contraindication.,there is no known contraindication
herbal cough syrup [vasakarista],there is no evidence available on contraindication but it may happen in-patients who are hypersensitive to any of its ingredients.,ingredients
herbal cough syrup [tulsi],no data available,no data available
artemether + lumefantrine,"hypersensitivity to any of the ingredients or excipients; patients with severe malaria according to who definition; first trimester of pregnancy; patients with a family history of congenital prolongation of the qtc interval or sudden death or with any other clinical condition known to prolong the qtc interval such as patients with a history of symptomatic cardiac arrythmias with clinically relevant bradycardia or with severe cardiac disease; patients with known disturbance of electrolyte balance e.g. hypokalaemia or hypomagnesemia; patients taking any drug which is metabolized by the cytochrome enzyme cyp2d6 (e.g. flecainide, metoprolol, imipramine, amitriptyline, clomipramine).",hypersensitivity to any of the ingredients or excipients
artemether,contraindicated in patients with hpersensitivity toartemether.,hpersensitivity toartemether
armodafinil,contraindicated in patients with known hypersensitivity to armodafinil or any of theexcipients of this product,patients with known hypersensitivity to armodafinil
aripiprazole,aripiprazole is contraindicated in patients who are hypersensitive to it or to any component of this product.,hypersensitive to it or to any component of this product
arformoterol tartrate,no data available,no data available
arabinoxylan,no data available,no data available
aprepitant,"aprepitant is contraindicated in patients who are hypersensitive to any component of the product. aprepitant should not be used concurrently with pimozide, terfenadine, astemizole &amp; cisapride.",patients who are hypersensitive to any component of the product
apremilast,apremilast is contraindicated in patients with a known hypersensitivity to apremilast or to any of the excipients in the formulation.,hypersensitivity
apixaban,apixaban is contraindicated in patients with the following conditions: active pathological bleeding. severe hypersensitivity reaction to apixaban (i.e. anaphylactic reactions).,active pathological bleeding. severe hypersensitivity reaction
apis mellifica + gelsemium sempervirens + gnaphalium,no data available,no data available
antioxidants and micronutrients,no data available,no data available
antihemophilic factor [factor viii],in individuals who have had an anaphylactic or severe systemic reaction to antihemophilic factor or von willebrand factor preparations.,antihemophilic factor or von willebrand factor preparations
anti-thymocyte globulin,"allergy or anaphylactic reaction to rabbit proteins or to any product excipients, or active acute or chronic infections which contraindicate any additional immunosuppression",any additional immunosuppression
antazoline + tetryzoline,known hypersensitivity to antazoline/ tetryzoline or to any of the excipients. concomitant use with monoamine oxidase inhibitors (maoi).,monoamine oxidase inhibitors
anidulafungin,"anidulafungin is contraindicated in: patients with known hypersensitivity to anidulafungin, any component of anidulafungin, or other echinocandins. patients with known or suspected hereditary fructose intolerance (hfi).",patients with known hypersensitivity to anidulafungin
nabayas louha herbal haematinic,there is no evidence available on contraindication but it may rarely happen in patients who are hypertensive to any of its ingredients.,ingredients
"mustakarista [cyperus, zingiber, piper nigrum]",there is no absolute contraindication.,no absolute contraindication
mumshik,there is no known contraindication.,there is no known contraindication
"mudir [aloe, saffron, ferrus sulphate]",there is no known contraindication.,there is no known contraindication
monjistha [rubia cordifolia],not to be used during pregnancy.,not to be used during pregnancy
menthol + camphor + methyl salicylate + oleoresin capsicum,"capsicum preparations are contraindicated for application on injured skin, allergies to aspirin, allergic inflammation of skin, eczema, itchy rash and near the eyes.","application on injured skin, allergies to aspirin"
menthol + camphor + eucalyptus oil + mint oil,not recommended for infant &amp; young children,not recommended for infant &amp; young children
mentha + cinnamomum + gaultheria + capsicum,there is no absolute contraindication.,no absolute contraindication
marwareedi,there is no known contraindication.,there is no known contraindication
marine collagen,it is contraindicated in patients with hypersensitivity to any component of this capsule.,hypersensitivity
marham kharish,there is no known contraindication.,there is no known contraindication
mahadrakkharist [grape extract],no data available,no data available
lutein + zeaxanthin,no toxicities have been reported in the scientific literature for lutein and zeaxanthin at doses up to 40 mg for 2 months.,no toxicities
liquorice + cascara sagrada + belladona,there is no known contraindication.,there is no known contraindication
azelastine hydrochloride (eye drop),hypersensitivity to the active substance or to any of the excipients of this preparation.,hypersensitivity
azelaic acid,azelaic acid is contraindicated in individuals who have shown hypersensitivity to any of its components.,hypersensitivity to any of its components
azathioprine,"azathioprine should not be used for treating rheumatoid arthritis in pregnant women.patients with rheumatoid arthritis previously treated with alkylating agents (cyclophosphamide, chlorambucil, melphalan, or others) may have a prohibitive risk of malignancy if treated withazathioprine",should not be used for treating rheumatoid arthritis in pregnant women
axitinib,none,none
avanafil,administration of avanafil to patients using any form of organic nitrate is contraindicated. hypersensitivity to any component of the avanafil tablet,hypersensitivity to any component of the avanafil tablet
atropine sulfate,"glaucoma, chronic respiratory disease, sick sinus syndrome, thyrotoxicosis, cardiac failure, pyloric stenosis, prostatic hypertrophy.",.
atracurium besilate,"atracurium is contraindicated in patients known to be hypersensitive to atracurium, cisatracurium or benzenesulfonic acid. in common with all the other neuromuscular blocking agents, atracurium besilate paralyses the respiratory muscles as well as other skeletal muscles but has no effect on consciousness.",hypersensitive
atosiban acetate,"atosiban must not be used in the following conditions: gestational age below 24 or over 33 completed weeks premature rupture of the membranes &gt;30 weeks of gestation abnormal foetal heart rate antepartum uterine haemorrhage requiring immediate delivery eclampsia and severe pre-eclampsia requiring delivery intrauterine foetal death suspected intrauterine infection placenta praevia abruptio placenta any other conditions of the mother or foetus, in which continuation of pregnancy is hazardous",gestational age below 24 or over 33 completed weeks
atorvastatin calcium,atorvastatin should not be used in patient with hypersensitivity to any component of this medication. atorvastatin is contraindicated in active liver disease or unexplained persistent elevations of serum transaminases. it is also contraindicated in patient with history of serious adverse reaction to prior administration of hmg-coa reductase inhibitors.,liver disease or unexplained persistent elevations of serum transaminases
atorvastatin + ezetimibe,active liver disease or unexplained persistent elevations of hepatic transaminase levels. hypersensitivity to any component of this tablet. women who are pregnant or may become pregnant. nursing mothers.,women who are pregnant or may become pregnant. nursing mothers
atomoxetine hydrochloride,hypersensitivity to atomoxetine concomitant use with monoamine oxidase inhibitors (maois). narrow-angle glaucoma. severe cardiovascularor cerebrovascular disorders. history of pheochromocytoma.,history of pheochromocytoma
atezolizumab,atezolizumab is contraindicated in patients with a known hypersensitivity to atezolizumab or any of the excipients.,hypersensitivity
atenolol + chlorthalidone,"atenolol and chlorthalidone combination is contraindicated in hypersensitivity to this product or to sulfonamide-derived drugs. it is also contraindicated in patients with sinus bradycardia, heart block greater than first degree, cardiogenic shock, overt cardiac failure and anuria.",hypersensitivity to this product or to sulfonamide
atenolol,"atenolol is contraindicated in- sinus bradycardia, heart block greater than first degree, cardiogenic shock, and overt cardiac failure. those patients with a history of hypersensitivity to the atenolol or any of the drug products components.","sinus bradycardia, heart block greater than first degree"
astaxanthin,contraindicated for those with known allergies to astaxanthin.,those with known allergies to astaxanthin
red clover isoflavones,"it is recommended that the diet should not be supplemented with isoflavonoid phytoestrogens during therapy with reproductive hormones including estrogen, progestogen and androgen because of the potential risk of competitive inhibition.",potential risk of competitive inhibition
"qurs mulayin [scammony, lavender, fennel]",there is no known contraindication.,there is no known contraindication
pumpkin [cucurbita pepo],no data available,no data available
psyllium [ispaghula husk] + senna extract,"contraindicated for patients with pathological narrowing in gastrointestinal tract, intestinal obstructions, difficult-to-control diabetes mellitus, acutely inflamed intestinal diseases, e.g. crohn's disease, ulcerative colitis, appendicitis and abdominal pain of unknown origin. contraindicated for children under 12 years old.","pathological narrowing in gastrointestinal tract, intestinal obstructions"
probiotic combination [4 billion],the use of probiotics is not advised in patients at risk of opportunistic infections and in those with badly damaged gi tracts.,opportunistic infections and in those with badly damaged gi tracts
probiotic combination [3.2 billion],no data available,no data available
probiotic combination [2.3 billion],this capsule is contraindicated with known hypersensitivity to any component of the formulation.,known hypersensitivity to any component of the formulation
probiotic combination [2 billion],this capsule is contraindicated with known hypersensitivity to any component of the formulation. lactobacillus preparations are contraindicated in persons with a hypersensitivity to lactose or milk.,hypersensitivity to lactose or milk
proanthocyanidins,there are no known contraindications for proanthocyanidins.,no known contraindications for proanthocyanidins
prasarani sandhan,not reported.,not reported
peppermint oil,contraindicated in patients with achlorhydria. also contraindicated for infants due to the potential risk of spasm of the tongue or respiratory arrest.,patients with achlorhydria
penitab,there is no known contraindication.,there is no known contraindication
pechish,there is no known contraindication.,there is no known contraindication
patrangasav,no data available,no data available
panax ginseng,"ginseng can be taken with any other vitamin, minerals or herbal supplement. no known contraindications according to the german e commission and world health organization (who). however, as with any supplement, consult with physician if you are taking prescription drugs.",no known contraindications
beclomethasone dipropionate + chloramphenicol + clotrimazole + lidocaine,no data available,no data available
beclomethasone dipropionate (nasal spray),contraindicated in patients with a history of hypersensitivity to any of its components. infections of the nasal passages and paranasal sinuses should be appropriately treated but do not constitute a specific contraindication to treatment with beclomethasone nasal spray.,infections of the nasal passages and paranasal sinuses should be appropriately treated
beclomethasone dipropionate (inhaler),hypersensitivity to any of the components. special care is necessary in patients with active or quiescent pulmonary tuberculosis.,hypersensitivity to any of the components
beclometasone dipropionate + formoterol fumarate,contraindicated in patients with hypersensitivity to any component of this product.,hypersensitivity
basiliximab,known hypersensitivity to basiliximab or any component of the formulation,known hypersensitivity to basiliximab
barium sulfate,"barium sulfate products are contraindicated in patients with known or suspected obstruction of the colon, known or suspected gastrointestinal tract perforation, suspected tracheoesophageal fistula, obstructing lesions of the small intestine, pyloric stenosis or known hypersensitivity to barium sulfate formulations.",known or suspected obstruction of the colon
